month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1990-01,4 ROOM,78000.0,45000.0,157000.0,70000.0,88500.0,806.1224489795918,510.2040816326531,1554.4554455445545,740.7407407407408,894.2307692307693
1990-02,4 ROOM,80000.0,46000.0,157600.0,70500.0,90000.0,838.0952380952381,532.6086956521739,1445.8715596330276,767.3913043478261,934.7916666666666
1990-03,4 ROOM,79250.0,45700.0,148000.0,70000.0,88885.0,819.8687994248742,505.3763440860215,1571.4285714285713,750.6720430107528,928.5589060308555
1990-04,4 ROOM,80100.0,46400.0,160000.0,71700.0,88500.0,854.3689320388349,498.9247311827957,1538.4615384615386,774.7252747252747,977.9485257371314
1990-05,4 ROOM,80000.0,45000.0,154000.0,70000.0,92000.0,855.7692307692307,500.0,1495.1456310679612,766.9902912621359,969.3877551020408
1990-06,4 ROOM,81250.0,32500.0,130000.0,70000.0,92750.0,854.0137343121004,391.56626506024094,1420.4545454545455,760.8695652173913,969.047619047619
1990-07,4 ROOM,82000.0,40000.0,157000.0,70250.0,93000.0,854.3689320388349,487.8048780487805,1414.4144144144145,766.1308973172988,970.8737864077669
1990-08,4 ROOM,80000.0,47000.0,138000.0,70000.0,90000.0,842.5531914893617,520.8333333333334,1626.5060240963855,760.8695652173913,952.3809523809524
1990-09,4 ROOM,75000.0,45400.0,142500.0,68000.0,90000.0,806.4516129032259,480.0,1373.4939759036145,729.751872659176,947.6425438596491
1990-10,4 ROOM,82000.0,45000.0,150000.0,70000.0,91500.0,867.3469387755102,511.3636363636364,1456.3106796116506,766.304347826087,980.7692307692307
1990-11,4 ROOM,80000.0,42000.0,170000.0,70000.0,90500.0,847.8260869565217,500.0,1686.7469879518073,760.8695652173913,973.1182795698925
1990-12,4 ROOM,80000.0,45000.0,183000.0,69250.0,91550.0,830.6451612903227,527.4725274725274,2204.8192771084337,737.155388471178,961.5384615384615
1991-01,4 ROOM,80000.0,47000.0,148000.0,69250.0,91500.0,849.7073578595318,489.7959183673469,1783.132530120482,750.0,977.5641025641025
1991-02,4 ROOM,75050.0,42000.0,160000.0,66250.0,92000.0,826.3736263736264,500.0,1758.2417582417581,745.7386363636364,959.7902097902098
1991-03,4 ROOM,78500.0,45500.0,139000.0,66750.0,91000.0,838.1048387096774,463.6363636363636,1311.111111111111,734.6938775510204,979.4340416579003
1991-04,4 ROOM,80000.0,32500.0,152000.0,70000.0,90000.0,826.0828976848395,369.3181818181818,1475.7281553398059,756.2846740638003,945.0431994299456
1991-05,4 ROOM,80000.0,37000.0,155000.0,66000.0,91000.0,807.6923076923077,420.45454545454544,1703.2967032967033,737.5632731812507,988.0235226620769
1991-06,4 ROOM,80000.0,43000.0,179000.0,66000.0,91000.0,860.2150537634409,500.0,1704.7619047619048,738.0952380952381,978.0817009077879
1991-07,4 ROOM,80000.0,41700.0,165000.0,70000.0,93000.0,842.8571428571429,496.42857142857144,1601.9417475728155,755.4072710538426,1000.0
1991-08,4 ROOM,80000.0,45000.0,169000.0,70000.0,91410.0,846.989966555184,520.8333333333334,1927.710843373494,752.2746071133168,967.6542776998598
1991-09,4 ROOM,80000.0,45000.0,154000.0,65000.0,93000.0,845.0105094585126,463.265306122449,1666.6666666666667,721.7425285645168,988.7820512820513
1991-10,4 ROOM,82000.0,43000.0,157000.0,70000.0,97725.0,860.2150537634409,438.7755102040816,1670.7317073170732,754.5698924731183,1023.5389610389611
1991-11,4 ROOM,80000.0,43000.0,150000.0,65000.0,93000.0,831.7610062893082,488.6363636363636,1646.341463414634,738.0952380952381,990.177275554634
1991-12,4 ROOM,75000.0,45000.0,150000.0,65500.0,91000.0,806.4516129032259,534.4827586206897,1795.1807228915663,736.2637362637363,977.2727272727273
1992-01,4 ROOM,80000.0,35000.0,170000.0,70000.0,95000.0,854.3689320388349,397.72727272727275,1686.7469879518073,754.7169811320755,1000.0
1992-02,4 ROOM,80000.0,45000.0,178000.0,65875.0,93250.0,842.4812030075188,454.54545454545456,1695.2380952380952,740.2884615384615,1011.9047619047619
1992-03,4 ROOM,82000.0,35000.0,179000.0,70000.0,95500.0,857.1428571428571,421.68674698795184,1721.1538461538462,755.3191489361702,1011.9047619047619
1992-04,4 ROOM,86000.0,45000.0,178000.0,71000.0,100000.0,879.1208791208791,464.64646464646466,1711.5384615384614,769.2307692307693,1090.909090909091
1992-05,4 ROOM,88000.0,44400.0,183000.0,70000.0,109250.0,881.0776063581113,522.2222222222222,2010.989010989011,765.3283001601465,1134.6153846153845
1992-06,4 ROOM,85000.0,42700.0,200000.0,70000.0,105000.0,869.5652173913044,504.3478260869565,1923.076923076923,761.9047619047619,1108.1349206349205
1992-07,4 ROOM,89550.0,41100.0,179000.0,72000.0,108000.0,942.3076923076923,489.2857142857143,1746.987951807229,780.5465765501028,1145.280993278566
1992-08,4 ROOM,89500.0,40000.0,180000.0,71600.0,110250.0,945.0483091787439,459.7701149425287,2048.7804878048782,773.2919254658385,1194.1747572815534
1992-09,4 ROOM,89500.0,45000.0,195000.0,71550.0,109000.0,952.3809523809524,457.14285714285717,1893.2038834951456,782.6086956521739,1144.7025521207765
