month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1991-04,MULTI GENERATION,150000.0,150000.0,150000.0,150000.0,150000.0,993.3774834437086,993.3774834437086,993.3774834437086,993.3774834437086,993.3774834437086
1991-06,MULTI GENERATION,180000.0,180000.0,180000.0,180000.0,180000.0,1097.560975609756,1097.560975609756,1097.560975609756,1097.560975609756,1097.560975609756
1992-06,MULTI GENERATION,292000.0,292000.0,292000.0,292000.0,292000.0,1769.6969696969697,1769.6969696969697,1769.6969696969697,1769.6969696969697,1769.6969696969697
1992-07,MULTI GENERATION,141000.0,141000.0,141000.0,141000.0,141000.0,787.7094972067039,787.7094972067039,787.7094972067039,787.7094972067039,787.7094972067039
1992-08,MULTI GENERATION,245000.0,200000.0,290000.0,222500.0,267500.0,1458.2892975410414,1169.5906432748538,1746.987951807229,1313.9399704079476,1602.6386246741351
1992-09,MULTI GENERATION,195000.0,140000.0,278000.0,153550.0,200000.0,1192.578183450546,862.1951219512196,1553.072625698324,991.4110429447853,1248.2742751955823
1992-10,MULTI GENERATION,248000.0,145000.0,298000.0,219125.0,265500.0,1480.6197404079303,810.0558659217877,1806.060606060606,1338.1387475684573,1567.9425837320573
1992-11,MULTI GENERATION,262000.0,220000.0,265000.0,241000.0,263500.0,1532.1637426900584,1286.5497076023391,1596.3855421686746,1409.3567251461986,1564.2746424293664
1992-12,MULTI GENERATION,245000.0,245000.0,245000.0,245000.0,245000.0,1493.9024390243903,1493.9024390243903,1493.9024390243903,1493.9024390243903,1493.9024390243903
1993-01,MULTI GENERATION,278000.0,251000.0,305000.0,264500.0,291500.0,1718.3689024390244,1530.4878048780488,1906.25,1624.4283536585367,1812.309451219512
1993-02,MULTI GENERATION,255000.0,250000.0,278000.0,252500.0,266500.0,1524.3902439024391,1424.5810055865923,1553.072625698324,1474.4856247445157,1538.7314348003815
