,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
0,1990-01,50000.0,6000.0,238000.0,38450.0,80000.0,698.9247311827957,193.5483870967742,1675.2136752136753,567.9370629370629,846.1538461538462
1,1990-02,53000.0,7300.0,233000.0,40000.0,88000.0,702.4691358024692,251.72413793103448,1666.6666666666667,597.5728832473148,888.2085812715316
2,1990-03,52000.0,5600.0,230000.0,40000.0,85000.0,701.4925373134329,180.6451612903226,1625.0,589.0410958904109,871.8030690537084
3,1990-04,50000.0,7000.0,238000.0,40000.0,85000.0,701.4925373134329,241.3793103448276,1586.6666666666667,588.2352941176471,879.1208791208791
4,1990-05,51250.0,6000.0,250000.0,40000.0,86000.0,701.4925373134329,206.89655172413794,1713.0434782608695,585.0368809272919,888.2113821138212
5,1990-06,50000.0,7000.0,237000.0,40000.0,85125.0,701.4925373134329,225.80645161290323,1809.1603053435115,581.8374344493748,881.1443932411674
6,1990-07,53000.0,5000.0,260000.0,40000.0,88500.0,707.3170731707318,161.29032258064515,1773.972602739726,597.0149253731344,897.9591836734694
7,1990-08,52000.0,7300.0,267000.0,40000.0,86000.0,701.4925373134329,251.72413793103448,1880.281690140845,588.2352941176471,882.9714128642111
8,1990-09,56700.0,8500.0,235000.0,40000.0,88000.0,708.1081081081081,274.19354838709677,1618.6440677966102,593.2203389830509,916.6666666666666
9,1990-10,57000.0,5800.0,236000.0,41000.0,90375.0,731.263039640507,187.09677419354838,1762.7118644067796,606.060606060606,927.7026064663154
10,1990-11,56000.0,7300.0,246000.0,40000.0,87000.0,721.8706047819971,235.48387096774192,1916.6666666666667,597.0149253731344,906.7626380984266
11,1990-12,54500.0,6000.0,245000.0,41150.0,86000.0,708.955223880597,193.5483870967742,2204.8192771084337,615.3846153846154,902.0140664961637
12,1991-01,57000.0,6000.0,240000.0,43000.0,91000.0,725.0,193.5483870967742,1783.132530120482,617.6470588235294,923.9130434782609
13,1991-02,52000.0,7000.0,245000.0,41500.0,87000.0,701.4925373134329,225.80645161290323,1758.2417582417581,605.8612440191387,891.7451470305593
14,1991-03,55000.0,7000.0,264000.0,43000.0,88375.0,714.2857142857143,225.80645161290323,1833.3333333333333,615.3846153846154,924.2555717939349
15,1991-04,52950.0,7500.0,226000.0,42000.0,82625.0,712.22498962225,241.93548387096774,1775.0,616.4383561643835,879.8714759535656
16,1991-05,58500.0,7300.0,256000.0,44000.0,95000.0,735.2941176470588,235.48387096774192,1718.1208053691275,625.0,954.8872180451128
17,1991-06,57350.0,8000.0,275000.0,43750.0,93000.0,737.3809523809523,258.06451612903226,1883.5616438356165,626.8656716417911,956.280278860924
18,1991-07,60000.0,10000.0,255000.0,43750.0,95000.0,753.4246575342465,309.09090909090907,1832.0610687022902,626.8656716417911,958.1140350877193
19,1991-08,57000.0,5700.0,279000.0,43750.0,90000.0,742.7368421052631,183.8709677419355,1927.710843373494,625.0,931.6625155666252
20,1991-09,59000.0,8000.0,300000.0,44000.0,99000.0,739.361167002012,275.86206896551727,1870.2290076335878,626.8656716417911,980.27950310559
21,1991-10,58000.0,7300.0,288000.0,43000.0,99000.0,743.5897435897435,235.48387096774192,2213.1147540983607,626.8656716417911,990.659435261708
22,1991-11,55000.0,6700.0,293000.0,42000.0,90000.0,709.927234927235,216.1290322580645,1917.8082191780823,615.3846153846154,923.9130434782609
23,1991-12,53000.0,7000.0,272000.0,41000.0,81875.0,701.4925373134329,225.80645161290323,1925.6198347107438,606.3311688311687,895.002446782481
24,1992-01,56750.0,7300.0,275000.0,43000.0,90000.0,742.2619047619048,235.48387096774192,1883.5616438356165,619.303594351733,951.8063853622106
25,1992-02,58000.0,7500.0,270000.0,44000.0,95000.0,755.5002075550021,230.55555555555554,1824.3243243243244,626.7164179104477,961.9755244755245
26,1992-03,61000.0,7000.0,280000.0,45000.0,100000.0,776.6990291262136,225.80645161290323,1984.7328244274809,641.7910447761194,1000.0
27,1992-04,62300.0,8000.0,295000.0,45500.0,100000.0,774.1935483870968,258.06451612903226,2013.888888888889,647.8537360890302,1024.868705591597
28,1992-05,65000.0,7300.0,300000.0,46000.0,113250.0,784.8696757787667,251.72413793103448,2010.989010989011,666.6666666666666,1086.9565217391305
29,1992-06,62000.0,8000.0,312500.0,45000.0,103500.0,782.6086956521739,258.06451612903226,2148.7603305785124,643.3463796477495,1052.8209890875319
30,1992-07,68000.0,7300.0,295000.0,47000.0,110750.0,825.242718446602,251.72413793103448,1986.3945578231292,677.9661016949152,1104.3322349292498
31,1992-08,68000.0,7500.0,327000.0,47000.0,120000.0,846.1538461538462,241.93548387096774,2176.8707482993195,685.0469447437279,1158.761692852602
32,1992-09,64000.0,8000.0,298000.0,47000.0,110000.0,825.8444997191688,258.06451612903226,2095.0413223140495,686.1582498466571,1111.111111111111
33,1992-10,68000.0,7500.0,300000.0,47000.0,115000.0,847.457627118644,241.93548387096774,2112.676056338028,684.931506849315,1148.148148148148
34,1992-11,68000.0,7000.0,335000.0,47000.0,113250.0,857.1428571428571,225.80645161290323,2609.756097560976,690.2056277056276,1130.3130200998592
35,1992-12,68000.0,10200.0,335000.0,47000.0,115000.0,852.9411764705883,257.57575757575756,2250.0,688.1944444444445,1147.5409836065573
36,1993-01,67750.0,10000.0,325000.0,47000.0,117000.0,871.595795508839,321.42857142857144,2257.4257425742576,692.3076923076923,1180.2441554296656
37,1993-02,66500.0,8000.0,320000.0,47000.0,117000.0,847.457627118644,258.06451612903226,2289.2561983471073,689.2403767403767,1157.0247933884298
38,1993-03,72000.0,7500.0,355000.0,50000.0,120000.0,907.6923076923077,267.85714285714283,2500.0,701.4925373134329,1201.923076923077
39,1993-04,72000.0,8800.0,362000.0,48000.0,127000.0,902.439024390244,283.8709677419355,2429.7520661157023,695.1219512195122,1238.471877584781
