,town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
0,ANG MO KIO,1990-01,47200.0,6000.0,200000.0,42500.0,68000.0,683.8235294117648,193.5483870967742,1481.4814814814815,596.2602716753313,768.7617260787993
1,ANG MO KIO,1990-02,50250.0,8000.0,146000.0,47000.0,78250.0,701.4925373134329,258.06451612903226,1226.890756302521,645.7150016705647,801.530612244898
2,ANG MO KIO,1990-03,47200.0,5600.0,155000.0,47000.0,70375.0,694.1176470588235,180.6451612903226,1313.5593220338983,635.8108108108108,764.7058823529412
3,ANG MO KIO,1990-04,47200.0,22000.0,175000.0,46500.0,73000.0,700.0,465.75342465753425,1470.5882352941176,637.8378378378378,791.2087912087912
4,ANG MO KIO,1990-05,47000.0,7800.0,160000.0,45375.0,70000.0,693.9024390243902,251.61290322580646,1333.3333333333333,631.7989524576955,782.6086956521739
5,ANG MO KIO,1990-06,47200.0,7000.0,175000.0,46000.0,70000.0,691.1764705882352,225.80645161290323,1483.050847457627,626.6666666666666,766.304347826087
6,ANG MO KIO,1990-07,48250.0,7000.0,184000.0,46875.0,72000.0,701.4925373134329,225.80645161290323,1458.3333333333333,639.7965381111449,782.6086956521739
7,ANG MO KIO,1990-08,47000.0,8500.0,158000.0,41875.0,58500.0,682.5081907535493,274.19354838709677,1316.6666666666667,608.1081081081081,706.2410329985653
8,ANG MO KIO,1990-09,47200.0,9500.0,172000.0,46000.0,70125.0,694.6197991391679,306.4516129032258,1457.6271186440679,628.7164179104478,769.8578595317726
9,ANG MO KIO,1990-10,47000.0,5800.0,180000.0,47000.0,62750.0,691.1764705882352,187.09677419354838,1512.6050420168067,643.8356164383562,763.7526511134677
10,ANG MO KIO,1990-11,48000.0,23000.0,167000.0,47000.0,71000.0,701.4925373134329,500.0,1415.2542372881355,649.3824110671937,781.5482502651114
11,ANG MO KIO,1990-12,47000.0,6000.0,147000.0,46000.0,61550.0,691.4634146341464,193.5483870967742,1245.7627118644068,635.1351351351351,736.4136665902315
