month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1990-01,high,56000.0,7300.0,235000.0,40000.0,94750.0,724.8403178065118,240.0,1664.2335766423357,590.6779661016949,940.1709401709402
1990-02,high,60000.0,7500.0,232000.0,44000.0,95000.0,758.3400591875168,258.62068965517244,1628.5714285714287,617.9557428872497,940.422322775264
1990-03,high,53000.0,13500.0,230000.0,40200.0,88170.0,710.5263157894736,293.4782608695652,1625.0,612.5740618828177,923.9130434782609
1990-04,high,52500.0,7000.0,208000.0,40000.0,86000.0,707.6923076923077,241.3793103448276,1500.0,589.0410958904109,900.0
1990-05,high,57500.0,6000.0,250000.0,42500.0,99750.0,759.6014492753623,206.89655172413794,1713.0434782608695,615.3846153846154,962.8146453089245
1990-06,high,60500.0,14000.0,231000.0,42750.0,109700.0,750.9398496240601,313.84615384615387,1606.837606837607,613.9774859287054,1008.2991874435725
1990-07,high,59320.0,7300.0,259000.0,42725.0,100000.0,762.7118644067797,251.72413793103448,1773.972602739726,622.4662162162163,989.010989010989
1990-08,high,57000.0,7300.0,236800.0,41000.0,103400.0,736.6946778711484,251.72413793103448,1726.4957264957266,615.3846153846154,959.7445317840055
1990-09,high,66000.0,9500.0,213000.0,44000.0,107000.0,766.304347826087,293.4782608695652,1618.6440677966102,626.8656716417911,977.4436090225564
1990-10,high,60000.0,5800.0,236000.0,44875.0,95750.0,759.8076923076924,187.09677419354838,1606.837606837607,617.4019607843137,953.999582289056
1990-11,high,57000.0,8000.0,238500.0,40000.0,93000.0,752.3584905660377,275.86206896551727,1916.6666666666667,600.0,944.4444444444445
1990-12,high,57000.0,14000.0,225000.0,44625.0,99750.0,732.520325203252,313.84615384615387,2204.8192771084337,635.1351351351351,987.4752801582069
1991-01,high,64200.0,20000.0,230000.0,47000.0,105000.0,771.7391304347826,305.1948051948052,1783.132530120482,646.3414634146342,1000.0
