month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1990-01,low,52000.0,6000.0,215000.0,38950.0,78000.0,698.9247311827957,193.5483870967742,1487.603305785124,563.0965005302228,827.2500320061451
1990-02,low,52000.0,7300.0,233000.0,40000.0,81225.0,700.0,251.72413793103448,1666.6666666666667,590.24064171123,870.0793184488837
1990-03,low,52000.0,7000.0,230000.0,38000.0,87000.0,701.4925373134329,225.80645161290323,1533.3333333333333,582.8482328482328,888.2285003553661
1990-04,low,50000.0,13500.0,230000.0,40000.0,85000.0,701.4925373134329,293.4782608695652,1533.3333333333333,585.7380688124306,865.5235726131248
1990-05,low,49000.0,10000.0,248000.0,40000.0,80000.0,700.0,293.4782608695652,1664.4295302013422,575.3424657534247,867.2001911132346
1990-06,low,47070.0,7300.0,217000.0,40000.0,72500.0,694.1176470588235,251.72413793103448,1528.5714285714287,587.562051847766,851.3456686291
1990-07,low,52000.0,7000.0,235000.0,40000.0,80000.0,701.4925373134329,225.80645161290323,1609.5890410958905,597.0149253731344,833.3333333333334
1990-08,low,52000.0,13500.0,267000.0,40000.0,85000.0,700.0,261.1940298507463,1880.281690140845,576.9230769230769,891.304347826087
1990-09,low,53000.0,14000.0,223500.0,40000.0,71900.0,701.4925373134329,304.3478260869565,1581.967213114754,613.8147566718994,819.1221694157115
1990-10,low,57500.0,10000.0,205000.0,45000.0,90000.0,758.5714285714286,326.0869565217391,1570.2479338842975,618.6080586080586,962.9455909943715
1990-11,low,57000.0,7300.0,210000.0,41250.0,84875.0,725.9615384615385,235.48387096774192,1417.391304347826,597.0149253731344,899.1847826086956
1990-12,low,56000.0,16200.0,213000.0,41000.0,84228.0,716.4179104477612,246.3768115942029,1438.3561643835617,617.6470588235294,871.6247139588102
1991-01,low,57000.0,16000.0,230000.0,43250.0,88475.0,718.2486631016043,303.57142857142856,1554.054054054054,626.8656716417911,916.8956043956043
1991-02,low,52000.0,10000.0,223000.0,44000.0,88000.0,704.5454545454545,293.4782608695652,1638.4615384615386,626.8656716417911,865.0793650793651
1991-03,low,56000.0,7000.0,264000.0,42500.0,93000.0,726.027397260274,225.80645161290323,1833.3333333333333,623.1796116504854,940.1709401709402
1991-04,low,50000.0,8000.0,226000.0,42000.0,80000.0,701.4925373134329,275.86206896551727,1506.6666666666667,616.4383561643835,871.9512195121952
1991-05,low,57000.0,17000.0,234000.0,44750.0,93000.0,726.7316017316017,265.625,1602.7397260273972,626.25,910.1763907734057
1991-06,low,57500.0,8000.0,240000.0,42000.0,91250.0,723.2303090727817,258.06451612903226,1719.0082644628098,626.8656716417911,936.4697802197802
1991-07,low,57000.0,13500.0,241000.0,40000.0,90500.0,714.2857142857143,320.0,1650.6849315068494,598.5074626865671,915.0641025641025
1991-08,low,60000.0,16000.0,246000.0,45000.0,88000.0,756.7567567567568,289.8550724637681,1795.6204379562043,634.3283582089553,940.1709401709402
1991-09,low,56000.0,10400.0,248000.0,42000.0,90000.0,728.8135593220339,304.3478260869565,1698.6301369863013,610.8954451345755,913.7291280148423
1991-10,low,50750.0,7300.0,255000.0,40800.0,85500.0,701.4925373134329,235.48387096774192,1746.5753424657535,616.1749209694415,910.4767184035477
1991-11,low,53000.0,14000.0,280000.0,40000.0,82125.0,701.4925373134329,303.030303030303,1917.8082191780823,606.8722943722944,904.9227799227799
1991-12,low,52000.0,7000.0,250000.0,41000.0,76000.0,701.4925373134329,225.80645161290323,1719.0082644628098,615.3846153846154,852.9411764705883
1992-01,low,55000.0,7500.0,251000.0,43000.0,92850.0,702.0976200080678,241.93548387096774,1684.5637583892617,615.6480505795574,931.4814814814815
1992-02,low,55600.0,7500.0,270000.0,41000.0,87250.0,743.1184012066365,258.62068965517244,1824.3243243243244,602.054794520548,894.9964131994261
1992-03,low,60000.0,18000.0,272000.0,44625.0,100000.0,769.2307692307693,353.84615384615387,1863.013698630137,636.5076013513514,1031.2384130515388
1992-04,low,60000.0,13500.0,290000.0,45000.0,98000.0,769.2307692307693,286.88524590163934,2013.888888888889,648.6486486486486,961.5384615384615
1992-05,low,60000.0,10200.0,246500.0,45000.0,104000.0,753.4246575342465,283.3333333333333,1834.7826086956522,633.9285714285714,980.5825242718447
1992-06,low,64000.0,8000.0,252000.0,46000.0,105000.0,771.1864406779661,258.06451612903226,1761.864406779661,675.6756756756756,1048.951048951049
1992-07,low,64000.0,9000.0,270000.0,45000.0,105000.0,789.4400120427517,291.6666666666667,1849.3150684931506,649.9837767683323,1084.0336134453783
1992-08,low,70000.0,17000.0,320000.0,47000.0,125000.0,869.5652173913044,314.2857142857143,2176.8707482993195,691.1764705882352,1201.923076923077
1992-09,low,62000.0,10000.0,298000.0,47000.0,100000.0,791.3669064748201,293.4782608695652,2041.3223140495868,671.6417910447761,1049.1803278688524
1992-10,low,63250.0,7500.0,300000.0,46250.0,115000.0,814.3654524089307,241.93548387096774,2112.676056338028,649.3421052631579,1132.7380952380952
1992-11,low,68500.0,12500.0,285000.0,47000.0,105500.0,846.1538461538462,326.0869565217391,1887.4172185430464,674.0561896400352,1092.1445404556166
1992-12,low,66500.0,10200.0,310000.0,47000.0,110000.0,833.3333333333334,321.42857142857144,2123.2876712328766,684.5710165825523,1096.0061443932411
1993-01,low,69000.0,13500.0,325000.0,47000.0,116775.0,874.3932038834951,326.0869565217391,2158.3333333333335,690.0241439859526,1148.9265697729647
1993-02,low,65000.0,15600.0,320000.0,47000.0,115000.0,828.125,323.0769230769231,2123.96694214876,685.7493355142097,1159.6298587483245
1993-03,low,65000.0,14000.0,300000.0,50000.0,100000.0,878.7496287496288,316.95721077654514,2086.3309352517986,714.2857142857143,1101.0459612154527
1993-04,low,70000.0,14000.0,270000.0,47000.0,125000.0,895.5223880597015,348.4848484848485,2100.840336134454,691.1764705882352,1242.7184466019417
1993-05,low,96000.0,20000.0,323000.0,62000.0,148000.0,1110.3896103896104,374.83870967741933,2272.7272727272725,850.7462686567164,1415.8289514382925
1993-06,low,100000.0,23500.0,358000.0,65000.0,168250.0,1160.377358490566,335.7142857142857,2452.054794520548,917.2374429223744,1482.18789407314
