town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,4 ROOM,72000.0,60000.0,96500.0,68000.0,80000.0,780.722891566265,656.5656565656566,1060.4395604395604,739.1304347826087,896.7391304347826
ANG MO KIO,1990-02,4 ROOM,78000.0,60500.0,96000.0,70600.0,83400.0,806.1224489795918,657.6086956521739,1054.9450549450548,764.8726040205704,907.0711896798854
ANG MO KIO,1990-03,4 ROOM,79000.0,58000.0,98000.0,71250.0,84000.0,865.979381443299,623.6559139784946,1065.2173913043478,760.8695652173913,920.3296703296703
ANG MO KIO,1990-04,4 ROOM,80000.0,60000.0,93000.0,73000.0,80100.0,858.695652173913,652.1739130434783,1010.8695652173913,791.2087912087912,880.2197802197802
ANG MO KIO,1990-05,4 ROOM,76000.0,55000.0,113000.0,70000.0,87750.0,811.3890717577353,619.5652173913044,1228.2608695652175,769.8578595317726,952.032967032967
ANG MO KIO,1990-06,4 ROOM,76000.0,55000.0,97000.0,70000.0,85125.0,803.7676609105181,604.3956043956044,1021.7391304347826,750.0831393415365,935.4395604395604
ANG MO KIO,1990-07,4 ROOM,73000.0,51000.0,112000.0,71000.0,84000.0,795.9183673469388,554.3478260869565,1142.857142857143,760.8695652173913,885.6521739130435
ANG MO KIO,1990-08,4 ROOM,72000.0,54000.0,95000.0,70000.0,80500.0,770.484949832776,545.4545454545455,1043.956043956044,719.8085419734905,865.1185770750988
ANG MO KIO,1990-09,4 ROOM,72000.0,60000.0,98000.0,70000.0,85000.0,791.2087912087912,618.5567010309278,1065.934065934066,739.980449657869,934.065934065934
ANG MO KIO,1990-10,4 ROOM,80500.0,60000.0,105000.0,75000.0,90000.0,869.5652173913044,612.2448979591836,1141.304347826087,801.7127799736495,948.6468500443656
ANG MO KIO,1990-11,4 ROOM,72000.0,60000.0,100000.0,70125.0,82250.0,786.3660762211487,652.1739130434783,1086.9565217391305,761.5123889668068,866.4596273291926
ANG MO KIO,1990-12,4 ROOM,72500.0,52000.0,98000.0,70850.0,82375.0,797.8380315336838,530.6122448979592,1040.6593406593406,767.0359531772576,883.2417582417582
ANG MO KIO,1991-01,4 ROOM,77500.0,52250.0,102000.0,70530.0,89000.0,816.3265306122449,567.9347826086956,1120.8791208791208,763.0878438331854,951.7302573203194
