town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1996-04,EXECUTIVE,605000.0,605000.0,605000.0,605000.0,605000.0,4060.4026845637586,4060.4026845637586,4060.4026845637586,4060.4026845637586,4060.4026845637586
ANG MO KIO,1996-05,EXECUTIVE,550000.0,550000.0,550000.0,550000.0,550000.0,3716.2162162162163,3716.2162162162163,3716.2162162162163,3716.2162162162163,3716.2162162162163
ANG MO KIO,1999-03,EXECUTIVE,503000.0,503000.0,503000.0,503000.0,503000.0,3398.6486486486488,3398.6486486486488,3398.6486486486488,3398.6486486486488,3398.6486486486488
ANG MO KIO,1999-07,EXECUTIVE,595000.0,595000.0,595000.0,595000.0,595000.0,3993.288590604027,3993.288590604027,3993.288590604027,3993.288590604027,3993.288590604027
ANG MO KIO,1999-12,EXECUTIVE,573500.0,557000.0,590000.0,565250.0,581750.0,3954.575722983257,3868.0555555555557,4041.095890410959,3911.3156392694063,3997.835806697108
ANG MO KIO,2000-01,EXECUTIVE,546500.0,527000.0,580000.0,529250.0,567250.0,3850.544564348521,3605.4421768707484,3972.6027397260273,3744.885724073802,3925.4423515981734
ANG MO KIO,2000-02,EXECUTIVE,425000.0,198000.0,545000.0,311500.0,485000.0,2607.3619631901843,1229.8136645962734,3732.876712328767,1918.587813893229,3170.1193377594755
ANG MO KIO,2000-04,EXECUTIVE,600000.0,600000.0,600000.0,600000.0,600000.0,4081.6326530612246,4081.6326530612246,4081.6326530612246,4081.6326530612246,4081.6326530612246
ANG MO KIO,2000-05,EXECUTIVE,496500.0,435000.0,558000.0,465750.0,527250.0,3232.3150118943286,2668.711656441718,3795.918367346939,2950.513334168023,3514.1166896206337
ANG MO KIO,2000-06,EXECUTIVE,558000.0,558000.0,558000.0,558000.0,558000.0,3875.0,3875.0,3875.0,3875.0,3875.0
ANG MO KIO,2000-08,EXECUTIVE,595000.0,415000.0,615000.0,505000.0,605000.0,3814.102564102564,2546.01226993865,3942.3076923076924,3180.0574170206073,3878.205128205128
ANG MO KIO,2000-09,EXECUTIVE,529000.0,520000.0,538000.0,524500.0,533500.0,3574.0766105099756,3537.4149659863947,3610.738255033557,3555.7457882481854,3592.4074327717663
ANG MO KIO,2000-10,EXECUTIVE,412000.0,412000.0,412000.0,412000.0,412000.0,2527.60736196319,2527.60736196319,2527.60736196319,2527.60736196319,2527.60736196319
ANG MO KIO,2000-11,EXECUTIVE,582500.0,575000.0,590000.0,578750.0,586250.0,3975.980803280216,3938.3561643835615,4013.605442176871,3957.168483831889,3994.7931227285435
ANG MO KIO,2000-12,EXECUTIVE,450100.0,370000.0,587000.0,411250.0,503150.0,2761.3496932515336,2269.9386503067485,4020.5479452054797,2523.006134969325,3191.6400537860327
ANG MO KIO,2001-01,EXECUTIVE,556500.0,553000.0,560000.0,554750.0,558250.0,3734.8993288590605,3711.4093959731545,3758.3892617449665,3723.1543624161077,3746.6442953020132
ANG MO KIO,2001-02,EXECUTIVE,540000.0,495000.0,565000.0,515000.0,556000.0,3624.1610738255035,2780.8988764044943,3843.5374149659865,3503.401360544218,3782.312925170068
ANG MO KIO,2001-03,EXECUTIVE,468000.0,408000.0,528000.0,438000.0,498000.0,2996.1013645224175,2518.5185185185187,3473.684210526316,2757.309941520468,3234.8927875243667
ANG MO KIO,2001-04,EXECUTIVE,537500.0,520000.0,555000.0,528750.0,546250.0,3656.4625850340135,3537.4149659863947,3775.5102040816328,3596.9387755102043,3715.986394557823
ANG MO KIO,2001-05,EXECUTIVE,533000.0,533000.0,533000.0,533000.0,533000.0,3483.6601307189544,3483.6601307189544,3483.6601307189544,3483.6601307189544,3483.6601307189544
ANG MO KIO,2001-06,EXECUTIVE,492000.0,492000.0,492000.0,492000.0,492000.0,3346.938775510204,3346.938775510204,3346.938775510204,3346.938775510204,3346.938775510204
ANG MO KIO,2001-07,EXECUTIVE,555000.0,555000.0,555000.0,555000.0,555000.0,3651.315789473684,3651.315789473684,3651.315789473684,3651.315789473684,3651.315789473684
ANG MO KIO,2001-08,EXECUTIVE,543000.0,543000.0,543000.0,543000.0,543000.0,3480.769230769231,3480.769230769231,3480.769230769231,3480.769230769231,3480.769230769231
ANG MO KIO,2001-10,EXECUTIVE,527000.0,527000.0,527000.0,527000.0,527000.0,3711.2676056338028,3711.2676056338028,3711.2676056338028,3711.2676056338028,3711.2676056338028
ANG MO KIO,2001-11,EXECUTIVE,531500.0,523000.0,543000.0,528250.0,535500.0,3569.452105166391,3416.6666666666665,3693.877551020408,3522.534013605442,3609.280198565913
ANG MO KIO,2001-12,EXECUTIVE,500000.0,415000.0,540000.0,486000.0,532000.0,3472.222222222222,2561.7283950617284,3673.469387755102,3261.7449664429532,3570.469798657718
ANG MO KIO,2002-01,EXECUTIVE,500000.0,500000.0,500000.0,500000.0,500000.0,3521.1267605633802,3521.1267605633802,3521.1267605633802,3521.1267605633802,3521.1267605633802
ANG MO KIO,2002-02,EXECUTIVE,513000.0,513000.0,513000.0,513000.0,513000.0,3489.795918367347,3489.795918367347,3489.795918367347,3489.795918367347,3489.795918367347
ANG MO KIO,2002-03,EXECUTIVE,529750.0,514500.0,545000.0,522125.0,537375.0,3507.555818748081,3453.020134228188,3562.091503267974,3480.2879764881345,3534.8236610080276
ANG MO KIO,2002-04,EXECUTIVE,447500.0,380000.0,523000.0,383750.0,513250.0,2857.2636463740755,2331.288343558282,3422.818791946309,2354.294478527607,3370.1277749096544
ANG MO KIO,2002-05,EXECUTIVE,508000.0,508000.0,508000.0,508000.0,508000.0,3409.3959731543623,3409.3959731543623,3409.3959731543623,3409.3959731543623,3409.3959731543623
ANG MO KIO,2002-06,EXECUTIVE,406500.0,390000.0,423000.0,398250.0,414750.0,2485.9531647463714,2392.6380368098157,2579.268292682927,2439.2956007780936,2532.610728714649
ANG MO KIO,2002-07,EXECUTIVE,512000.0,379000.0,538000.0,411188.0,520000.0,3436.241610738255,2325.153374233129,3537.4149659863947,2349.6457142857143,3448.7179487179487
ANG MO KIO,2002-08,EXECUTIVE,505000.0,490000.0,520000.0,497500.0,512500.0,3423.4234234234236,3333.3333333333335,3513.5135135135133,3378.3783783783783,3468.4684684684685
ANG MO KIO,2002-09,EXECUTIVE,393000.0,380000.0,490000.0,386500.0,441500.0,2411.042944785276,2331.288343558282,3288.5906040268455,2371.165644171779,2849.816774406061
ANG MO KIO,2002-11,EXECUTIVE,527500.0,525000.0,530000.0,526250.0,528750.0,3517.7404295051356,3464.052287581699,3571.4285714285716,3490.896358543417,3544.5845004668536
ANG MO KIO,2002-12,EXECUTIVE,390000.0,390000.0,390000.0,390000.0,390000.0,2392.6380368098157,2392.6380368098157,2392.6380368098157,2392.6380368098157,2392.6380368098157
ANG MO KIO,2003-01,EXECUTIVE,435000.0,390000.0,480000.0,412500.0,457500.0,2807.057273438465,2392.6380368098157,3221.4765100671143,2599.84765512414,3014.26689175279
ANG MO KIO,2003-02,EXECUTIVE,370000.0,370000.0,370000.0,370000.0,370000.0,2269.9386503067485,2269.9386503067485,2269.9386503067485,2269.9386503067485,2269.9386503067485
ANG MO KIO,2003-03,EXECUTIVE,366000.0,366000.0,366000.0,366000.0,366000.0,2259.259259259259,2259.259259259259,2259.259259259259,2259.259259259259,2259.259259259259
ANG MO KIO,2003-04,EXECUTIVE,476500.0,383000.0,560000.0,410000.0,499500.0,3073.557870465681,2423.312883435583,3589.74358974359,2625.705109729485,3379.7425010272564
ANG MO KIO,2003-05,EXECUTIVE,520000.0,520000.0,520000.0,520000.0,520000.0,3489.93288590604,3489.93288590604,3489.93288590604,3489.93288590604,3489.93288590604
ANG MO KIO,2003-06,EXECUTIVE,369000.0,365000.0,373000.0,367000.0,371000.0,2263.803680981595,2239.2638036809817,2288.3435582822085,2251.5337423312885,2276.0736196319017
ANG MO KIO,2003-08,EXECUTIVE,475000.0,475000.0,475000.0,475000.0,475000.0,3044.871794871795,3044.871794871795,3044.871794871795,3044.871794871795,3044.871794871795
ANG MO KIO,2003-09,EXECUTIVE,500000.0,500000.0,500000.0,500000.0,500000.0,3401.360544217687,3401.360544217687,3401.360544217687,3401.360544217687,3401.360544217687
