town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,high,58000.0,8000.0,200000.0,43500.0,96500.0,742.2680412371134,258.06451612903226,1481.4814814814815,616.4383561643835,948.9795918367347
ANG MO KIO,1990-02,high,50500.0,35000.0,146000.0,47000.0,85500.0,702.9850746268658,522.3880597014926,1226.890756302521,654.1226792864943,826.3660302830809
ANG MO KIO,1990-03,high,47200.0,35000.0,155000.0,47000.0,70500.0,701.4925373134329,471.91011235955057,1313.5593220338983,637.1621621621621,794.8991307200263
ANG MO KIO,1990-04,high,47200.0,36000.0,175000.0,46725.0,69500.0,697.0588235294117,537.3134328358209,1470.5882352941176,634.3783783783783,818.7123000262261
ANG MO KIO,1990-05,high,47000.0,7800.0,160000.0,45000.0,64750.0,669.2225684762998,251.61290322580646,1333.3333333333333,612.331081081081,788.2447665056361
ANG MO KIO,1990-06,high,47000.0,39000.0,130000.0,46000.0,60000.0,671.6417910447761,547.945205479452,1092.436974789916,626.6666666666666,760.8695652173913
ANG MO KIO,1990-07,high,56900.0,33600.0,184000.0,47000.0,90000.0,704.4776119402985,460.2739726027397,1458.3333333333333,691.1764705882352,886.1788617886178
ANG MO KIO,1990-08,high,47200.0,9500.0,158000.0,44750.0,70125.0,679.1044776119403,306.4516129032258,1316.6666666666667,635.5642403517343,740.3565747613998
ANG MO KIO,1990-09,high,52500.0,9500.0,172000.0,47000.0,85750.0,701.4925373134329,306.4516129032258,1457.6271186440679,633.018018018018,906.5860215053764
ANG MO KIO,1990-10,high,48250.0,5800.0,165000.0,47000.0,85000.0,692.6829268292684,187.09677419354838,1386.5546218487395,643.8356164383562,874.991304347826
ANG MO KIO,1990-11,high,60500.0,34000.0,167000.0,47000.0,77500.0,742.6995457495134,500.0,1415.2542372881355,691.1764705882352,816.7075736325386
ANG MO KIO,1990-12,high,47100.0,35000.0,147000.0,47000.0,71700.0,695.1219512195122,522.3880597014926,1245.7627118644068,686.5671641791045,778.5326086956521
ANG MO KIO,1991-01,high,51500.0,34000.0,205000.0,47000.0,72000.0,698.6301369863014,500.0,1518.5185185185185,641.7910447761194,782.6086956521739
ANG MO KIO,1991-02,high,47000.0,33700.0,120000.0,45500.0,53375.0,691.1764705882352,495.5882352941176,1141.304347826087,648.3178887993554,703.150912106136
ANG MO KIO,1991-03,high,47000.0,34000.0,120000.0,47000.0,72000.0,691.7808219178082,500.0,1173.9130434782608,643.8356164383562,762.7118644067797
