town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,low,47000.0,6000.0,125000.0,39500.0,56225.0,668.9091308165057,193.5483870967742,1033.0578512396694,559.4820017559263,726.890756302521
ANG MO KIO,1990-02,low,47200.0,8000.0,145000.0,43500.0,63125.0,694.6197991391679,258.06451612903226,1141.732283464567,609.4117647058823,704.4776119402985
ANG MO KIO,1990-03,low,50000.0,7000.0,140000.0,44000.0,62000.0,693.3333333333334,225.80645161290323,1176.4705882352941,617.9775280898876,764.7058823529412
ANG MO KIO,1990-04,low,47000.0,22000.0,135000.0,45000.0,72000.0,694.1176470588235,472.97297297297297,1115.702479338843,597.0149253731344,780.4878048780488
ANG MO KIO,1990-05,low,47200.0,35000.0,80000.0,46000.0,63000.0,693.9024390243902,522.3880597014926,869.5652173913044,635.1351351351351,715.9090909090909
ANG MO KIO,1990-06,low,47000.0,33600.0,87000.0,46000.0,54750.0,664.179104477612,493.3333333333333,945.6521739130435,613.0972268626796,701.4925373134329
ANG MO KIO,1990-07,low,47000.0,7000.0,133500.0,43000.0,62000.0,691.1764705882352,225.80645161290323,1085.3658536585365,626.8656716417911,721.4285714285714
ANG MO KIO,1990-08,low,47000.0,35000.0,140000.0,39625.0,60750.0,652.1340977862717,514.7058823529412,1138.2113821138212,564.5577260755048,721.4849354375897
ANG MO KIO,1990-09,low,47000.0,22500.0,152000.0,47000.0,60000.0,691.4634146341464,500.0,1277.310924369748,649.2212848799481,704.28162219207
ANG MO KIO,1990-10,low,47000.0,39000.0,96000.0,47000.0,50000.0,689.5522388059702,548.780487804878,1054.9450549450548,643.8356164383562,705.8823529411765
ANG MO KIO,1990-11,low,47000.0,23000.0,138000.0,45820.0,70000.0,701.4925373134329,511.1111111111111,1121.9512195121952,629.6846846846847,769.8578595317726
ANG MO KIO,1990-12,low,47000.0,34000.0,142000.0,42000.0,57000.0,691.1764705882352,506.8493150684931,1173.5537190082644,617.6470588235294,731.7073170731708
ANG MO KIO,1991-01,low,47000.0,35000.0,94500.0,47000.0,67375.0,701.4925373134329,479.45205479452056,1000.0,666.044776119403,756.2774926686217
ANG MO KIO,1991-02,low,47000.0,34000.0,162000.0,47000.0,51250.0,698.3072442664725,493.1506849315069,1361.3445378151262,643.8356164383562,705.548128342246
ANG MO KIO,1991-03,low,47000.0,7000.0,100000.0,46000.0,70560.0,701.4925373134329,225.80645161290323,1021.978021978022,676.4705882352941,782.6086956521739
ANG MO KIO,1991-04,low,47000.0,34000.0,150000.0,45000.0,56525.0,676.5255292652553,453.3333333333333,1260.5042016806722,627.3033707865168,701.4925373134329
ANG MO KIO,1991-05,low,49100.0,34000.0,152000.0,47000.0,58125.0,695.1219512195122,459.4594594594595,1266.6666666666667,655.8342572062083,733.6658544014621
