town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,mid,47000.0,6000.0,148000.0,42000.0,63750.0,676.4705882352941,193.5483870967742,1223.1404958677685,597.0149253731344,750.0
ANG MO KIO,1990-02,mid,52000.0,36000.0,140000.0,47000.0,79970.0,731.3432835820895,537.3134328358209,1176.4705882352941,696.4779759737896,837.9482115426816
ANG MO KIO,1990-03,mid,47200.0,34000.0,96000.0,43250.0,70750.0,670.7317073170732,465.75342465753425,1043.4782608695652,628.0,735.903639806438
ANG MO KIO,1990-04,mid,47200.0,34000.0,153000.0,47000.0,72000.0,701.4925373134329,507.46268656716416,1285.7142857142858,675.2633889376647,780.8170090778787
ANG MO KIO,1990-05,mid,47000.0,23000.0,140000.0,45700.0,69625.0,701.4925373134329,511.1111111111111,1138.2113821138212,656.383841661259,757.2905620360551
ANG MO KIO,1990-06,mid,47200.0,7000.0,175000.0,45000.0,72000.0,695.1219512195122,225.80645161290323,1483.050847457627,654.1811490492742,802.3618172871904
ANG MO KIO,1990-07,mid,47350.0,8000.0,145000.0,45500.0,71600.0,698.3072442664725,258.06451612903226,1208.3333333333333,628.0882352941176,770.3804347826087
ANG MO KIO,1990-08,mid,47000.0,8500.0,95000.0,43000.0,57000.0,691.1764705882352,274.19354838709677,1043.956043956044,608.1081081081081,701.4925373134329
ANG MO KIO,1990-09,mid,47200.0,9500.0,109000.0,40000.0,70475.0,687.0516499282639,306.4516129032258,1010.989010989011,588.2352941176471,737.1552604698672
ANG MO KIO,1990-10,mid,47000.0,7500.0,131000.0,46000.0,50500.0,691.1764705882352,241.93548387096774,1091.6666666666667,613.3333333333334,701.4925373134329
ANG MO KIO,1990-11,mid,47200.0,24000.0,130000.0,46750.0,60375.0,701.4925373134329,500.0,1092.436974789916,649.3868450390189,757.6219512195122
ANG MO KIO,1990-12,mid,47000.0,7000.0,94700.0,46000.0,56250.0,692.6470588235294,225.80645161290323,1040.6593406593406,628.9430894308944,707.8544776119403
ANG MO KIO,1991-01,mid,47000.0,7840.0,141000.0,45250.0,61500.0,691.1764705882352,252.90322580645162,1146.341463414634,611.4266622118275,726.8572866007044
ANG MO KIO,1991-02,mid,47000.0,30000.0,180000.0,46000.0,52000.0,691.1764705882352,500.0,1512.6050420168067,643.8356164383562,701.4925373134329
ANG MO KIO,1991-03,mid,47200.0,9600.0,218500.0,46500.0,58000.0,695.1219512195122,309.6774193548387,1618.5185185185185,645.447219983884,709.3816631130064
ANG MO KIO,1991-04,mid,47000.0,33600.0,101000.0,46000.0,57000.0,691.1764705882352,501.4925373134328,1086.021505376344,640.4494382022472,731.3432835820895
ANG MO KIO,1991-05,mid,48500.0,35000.0,153000.0,46500.0,56250.0,701.4925373134329,522.3880597014926,1288.135593220339,635.1351351351351,766.1437709412123
ANG MO KIO,1991-06,mid,47000.0,37000.0,105000.0,46000.0,57150.0,691.1764705882352,540.5405405405405,1153.8461538461538,659.3670076726343,718.5851564097322
ANG MO KIO,1991-07,mid,47000.0,37000.0,119000.0,44000.0,55250.0,691.1764705882352,506.6666666666667,1214.2857142857142,642.1425273203017,706.8068747173224
ANG MO KIO,1991-08,mid,47100.0,35000.0,140500.0,46500.0,56225.0,691.1764705882352,506.6666666666667,1180.672268907563,614.5026801667659,809.7014925373135
ANG MO KIO,1991-09,mid,47000.0,24000.0,159000.0,42500.0,57000.0,691.1764705882352,486.4864864864865,1314.0495867768595,628.685839097197,744.3605834464043
ANG MO KIO,1991-10,mid,47000.0,34000.0,175000.0,47000.0,70600.0,701.4925373134329,506.8493150684931,1495.7264957264956,652.8001611603545,773.2620640229336
ANG MO KIO,1991-11,mid,47000.0,34000.0,80000.0,44000.0,55500.0,691.1764705882352,479.45205479452056,879.1208791208791,592.6251097453908,701.4925373134329
ANG MO KIO,1991-12,mid,47000.0,34000.0,170000.0,44750.0,66250.0,694.8529411764705,479.45205479452056,1259.2592592592594,640.1270673658734,783.7779690189328
ANG MO KIO,1992-01,mid,47000.0,7800.0,92000.0,43000.0,58000.0,671.6417910447761,251.61290322580646,1000.0,611.9402985074627,716.4179104477612
ANG MO KIO,1992-02,mid,50000.0,37000.0,183000.0,47000.0,63000.0,701.4925373134329,552.2388059701492,1550.8474576271187,660.2941176470588,753.2405361614376
ANG MO KIO,1992-03,mid,53000.0,23500.0,157000.0,42500.0,68000.0,726.027397260274,522.2222222222222,1297.5206611570247,644.9420231907237,810.0477200424178
ANG MO KIO,1992-04,mid,47000.0,8000.0,166000.0,46000.0,71900.0,691.1764705882352,258.06451612903226,1406.7796610169491,643.8356164383562,751.4932802389249
ANG MO KIO,1992-05,mid,54000.0,30000.0,194000.0,46500.0,83500.0,691.1764705882352,507.46268656716416,1630.2521008403362,668.69918699187,927.263251935676
ANG MO KIO,1992-06,mid,51000.0,34000.0,120000.0,47000.0,61125.0,701.4925373134329,507.46268656716416,1224.4897959183672,651.3210972166196,769.1815856777494
ANG MO KIO,1992-07,mid,50000.0,39000.0,188000.0,47000.0,70250.0,700.7173601147776,582.0895522388059,1579.8319327731092,639.5931302392149,867.3298992414808
ANG MO KIO,1992-08,mid,50000.0,29000.0,163000.0,47000.0,71000.0,691.1764705882352,558.8235294117648,1354.8387096774193,641.7910447761194,780.2197802197802
ANG MO KIO,1992-09,mid,64500.0,8000.0,223000.0,47000.0,80000.0,748.4472049689441,258.06451612903226,1873.9495798319329,691.1764705882352,983.5164835164835
ANG MO KIO,1992-10,mid,60000.0,35000.0,200000.0,47000.0,106000.0,742.7368421052631,514.7058823529412,1680.672268907563,647.7272727272727,1153.061224489796
