town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,very low,47200.0,37000.0,79900.0,44000.0,56250.0,670.5882352941177,536.5853658536586,868.4782608695652,595.1267757597554,702.9850746268658
ANG MO KIO,1990-02,very low,47200.0,8000.0,141500.0,47000.0,74750.0,701.4925373134329,258.06451612903226,1150.4065040650407,596.5446738908199,821.195652173913
ANG MO KIO,1990-03,very low,47200.0,5600.0,130000.0,47000.0,61750.0,698.3072442664725,180.6451612903226,1023.6220472440945,691.1764705882352,771.0090361445783
ANG MO KIO,1990-04,very low,47200.0,34000.0,150000.0,45000.0,85075.0,659.1085667552647,465.75342465753425,1260.5042016806722,617.344883158743,879.3956043956043
ANG MO KIO,1990-05,very low,47200.0,31200.0,113000.0,47000.0,72000.0,701.4925373134329,507.3529411764706,1228.2608695652175,643.8356164383562,792.6829268292682
ANG MO KIO,1990-06,very low,55000.0,47000.0,96000.0,47100.0,63500.0,691.1764705882352,625.0,979.5918367346939,637.1969696969697,728.5828919916546
ANG MO KIO,1990-07,very low,49750.0,9000.0,135000.0,46875.0,72750.0,706.7164179104477,290.3225806451613,1134.453781512605,691.1764705882352,798.5516787360106
ANG MO KIO,1990-08,very low,47000.0,33600.0,110000.0,40000.0,47100.0,686.5671641791045,465.75342465753425,924.3697478991596,597.0149253731344,702.9850746268658
ANG MO KIO,1990-09,very low,50000.0,34000.0,158000.0,40000.0,71750.0,701.4925373134329,453.3333333333333,1305.7851239669421,585.1624231782265,784.10176779742
ANG MO KIO,1990-10,very low,57900.0,39000.0,180000.0,47000.0,79750.0,698.3072442664725,573.5294117647059,1512.6050420168067,685.6617647058824,833.0062794348509
ANG MO KIO,1990-11,very low,49000.0,35000.0,152000.0,47000.0,70500.0,701.4925373134329,522.3880597014926,1256.198347107438,661.7647058823529,752.6881720430108
ANG MO KIO,1990-12,very low,47000.0,6000.0,110000.0,45000.0,55000.0,691.1764705882352,193.5483870967742,1000.0,611.9402985074627,704.4776119402985
ANG MO KIO,1991-01,very low,53000.0,6000.0,147000.0,47000.0,70500.0,701.4925373134329,193.5483870967742,1157.4803149606298,661.7647058823529,804.8780487804878
ANG MO KIO,1991-02,very low,47100.0,7000.0,128000.0,44250.0,63000.0,698.3072442664725,225.80645161290323,1084.7457627118645,637.3744619799139,728.1010230179028
ANG MO KIO,1991-03,very low,47000.0,35000.0,130000.0,41000.0,56000.0,637.8378378378378,514.7058823529412,1056.9105691056911,597.4884335756774,705.223880597015
ANG MO KIO,1991-04,very low,47000.0,33800.0,115000.0,47000.0,56925.0,698.3072442664725,463.013698630137,966.3865546218487,645.9201905896367,709.1966637401229
ANG MO KIO,1991-05,very low,47000.0,34000.0,109000.0,47000.0,47200.0,691.1764705882352,507.46268656716416,923.728813559322,659.7058823529412,701.4925373134329
ANG MO KIO,1991-06,very low,48600.0,36000.0,130000.0,47000.0,66750.0,698.3072442664725,529.4117647058823,992.3664122137404,680.1470588235294,738.272921108742
ANG MO KIO,1991-07,very low,47000.0,35000.0,163500.0,46875.0,70000.0,691.3199426111908,505.6179775280899,1385.593220338983,664.6902473931711,769.0217391304348
ANG MO KIO,1991-08,very low,47000.0,5700.0,72000.0,41500.0,50000.0,661.7647058823529,183.8709677419355,808.8235294117648,591.2190963341859,711.0403863037752
ANG MO KIO,1991-09,very low,47000.0,35000.0,92000.0,43500.0,64500.0,691.1764705882352,466.6666666666667,1000.0,626.8656716417911,766.304347826087
ANG MO KIO,1991-10,very low,47000.0,34000.0,95000.0,40000.0,53875.0,691.1764705882352,500.0,811.965811965812,560.899344848124,705.223880597015
ANG MO KIO,1991-11,very low,47000.0,6700.0,144000.0,45500.0,52000.0,691.1764705882352,216.1290322580645,1190.0826446280992,632.6360607182526,709.3816631130064
ANG MO KIO,1991-12,very low,46000.0,8000.0,80000.0,38250.0,48125.0,626.7661691542289,258.06451612903226,879.1208791208791,568.7554872695347,698.9135206321334
ANG MO KIO,1992-01,very low,47000.0,34000.0,77000.0,37500.0,47000.0,635.1351351351351,472.97297297297297,836.9565217391304,522.3051409618574,691.1764705882352
ANG MO KIO,1992-02,very low,45000.0,8000.0,193000.0,35250.0,47000.0,642.9649505282575,258.06451612903226,1621.8487394957983,551.882133450395,699.8998907899527
ANG MO KIO,1992-03,very low,46000.0,38000.0,79000.0,40000.0,47750.0,652.2218453188602,533.3333333333334,963.4146341463414,575.4173290937997,691.1764705882352
ANG MO KIO,1992-04,very low,47000.0,36000.0,158000.0,40000.0,47000.0,686.5671641791045,537.3134328358209,1338.9830508474577,616.4383561643835,701.4925373134329
ANG MO KIO,1992-05,very low,50000.0,34000.0,150000.0,45000.0,61000.0,712.1459694989107,500.0,1219.5121951219512,620.6279809220986,774.4539411206079
ANG MO KIO,1992-06,very low,47000.0,34000.0,120000.0,46500.0,70750.0,701.4925373134329,466.6666666666667,1021.978021978022,633.018018018018,826.9507803121248
ANG MO KIO,1992-07,very low,47000.0,40000.0,150000.0,47000.0,70140.0,701.4925373134329,597.0149253731344,1219.5121951219512,691.1764705882352,765.8576533650983
ANG MO KIO,1992-08,very low,47000.0,9000.0,116000.0,47000.0,66000.0,701.4925373134329,290.3225806451613,1247.3118279569892,671.6417910447761,883.3333333333334
ANG MO KIO,1992-09,very low,47750.0,10000.0,125000.0,46500.0,64900.0,700.0109745390694,322.5806451612903,1050.420168067227,683.8235294117646,809.0370067470865
ANG MO KIO,1992-10,very low,55500.0,40000.0,132000.0,47000.0,74250.0,795.5223880597015,588.2352941176471,1434.7826086956522,679.3412570507655,928.622668579627
ANG MO KIO,1992-11,very low,47000.0,24000.0,119000.0,41000.0,52500.0,691.1764705882352,453.3333333333333,1307.6923076923076,586.1786955632795,701.4925373134329
ANG MO KIO,1992-12,very low,60000.0,31000.0,167000.0,45000.0,85000.0,760.3305785123966,465.75342465753425,1415.2542372881355,661.7647058823529,895.5223880597015
ANG MO KIO,1993-01,very low,47000.0,34000.0,85000.0,42250.0,48500.0,662.1621621621621,465.75342465753425,1102.9411764705883,611.2510072522159,691.1764705882352
ANG MO KIO,1993-02,very low,56000.0,34000.0,170000.0,47000.0,72000.0,756.0975609756098,507.46268656716416,1382.1138211382113,643.8356164383562,1000.0
ANG MO KIO,1993-03,very low,42500.0,34000.0,77500.0,36500.0,47000.0,605.499897771417,465.75342465753425,1156.7164179104477,538.8498683055311,687.0783070946637
ANG MO KIO,1993-04,very low,67000.0,35000.0,147000.0,47000.0,87000.0,940.2985074626865,466.6666666666667,1224.4897959183672,691.1764705882352,1044.1176470588234
ANG MO KIO,1993-05,very low,74750.0,42000.0,210000.0,56750.0,111250.0,934.7826086956522,626.8656716417911,1764.7058823529412,783.4812424364663,1212.6731963688485
ANG MO KIO,1993-06,very low,66000.0,50000.0,220000.0,59000.0,123000.0,985.0746268656717,746.2686567164179,2010.204081632653,820.8955223880597,1322.5806451612902
ANG MO KIO,1993-07,very low,75000.0,50000.0,200000.0,68500.0,85000.0,1119.402985074627,746.2686567164179,1752.5773195876288,1014.7058823529412,1210.2941176470588
ANG MO KIO,1993-08,very low,86000.0,49000.0,226000.0,70500.0,121750.0,1178.0821917808219,821.917808219178,2032.967032967033,1062.774363476734,1372.4209833187006
ANG MO KIO,1993-09,very low,81500.0,22000.0,310000.0,75000.0,98500.0,1206.77102293411,709.6774193548387,2561.9834710743803,1027.027027027027,1388.0597014925374
ANG MO KIO,1993-10,very low,90000.0,33500.0,240000.0,85000.0,115000.0,1298.5074626865671,507.46268656716416,1951.219512195122,1216.2162162162163,1428.5714285714287
ANG MO KIO,1993-11,very low,95000.0,69000.0,280000.0,82750.0,116250.0,1327.448125227521,945.9459459459459,2204.7244094488187,1173.4488315874296,1476.0755048287972
ANG MO KIO,1993-12,very low,95000.0,80000.0,275000.0,87000.0,155000.0,1378.3783783783783,1148.6486486486488,2235.7723577235774,1268.6567164179105,1649.4845360824743
ANG MO KIO,1994-01,very low,90000.0,28000.0,275000.0,83000.0,103000.0,1313.4328358208954,903.2258064516129,2272.7272727272725,1216.2162162162163,1537.313432835821
ANG MO KIO,1994-02,very low,91000.0,76000.0,260000.0,85000.0,142500.0,1301.3698630136987,1134.3283582089553,2113.8211382113823,1210.2941176470588,1636.5089514066497
ANG MO KIO,1994-03,very low,95000.0,45000.0,281000.0,85000.0,114000.0,1343.2835820895523,1000.0,2401.709401709402,1266.681299385426,1462.686567164179
ANG MO KIO,1994-04,very low,92000.0,50000.0,286000.0,86000.0,134000.0,1343.2835820895523,1111.111111111111,2363.6363636363635,1260.2739726027398,1634.1463414634147
ANG MO KIO,1994-05,very low,136000.0,83000.0,360000.0,98425.0,187500.0,1586.4748422834282,1220.5882352941176,3050.8474576271187,1417.5373134328358,1958.2509881422925
ANG MO KIO,1994-06,very low,104250.0,30500.0,293000.0,91250.0,178750.0,1529.8507462686566,983.8709677419355,2382.1138211382113,1313.4328358208954,1893.6634018155758
ANG MO KIO,1994-07,very low,92500.0,25000.0,283000.0,90000.0,140500.0,1340.7594381035997,806.4516129032259,2378.1512605042017,1307.3195187165775,1755.238956731494
ANG MO KIO,1994-08,very low,132500.0,85000.0,300000.0,96250.0,183500.0,1716.794813809739,1164.3835616438357,2521.0084033613443,1372.9133545310015,2008.6663456909005
