town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
ANG MO KIO,1990-01,high,1 ROOM,8500.0,8000.0,9000.0,8250.0,8750.0,274.19354838709677,258.06451612903226,290.3225806451613,266.1290322580645,282.258064516129
ANG MO KIO,1990-01,high,3 ROOM,44000.0,34000.0,58000.0,38000.0,47100.0,617.6470588235294,465.75342465753425,783.5820895522388,564.404007360458,701.4925373134329
ANG MO KIO,1990-01,high,4 ROOM,84250.0,70000.0,96500.0,76250.0,89250.0,907.5532386867791,742.2680412371134,1060.4395604395604,826.4668069191212,942.9347826086956
ANG MO KIO,1990-01,high,5 ROOM,137250.0,105000.0,200000.0,122500.0,159750.0,1139.1184573002756,867.7685950413223,1481.4814814814815,1031.7262498219627,1350.982765987751
ANG MO KIO,1990-01,low,1 ROOM,6000.0,6000.0,6000.0,6000.0,6000.0,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742
ANG MO KIO,1990-01,low,3 ROOM,45300.0,34500.0,56900.0,37750.0,47200.0,635.1351351351351,493.1506849315069,772.0588235294117,556.8507890961263,688.8629842180775
ANG MO KIO,1990-01,low,4 ROOM,76250.0,65000.0,90000.0,72125.0,83750.0,853.2054125998226,714.2857142857143,987.6543209876543,783.9673913043478,930.1412872841444
ANG MO KIO,1990-01,low,5 ROOM,117500.0,110000.0,125000.0,113750.0,121250.0,974.8622589531681,916.6666666666666,1033.0578512396694,945.7644628099173,1003.9600550964187
ANG MO KIO,1990-01,mid,1 ROOM,6000.0,6000.0,6000.0,6000.0,6000.0,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742
ANG MO KIO,1990-01,mid,3 ROOM,45500.0,35000.0,63000.0,40250.0,47000.0,633.2496413199426,522.3880597014926,772.0588235294117,574.0217829770069,701.4925373134329
ANG MO KIO,1990-01,mid,4 ROOM,70000.0,64500.0,79000.0,66500.0,71950.0,768.1105302464525,716.6666666666666,815.2173913043479,744.5652173913044,780.6508643268727
ANG MO KIO,1990-01,mid,5 ROOM,133000.0,118000.0,148000.0,125500.0,140500.0,1115.8437522073887,1008.5470085470085,1223.1404958677685,1062.1953803771985,1169.4921240375786
ANG MO KIO,1990-01,very low,3 ROOM,45800.0,37000.0,52500.0,42500.0,47200.0,658.8235294117646,536.5853658536586,783.5820895522388,572.1925133689839,695.9613696224759
ANG MO KIO,1990-01,very low,4 ROOM,65000.0,60000.0,79900.0,62000.0,69250.0,677.4193548387096,656.5656565656566,868.4782608695652,661.1920688007644,726.1263736263736
ANG MO KIO,1990-02,high,3 ROOM,47000.0,35000.0,63000.0,46500.0,47200.0,671.6417910447761,522.3880597014926,768.2926829268292,643.8356164383562,701.4925373134329
ANG MO KIO,1990-02,high,4 ROOM,81500.0,68000.0,92000.0,71750.0,90500.0,859.5829636202307,701.0309278350516,1010.989010989011,777.8167367928938,923.469387755102
ANG MO KIO,1990-02,high,5 ROOM,110000.0,93000.0,146000.0,110000.0,130000.0,924.3697478991596,768.595041322314,1226.890756302521,887.0967741935484,1092.436974789916
ANG MO KIO,1990-02,low,1 ROOM,8000.0,8000.0,8000.0,8000.0,8000.0,258.06451612903226,258.06451612903226,258.06451612903226,258.06451612903226,258.06451612903226
ANG MO KIO,1990-02,low,3 ROOM,47000.0,34000.0,57000.0,40825.0,48025.0,681.7113064812922,459.4594594594595,704.4776119402985,582.3609226594301,701.4925373134329
ANG MO KIO,1990-02,low,4 ROOM,70000.0,60500.0,90000.0,64000.0,78000.0,707.070707070707,657.6086956521739,978.2608695652174,703.2967032967033,780.0
ANG MO KIO,1990-02,low,5 ROOM,119500.0,108900.0,145000.0,108975.0,133750.0,999.0544894242892,900.0,1141.732283464567,917.7966101694915,1091.218194833084
ANG MO KIO,1990-02,mid,3 ROOM,47100.0,36000.0,56700.0,47000.0,52000.0,701.4925373134329,537.3134328358209,764.7058823529412,679.3412570507655,711.1940298507462
