month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease
1990-01,BEDOK,2 ROOM,620,BEDOK RESERVOIR RD,07 TO 09,45.0,IMPROVED,1986,23000.0,
1990-01,BEDOK,2 ROOM,534,BEDOK NTH ST 3,13 TO 15,45.0,IMPROVED,1986,26000.0,
1990-01,BEDOK,3 ROOM,18,BEDOK STH RD,04 TO 06,65.0,IMPROVED,1976,28500.0,
1990-01,BEDOK,3 ROOM,28,NEW UPP CHANGI RD,07 TO 09,65.0,IMPROVED,1977,35000.0,
1990-01,BEDOK,3 ROOM,28,NEW UPP CHANGI RD,07 TO 09,65.0,IMPROVED,1977,30000.0,
1990-01,BEDOK,3 ROOM,29,NEW UPP CHANGI RD,01 TO 03,65.0,IMPROVED,1977,35100.0,
1990-01,BEDOK,3 ROOM,29,NEW UPP CHANGI RD,07 TO 09,65.0,IMPROVED,1977,33000.0,
1990-01,BEDOK,3 ROOM,30,NEW UPP CHANGI RD,07 TO 09,65.0,IMPROVED,1977,25100.0,
1990-01,BEDOK,3 ROOM,30,NEW UPP CHANGI RD,07 TO 09,65.0,IMPROVED,1977,35000.0,
1990-01,BEDOK,3 ROOM,75,BEDOK NTH RD,07 TO 09,59.0,IMPROVED,1978,25100.0,
1990-01,BEDOK,3 ROOM,75,BEDOK NTH RD,13 TO 15,59.0,IMPROVED,1978,34800.0,
1990-01,BEDOK,3 ROOM,76,BEDOK NTH RD,13 TO 15,59.0,IMPROVED,1978,35000.0,
1990-01,BEDOK,3 ROOM,76,BEDOK NTH RD,01 TO 03,59.0,IMPROVED,1978,35000.0,
1990-01,BEDOK,3 ROOM,501,BEDOK NTH ST 3,01 TO 03,70.0,IMPROVED,1978,36400.0,
1990-01,BEDOK,3 ROOM,501,BEDOK NTH ST 3,01 TO 03,59.0,IMPROVED,1978,35300.0,
1990-01,BEDOK,3 ROOM,501,BEDOK NTH ST 3,01 TO 03,59.0,IMPROVED,1978,37000.0,
1990-01,BEDOK,3 ROOM,502,BEDOK NTH ST 3,07 TO 09,59.0,IMPROVED,1978,32000.0,
1990-01,BEDOK,3 ROOM,503,BEDOK NTH ST 3,01 TO 03,59.0,IMPROVED,1978,33000.0,
1990-01,BEDOK,3 ROOM,504,BEDOK NTH ST 3,13 TO 15,70.0,IMPROVED,1978,35500.0,
1990-01,BEDOK,3 ROOM,504,BEDOK NTH ST 3,10 TO 12,59.0,IMPROVED,1978,30000.0,
1990-01,BEDOK,3 ROOM,2,BEDOK STH AVE 1,10 TO 12,65.0,IMPROVED,1976,35340.0,
1990-01,BEDOK,3 ROOM,20,CHAI CHEE RD,10 TO 12,65.0,IMPROVED,1972,26000.0,
1990-01,BEDOK,3 ROOM,21,CHAI CHEE RD,07 TO 09,75.0,IMPROVED,1972,33000.0,
1990-01,BEDOK,3 ROOM,21,CHAI CHEE RD,01 TO 03,65.0,IMPROVED,1972,35000.0,
1990-01,BEDOK,3 ROOM,21,CHAI CHEE RD,01 TO 03,65.0,IMPROVED,1972,25100.0,
1990-01,BEDOK,3 ROOM,59,CHAI CHEE RD,10 TO 12,75.0,MODEL A,1984,64300.0,
1990-01,BEDOK,3 ROOM,58,CHAI CHEE DR,01 TO 03,75.0,MODEL A,1983,60000.0,
1990-01,BEDOK,3 ROOM,55,CHAI CHEE DR,04 TO 06,76.0,MODEL A,1984,59000.0,
1990-01,BEDOK,3 ROOM,22,BEDOK STH AVE 1,10 TO 12,73.0,NEW GENERATION,1977,34900.0,
1990-01,BEDOK,3 ROOM,105,BEDOK NTH AVE 4,10 TO 12,67.0,NEW GENERATION,1977,47000.0,
1990-01,BEDOK,3 ROOM,104,BEDOK NTH AVE 4,13 TO 15,67.0,NEW GENERATION,1977,47000.0,
1990-01,BEDOK,3 ROOM,107,BEDOK NTH RD,04 TO 06,81.0,NEW GENERATION,1977,56700.0,
1990-01,BEDOK,3 ROOM,110,BEDOK NTH RD,04 TO 06,67.0,NEW GENERATION,1977,47200.0,
1990-01,BEDOK,3 ROOM,69,BEDOK STH AVE 3,04 TO 06,67.0,NEW GENERATION,1978,34000.0,
1990-01,BEDOK,3 ROOM,33,BEDOK STH AVE 2,04 TO 06,73.0,NEW GENERATION,1978,47200.0,
1990-01,BEDOK,3 ROOM,46,BEDOK STH AVE 3,07 TO 09,67.0,NEW GENERATION,1978,45000.0,
1990-01,BEDOK,3 ROOM,117,BEDOK NTH RD,07 TO 09,73.0,NEW GENERATION,1978,36700.0,
1990-01,BEDOK,3 ROOM,116,BEDOK NTH RD,04 TO 06,88.0,NEW GENERATION,1978,57000.0,
1990-01,BEDOK,3 ROOM,115,BEDOK NTH RD,10 TO 12,88.0,NEW GENERATION,1978,49800.0,
1990-01,BEDOK,3 ROOM,115,BEDOK NTH RD,07 TO 09,73.0,NEW GENERATION,1978,30000.0,
1990-01,BEDOK,3 ROOM,115,BEDOK NTH RD,04 TO 06,73.0,NEW GENERATION,1978,47000.0,
1990-01,BEDOK,3 ROOM,115,BEDOK NTH RD,10 TO 12,73.0,NEW GENERATION,1978,47200.0,
1990-01,BEDOK,3 ROOM,125,BEDOK NTH RD,10 TO 12,67.0,NEW GENERATION,1978,43000.0,
