town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BEDOK,1990-01,EXECUTIVE,197500.0,195000.0,200000.0,196250.0,198750.0,1344.9960635391099,1291.390728476821,1398.6013986013986,1318.1933960079655,1371.7987310702542
BEDOK,1990-02,EXECUTIVE,213500.0,212000.0,215000.0,212750.0,214250.0,1467.964467964468,1432.4324324324325,1503.4965034965035,1450.1984501984502,1485.7304857304857
BEDOK,1990-03,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1436.619718309859,1436.619718309859,1436.619718309859,1436.619718309859,1436.619718309859
BEDOK,1990-04,EXECUTIVE,202000.0,199000.0,205000.0,200500.0,203500.0,1351.507964918561,1317.8807947019868,1385.1351351351352,1334.6943798102739,1368.3215500268482
BEDOK,1990-05,EXECUTIVE,185000.0,179000.0,225000.0,179750.0,198750.0,1266.954521988079,1193.3333333333333,1461.0389610389611,1242.3892773892774,1321.6355791859148
BEDOK,1990-06,EXECUTIVE,189450.0,178900.0,200000.0,184175.0,194725.0,1263.0,1192.6666666666667,1333.3333333333333,1227.8333333333335,1298.1666666666665
BEDOK,1990-07,EXECUTIVE,200000.0,179000.0,221000.0,189500.0,210500.0,1336.5178091999283,1209.4594594594594,1463.5761589403974,1272.988634329694,1400.0469840701628
BEDOK,1990-08,EXECUTIVE,205000.0,180000.0,227000.0,200000.0,216000.0,1394.6649377112954,1232.876712328767,1513.3333333333333,1347.682119205298,1469.51336334898
BEDOK,1990-09,EXECUTIVE,190000.0,180000.0,215000.0,180000.0,203750.0,1283.7837837837837,1200.0,1503.4965034965035,1212.162162162162,1389.3876393876394
BEDOK,1990-10,EXECUTIVE,185000.0,185000.0,185000.0,185000.0,185000.0,1250.0,1250.0,1250.0,1250.0,1250.0
BEDOK,1990-11,EXECUTIVE,190000.0,178700.0,215000.0,179675.0,203750.0,1284.9315068493152,1191.3333333333333,1503.4965034965035,1197.8333333333333,1403.2713861480984
BEDOK,1990-12,EXECUTIVE,206750.0,203500.0,210000.0,205125.0,208375.0,1397.5114155251142,1356.6666666666667,1438.3561643835617,1377.0890410958905,1417.933789954338
BEDOK,1991-01,EXECUTIVE,209000.0,178780.0,220000.0,200695.0,212500.0,1433.1436699857754,1224.5205479452054,1464.7887323943662,1370.3193261754905,1451.7234988880653
BEDOK,1991-02,EXECUTIVE,179000.0,179000.0,220000.0,179000.0,199500.0,1193.3333333333333,1193.3333333333333,1410.2564102564102,1193.3333333333333,1301.7948717948716
BEDOK,1991-03,EXECUTIVE,189500.0,179000.0,213500.0,179000.0,203375.0,1281.5981735159817,1162.3376623376623,1423.3333333333333,1185.5844155844156,1383.2305936073058
BEDOK,1991-04,EXECUTIVE,196200.0,178900.0,211500.0,187550.0,203850.0,1325.6756756756756,1251.048951048951,1448.6301369863013,1288.3623133623132,1387.1529063309886
BEDOK,1991-05,EXECUTIVE,205000.0,205000.0,205000.0,205000.0,205000.0,1385.1351351351352,1385.1351351351352,1385.1351351351352,1385.1351351351352,1385.1351351351352
BEDOK,1991-06,EXECUTIVE,205000.0,137000.0,212850.0,184250.0,210712.5,1366.6666666666665,913.3333333333334,1409.6026490066224,1228.3333333333333,1402.4006622516556
BEDOK,1991-07,EXECUTIVE,223000.0,218000.0,228000.0,220500.0,225500.0,1517.3084042947057,1472.972972972973,1561.6438356164383,1495.1406886338393,1539.476119955572
BEDOK,1991-08,EXECUTIVE,200000.0,179000.0,246000.0,180000.0,210000.0,1333.3333333333333,1193.3333333333333,1684.9315068493152,1224.5464642724917,1443.134568134568
BEDOK,1991-09,EXECUTIVE,180000.0,150000.0,200000.0,180000.0,188000.0,1216.2162162162163,1048.951048951049,1351.3513513513512,1204.1345981743334,1287.3703477730323
BEDOK,1991-10,EXECUTIVE,214000.0,179000.0,240000.0,192500.0,222500.0,1428.6919831223627,1201.3422818791946,1589.4039735099338,1329.8368298368298,1500.0
BEDOK,1991-11,EXECUTIVE,215000.0,180000.0,230000.0,200000.0,215000.0,1396.1038961038962,1192.0529801324503,1554.054054054054,1351.3513513513512,1452.7027027027027
BEDOK,1991-12,EXECUTIVE,198500.0,170000.0,230000.0,177500.0,220250.0,1335.578231292517,1103.8961038961038,1608.3916083916083,1194.3413729128015,1487.097902097902
BEDOK,1992-01,EXECUTIVE,210000.0,178800.0,240000.0,185000.0,227500.0,1449.5028780743069,1208.1081081081081,1621.6216216216217,1264.793588668344,1590.909090909091
