town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BEDOK,1990-01,high,68000.0,26000.0,129000.0,46000.0,76500.0,760.8695652173913,400.0,1093.2203389830509,644.1831936209364,847.8260869565217
BEDOK,1990-02,high,60750.0,30000.0,215000.0,47050.0,105850.0,756.794425087108,410.958904109589,1503.4965034965035,628.685839097197,897.3060493316797
BEDOK,1990-03,high,55500.0,25100.0,140000.0,39930.0,73500.0,689.1451340255976,386.15384615384613,1196.5811965811965,597.6556776556777,794.2214790040877
BEDOK,1990-04,high,56000.0,29000.0,150000.0,39000.0,80000.0,704.4776119402985,413.3333333333333,1271.1864406779662,577.1428571428571,868.1318681318681
BEDOK,1990-05,high,70000.0,35000.0,144000.0,47500.0,107500.0,760.8695652173913,583.3333333333334,1200.0,688.8388937664618,916.9926119078661
BEDOK,1990-06,high,72000.0,27000.0,200000.0,47000.0,115000.0,791.2087912087912,415.38461538461536,1333.3333333333333,691.1764705882352,956.5217391304348
BEDOK,1990-07,high,65000.0,26000.0,182500.0,47000.0,96550.0,737.8048780487804,440.6779661016949,1546.6101694915253,681.4091308165057,854.0903540903541
BEDOK,1990-08,high,70000.0,23000.0,227000.0,47000.0,101600.0,782.6086956521739,492.3076923076923,1513.3333333333333,619.4029850746268,924.3697478991596
BEDOK,1990-09,high,65000.0,32000.0,180000.0,44000.0,110000.0,719.1780821917808,538.4615384615385,1352.9411764705883,656.7164179104477,932.2033898305085
BEDOK,1990-10,high,70850.0,29000.0,196000.0,43375.0,91250.0,783.5820895522388,446.15384615384613,1410.071942446043,647.3880597014925,899.8983739837398
BEDOK,1990-11,high,64500.0,25000.0,180000.0,40500.0,105000.0,773.3695652173913,457.6271186440678,1393.4426229508197,593.7247780468119,874.2857142857142
BEDOK,1990-12,high,72000.0,26000.0,155000.0,45850.0,122000.0,791.044776119403,400.0,1260.1626016260163,674.2647058823529,1029.080675422139
BEDOK,1991-01,high,73575.0,24000.0,208000.0,49300.0,98250.0,788.3631713554987,533.3333333333334,1464.7887323943662,695.1219512195122,952.4108138238573
BEDOK,1991-02,high,68000.0,35000.0,220000.0,46000.0,94000.0,760.8695652173913,500.0,1417.3553719008264,647.0588235294117,889.3115942028985
BEDOK,1991-03,high,48600.0,26000.0,179000.0,44625.0,92250.0,698.3072442664725,400.0,1166.6666666666667,647.0558168063791,931.6770186335405
