town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BEDOK,1990-01,very low,57850.0,25100.0,195000.0,38050.0,76500.0,699.0608753982895,386.15384615384613,1291.390728476821,594.4915254237288,795.6521739130435
BEDOK,1990-02,very low,49100.0,30500.0,126000.0,41125.0,70950.0,715.9148079825591,469.2307692307692,1008.2644628099174,595.7876370887337,790.2532250358337
BEDOK,1990-03,very low,54700.0,27900.0,146000.0,47000.0,86000.0,707.8891257995735,422.72727272727275,1097.7443609022557,691.1764705882352,869.0898045965374
BEDOK,1990-04,very low,49750.0,35500.0,199000.0,42550.0,110125.0,736.797629499561,601.6949152542373,1317.8807947019868,666.1194029850747,958.6439992813511
BEDOK,1990-05,very low,52250.0,28500.0,179000.0,44250.0,84075.0,697.0755387165523,514.7058823529412,1193.3333333333333,641.8859649122807,818.4756627553238
BEDOK,1990-06,very low,47000.0,25100.0,143000.0,33375.0,56250.0,690.0326797385621,392.3076923076923,1075.187969924812,537.3207301173403,791.5988550398691
BEDOK,1990-07,very low,49500.0,32000.0,140000.0,39000.0,99250.0,694.7045593948068,492.3076923076923,1157.0247933884298,579.9495171202809,865.2467604080507
BEDOK,1990-08,very low,63800.0,33600.0,218000.0,44350.0,90800.0,701.4925373134329,501.4925373134328,1493.150684931507,654.7789896670495,827.639751552795
BEDOK,1990-09,very low,70500.0,25000.0,200000.0,45000.0,80100.0,750.0,392.3076923076923,1351.3513513513512,623.2876712328767,880.2197802197802
BEDOK,1990-10,very low,74500.0,33600.0,185000.0,44500.0,117000.0,833.3333333333334,501.4925373134328,1250.0,645.1612903225806,1008.2644628099174
BEDOK,1990-11,very low,57000.0,25100.0,215000.0,41625.0,81000.0,719.7938877043355,386.15384615384613,1503.4965034965035,596.6582528533802,896.9155844155845
BEDOK,1990-12,very low,53750.0,18000.0,98000.0,47000.0,69500.0,716.5999271933018,418.6046511627907,945.6521739130435,608.8723051409619,783.4696996942996
BEDOK,1991-01,very low,47200.0,19000.0,220000.0,34000.0,78500.0,604.3956043956044,441.86046511627904,1447.3684210526317,507.46268656716416,853.2608695652174
