town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BEDOK,1990-01,high,2 ROOM,26000.0,26000.0,26000.0,26000.0,26000.0,577.7777777777778,577.7777777777778,577.7777777777778,577.7777777777778,577.7777777777778
BEDOK,1990-01,high,3 ROOM,43000.0,26000.0,64300.0,35340.0,47000.0,626.8656716417911,400.0,857.3333333333334,565.9090909090909,695.5882352941177
BEDOK,1990-01,high,4 ROOM,72000.0,56000.0,100000.0,70000.0,78000.0,782.6086956521739,666.6666666666666,1016.304347826087,760.8695652173913,862.6373626373627
BEDOK,1990-01,high,5 ROOM,117750.0,96000.0,129000.0,106575.0,122000.0,997.7219749947024,782.9268292682926,1093.2203389830509,898.4055160525749,1008.2991874435725
BEDOK,1990-01,low,3 ROOM,47000.0,28500.0,59000.0,43000.0,52000.0,649.2537313432836,438.46153846153845,779.4117647058823,626.8656716417911,701.4925373134329
BEDOK,1990-01,low,4 ROOM,70000.0,52000.0,97500.0,68000.0,76500.0,760.8695652173913,565.2173913043479,946.6019417475728,741.8478260869565,816.7781014166557
BEDOK,1990-01,low,5 ROOM,122000.0,80000.0,145000.0,101000.0,133500.0,1008.2644628099174,683.7606837606837,1198.3471074380166,846.0125732853005,1103.3057851239669
BEDOK,1990-01,mid,2 ROOM,23000.0,23000.0,23000.0,23000.0,23000.0,511.1111111111111,511.1111111111111,511.1111111111111,511.1111111111111,511.1111111111111
BEDOK,1990-01,mid,3 ROOM,36850.0,25100.0,52500.0,33000.0,45000.0,547.3058436630407,386.15384615384613,772.0588235294117,503.97787144362485,671.6417910447761
BEDOK,1990-01,mid,4 ROOM,74500.0,50000.0,89000.0,67500.0,81500.0,809.7826086956521,555.5555555555555,967.3913043478261,771.7391304347825,890.6473960821786
BEDOK,1990-01,mid,5 ROOM,126400.0,97000.0,170000.0,112200.0,139250.0,1041.1845730027549,829.0598290598291,1223.021582733813,916.2870389034468,1087.689393939394
BEDOK,1990-01,mid,EXECUTIVE,200000.0,200000.0,200000.0,200000.0,200000.0,1398.6013986013986,1398.6013986013986,1398.6013986013986,1398.6013986013986,1398.6013986013986
BEDOK,1990-01,very low,3 ROOM,37250.0,25100.0,60000.0,35075.0,47000.0,595.7627118644068,386.15384615384613,800.0,554.4915254237288,695.9613696224759
BEDOK,1990-01,very low,4 ROOM,65000.0,52000.0,104000.0,59000.0,72000.0,714.2857142857143,565.2173913043479,1009.7087378640776,688.6904761904761,782.6086956521739
BEDOK,1990-01,very low,5 ROOM,116900.0,96600.0,134000.0,108250.0,121950.0,978.7085025913993,772.8,1072.0,889.7271599834642,1013.3161157024794
BEDOK,1990-01,very low,EXECUTIVE,195000.0,195000.0,195000.0,195000.0,195000.0,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821
BEDOK,1990-02,high,3 ROOM,46500.0,30000.0,63200.0,35000.0,52000.0,609.7560975609756,410.958904109589,898.3050847457627,543.8722294654498,697.8050921861281
BEDOK,1990-02,high,4 ROOM,71000.0,57000.0,84000.0,60750.0,76300.0,776.9230769230769,678.5714285714286,933.3333333333334,723.2142857142858,833.8270425226947
BEDOK,1990-02,high,5 ROOM,118500.0,96400.0,153000.0,111000.0,131512.5,990.4852723034542,803.3333333333334,1296.6101694915253,904.7317073170732,1089.464560862866
BEDOK,1990-02,high,EXECUTIVE,213500.0,212000.0,215000.0,212750.0,214250.0,1467.964467964468,1432.4324324324325,1503.4965034965035,1450.1984501984502,1485.7304857304857
BEDOK,1990-02,low,2 ROOM,22200.0,22200.0,22200.0,22200.0,22200.0,493.3333333333333,493.3333333333333,493.3333333333333,493.3333333333333,493.3333333333333
BEDOK,1990-02,low,3 ROOM,40000.0,25100.0,47200.0,30000.0,44000.0,600.0,386.15384615384613,704.4776119402985,500.0,656.7164179104477
BEDOK,1990-02,low,4 ROOM,77500.0,55000.0,99000.0,67875.0,88250.0,792.2240802675585,662.6506024096385,942.8571428571429,726.2750836120401,853.804347826087
BEDOK,1990-02,low,5 ROOM,115000.0,96600.0,125000.0,105800.0,120000.0,982.9059829059829,825.6410256410256,1059.322033898305,904.2735042735043,1021.114008402144
BEDOK,1990-02,mid,2 ROOM,31200.0,31200.0,31200.0,31200.0,31200.0,693.3333333333334,693.3333333333334,693.3333333333334,693.3333333333334,693.3333333333334
BEDOK,1990-02,mid,3 ROOM,38000.0,27000.0,56000.0,34500.0,45800.0,584.7457627118644,415.38461538461536,835.820895522388,537.3134328358209,617.6470588235294
BEDOK,1990-02,mid,4 ROOM,70500.0,68000.0,80000.0,70000.0,71820.0,769.2307692307693,747.2527472527472,780.6521739130435,766.304347826087,776.6990291262136
BEDOK,1990-02,mid,5 ROOM,126000.0,95000.0,142600.0,113750.0,134500.0,1029.4785659076044,833.3333333333334,1113.821138211382,961.60302527209,1045.4545454545455
BEDOK,1990-02,very low,3 ROOM,41500.0,30500.0,51000.0,37150.0,47000.0,598.3050847457627,469.2307692307692,750.0,539.8134863701578,692.6470588235294
BEDOK,1990-02,very low,4 ROOM,70600.0,65000.0,98700.0,69250.0,73000.0,782.6086956521739,730.3370786516854,949.0384615384615,766.8478260869565,816.2319608102741
BEDOK,1990-02,very low,5 ROOM,124000.0,122000.0,126000.0,123000.0,125000.0,1008.1322314049587,1008.0,1008.2644628099174,1008.0661157024794,1008.198347107438
BEDOK,1990-03,high,3 ROOM,39750.0,25100.0,57000.0,36000.0,46000.0,598.4615384615385,386.15384615384613,701.4925373134329,531.9426336375489,649.3802175562864
BEDOK,1990-03,high,4 ROOM,70500.0,50000.0,94000.0,66500.0,79750.0,770.484949832776,595.2380952380952,1032.967032967033,712.4587458745874,923.9130434782609
BEDOK,1990-03,high,5 ROOM,110000.0,90000.0,140000.0,97000.0,133000.0,924.3697478991596,769.2307692307693,1196.5811965811965,829.0598290598291,1081.30081300813
BEDOK,1990-03,low,2 ROOM,28300.0,28300.0,28300.0,28300.0,28300.0,628.8888888888889,628.8888888888889,628.8888888888889,628.8888888888889,628.8888888888889
BEDOK,1990-03,low,3 ROOM,41500.0,26000.0,53500.0,36325.0,47000.0,614.9034240561897,440.6779661016949,701.4925373134329,554.2537313432836,679.5269312544294
BEDOK,1990-03,low,4 ROOM,72000.0,56000.0,79000.0,62750.0,79000.0,794.6274895500369,636.3636363636364,868.1318681318681,746.4403066812705,821.6248037676609
BEDOK,1990-03,low,5 ROOM,100000.0,87000.0,108900.0,93500.0,104450.0,854.7008547008547,719.00826446281,930.7692307692307,786.8545595818323,892.7350427350427
BEDOK,1990-03,low,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1436.619718309859,1436.619718309859,1436.619718309859,1436.619718309859,1436.619718309859
BEDOK,1990-03,mid,3 ROOM,40000.0,35000.0,64300.0,35925.0,43500.0,581.7888799355359,522.3880597014926,857.3333333333334,545.2872623185442,610.3564307078764
BEDOK,1990-03,mid,4 ROOM,80000.0,64680.0,105000.0,72750.0,95275.0,869.5652173913044,779.277108433735,1000.0,790.7608695652174,935.9782608695652
BEDOK,1990-03,mid,5 ROOM,110000.0,102000.0,135000.0,110000.0,121800.0,909.0909090909091,850.0,1144.0677966101696,909.0909090909091,1008.2644628099174
BEDOK,1990-03,very low,3 ROOM,47000.0,27900.0,56900.0,43000.0,47200.0,691.1764705882352,422.72727272727275,783.5820895522388,591.4634146341464,694.1176470588235
BEDOK,1990-03,very low,4 ROOM,72000.0,65000.0,80000.0,65000.0,72100.0,783.695652173913,714.2857142857143,867.4698795180723,714.2857142857143,833.3333333333334
BEDOK,1990-03,very low,5 ROOM,121000.0,104000.0,146000.0,111000.0,128000.0,996.5564738292012,873.9495798319327,1097.7443609022557,938.5198135198135,1021.2968849332485
BEDOK,1990-04,high,3 ROOM,40000.0,29000.0,58500.0,32750.0,47000.0,588.2352941176471,413.3333333333333,767.1232876712329,503.5067873303168,687.5
BEDOK,1990-04,high,4 ROOM,73500.0,69000.0,85000.0,70125.0,79750.0,855.7526810538859,760.8695652173913,923.9130434782609,815.2472527472528,876.6025641025641
BEDOK,1990-04,high,5 ROOM,115000.0,96000.0,150000.0,106750.0,143200.0,959.9749843652282,780.4878048780488,1271.1864406779662,877.9966645820305,1178.5392729960356
BEDOK,1990-04,low,3 ROOM,47000.0,38000.0,56700.0,44750.0,52525.0,695.5882352941176,567.1641791044776,775.0,665.3314310798946,732.5159914712153
BEDOK,1990-04,low,4 ROOM,65000.0,50000.0,85000.0,63000.0,73250.0,738.6363636363636,595.2380952380952,934.065934065934,688.3512544802868,800.4061156235069
BEDOK,1990-04,low,5 ROOM,116000.0,100000.0,125000.0,107500.0,122750.0,958.6776859504132,840.3361344537815,1050.420168067227,891.9022154316272,1018.8033891242449
BEDOK,1990-04,low,EXECUTIVE,205000.0,205000.0,205000.0,205000.0,205000.0,1385.1351351351352,1385.1351351351352,1385.1351351351352,1385.1351351351352,1385.1351351351352
BEDOK,1990-04,mid,3 ROOM,45400.0,33600.0,54000.0,37250.0,47150.0,656.1339643247179,460.5263157894737,704.4776119402985,555.9701492537313,691.1764705882352
BEDOK,1990-04,mid,4 ROOM,67000.0,60000.0,82000.0,60500.0,78000.0,748.4472049689441,652.1739130434783,901.0989010989011,684.0062111801242,854.9928332537028
