town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1990-01,5 ROOM,145000.0,145000.0,145000.0,145000.0,145000.0,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166
BISHAN,1990-02,5 ROOM,159500.0,139000.0,180000.0,149250.0,169750.0,1318.181818181818,1148.7603305785124,1487.603305785124,1233.4710743801652,1402.892561983471
BISHAN,1990-03,5 ROOM,157000.0,120000.0,168000.0,138500.0,162500.0,1256.0,991.7355371900826,1388.4297520661157,1123.8677685950413,1322.2148760330579
BISHAN,1990-05,5 ROOM,188000.0,188000.0,188000.0,188000.0,188000.0,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463
BISHAN,1990-06,5 ROOM,185000.0,185000.0,185000.0,185000.0,185000.0,1528.9256198347107,1528.9256198347107,1528.9256198347107,1528.9256198347107,1528.9256198347107
BISHAN,1990-07,5 ROOM,175000.0,175000.0,175000.0,175000.0,175000.0,1458.3333333333333,1458.3333333333333,1458.3333333333333,1458.3333333333333,1458.3333333333333
BISHAN,1990-09,5 ROOM,152500.0,140000.0,185000.0,143750.0,166250.0,1224.1735537190084,1157.0247933884298,1528.9256198347107,1188.01652892562,1319.7314049586776
BISHAN,1990-10,5 ROOM,170000.0,150000.0,190000.0,160000.0,180000.0,1404.9586776859505,1239.6694214876034,1570.2479338842975,1322.314049586777,1487.603305785124
BISHAN,1990-11,5 ROOM,145000.0,139000.0,170000.0,139750.0,155000.0,1208.3333333333335,1158.3333333333333,1370.967741935484,1164.5833333333335,1280.241935483871
BISHAN,1990-12,5 ROOM,177500.0,138000.0,180000.0,167250.0,178500.0,1449.146894161557,1150.0,1500.0,1364.1129032258063,1472.107438016529
BISHAN,1991-01,5 ROOM,162500.0,138000.0,187000.0,150250.0,174750.0,1354.1666666666665,1150.0,1558.3333333333333,1252.0833333333333,1456.25
BISHAN,1991-02,5 ROOM,188000.0,188000.0,188000.0,188000.0,188000.0,1566.6666666666667,1566.6666666666667,1566.6666666666667,1566.6666666666667,1566.6666666666667
BISHAN,1991-03,5 ROOM,179000.0,125000.0,187000.0,164750.0,181750.0,1485.5371900826447,1041.6666666666667,1558.3333333333333,1363.7224517906336,1514.5833333333333
BISHAN,1991-04,5 ROOM,135000.0,135000.0,135000.0,135000.0,135000.0,1115.702479338843,1115.702479338843,1115.702479338843,1115.702479338843,1115.702479338843
BISHAN,1991-05,5 ROOM,190000.0,135500.0,198000.0,150000.0,190000.0,1583.3333333333333,1119.8347107438017,1650.0,1239.6694214876034,1583.3333333333333
BISHAN,1991-06,5 ROOM,189000.0,170000.0,208000.0,179500.0,198500.0,1567.8374655647383,1416.6666666666667,1719.0082644628098,1492.2520661157025,1643.422865013774
BISHAN,1991-07,5 ROOM,160000.0,140000.0,188000.0,150000.0,174000.0,1322.314049586777,1138.2113821138212,1566.6666666666667,1230.2627158502992,1444.4903581267217
BISHAN,1991-08,5 ROOM,176540.0,139000.0,220000.0,170000.0,204000.0,1471.1666666666667,1148.7603305785124,1818.1818181818182,1404.9586776859503,1685.9504132231405
BISHAN,1991-09,5 ROOM,179500.0,140000.0,213000.0,153000.0,206750.0,1483.4710743801652,1157.0247933884298,1760.3305785123966,1264.4628099173553,1708.6776859504132
BISHAN,1991-10,5 ROOM,165000.0,139000.0,205000.0,140000.0,200000.0,1358.5557512532177,1148.7603305785124,1694.2148760330579,1159.435261707989,1663.223140495868
BISHAN,1991-11,5 ROOM,198500.0,140000.0,220000.0,178750.0,202750.0,1647.279614325069,1157.0247933884298,1818.1818181818182,1477.2727272727273,1675.6198347107438
BISHAN,1991-12,5 ROOM,209000.0,180000.0,233000.0,199750.0,213250.0,1727.2727272727273,1448.0,1925.6198347107438,1653.3536585365855,1762.3966942148759
BISHAN,1992-01,5 ROOM,190000.0,138800.0,200000.0,179500.0,195000.0,1570.2479338842975,1147.107438016529,1652.892561983471,1483.4710743801652,1611.5702479338843
BISHAN,1992-02,5 ROOM,175000.0,120000.0,220000.0,147500.0,193500.0,1446.280991735537,1000.0,1818.1818181818182,1233.5926105979581,1599.1735537190082
BISHAN,1992-03,5 ROOM,206000.0,160000.0,235000.0,185000.0,210375.0,1702.4793388429753,1322.314049586777,1942.1487603305786,1528.9256198347107,1760.5649697895687
BISHAN,1992-04,5 ROOM,207000.0,140000.0,240000.0,198000.0,221500.0,1725.0,1157.0247933884298,1983.4710743801652,1636.3636363636363,1830.5785123966944
BISHAN,1992-05,5 ROOM,200000.0,110000.0,233000.0,145000.0,215000.0,1639.344262295082,909.0909090909091,1925.6198347107438,1203.1680440771352,1769.4079393036172
BISHAN,1992-06,5 ROOM,185000.0,160000.0,260000.0,165000.0,207900.0,1516.3934426229507,1322.314049586777,2148.7603305785124,1369.1460055096418,1718.1818181818182
BISHAN,1992-07,5 ROOM,200000.0,150000.0,233000.0,170000.0,224000.0,1600.0,1239.6694214876034,1925.6198347107438,1393.4426229508197,1851.2396694214876
BISHAN,1992-08,5 ROOM,200000.0,139000.0,250000.0,180000.0,217750.0,1632.172131147541,1148.7603305785124,2066.115702479339,1487.603305785124,1799.586776859504
BISHAN,1992-09,5 ROOM,235000.0,173000.0,253500.0,203500.0,246000.0,1958.3333333333333,1429.7520661157025,2095.0413223140495,1688.6019283746557,2033.0578512396694
BISHAN,1992-10,5 ROOM,215000.0,190000.0,242000.0,200000.0,230000.0,1768.595041322314,1570.2479338842975,2000.0,1652.892561983471,1900.8264462809918
BISHAN,1992-11,5 ROOM,227500.0,139000.0,270000.0,199250.0,244500.0,1880.1652892561983,1158.3333333333333,2214.876033057851,1646.6942148760331,2002.870481357643
BISHAN,1992-12,5 ROOM,231000.0,140000.0,270000.0,205750.0,250500.0,1901.3683782685273,1157.0247933884298,2250.0,1700.4132231404958,2070.2479338842977
BISHAN,1993-01,5 ROOM,249000.0,139000.0,266000.0,188750.0,252250.0,1978.9918617121948,1148.7603305785124,2198.3471074380163,1521.2762601728596,2084.710743801653
BISHAN,1993-02,5 ROOM,219000.0,139000.0,277000.0,173750.0,243750.0,1778.689041700839,1148.7603305785124,2289.2561983471073,1435.9504132231405,2014.4628099173553
BISHAN,1993-03,5 ROOM,215000.0,147500.0,290000.0,196250.0,254500.0,1784.435261707989,1219.0082644628098,2396.694214876033,1625.0860881542699,2103.305785123967
BISHAN,1993-04,5 ROOM,240000.0,110000.0,294000.0,200000.0,255000.0,1946.5648854961833,873.015873015873,2429.7520661157023,1526.7175572519084,2049.586776859504
BISHAN,1993-05,5 ROOM,253500.0,180000.0,308000.0,232500.0,272500.0,2086.5058935103643,1475.4098360655737,2566.6666666666665,1921.4876033057851,2252.0661157024792
BISHAN,1993-06,5 ROOM,266000.0,180000.0,308000.0,256200.0,281500.0,2190.0826446280994,1374.0458015267175,2545.4545454545455,2098.3988084155653,2334.6994535519125
BISHAN,1993-07,5 ROOM,275000.0,200000.0,350000.0,256250.0,292750.0,2257.9789021030706,1626.0162601626016,2892.561983471074,2117.7685950413224,2419.4214876033056
BISHAN,1993-08,5 ROOM,284500.0,180000.0,350000.0,266250.0,316625.0,2351.2396694214876,1463.4146341463415,2892.561983471074,2194.645316804408,2526.8595041322315
BISHAN,1993-09,5 ROOM,311000.0,230000.0,360000.0,298000.0,326250.0,2541.3223140495866,1885.2459016393443,2983.3333333333335,2415.668348045397,2696.280991735537
BISHAN,1993-10,5 ROOM,340000.0,285000.0,380000.0,317500.0,355000.0,2770.992366412214,2325.3968253968255,3140.495867768595,2613.2976561441537,2863.636363636364
BISHAN,1993-11,5 ROOM,340000.0,295000.0,365000.0,327500.0,344000.0,2764.2276422764226,2343.75,3016.528925619835,2595.4198473282445,2842.9752066115702
BISHAN,1993-12,5 ROOM,326500.0,298000.0,367000.0,313750.0,345250.0,2676.3085399449037,2343.75,3008.1967213114754,2551.6528925619837,2743.1346391618404
BISHAN,1994-01,5 ROOM,336250.0,235000.0,393000.0,318500.0,355000.0,2736.587183308495,1942.1487603305786,3181.818181818182,2620.4394275347713,2929.5798898071625
