town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1990-03,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1360.0,1360.0,1360.0,1360.0,1360.0
BISHAN,1990-04,EXECUTIVE,226000.0,226000.0,226000.0,226000.0,226000.0,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452
BISHAN,1990-07,EXECUTIVE,259500.0,259000.0,260000.0,259250.0,259750.0,1759.469522846373,1744.96644295302,1773.972602739726,1752.2179828996966,1766.7210627930494
BISHAN,1990-08,EXECUTIVE,205000.0,205000.0,205000.0,205000.0,205000.0,1314.1025641025642,1314.1025641025642,1314.1025641025642,1314.1025641025642,1314.1025641025642
BISHAN,1991-01,EXECUTIVE,240000.0,240000.0,240000.0,240000.0,240000.0,1610.7382550335572,1610.7382550335572,1610.7382550335572,1610.7382550335572,1610.7382550335572
BISHAN,1991-05,EXECUTIVE,146600.0,146600.0,146600.0,146600.0,146600.0,983.8926174496644,983.8926174496644,983.8926174496644,983.8926174496644,983.8926174496644
BISHAN,1991-07,EXECUTIVE,232000.0,226000.0,238000.0,229000.0,235000.0,1527.6899761853215,1458.0645161290322,1597.3154362416108,1492.8772461571768,1562.5027062134661
BISHAN,1991-09,EXECUTIVE,300000.0,300000.0,300000.0,300000.0,300000.0,1840.4907975460123,1840.4907975460123,1840.4907975460123,1840.4907975460123,1840.4907975460123
BISHAN,1991-10,EXECUTIVE,255000.0,220000.0,288000.0,237500.0,271500.0,1746.5753424657535,1428.5714285714287,1894.7368421052631,1587.573385518591,1820.6560922855083
BISHAN,1991-11,EXECUTIVE,254500.0,225000.0,293000.0,241750.0,275500.0,1742.7740240240241,1541.0958904109589,1917.8082191780823,1661.6961567732114,1790.7270767700215
BISHAN,1992-01,EXECUTIVE,230000.0,205000.0,255000.0,217500.0,242500.0,1575.3424657534247,1433.5664335664335,1688.7417218543046,1504.4544496599292,1632.0420938038646
BISHAN,1992-02,EXECUTIVE,245000.0,220000.0,270000.0,232500.0,257500.0,1676.0510510510512,1527.7777777777778,1824.3243243243244,1601.9144144144145,1750.1876876876877
BISHAN,1992-03,EXECUTIVE,240000.0,230000.0,275000.0,235000.0,257500.0,1643.835616438356,1523.1788079470198,1858.1081081081081,1583.5072121926878,1750.971862273232
BISHAN,1992-04,EXECUTIVE,282000.0,253000.0,295000.0,267500.0,288500.0,1867.549668874172,1732.876712328767,1953.6423841059602,1800.2131906014697,1910.5960264900662
