town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,2000-01,MULTI-GENERATION,480000.0,480000.0,480000.0,480000.0,480000.0,3582.089552238806,3582.089552238806,3582.089552238806,3582.089552238806,3582.089552238806
BISHAN,2000-02,MULTI-GENERATION,530000.0,530000.0,530000.0,530000.0,530000.0,3955.223880597015,3955.223880597015,3955.223880597015,3955.223880597015,3955.223880597015
BISHAN,2000-04,MULTI-GENERATION,450000.0,450000.0,450000.0,450000.0,450000.0,3358.208955223881,3358.208955223881,3358.208955223881,3358.208955223881,3358.208955223881
BISHAN,2000-05,MULTI-GENERATION,635000.0,635000.0,635000.0,635000.0,635000.0,3968.75,3968.75,3968.75,3968.75,3968.75
BISHAN,2000-11,MULTI-GENERATION,559000.0,508000.0,610000.0,533500.0,584500.0,3576.3760049474336,3455.78231292517,3696.969696969697,3516.0791589363016,3636.6728509585655
BISHAN,2001-03,MULTI-GENERATION,490000.0,490000.0,490000.0,490000.0,490000.0,3333.3333333333335,3333.3333333333335,3333.3333333333335,3333.3333333333335,3333.3333333333335
BISHAN,2002-12,MULTI-GENERATION,530000.0,530000.0,530000.0,530000.0,530000.0,3212.121212121212,3212.121212121212,3212.121212121212,3212.121212121212,3212.121212121212
BISHAN,2003-05,MULTI-GENERATION,527000.0,527000.0,527000.0,527000.0,527000.0,3193.939393939394,3193.939393939394,3193.939393939394,3193.939393939394,3193.939393939394
BISHAN,2003-06,MULTI-GENERATION,540000.0,540000.0,540000.0,540000.0,540000.0,3272.7272727272725,3272.7272727272725,3272.7272727272725,3272.7272727272725,3272.7272727272725
BISHAN,2004-03,MULTI-GENERATION,475000.0,475000.0,475000.0,475000.0,475000.0,2878.787878787879,2878.787878787879,2878.787878787879,2878.787878787879,2878.787878787879
BISHAN,2004-12,MULTI-GENERATION,540000.0,540000.0,540000.0,540000.0,540000.0,3233.5329341317365,3233.5329341317365,3233.5329341317365,3233.5329341317365,3233.5329341317365
BISHAN,2005-08,MULTI-GENERATION,488000.0,488000.0,488000.0,488000.0,488000.0,2957.5757575757575,2957.5757575757575,2957.5757575757575,2957.5757575757575,2957.5757575757575
BISHAN,2006-02,MULTI-GENERATION,490000.0,490000.0,490000.0,490000.0,490000.0,3062.5,3062.5,3062.5,3062.5,3062.5
BISHAN,2006-07,MULTI-GENERATION,495000.0,490000.0,500000.0,492500.0,497500.0,3000.0,2969.6969696969695,3030.3030303030305,2984.848484848485,3015.151515151515
