town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1992-06,MULTI GENERATION,292000.0,292000.0,292000.0,292000.0,292000.0,1769.6969696969697,1769.6969696969697,1769.6969696969697,1769.6969696969697,1769.6969696969697
BISHAN,1992-10,MULTI GENERATION,293000.0,288000.0,298000.0,290500.0,295500.0,1775.7575757575758,1745.4545454545455,1806.060606060606,1760.6060606060605,1790.909090909091
BISHAN,1993-01,MULTI GENERATION,305000.0,305000.0,305000.0,305000.0,305000.0,1906.25,1906.25,1906.25,1906.25,1906.25
BISHAN,1993-05,MULTI GENERATION,302000.0,280000.0,324000.0,291000.0,313000.0,1840.9023668639052,1656.8047337278106,2025.0,1748.853550295858,1932.9511834319526
BISHAN,1993-06,MULTI GENERATION,315000.0,250000.0,330000.0,282500.0,322500.0,1865.6716417910447,1863.905325443787,2244.8979591836733,1864.7884836174157,2055.284800487359
BISHAN,1993-07,MULTI GENERATION,365000.0,360000.0,370000.0,362500.0,367500.0,2212.121212121212,2181.818181818182,2242.4242424242425,2196.969696969697,2227.2727272727275
BISHAN,1993-08,MULTI GENERATION,405000.0,360000.0,450000.0,382500.0,427500.0,2454.545454545455,2181.818181818182,2727.2727272727275,2318.1818181818185,2590.909090909091
BISHAN,1993-09,MULTI GENERATION,422500.0,385000.0,460000.0,403750.0,441250.0,2560.606060606061,2333.3333333333335,2787.878787878788,2446.969696969697,2674.2424242424245
BISHAN,1994-01,MULTI GENERATION,390000.0,390000.0,427000.0,390000.0,408500.0,2363.6363636363635,2363.6363636363635,2587.878787878788,2363.6363636363635,2475.757575757576
BISHAN,1994-04,MULTI GENERATION,462000.0,462000.0,462000.0,462000.0,462000.0,2887.5,2887.5,2887.5,2887.5,2887.5
BISHAN,1994-07,MULTI GENERATION,485000.0,485000.0,485000.0,485000.0,485000.0,2939.3939393939395,2939.3939393939395,2939.3939393939395,2939.3939393939395,2939.3939393939395
BISHAN,1994-11,MULTI GENERATION,455000.0,455000.0,455000.0,455000.0,455000.0,2843.75,2843.75,2843.75,2843.75,2843.75
BISHAN,1994-12,MULTI GENERATION,545000.0,540000.0,550000.0,542500.0,547500.0,3303.030303030303,3272.7272727272725,3333.3333333333335,3287.878787878788,3318.181818181818
BISHAN,1995-01,MULTI GENERATION,420000.0,420000.0,420000.0,420000.0,420000.0,2485.207100591716,2485.207100591716,2485.207100591716,2485.207100591716,2485.207100591716
BISHAN,1995-04,MULTI GENERATION,463000.0,463000.0,463000.0,463000.0,463000.0,2893.75,2893.75,2893.75,2893.75,2893.75
BISHAN,1995-06,MULTI GENERATION,596000.0,596000.0,596000.0,596000.0,596000.0,3725.0,3725.0,3725.0,3725.0,3725.0
BISHAN,1995-09,MULTI GENERATION,600000.0,600000.0,600000.0,600000.0,600000.0,3750.0,3750.0,3750.0,3750.0,3750.0
BISHAN,1995-10,MULTI GENERATION,608000.0,608000.0,608000.0,608000.0,608000.0,3597.6331360946747,3597.6331360946747,3597.6331360946747,3597.6331360946747,3597.6331360946747
BISHAN,1995-11,MULTI GENERATION,583000.0,583000.0,583000.0,583000.0,583000.0,3643.75,3643.75,3643.75,3643.75,3643.75
BISHAN,1996-01,MULTI GENERATION,680000.0,680000.0,680000.0,680000.0,680000.0,4121.212121212121,4121.212121212121,4121.212121212121,4121.212121212121,4121.212121212121
BISHAN,1996-04,MULTI GENERATION,694000.0,690000.0,698000.0,692000.0,696000.0,4206.060606060606,4181.818181818182,4230.30303030303,4193.939393939394,4218.181818181818
BISHAN,1996-05,MULTI GENERATION,570000.0,570000.0,570000.0,570000.0,570000.0,4253.731343283582,4253.731343283582,4253.731343283582,4253.731343283582,4253.731343283582
BISHAN,1996-11,MULTI GENERATION,705000.0,705000.0,705000.0,705000.0,705000.0,4272.727272727273,4272.727272727273,4272.727272727273,4272.727272727273,4272.727272727273
BISHAN,1996-12,MULTI GENERATION,750000.0,750000.0,750000.0,750000.0,750000.0,4545.454545454545,4545.454545454545,4545.454545454545,4545.454545454545,4545.454545454545
BISHAN,1997-02,MULTI GENERATION,760000.0,760000.0,760000.0,760000.0,760000.0,4606.060606060606,4606.060606060606,4606.060606060606,4606.060606060606,4606.060606060606
BISHAN,1997-04,MULTI GENERATION,755000.0,755000.0,755000.0,755000.0,755000.0,4575.757575757576,4575.757575757576,4575.757575757576,4575.757575757576,4575.757575757576
BISHAN,1997-05,MULTI GENERATION,701500.0,645000.0,758000.0,673250.0,729750.0,4312.594696969697,4031.25,4593.939393939394,4171.922348484848,4453.267045454546
BISHAN,1997-06,MULTI GENERATION,640000.0,640000.0,640000.0,640000.0,640000.0,4353.741496598639,4353.741496598639,4353.741496598639,4353.741496598639,4353.741496598639
BISHAN,1997-07,MULTI GENERATION,677500.0,605000.0,750000.0,641250.0,713750.0,4330.550401978973,4115.646258503401,4545.454545454545,4223.098330241188,4438.002473716759
BISHAN,1997-08,MULTI GENERATION,655000.0,655000.0,655000.0,655000.0,655000.0,4093.75,4093.75,4093.75,4093.75,4093.75
BISHAN,1998-02,MULTI GENERATION,633000.0,633000.0,633000.0,633000.0,633000.0,3836.3636363636365,3836.3636363636365,3836.3636363636365,3836.3636363636365,3836.3636363636365
BISHAN,1998-08,MULTI GENERATION,639000.0,639000.0,639000.0,639000.0,639000.0,3872.7272727272725,3872.7272727272725,3872.7272727272725,3872.7272727272725,3872.7272727272725
