town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1990-01,high,39500.0,39000.0,40000.0,39250.0,39750.0,585.1624231782265,582.0895522388059,588.2352941176471,583.6259877085163,586.6988586479367
BISHAN,1990-02,high,139000.0,139000.0,139000.0,139000.0,139000.0,1148.7603305785124,1148.7603305785124,1148.7603305785124,1148.7603305785124,1148.7603305785124
BISHAN,1990-03,high,38000.0,37000.0,39000.0,37500.0,38500.0,584.6153846153846,569.2307692307693,600.0,576.9230769230769,592.3076923076924
BISHAN,1990-04,high,63000.0,60000.0,66000.0,61500.0,64500.0,795.1296150824824,694.7368421052631,895.5223880597015,744.9332285938727,845.3260015710919
BISHAN,1990-05,high,71500.0,71500.0,71500.0,71500.0,71500.0,812.5,812.5,812.5,812.5,812.5
BISHAN,1990-06,high,90000.0,48000.0,120000.0,69000.0,105000.0,909.0909090909091,716.4179104477612,1304.3478260869565,812.7544097693351,1106.7193675889328
BISHAN,1990-07,high,57000.0,40000.0,259000.0,54000.0,59800.0,850.7462686567164,588.2352941176471,1773.972602739726,805.9701492537314,892.5373134328358
BISHAN,1990-08,high,122000.0,122000.0,122000.0,122000.0,122000.0,1161.904761904762,1161.904761904762,1161.904761904762,1161.904761904762,1161.904761904762
BISHAN,1990-09,high,160000.0,140000.0,185000.0,150000.0,172500.0,1250.0,1157.0247933884298,1528.9256198347107,1203.5123966942149,1389.4628099173553
BISHAN,1990-10,high,108000.0,55000.0,150000.0,81500.0,129000.0,1028.5714285714287,820.8955223880597,1239.6694214876034,924.7334754797441,1134.120425029516
BISHAN,1990-11,high,139000.0,30000.0,170000.0,57500.0,145000.0,1158.3333333333333,441.1764705882353,1370.967741935484,730.7692307692307,1208.3333333333335
BISHAN,1990-12,high,53100.0,39200.0,67000.0,46150.0,60050.0,801.5384615384615,603.0769230769231,1000.0,702.3076923076924,900.7692307692307
BISHAN,1991-01,high,86000.0,39000.0,187000.0,43750.0,119250.0,1023.8095238095239,600.0,1558.3333333333333,657.577497129736,1159.8684210526317
BISHAN,1991-02,high,63000.0,63000.0,63000.0,63000.0,63000.0,940.2985074626865,940.2985074626865,940.2985074626865,940.2985074626865,940.2985074626865
BISHAN,1991-03,high,91000.0,30000.0,187000.0,62500.0,140000.0,952.3809523809524,441.1764705882353,1558.3333333333333,812.0113717128643,1244.5652173913045
BISHAN,1991-04,high,60000.0,39000.0,133999.0,49500.0,96999.5,895.5223880597015,600.0,1276.1809523809525,747.7611940298507,1085.851670220327
BISHAN,1991-05,high,83000.0,40000.0,198000.0,63000.0,150000.0,988.0952380952381,615.3846153846154,1650.0,984.375,1239.6694214876034
BISHAN,1991-06,high,50400.0,33000.0,120000.0,35100.0,78750.0,640.5531547104581,507.6923076923077,1445.7831325301204,540.0,909.1985921212942
BISHAN,1991-07,high,82500.0,52700.0,130000.0,75400.0,85250.0,960.2680384459185,823.4375,1238.095238095238,857.0097037793668,1014.8450946643718
BISHAN,1991-08,high,72500.0,53000.0,204000.0,60000.0,122500.0,925.2892839174913,828.125,1685.9504132231405,895.5223880597015,1130.940082644628
BISHAN,1991-09,high,210000.0,140000.0,300000.0,175000.0,255000.0,1735.5371900826447,1157.0247933884298,1840.4907975460123,1446.280991735537,1788.0139938143284
BISHAN,1991-10,high,89000.0,30000.0,203000.0,60250.0,132250.0,1011.9047619047619,461.53846153846155,1691.6666666666667,865.141369047619,1207.795524189804
BISHAN,1991-11,high,200000.0,95000.0,293000.0,157500.0,211750.0,1643.835616438356,1130.952380952381,1818.1818181818182,1466.9421487603304,1667.3553719008264
BISHAN,1991-12,high,177000.0,74000.0,233000.0,129500.0,212750.0,1563.095238095238,1104.4776119402984,1925.6198347107438,1333.2622601279318,1768.904958677686
