town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1990-01,very low,97500.0,97500.0,97500.0,97500.0,97500.0,984.8484848484849,984.8484848484849,984.8484848484849,984.8484848484849,984.8484848484849
BISHAN,1990-03,very low,116500.0,34000.0,204000.0,57250.0,177000.0,1165.0746268656717,500.0,1388.4297520661157,852.6119402985074,1367.107438016529
BISHAN,1990-04,very low,226000.0,226000.0,226000.0,226000.0,226000.0,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452
BISHAN,1990-05,very low,188000.0,188000.0,188000.0,188000.0,188000.0,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463
BISHAN,1990-06,very low,45000.0,45000.0,45000.0,45000.0,45000.0,671.6417910447761,671.6417910447761,671.6417910447761,671.6417910447761,671.6417910447761
BISHAN,1990-07,very low,151500.0,43000.0,260000.0,97250.0,205750.0,1193.3787438645697,641.7910447761194,1744.96644295302,917.5848943203446,1469.172593408795
BISHAN,1990-08,very low,86350.0,59500.0,205000.0,59875.0,135775.0,989.5881171067738,838.0281690140845,1314.1025641025642,881.1488332982972,1141.2660256410256
BISHAN,1990-09,very low,145000.0,145000.0,145000.0,145000.0,145000.0,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166
BISHAN,1990-10,very low,86000.0,86000.0,86000.0,86000.0,86000.0,1023.8095238095239,1023.8095238095239,1023.8095238095239,1023.8095238095239,1023.8095238095239
BISHAN,1990-11,very low,37000.0,37000.0,37000.0,37000.0,37000.0,569.2307692307693,569.2307692307693,569.2307692307693,569.2307692307693,569.2307692307693
BISHAN,1990-12,very low,97250.0,59800.0,177000.0,85875.0,128500.0,1056.547619047619,892.5373134328358,1462.809917355372,968.1776556776557,1143.75
BISHAN,1991-01,very low,85000.0,37000.0,240000.0,61500.0,105000.0,1000.0,544.1176470588235,1610.7382550335572,812.1890547263681,1010.7600732600733
