town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BISHAN,1990-01,high,3 ROOM,39500.0,39000.0,40000.0,39250.0,39750.0,585.1624231782265,582.0895522388059,588.2352941176471,583.6259877085163,586.6988586479367
BISHAN,1990-01,low,3 ROOM,52900.0,40000.0,58000.0,46450.0,55450.0,789.5522388059702,615.3846153846154,865.6716417910447,702.4684270952928,827.6119402985075
BISHAN,1990-01,mid,3 ROOM,59800.0,59800.0,59800.0,59800.0,59800.0,892.5373134328358,892.5373134328358,892.5373134328358,892.5373134328358,892.5373134328358
BISHAN,1990-01,mid,5 ROOM,145000.0,145000.0,145000.0,145000.0,145000.0,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166,1198.3471074380166
BISHAN,1990-01,very low,4 ROOM,97500.0,97500.0,97500.0,97500.0,97500.0,984.8484848484849,984.8484848484849,984.8484848484849,984.8484848484849,984.8484848484849
BISHAN,1990-02,high,5 ROOM,139000.0,139000.0,139000.0,139000.0,139000.0,1148.7603305785124,1148.7603305785124,1148.7603305785124,1148.7603305785124,1148.7603305785124
BISHAN,1990-02,low,3 ROOM,59400.0,59000.0,59800.0,59200.0,59600.0,886.5671641791046,880.5970149253732,892.5373134328358,883.5820895522388,889.5522388059702
BISHAN,1990-02,mid,3 ROOM,42000.0,40000.0,44000.0,41000.0,43000.0,636.0505166475316,615.3846153846154,656.7164179104477,625.7175660160734,646.3834672789897
BISHAN,1990-02,mid,5 ROOM,180000.0,180000.0,180000.0,180000.0,180000.0,1487.603305785124,1487.603305785124,1487.603305785124,1487.603305785124,1487.603305785124
BISHAN,1990-03,high,3 ROOM,38000.0,37000.0,39000.0,37500.0,38500.0,584.6153846153846,569.2307692307693,600.0,576.9230769230769,592.3076923076924
BISHAN,1990-03,low,4 ROOM,91000.0,91000.0,91000.0,91000.0,91000.0,919.1919191919192,919.1919191919192,919.1919191919192,919.1919191919192,919.1919191919192
BISHAN,1990-03,mid,3 ROOM,48300.0,37000.0,59600.0,42650.0,53950.0,729.3915040183697,569.2307692307693,889.5522388059702,649.3111366245695,809.47187141217
BISHAN,1990-03,mid,5 ROOM,138500.0,120000.0,157000.0,129250.0,147750.0,1123.8677685950413,991.7355371900826,1256.0,1057.8016528925618,1189.9338842975208
BISHAN,1990-03,very low,3 ROOM,49500.0,34000.0,65000.0,41750.0,57250.0,735.0746268656717,500.0,970.1492537313433,617.5373134328358,852.6119402985074
BISHAN,1990-03,very low,5 ROOM,168000.0,168000.0,168000.0,168000.0,168000.0,1388.4297520661157,1388.4297520661157,1388.4297520661157,1388.4297520661157,1388.4297520661157
BISHAN,1990-03,very low,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1360.0,1360.0,1360.0,1360.0,1360.0
BISHAN,1990-04,high,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,895.5223880597015,895.5223880597015,895.5223880597015,895.5223880597015,895.5223880597015
BISHAN,1990-04,high,4 ROOM,66000.0,66000.0,66000.0,66000.0,66000.0,694.7368421052631,694.7368421052631,694.7368421052631,694.7368421052631,694.7368421052631
BISHAN,1990-04,low,3 ROOM,59600.0,58000.0,60000.0,58800.0,59800.0,889.5522388059702,865.6716417910447,895.5223880597015,877.6119402985075,892.5373134328358
BISHAN,1990-04,mid,3 ROOM,48500.0,38000.0,59000.0,43250.0,53750.0,732.6061997703789,584.6153846153846,880.5970149253732,658.6107921928817,806.6016073478761
BISHAN,1990-04,very low,EXECUTIVE,226000.0,226000.0,226000.0,226000.0,226000.0,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452,1547.945205479452
BISHAN,1990-05,high,4 ROOM,71500.0,71500.0,71500.0,71500.0,71500.0,812.5,812.5,812.5,812.5,812.5
BISHAN,1990-05,low,4 ROOM,70000.0,70000.0,70000.0,70000.0,70000.0,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455,795.4545454545455
BISHAN,1990-05,very low,5 ROOM,188000.0,188000.0,188000.0,188000.0,188000.0,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463,1553.719008264463
BISHAN,1990-06,high,3 ROOM,48000.0,48000.0,48000.0,48000.0,48000.0,716.4179104477612,716.4179104477612,716.4179104477612,716.4179104477612,716.4179104477612
BISHAN,1990-06,high,4 ROOM,105000.0,90000.0,120000.0,97500.0,112500.0,1106.7193675889328,909.0909090909091,1304.3478260869565,1007.905138339921,1205.5335968379447
BISHAN,1990-06,mid,5 ROOM,185000.0,185000.0,185000.0,185000.0,185000.0,1528.9256198347107,1528.9256198347107,1528.9256198347107,1528.9256198347107,1528.9256198347107
BISHAN,1990-06,very low,3 ROOM,45000.0,45000.0,45000.0,45000.0,45000.0,671.6417910447761,671.6417910447761,671.6417910447761,671.6417910447761,671.6417910447761
