town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,1 ROOM,07 TO 09,8150.0,7300.0,9500.0,7300.0,9125.0,279.08787541713014,235.48387096774192,310.3448275862069,247.66407119021133,307.4249165739711
BUKIT MERAH,1990-01,1 ROOM,10 TO 12,7300.0,7300.0,7300.0,7300.0,7300.0,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448
BUKIT MERAH,1990-01,2 ROOM,04 TO 06,23000.0,23000.0,23000.0,23000.0,23000.0,450.98039215686276,450.98039215686276,450.98039215686276,450.98039215686276,450.98039215686276
BUKIT MERAH,1990-01,3 ROOM,01 TO 03,42500.0,22000.0,67900.0,33250.0,50750.0,674.5093666369313,379.3103448275862,1013.4328358208955,527.4011299435028,710.924543946932
BUKIT MERAH,1990-01,3 ROOM,04 TO 06,45500.0,24000.0,84000.0,40000.0,55500.0,692.3076923076923,363.6363636363636,1150.6849315068494,670.1518820162887,834.4748858447489
BUKIT MERAH,1990-01,3 ROOM,07 TO 09,44000.0,23000.0,83500.0,32000.0,51000.0,687.5,413.7931034482759,1128.3783783783783,542.3728813559322,773.3333333333334
BUKIT MERAH,1990-01,3 ROOM,10 TO 12,45500.0,25000.0,61000.0,30500.0,52750.0,722.2222222222222,406.25,910.4477611940298,473.4848484848485,796.552124448572
BUKIT MERAH,1990-01,3 ROOM,13 TO 15,45000.0,32000.0,53500.0,45000.0,45500.0,692.3076923076923,533.3333333333334,906.7796610169491,692.3076923076923,771.1864406779661
BUKIT MERAH,1990-01,3 ROOM,16 TO 18,45150.0,42300.0,48000.0,43725.0,46575.0,641.1740890688259,631.578947368421,650.7692307692307,636.3765182186235,645.9716599190283
BUKIT MERAH,1990-01,3 ROOM,19 TO 21,48000.0,48000.0,48000.0,48000.0,48000.0,738.4615384615385,738.4615384615385,738.4615384615385,738.4615384615385,738.4615384615385
BUKIT MERAH,1990-01,4 ROOM,01 TO 03,99250.0,93500.0,105000.0,96375.0,102125.0,1049.4505494505493,1027.4725274725274,1071.4285714285713,1038.4615384615383,1060.4395604395604
BUKIT MERAH,1990-01,4 ROOM,04 TO 06,93750.0,64000.0,128380.0,85375.0,103345.0,1042.490118577075,864.8648648648649,1246.4077669902913,970.292303172738,1121.2610326566637
BUKIT MERAH,1990-01,4 ROOM,07 TO 09,111000.0,64000.0,142000.0,91250.0,125500.0,1144.230769230769,864.8648648648649,1365.3846153846155,1023.3516483516484,1236.2637362637363
BUKIT MERAH,1990-01,4 ROOM,10 TO 12,144000.0,144000.0,144000.0,144000.0,144000.0,1398.0582524271845,1398.0582524271845,1398.0582524271845,1398.0582524271845,1398.0582524271845
BUKIT MERAH,1990-01,4 ROOM,13 TO 15,101000.0,101000.0,101000.0,101000.0,101000.0,1231.7073170731708,1231.7073170731708,1231.7073170731708,1231.7073170731708,1231.7073170731708
BUKIT MERAH,1990-01,4 ROOM,16 TO 18,75000.0,75000.0,75000.0,75000.0,75000.0,852.2727272727273,852.2727272727273,852.2727272727273,852.2727272727273,852.2727272727273
BUKIT MERAH,1990-01,5 ROOM,01 TO 03,135250.0,125000.0,145500.0,130125.0,140375.0,1166.7967298402082,1068.3760683760684,1265.2173913043478,1117.5863991081383,1216.0070605722779
BUKIT MERAH,1990-01,5 ROOM,04 TO 06,180000.0,139000.0,180000.0,159500.0,180000.0,1333.3333333333333,1130.081300813008,1487.603305785124,1231.7073170731705,1410.4683195592286
BUKIT MERAH,1990-01,5 ROOM,07 TO 09,196000.0,196000.0,196000.0,196000.0,196000.0,1675.2136752136753,1675.2136752136753,1675.2136752136753,1675.2136752136753,1675.2136752136753
BUKIT MERAH,1990-01,5 ROOM,10 TO 12,170000.0,170000.0,170000.0,170000.0,170000.0,1278.1954887218046,1278.1954887218046,1278.1954887218046,1278.1954887218046,1278.1954887218046
BUKIT MERAH,1990-01,5 ROOM,13 TO 15,195000.0,195000.0,195000.0,195000.0,195000.0,1638.6554621848738,1638.6554621848738,1638.6554621848738,1638.6554621848738,1638.6554621848738
BUKIT MERAH,1990-01,5 ROOM,16 TO 18,180000.0,180000.0,180000.0,180000.0,180000.0,1374.0458015267175,1374.0458015267175,1374.0458015267175,1374.0458015267175,1374.0458015267175
BUKIT MERAH,1990-02,1 ROOM,01 TO 03,7300.0,7300.0,10000.0,7300.0,8000.0,260.7142857142857,251.72413793103448,357.14285714285717,258.06451612903226,260.7142857142857
BUKIT MERAH,1990-02,1 ROOM,04 TO 06,7300.0,7300.0,7300.0,7300.0,7300.0,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448
BUKIT MERAH,1990-02,1 ROOM,07 TO 09,7300.0,7300.0,7500.0,7300.0,7400.0,251.72413793103448,251.72413793103448,258.62068965517244,251.72413793103448,255.17241379310346
BUKIT MERAH,1990-02,1 ROOM,10 TO 12,7500.0,7500.0,7500.0,7500.0,7500.0,258.62068965517244,258.62068965517244,258.62068965517244,258.62068965517244,258.62068965517244
BUKIT MERAH,1990-02,2 ROOM,04 TO 06,15500.0,15500.0,15500.0,15500.0,15500.0,378.0487804878049,378.0487804878049,378.0487804878049,378.0487804878049,378.0487804878049
BUKIT MERAH,1990-02,3 ROOM,01 TO 03,44250.0,28000.0,59000.0,39250.0,48875.0,680.7692307692307,518.5185185185185,880.5970149253732,625.7834757834758,745.1492537313433
BUKIT MERAH,1990-02,3 ROOM,04 TO 06,35000.0,26000.0,50000.0,30500.0,45000.0,593.2203389830509,433.3333333333333,746.2686567164179,541.8931883594499,641.025641025641
BUKIT MERAH,1990-02,3 ROOM,07 TO 09,47000.0,22000.0,62000.0,38500.0,54500.0,753.968253968254,392.85714285714283,925.3731343283582,599.6336996336996,843.9572586588063
BUKIT MERAH,1990-02,3 ROOM,10 TO 12,55600.0,32000.0,77500.0,46625.0,66375.0,880.4452314697699,500.0,1076.388888888889,736.8644067796611,968.5756002595717
BUKIT MERAH,1990-02,3 ROOM,13 TO 15,24000.0,24000.0,24000.0,24000.0,24000.0,375.0,375.0,375.0,375.0,375.0
BUKIT MERAH,1990-02,3 ROOM,16 TO 18,45750.0,45500.0,46000.0,45625.0,45875.0,739.4393741851369,707.6923076923077,771.1864406779661,723.5658409387223,755.3129074315515
BUKIT MERAH,1990-02,3 ROOM,19 TO 21,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
