town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-01,3 ROOM,10 TO 12,40100.0,40000.0,40200.0,40050.0,40150.0,626.7399267399267,615.3846153846154,638.0952380952381,621.0622710622711,632.4175824175824
BUKIT TIMAH,1990-01,4 ROOM,01 TO 03,60000.0,60000.0,60000.0,60000.0,60000.0,659.3406593406594,659.3406593406594,659.3406593406594,659.3406593406594,659.3406593406594
BUKIT TIMAH,1990-01,4 ROOM,04 TO 06,85000.0,85000.0,85000.0,85000.0,85000.0,934.065934065934,934.065934065934,934.065934065934,934.065934065934,934.065934065934
BUKIT TIMAH,1990-02,3 ROOM,07 TO 09,40000.0,40000.0,40000.0,40000.0,40000.0,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842
BUKIT TIMAH,1990-03,5 ROOM,07 TO 09,150000.0,150000.0,150000.0,150000.0,150000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
BUKIT TIMAH,1990-04,5 ROOM,07 TO 09,150000.0,150000.0,150000.0,150000.0,150000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
BUKIT TIMAH,1990-04,5 ROOM,13 TO 15,130000.0,130000.0,130000.0,130000.0,130000.0,1040.0,1040.0,1040.0,1040.0,1040.0
BUKIT TIMAH,1990-05,3 ROOM,04 TO 06,35000.0,35000.0,35000.0,35000.0,35000.0,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385
BUKIT TIMAH,1990-05,3 ROOM,10 TO 12,40000.0,40000.0,40000.0,40000.0,40000.0,616.3328197226501,616.3328197226501,616.3328197226501,616.3328197226501,616.3328197226501
BUKIT TIMAH,1990-06,3 ROOM,04 TO 06,43500.0,40000.0,47000.0,41750.0,45250.0,629.6101159114858,615.3846153846154,643.8356164383562,622.4973656480506,636.7228661749209
BUKIT TIMAH,1990-06,4 ROOM,04 TO 06,84000.0,84000.0,84000.0,84000.0,84000.0,923.0769230769231,923.0769230769231,923.0769230769231,923.0769230769231,923.0769230769231
