town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,2022-09,2 ROOM,350000.0,350000.0,350000.0,350000.0,350000.0,7446.808510638298,7446.808510638298,7446.808510638298,7446.808510638298,7446.808510638298
BUKIT BATOK,2022-11,2 ROOM,333000.0,328000.0,338000.0,330500.0,335500.0,7085.106382978724,6978.723404255319,7191.489361702128,7031.914893617021,7138.297872340426
BUKIT BATOK,2023-01,2 ROOM,360000.0,360000.0,360000.0,360000.0,360000.0,7659.574468085107,7659.574468085107,7659.574468085107,7659.574468085107,7659.574468085107
BUKIT BATOK,2023-02,2 ROOM,330000.0,306000.0,345000.0,316500.0,341250.0,7287.234042553191,6808.510638297872,8052.631578947368,7127.659574468085,7518.477043673012
BUKIT BATOK,2023-03,2 ROOM,333000.0,320000.0,345000.0,326500.0,339000.0,7340.425531914893,7085.106382978724,8648.648648648648,7212.765957446809,7994.53709028177
BUKIT BATOK,2023-04,2 ROOM,339000.0,320000.0,350000.0,324500.0,347500.0,7446.808510638298,7191.489361702128,8421.052631578947,7287.234042553192,8177.491601343784
BUKIT BATOK,2023-05,2 ROOM,354000.0,305000.0,370000.0,320000.0,368000.0,7829.787234042553,6808.510638297872,8026.315789473684,7531.914893617021,7872.340425531915
BUKIT BATOK,2023-06,2 ROOM,342500.0,294000.0,373000.0,315500.0,365750.0,7751.399776035834,6765.95744680851,8105.263157894737,7313.829787234043,7856.382978723404
BUKIT BATOK,2023-07,2 ROOM,325000.0,305000.0,370000.0,321500.0,347500.0,7553.191489361702,6914.893617021276,8368.421052631578,7074.468085106383,7949.328107502799
BUKIT BATOK,2023-08,2 ROOM,322000.0,305000.0,358000.0,320000.0,333750.0,7319.148936170213,6702.127659574468,8648.648648648648,6925.531914893617,7923.992161254199
BUKIT BATOK,2023-09,2 ROOM,338000.0,338000.0,338000.0,338000.0,338000.0,8894.736842105263,8894.736842105263,8894.736842105263,8894.736842105263,8894.736842105263
BUKIT BATOK,2023-10,2 ROOM,336500.0,320000.0,349000.0,329750.0,342250.0,7159.574468085107,6808.510638297872,7425.531914893617,7015.95744680851,7281.914893617021
