town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,1990-01,EXECUTIVE,181000.0,156000.0,210000.0,160000.0,189750.0,1259.8292118840063,1046.979865771812,1489.3617021276596,1073.8255033557048,1292.2230374174615
BUKIT BATOK,1990-02,EXECUTIVE,160000.0,135000.0,188000.0,150000.0,170500.0,1066.6666666666667,897.4358974358975,1253.3333333333333,981.6836058329651,1153.351107842236
BUKIT BATOK,1990-03,EXECUTIVE,180500.0,160000.0,208000.0,163750.0,194625.0,1222.6576576576576,1066.6666666666667,1405.4054054054054,1093.4563758389263,1347.2731719246758
BUKIT BATOK,1990-04,EXECUTIVE,160000.0,130000.0,190000.0,160000.0,165750.0,1077.5510204081634,896.551724137931,1301.3698630136987,1066.6666666666667,1146.2251201098147
BUKIT BATOK,1990-05,EXECUTIVE,171500.0,160000.0,200000.0,160000.0,189375.0,1177.3758865248228,1073.8255033557048,1358.1560283687943,1094.4987540732222,1272.741935483871
BUKIT BATOK,1990-06,EXECUTIVE,167500.0,160000.0,180000.0,160000.0,176250.0,1094.2375924421835,1066.6666666666667,1232.876712328767,1072.0357941834452,1144.2064392286884
BUKIT BATOK,1990-07,EXECUTIVE,160500.0,152000.0,200000.0,160000.0,186500.0,1115.5405405405404,1013.3333333333334,1382.9787234042553,1081.081081081081,1255.241935483871
BUKIT BATOK,1990-08,EXECUTIVE,165000.0,130000.0,195000.0,160000.0,185000.0,1134.7517730496454,890.4109589041096,1392.857142857143,1114.8648648648648,1233.3333333333333
BUKIT BATOK,1990-09,EXECUTIVE,160500.0,140000.0,194000.0,148750.0,182750.0,1080.8089969163793,939.5973154362416,1337.9310344827586,1025.3425615212527,1220.2702702702704
BUKIT BATOK,1990-10,EXECUTIVE,180500.0,157000.0,201000.0,177750.0,190125.0,1230.689655172414,1068.0272108843537,1358.1081081081081,1196.9594594594596,1296.4287425723596
BUKIT BATOK,1990-11,EXECUTIVE,169200.0,160000.0,200000.0,164600.0,184600.0,1151.0204081632653,1134.7517730496454,1333.3333333333333,1142.8860906064554,1242.1768707482993
BUKIT BATOK,1990-12,EXECUTIVE,179500.0,137000.0,210000.0,163750.0,197500.0,1238.063063063063,913.3333333333334,1409.7222222222222,1110.4683450573862,1368.0999851212619
BUKIT BATOK,1991-01,EXECUTIVE,175000.0,150000.0,200000.0,160000.0,186250.0,1156.989247311828,961.5384615384615,1418.4397163120568,1075.4504504504505,1300.1408313908314
BUKIT BATOK,1991-02,EXECUTIVE,161000.0,140000.0,180000.0,159900.0,176000.0,1133.3333333333333,958.9041095890411,1216.2162162162163,1032.1753515301903,1185.2380952380952
BUKIT BATOK,1991-03,EXECUTIVE,181000.0,158000.0,205000.0,162500.0,188500.0,1209.704678882761,1032.258064516129,1464.2857142857142,1078.3333333333335,1268.0272108843537
BUKIT BATOK,1991-04,EXECUTIVE,160000.0,140000.0,196000.0,154500.0,160000.0,1067.1140939597315,933.3333333333334,1306.6666666666667,1026.237276237276,1107.3857649200115
BUKIT BATOK,1991-05,EXECUTIVE,182500.0,160000.0,210000.0,177500.0,190250.0,1239.7260273972602,1073.8255033557048,1448.2758620689656,1199.4166094715167,1290.1008885597926
BUKIT BATOK,1991-06,EXECUTIVE,180000.0,160000.0,193000.0,175000.0,183250.0,1180.6451612903224,1095.890410958904,1368.7943262411347,1144.9403446752099,1242.1985815602836
BUKIT BATOK,1991-07,EXECUTIVE,185000.0,161000.0,218000.0,172220.0,190000.0,1233.3333333333333,1103.8961038961038,1493.150684931507,1156.4666666666667,1279.9319727891157
BUKIT BATOK,1991-08,EXECUTIVE,200000.0,155000.0,235000.0,180000.0,200000.0,1351.3513513513512,1054.421768707483,1609.5890410958905,1232.876712328767,1373.3333333333333
BUKIT BATOK,1991-09,EXECUTIVE,203250.0,160000.0,230000.0,181750.0,212750.0,1365.7657657657658,1045.751633986928,1564.6258503401361,1210.5716878402902,1476.6141392853722
BUKIT BATOK,1991-10,EXECUTIVE,192500.0,160000.0,217000.0,175250.0,203000.0,1332.5426490320106,1045.751633986928,1472.6027397260275,1196.616993706035,1407.142857142857
BUKIT BATOK,1991-11,EXECUTIVE,193000.0,160000.0,220000.0,160000.0,213000.0,1298.7012987012988,1066.6666666666667,1550.0,1073.8255033557048,1466.6666666666667
BUKIT BATOK,1991-12,EXECUTIVE,210000.0,161000.0,213000.0,185500.0,211500.0,1438.3561643835617,1059.2105263157894,1468.9655172413793,1248.7833453496755,1453.6608408124705
BUKIT BATOK,1992-01,EXECUTIVE,185000.0,160000.0,220000.0,162000.0,202000.0,1247.84861257464,1038.9610389610389,1506.849315068493,1087.903374092121,1320.967741935484
BUKIT BATOK,1992-02,EXECUTIVE,199000.0,160000.0,220000.0,175000.0,211250.0,1367.8554558337269,1088.4353741496598,1524.822695035461,1198.6301369863013,1440.9015179563125
BUKIT BATOK,1992-03,EXECUTIVE,201000.0,160000.0,226000.0,186250.0,217750.0,1376.7123287671234,1066.6666666666667,1547.945205479452,1247.108843537415,1460.8447488584475
BUKIT BATOK,1992-04,EXECUTIVE,214000.0,160000.0,245000.0,190000.0,225000.0,1465.7534246575342,1081.081081081081,1611.842105263158,1347.5177304964539,1500.0
BUKIT BATOK,1992-05,EXECUTIVE,213000.0,160000.0,232000.0,160000.0,225750.0,1374.1935483870968,1032.258064516129,1560.8108108108108,1060.3467193328943,1518.294881038212
BUKIT BATOK,1992-06,EXECUTIVE,200000.0,150000.0,227000.0,176750.0,208000.0,1307.18954248366,1027.3972602739725,1621.4285714285713,1208.6727138097,1420.7772093678134
BUKIT BATOK,1992-07,EXECUTIVE,175000.0,159600.0,256000.0,160000.0,206000.0,1198.6301369863013,1073.8255033557048,1753.4246575342465,1097.945205479452,1400.0
BUKIT BATOK,1992-08,EXECUTIVE,192000.0,125000.0,268000.0,160000.0,226250.0,1292.174527468645,856.1643835616438,1823.1292517006802,1064.8026315789475,1560.3945035460993
BUKIT BATOK,1992-09,EXECUTIVE,213500.0,160000.0,249000.0,179000.0,220625.0,1443.3333333333335,1038.7096774193549,1705.4794520547946,1226.2045347189419,1514.6367057461284
BUKIT BATOK,1992-10,EXECUTIVE,210000.0,159600.0,248000.0,178750.0,230750.0,1394.6089262041537,1038.9610389610389,1698.6301369863013,1246.7072706509327,1561.799043941901
BUKIT BATOK,1992-11,EXECUTIVE,200000.0,160000.0,220000.0,190000.0,220000.0,1369.86301369863,1095.890410958904,1506.849315068493,1266.6666666666667,1419.3548387096773
BUKIT BATOK,1992-12,EXECUTIVE,233500.0,200000.0,243000.0,207500.0,240000.0,1586.906244440491,1290.3225806451612,1665.5172413793102,1435.5022831050228,1632.6781326781327
BUKIT BATOK,1993-01,EXECUTIVE,220750.0,210000.0,240000.0,220125.0,224000.0,1501.700680272109,1458.3333333333333,1558.4415584415585,1477.5,1505.9873264374241
BUKIT BATOK,1993-02,EXECUTIVE,225150.0,210000.0,260000.0,210075.0,243750.0,1555.4916618746406,1356.774193548387,1793.103448275862,1422.340425531915,1638.6268819154725
BUKIT BATOK,1993-03,EXECUTIVE,260000.0,200000.0,280000.0,225000.0,267000.0,1733.3333333333333,1379.3103448275863,1844.5945945945946,1480.2631578947369,1804.054054054054
BUKIT BATOK,1993-04,EXECUTIVE,238000.0,160000.0,280000.0,234000.0,252000.0,1567.741935483871,1134.7517730496454,1879.1946308724832,1560.0,1702.7027027027027
BUKIT BATOK,1993-05,EXECUTIVE,250000.0,235000.0,255000.0,240000.0,252000.0,1689.1891891891892,1566.6666666666667,1746.5753424657535,1621.6216216216217,1737.9310344827586
BUKIT BATOK,1993-06,EXECUTIVE,251000.0,228000.0,290000.0,246125.0,268250.0,1710.6164383561645,1520.0,1933.3333333333333,1664.3835616438357,1847.2075869336145
BUKIT BATOK,1993-07,EXECUTIVE,265000.0,213000.0,320000.0,257000.0,270750.0,1790.4109589041095,1448.9795918367347,2206.896551724138,1728.3333333333333,1841.6268272501609
BUKIT BATOK,1993-08,EXECUTIVE,295000.0,220000.0,320000.0,285000.0,305000.0,2006.849315068493,1476.510067114094,2162.162162162162,1966.6666666666667,2089.041095890411
BUKIT BATOK,1993-09,EXECUTIVE,302500.0,250000.0,335000.0,291250.0,322250.0,2044.0639269406392,1724.1379310344828,2263.5135135135133,1971.5753424657535,2149.3993993993995
BUKIT BATOK,1993-10,EXECUTIVE,310000.0,240000.0,357000.0,300000.0,330000.0,2054.794520547945,1632.6530612244899,2462.0689655172414,2013.4228187919464,2263.5135135135133
BUKIT BATOK,1993-11,EXECUTIVE,330000.0,280000.0,380000.0,325000.0,340000.0,2268.9655172413795,1830.0653594771243,2620.689655172414,2198.581560283688,2294.5205479452056
BUKIT BATOK,1993-12,EXECUTIVE,322500.0,273000.0,388000.0,307000.0,335000.0,2120.3049049933716,1869.86301369863,2487.1794871794873,2050.2199413489734,2296.647609147609
BUKIT BATOK,1994-01,EXECUTIVE,329000.0,290000.0,370000.0,321250.0,345250.0,2300.1864801864804,1946.3087248322147,2534.246575342466,2191.780821917808,2345.890410958904
BUKIT BATOK,1994-02,EXECUTIVE,330000.0,294000.0,360000.0,318250.0,340750.0,2250.8266414737836,1979.8657718120805,2400.0,2073.3539549270877,2339.77860839563
BUKIT BATOK,1994-03,EXECUTIVE,339500.0,300000.0,382000.0,322250.0,360000.0,2340.0592373195113,2027.027027027027,2616.4383561643835,2151.4840182648404,2377.638278176348
BUKIT BATOK,1994-04,EXECUTIVE,344500.0,310000.0,370000.0,325250.0,350250.0,2280.4575163398695,2066.6666666666665,2539.0070921985816,2177.0319634703196,2414.5114942528735
BUKIT BATOK,1994-05,EXECUTIVE,362500.0,320000.0,389000.0,332000.0,370000.0,2392.129947380462,2133.3333333333335,2758.8652482269504,2250.165709235528,2484.864864864865
BUKIT BATOK,1994-06,EXECUTIVE,338000.0,280000.0,380000.0,325000.0,360000.0,2253.4246575342468,1917.8082191780823,2620.689655172414,2210.8843537414964,2417.8082191780823
BUKIT BATOK,1994-07,EXECUTIVE,386500.0,317000.0,417000.0,350000.0,393000.0,2612.1004566210045,2091.503267973856,2817.5675675675675,2339.115646258503,2675.9106362311804
BUKIT BATOK,1994-08,EXECUTIVE,375000.0,325000.0,410000.0,360000.0,380000.0,2567.5675675675675,2166.6666666666665,2867.132867132867,2438.0536912751677,2684.3971631205673
BUKIT BATOK,1994-09,EXECUTIVE,390000.0,326000.0,408000.0,358000.0,399000.0,2671.2328767123286,2173.3333333333335,2794.5205479452056,2422.283105022831,2732.876712328767
BUKIT BATOK,1994-10,EXECUTIVE,385000.0,315000.0,430000.0,373750.0,396250.0,2594.520547945205,2157.5342465753424,2925.170068027211,2525.6849315068494,2709.514800268225
BUKIT BATOK,1994-11,EXECUTIVE,376000.0,330000.0,410000.0,355000.0,396250.0,2509.0587715422007,2229.7297297297296,2789.1156462585036,2381.1387568726122,2654.1095890410957
BUKIT BATOK,1994-12,EXECUTIVE,398000.0,350000.0,420000.0,365000.0,405000.0,2726.027397260274,2243.5897435897436,2876.7123287671234,2449.6644295302012,2810.344827586207
BUKIT BATOK,1995-01,EXECUTIVE,365000.0,320000.0,410000.0,346500.0,378250.0,2449.981975486662,2269.503546099291,2751.77304964539,2353.1784335355765,2613.997277676951
BUKIT BATOK,1995-02,EXECUTIVE,382500.0,325000.0,443000.0,359500.0,399000.0,2585.623522458629,2226.027397260274,3034.246575342466,2451.9443216968625,2706.826175490559
BUKIT BATOK,1995-03,EXECUTIVE,380000.0,340000.0,395000.0,367500.0,385500.0,2609.5890410958905,2328.7671232876714,2695.0354609929077,2465.990990990991,2670.3309419115944
BUKIT BATOK,1995-04,EXECUTIVE,395000.0,368000.0,415000.0,370000.0,400000.0,2660.25641025641,2520.5479452054797,2801.418439716312,2534.246575342466,2666.6666666666665
BUKIT BATOK,1995-05,EXECUTIVE,397500.0,390000.0,440000.0,392750.0,404500.0,2668.0180180180178,2600.0,2820.5128205128203,2631.4876957494407,2733.1081081081084
