town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,1990-01,low,70000.0,38000.0,196000.0,46700.0,107500.0,752.6881720430108,500.0,1351.7241379310344,679.920814479638,837.3894499153233
BUKIT BATOK,1990-02,low,71500.0,35000.0,180000.0,50500.0,98000.0,768.8172043010753,514.7058823529412,1232.876712328767,693.2835820895523,902.4085138162808
BUKIT BATOK,1990-03,low,58650.0,36000.0,195000.0,46900.0,88125.0,729.0838120489027,537.3134328358209,1344.8275862068965,696.5845430382335,831.6282551492604
BUKIT BATOK,1990-04,low,59950.0,38000.0,183000.0,46900.0,100000.0,802.054794520548,558.8235294117648,1180.6451612903227,700.0,878.6057692307693
BUKIT BATOK,1990-05,low,49250.0,37000.0,160000.0,45750.0,93725.0,703.4859946841136,552.2388059701492,1223.1404958677685,659.1367486889875,864.0515734265734
BUKIT BATOK,1990-06,low,58650.0,40500.0,180000.0,47125.0,96750.0,767.4657534246576,604.4776119402985,1232.876712328767,654.9781616041295,962.6909905163329
BUKIT BATOK,1990-07,low,71400.0,33000.0,200000.0,55500.0,88170.0,782.1917808219179,550.0,1382.9787234042553,747.300564061241,874.2998506348022
BUKIT BATOK,1990-08,low,83000.0,42000.0,185000.0,49780.0,117800.0,805.8252427184466,575.3424657534247,1233.3333333333333,693.212022081374,975.9199134199134
BUKIT BATOK,1990-09,low,65800.0,46000.0,194000.0,46700.0,80000.0,697.0149253731344,676.4705882352941,1337.9310344827586,686.7664528391542,755.7443365695793
BUKIT BATOK,1990-10,low,90000.0,50000.0,183000.0,64100.0,146500.0,857.1428571428571,606.060606060606,1241.3793103448277,773.484649698242,1059.1269621165898
BUKIT BATOK,1990-11,low,60000.0,40000.0,169000.0,44380.0,117500.0,813.0841121495328,579.7101449275362,1280.3030303030303,652.6470588235294,1050.0557058729905
BUKIT BATOK,1990-12,low,79700.0,40500.0,190000.0,47750.0,141250.0,834.035827186512,630.7692307692307,1266.6666666666667,704.7848990342405,1089.7364306455215
BUKIT BATOK,1991-01,low,71800.0,37000.0,198000.0,60500.0,109625.0,796.1964441853687,544.1176470588235,1404.2553191489362,754.9923195084486,899.3477877666137
BUKIT BATOK,1991-02,low,64000.0,35000.0,177000.0,52500.0,92000.0,771.8120805369127,514.7058823529412,1180.0,698.9247311827957,855.7692307692307
BUKIT BATOK,1991-03,low,61000.0,40000.0,190000.0,45500.0,137500.0,783.7837837837837,589.0410958904109,1266.6666666666667,679.1044776119403,1089.1666666666665
BUKIT BATOK,1991-04,low,56000.0,41000.0,127000.0,46900.0,90000.0,719.1011235955057,594.2028985507246,1038.4615384615386,674.6987951807229,946.6019417475728
BUKIT BATOK,1991-05,low,73500.0,44000.0,187000.0,48500.0,100875.0,793.6367653557224,616.4383561643835,1263.5135135135135,707.6262523001432,991.7360147942672
BUKIT BATOK,1991-06,low,59500.0,38000.0,180000.0,46750.0,76500.0,768.4684684684685,567.1641791044776,1161.2903225806451,678.7800129785853,834.8849581061311
BUKIT BATOK,1991-07,low,55000.0,30000.0,218000.0,46000.0,88340.0,744.7916666666666,468.75,1493.150684931507,640.625,849.4230769230769
BUKIT BATOK,1991-08,low,71000.0,46000.0,235000.0,55000.0,180000.0,752.1367521367522,583.3333333333334,1609.5890410958905,726.1904761904761,1232.876712328767
BUKIT BATOK,1991-09,low,83500.0,40000.0,213000.0,60000.0,149500.0,834.1423948220065,586.3768115942029,1458.9041095890411,777.5869963369963,1112.379162191192
BUKIT BATOK,1991-10,low,56650.0,35000.0,217000.0,46775.0,120000.0,741.2956621004566,546.875,1472.6027397260275,640.8809610484165,954.9825174825176
BUKIT BATOK,1991-11,low,49350.0,30500.0,142000.0,41000.0,89500.0,679.2032484635645,455.2238805970149,1173.5537190082644,575.011944577162,873.4848484848485
BUKIT BATOK,1991-12,low,56500.0,40000.0,213000.0,47500.0,68875.0,711.6454689984103,524.390243902439,1468.9655172413793,680.9416145764064,832.7009844134536
BUKIT BATOK,1992-01,low,68000.0,37000.0,220000.0,45000.0,110500.0,754.7169811320755,487.8048780487805,1506.849315068493,654.7619047619048,1045.4545454545455
BUKIT BATOK,1992-02,low,54000.0,32000.0,220000.0,42500.0,89900.0,726.027397260274,533.3333333333334,1506.849315068493,595.0466547548144,862.1944644140906
BUKIT BATOK,1992-03,low,60000.0,31500.0,220000.0,47000.0,100900.0,817.8737977266103,470.14925373134326,1486.4864864864865,683.9884852094501,858.7864077669902
BUKIT BATOK,1992-04,low,71400.0,26000.0,225000.0,60000.0,91400.0,821.4285714285714,433.3333333333333,1500.0,762.6728110599079,898.2466309230547
BUKIT BATOK,1992-05,low,55000.0,38000.0,232000.0,44000.0,105000.0,746.2686567164179,567.1641791044776,1526.3157894736842,645.1612903225806,1032.258064516129
BUKIT BATOK,1992-06,low,74500.0,36000.0,188000.0,57500.0,135250.0,776.5567765567766,537.3134328358209,1287.6712328767123,701.219512195122,1094.201221769715
BUKIT BATOK,1992-07,low,104500.0,41500.0,256000.0,65250.0,148125.0,1148.8095238095239,620.0,1753.4246575342465,821.1933614330874,1203.863141723211
BUKIT BATOK,1992-08,low,70000.0,36000.0,223000.0,62875.0,132500.0,932.1713351052954,521.7391304347826,1548.611111111111,780.1600738802524,1224.2360337418431
BUKIT BATOK,1992-09,low,57000.0,34000.0,220000.0,47000.0,113000.0,746.2686567164179,492.7536231884058,1506.849315068493,685.8178053830228,1025.977433744424
BUKIT BATOK,1992-10,low,69000.0,31000.0,220000.0,47125.0,141000.0,938.4803921568628,484.375,1436.0902255639098,670.1040172166428,1249.3169398907105
BUKIT BATOK,1992-11,low,76580.0,35000.0,220000.0,52000.0,112500.0,846.1538461538462,546.875,1506.849315068493,738.0952380952381,1182.7956989247311
BUKIT BATOK,1992-12,low,88000.0,38000.0,234000.0,60000.0,127000.0,909.0909090909091,558.8235294117648,1636.3636363636363,737.3737373737374,1096.774193548387
BUKIT BATOK,1993-01,low,65500.0,34500.0,220000.0,42500.0,131500.0,977.6119402985074,514.9253731343283,1506.849315068493,639.0398550724638,1145.6019742640578
BUKIT BATOK,1993-02,low,79000.0,42000.0,245000.0,63000.0,143000.0,889.6358543417366,626.8656716417911,1644.2953020134228,768.5291858678956,1299.1803278688524
BUKIT BATOK,1993-03,low,94000.0,34000.0,273000.0,53200.0,175500.0,915.8878504672897,531.25,1844.5945945945946,689.1270337922404,1438.5245901639346
BUKIT BATOK,1993-04,low,66500.0,47000.0,180000.0,53250.0,106375.0,815.3706688154714,657.5342465753424,1404.9586776859503,728.4034373586612,1203.2052929085303
BUKIT BATOK,1993-05,low,85000.0,30000.0,255000.0,55000.0,146250.0,985.3956026320013,468.75,1746.5753424657535,722.0496894409938,1242.5194970555467
BUKIT BATOK,1993-06,low,88000.0,42000.0,258000.0,65500.0,143000.0,1150.6849315068494,656.25,1726.027397260274,873.7864077669902,1388.3495145631068
BUKIT BATOK,1993-07,low,105000.0,57000.0,273000.0,76125.0,140500.0,1183.0030589174091,890.625,1869.86301369863,1042.4440298507463,1419.850715105961
BUKIT BATOK,1993-08,low,125000.0,57000.0,320000.0,85000.0,160000.0,1365.5913978494623,780.8219178082192,2162.162162162162,1273.972602739726,1516.3934426229507
BUKIT BATOK,1993-09,low,111500.0,60000.0,335000.0,80250.0,140000.0,1297.268907563025,869.5652173913044,2263.5135135135133,1181.453339041096,1434.840425531915
