town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,1990-01,mid,88500.0,46000.0,210000.0,65250.0,155500.0,827.1028037383178,615.8536585365854,1489.3617021276596,683.3333333333333,1155.637948601834
BUKIT BATOK,1990-02,mid,47000.0,34000.0,161000.0,45000.0,78500.0,689.7058823529412,507.46268656716416,1038.7096774193549,641.7910447761194,805.8608058608058
BUKIT BATOK,1990-03,mid,52000.0,33400.0,160000.0,46125.0,70000.0,698.3072442664725,484.05797101449275,1066.6666666666667,677.0765736534718,744.9285001662787
BUKIT BATOK,1990-04,mid,52250.0,42000.0,155000.0,49250.0,60925.0,741.1865431103948,626.8656716417911,1270.4918032786886,682.6175490559052,792.9748241392076
BUKIT BATOK,1990-05,mid,85000.0,45000.0,93500.0,60000.0,87500.0,794.392523364486,661.7647058823529,907.7669902912621,683.0431177446103,845.4536967886482
BUKIT BATOK,1990-06,mid,63750.0,46700.0,115000.0,57000.0,81750.0,778.9707515734913,695.1219512195122,1105.7692307692307,751.1768082663606,837.9301619433198
BUKIT BATOK,1990-07,mid,59700.0,33500.0,140000.0,43000.0,80000.0,769.2307692307693,500.0,1084.1121495327102,626.8656716417911,869.047619047619
BUKIT BATOK,1990-08,mid,95000.0,46000.0,195000.0,46900.0,155000.0,904.7619047619048,689.7058823529412,1392.857142857143,718.75,1156.7164179104477
BUKIT BATOK,1990-09,mid,57000.0,36000.0,160000.0,47000.0,70000.0,670.7317073170732,529.4117647058823,1081.081081081081,640.625,780.8219178082192
BUKIT BATOK,1990-10,mid,77000.0,40000.0,192500.0,47500.0,88000.0,800.0,597.0149253731344,1300.6756756756756,703.6874451273047,885.5177993527508
BUKIT BATOK,1990-11,mid,50800.0,30000.0,109000.0,45850.0,84250.0,697.0149253731344,468.75,935.483870967742,617.9752756431674,838.5482345523329
BUKIT BATOK,1990-12,mid,77000.0,57000.0,125000.0,60000.0,90000.0,827.9569892473119,770.2702702702703,932.8358208955224,821.917808219178,841.1214953271028
BUKIT BATOK,1991-01,mid,60000.0,45000.0,200000.0,53500.0,106000.0,786.7647058823529,574.468085106383,1418.4397163120568,714.2857142857143,1028.301886792453
BUKIT BATOK,1991-02,mid,60000.0,42200.0,180000.0,51250.0,98750.0,774.4793974302172,595.2380952380952,1216.2162162162163,697.7611940298508,852.9919716206124
BUKIT BATOK,1991-03,mid,47000.0,40000.0,60000.0,44500.0,55750.0,691.1764705882352,588.2352941176471,821.917808219178,639.9253731343283,739.0183346065699
BUKIT BATOK,1991-04,mid,58440.0,40000.0,140000.0,43250.0,83750.0,675.8821186778175,597.0149253731344,1000.0,629.1977611940299,873.8804004214962
BUKIT BATOK,1991-05,mid,48500.0,40000.0,200000.0,43625.0,63000.0,686.1679454390452,575.3424657534247,1369.86301369863,641.1075367647059,811.6438356164383
BUKIT BATOK,1991-06,mid,71500.0,37000.0,193000.0,53000.0,93000.0,794.5205479452055,544.1176470588235,1368.7943262411347,632.3529411764706,902.9126213592233
BUKIT BATOK,1991-07,mid,55000.0,38000.0,124000.0,46600.0,86500.0,735.2941176470588,567.1641791044776,1192.3076923076924,669.2927170868347,846.2320850670365
BUKIT BATOK,1991-08,mid,47000.0,37000.0,110000.0,42000.0,87000.0,691.1764705882352,544.1176470588235,1018.5185185185185,626.8656716417911,840.5059746079164
