town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,1990-01,very low,71600.0,46700.0,195000.0,54200.0,122250.0,780.8219178082192,559.1397849462365,1266.2337662337663,698.5074626865671,953.1015833713429
BUKIT BATOK,1990-02,very low,46950.0,39000.0,135000.0,46275.0,75700.0,695.5882352941176,534.2465753424658,924.6575342465753,675.5191434133679,788.7872208436725
BUKIT BATOK,1990-03,very low,60500.0,30000.0,109000.0,46900.0,82000.0,715.3799019607843,447.76119402985074,900.8264462809917,686.6342504743833,788.7400270961915
BUKIT BATOK,1990-04,very low,56000.0,37000.0,190000.0,46700.0,88500.0,701.4925373134329,487.8048780487805,1301.3698630136987,682.9268292682926,845.4545454545455
BUKIT BATOK,1990-05,very low,83000.0,42200.0,191500.0,61400.0,86550.0,849.0384615384615,629.8507462686567,1358.1560283687943,776.3943248532289,902.1505376344087
BUKIT BATOK,1990-06,very low,58950.0,40000.0,175000.0,42375.0,87600.0,693.8709677419355,577.4647887323944,1114.6496815286623,602.7611940298508,869.1199498903852
BUKIT BATOK,1990-07,very low,71000.0,39000.0,161000.0,57225.0,90625.0,777.5731210662718,573.5294117647059,1150.0,704.7848990342405,876.6354823401803
BUKIT BATOK,1990-08,very low,80000.0,46900.0,159000.0,71000.0,88000.0,763.4408602150538,595.2380952380952,1195.4887218045112,718.4466019417475,860.2150537634409
BUKIT BATOK,1990-09,very low,48000.0,35000.0,161000.0,40500.0,105000.0,716.4179104477612,514.7058823529412,1080.5369127516778,595.9911361804996,931.3371192565824
BUKIT BATOK,1990-10,very low,80000.0,34000.0,201000.0,50000.0,109000.0,851.063829787234,500.0,1358.1081081081081,709.6774193548387,980.5825242718447
BUKIT BATOK,1990-11,very low,65000.0,40000.0,169200.0,57500.0,113250.0,794.5205479452054,563.3802816901408,1195.5223880597016,718.0059523809524,927.0703611457036
BUKIT BATOK,1990-12,very low,72000.0,47000.0,180000.0,61500.0,99750.0,774.1935483870968,652.7777777777778,1276.595744680851,730.6877559666714,948.3032392704836
BUKIT BATOK,1991-01,very low,68000.0,34000.0,150000.0,60000.0,75750.0,738.7237055016182,561.6438356164383,961.5384615384615,675.394096931075,818.05125939019
BUKIT BATOK,1991-02,very low,88000.0,35500.0,175000.0,47525.0,120875.0,850.5177993527508,520.5479452054794,1254.0983606557377,685.3898066075745,1007.1270942172581
BUKIT BATOK,1991-03,very low,68830.0,38000.0,188000.0,47525.0,87250.0,772.2319093286835,527.7777777777778,1272.108843537415,630.0434782608695,816.4382160392798
BUKIT BATOK,1991-04,very low,70000.0,38500.0,160000.0,51950.0,73250.0,730.3370786516854,601.5625,1118.881118881119,706.6666666666667,789.3471291168755
BUKIT BATOK,1991-05,very low,57100.0,38000.0,210000.0,45250.0,85000.0,695.8682198762286,506.6666666666667,1448.2758620689656,599.3055555555555,885.0333974866976
BUKIT BATOK,1991-06,very low,60250.0,38000.0,180000.0,55250.0,76500.0,763.7759118341643,561.7977528089888,1200.0,666.4038811400849,790.5891980360066
BUKIT BATOK,1991-07,very low,58500.0,35000.0,195000.0,46925.0,88000.0,762.7513844360244,546.875,1326.530612244898,679.9872122762149,855.185071215052
BUKIT BATOK,1991-08,very low,80250.0,37000.0,160000.0,47000.0,104250.0,801.7176997759523,552.2388059701492,1066.6666666666667,690.4466637401229,874.5908346972177
BUKIT BATOK,1991-09,very low,87000.0,30000.0,202000.0,58500.0,114000.0,798.1651376146789,454.54545454545456,1364.8648648648648,711.0754414125201,1025.1906318082788
BUKIT BATOK,1991-10,very low,57120.0,36000.0,160000.0,46900.0,124000.0,780.8219178082192,521.7391304347826,1188.5245901639344,686.5671641791045,1045.751633986928
BUKIT BATOK,1991-11,very low,50000.0,25000.0,200000.0,41750.0,79500.0,731.1827956989247,416.6666666666667,1312.9251700680272,633.7453358208955,812.4399871972687
BUKIT BATOK,1991-12,very low,56000.0,43000.0,161000.0,48500.0,68000.0,693.8775510204082,595.2380952380952,1059.2105263157894,638.5172798216277,768.6967789707517
BUKIT BATOK,1992-01,very low,85000.0,36000.0,205000.0,65000.0,118000.0,846.1538461538462,521.7391304347826,1374.1496598639455,737.7049180327868,1038.9610389610389
BUKIT BATOK,1992-02,very low,76400.0,29000.0,215000.0,62000.0,160000.0,812.7659574468086,483.3333333333333,1524.822695035461,729.4598436389481,1144.9601308525864
BUKIT BATOK,1992-03,very low,64260.0,37000.0,200000.0,54000.0,73000.0,754.7008547008547,520.8333333333334,1369.86301369863,677.4193548387096,794.5205479452055
BUKIT BATOK,1992-04,very low,84000.0,35000.0,214000.0,58750.0,120750.0,834.035827186512,514.7058823529412,1465.7534246575342,758.3444592790388,1039.5010395010395
BUKIT BATOK,1992-05,very low,56000.0,40000.0,160000.0,46700.0,65000.0,686.7647058823529,597.0149253731344,1088.4353741496598,662.1621621621622,761.9047619047619
BUKIT BATOK,1992-06,very low,75500.0,40000.0,215000.0,55500.0,103135.0,811.8279569892474,540.5405405405405,1442.9530201342282,729.3762575452716,1024.4230463154545
BUKIT BATOK,1992-07,very low,77000.0,35000.0,165000.0,51250.0,107250.0,851.9140905823149,522.3880597014926,1173.076923076923,698.134328358209,1036.0576923076924
BUKIT BATOK,1992-08,very low,62000.0,35000.0,230000.0,55250.0,151250.0,802.1917808219177,514.7058823529412,1503.2679738562092,762.4007936507937,1008.448990627253
BUKIT BATOK,1992-09,very low,80000.0,39000.0,226000.0,60000.0,102000.0,773.8095238095239,559.7222222222222,1547.945205479452,695.1219512195122,980.7692307692307
BUKIT BATOK,1992-10,very low,71450.0,36000.0,248000.0,49250.0,123125.0,757.5429305087466,553.8461538461538,1698.6301369863013,683.9884852094501,1062.7413127413129
BUKIT BATOK,1992-11,very low,70000.0,35000.0,164000.0,55000.0,104000.0,797.1014492753624,522.3880597014926,1355.3719008264463,714.2857142857143,1095.890410958904
BUKIT BATOK,1992-12,very low,61500.0,35000.0,200000.0,47500.0,103000.0,787.6712328767123,514.7058823529412,1369.86301369863,644.1595705294335,1039.3928416171568
BUKIT BATOK,1993-01,very low,63000.0,35000.0,240000.0,48500.0,120000.0,761.9047619047619,546.875,1558.4415584415585,652.8378378378378,1072.7908455181182
BUKIT BATOK,1993-02,very low,73170.0,31000.0,210300.0,44750.0,150000.0,762.3015962866523,462.6865671641791,1510.4166666666667,619.4349315068494,1262.701011073664
BUKIT BATOK,1993-03,very low,86500.0,26000.0,267000.0,61500.0,145500.0,1003.4298780487804,433.3333333333333,1804.054054054054,818.4602212855636,1309.9173553719008
BUKIT BATOK,1993-04,very low,111000.0,47000.0,280000.0,84750.0,188000.0,1096.2220403709766,701.4925373134329,1879.1946308724832,955.4794520547945,1452.4134790528233
BUKIT BATOK,1993-05,very low,114000.0,65000.0,220000.0,104000.0,142000.0,1183.952576549664,902.7777777777778,1666.6666666666667,1050.561797752809,1367.799539170507
BUKIT BATOK,1993-06,very low,117500.0,61000.0,266000.0,101500.0,132000.0,1254.8705460138426,847.2222222222222,1821.9178082191781,1132.3529411764705,1343.8709677419354
BUKIT BATOK,1993-07,very low,118000.0,55000.0,265000.0,75000.0,194000.0,1250.0,859.375,1879.4326241134752,1089.55223880597,1503.7593984962407
