town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT BATOK,1990-01,72000.0,38000.0,210000.0,55700.0,158000.0,780.8219178082192,500.0,1489.3617021276596,698.5074626865671,1062.2589531680442
BUKIT BATOK,1990-02,70000.0,34000.0,188000.0,46900.0,100000.0,739.9164054336468,507.46268656716416,1253.3333333333333,677.9920523609163,900.7281553398059
BUKIT BATOK,1990-03,70000.0,30000.0,208000.0,46900.0,88500.0,752.6881720430108,447.76119402985074,1405.4054054054054,689.7058823529412,859.2233009708738
BUKIT BATOK,1990-04,59900.0,37000.0,190000.0,46975.0,104500.0,782.1917808219177,487.8048780487805,1301.3698630136987,691.6572398190045,900.8310592904986
BUKIT BATOK,1990-05,84800.0,36000.0,200000.0,54400.0,122500.0,849.0384615384615,537.3134328358209,1358.1560283687943,703.4859946841136,1007.6449513044356
BUKIT BATOK,1990-06,65000.0,40000.0,180000.0,46850.0,96000.0,769.7505197505197,577.4647887323944,1263.157894736842,683.4747495399713,860.3435399551904
BUKIT BATOK,1990-07,71450.0,33000.0,200000.0,47000.0,102500.0,782.1917808219179,500.0,1382.9787234042553,687.0294117647059,946.5298142717497
BUKIT BATOK,1990-08,80000.0,36000.0,195000.0,49560.0,127000.0,808.0808080808081,529.4117647058823,1392.857142857143,697.0149253731344,961.3636363636364
BUKIT BATOK,1990-09,60000.0,35000.0,194000.0,46700.0,109000.0,728.1553398058253,514.7058823529412,1337.9310344827586,642.1487603305785,909.0909090909091
BUKIT BATOK,1990-10,88000.0,34000.0,201000.0,60050.0,146250.0,852.7163809130345,500.0,1358.1081081081081,738.0377524143986,1059.7648233401742
BUKIT BATOK,1990-11,62000.0,30000.0,200000.0,46975.0,116250.0,795.936512118019,468.75,1333.3333333333333,642.8349743150685,938.5532017332691
BUKIT BATOK,1990-12,88000.0,40500.0,210000.0,58500.0,136000.0,833.3962264150944,626.8656716417911,1409.7222222222222,740.830755634114,1060.0210600210598
BUKIT BATOK,1991-01,71800.0,34000.0,200000.0,57000.0,109250.0,797.5848188614145,537.3134328358209,1418.4397163120568,733.5451170759566,932.1321882001494
BUKIT BATOK,1991-02,65000.0,35000.0,180000.0,46925.0,107500.0,776.4410364886304,514.7058823529412,1254.0983606557377,686.7647058823529,942.7357744994731
BUKIT BATOK,1991-03,55500.0,38000.0,205000.0,46000.0,90750.0,736.4995178399229,527.7777777777778,1464.2857142857142,671.5320456540826,860.3435399551904
BUKIT BATOK,1991-04,64200.0,38500.0,196000.0,46700.0,93750.0,730.3370786516854,575.3424657534247,1306.6666666666667,647.4100087796312,939.9676375404531
BUKIT BATOK,1991-05,60000.0,38000.0,210000.0,45500.0,105250.0,761.9047619047619,506.6666666666667,1448.2758620689656,644.7716346153846,945.9891339085971
