town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,5 ROOM,180000.0,125000.0,196000.0,145500.0,180000.0,1333.3333333333333,1068.3760683760684,1675.2136752136753,1265.2173913043478,1487.603305785124
BUKIT MERAH,1990-02,5 ROOM,157000.0,130000.0,184800.0,137500.0,176700.0,1288.4876424638237,1065.5737704918033,1487.179487179487,1187.4460742018982,1383.47370391166
BUKIT MERAH,1990-03,5 ROOM,143000.0,125000.0,165000.0,125000.0,160000.0,1195.6521739130435,1068.3760683760684,1311.4754098360656,1096.4912280701753,1222.2222222222222
BUKIT MERAH,1990-04,5 ROOM,132650.0,125000.0,159300.0,125075.0,153500.0,1149.5051731893836,1041.6666666666667,1361.5384615384614,1069.017094017094,1311.2548319952423
BUKIT MERAH,1990-05,5 ROOM,173500.0,155000.0,224186.0,160250.0,194796.5,1366.587736789631,1313.5593220338983,1427.936305732484,1348.6104187437686,1386.6450933822734
BUKIT MERAH,1990-06,5 ROOM,162500.0,125000.0,237000.0,133100.0,178125.0,1337.3865329901098,1016.260162601626,1809.1603053435115,1120.7555903717418,1475.9224515322076
BUKIT MERAH,1990-07,5 ROOM,173500.0,106000.0,200000.0,152500.0,181250.0,1392.395596505923,905.982905982906,1538.4615384615386,1255.287291783642,1475.8225324027917
BUKIT MERAH,1990-08,5 ROOM,180000.0,115000.0,230000.0,165000.0,187500.0,1466.6666666666667,982.9059829059829,1726.4957264957266,1368.9458689458688,1534.7706879361913
BUKIT MERAH,1990-09,5 ROOM,163900.0,100000.0,182000.0,134250.0,170450.0,1339.1965834779128,854.7008547008547,1504.1322314049587,1114.1930788063257,1436.4406779661017
BUKIT MERAH,1990-10,5 ROOM,177500.0,143000.0,208000.0,171250.0,183750.0,1504.1657688716512,1222.2222222222222,1762.7118644067796,1492.352676563203,1515.4463424714147
BUKIT MERAH,1990-11,5 ROOM,161000.0,125000.0,168000.0,125000.0,163000.0,1175.1824817518248,1050.420168067227,1417.391304347826,1059.322033898305,1344.0
