town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,48000.0,7300.0,196000.0,37500.0,77500.0,738.4615384615385,235.48387096774192,1675.2136752136753,571.7200251098557,1008.6697722567287
BUKIT MERAH,1990-02,45500.0,7300.0,184800.0,24000.0,62000.0,700.0,251.72413793103448,1487.179487179487,392.85714285714283,913.4328358208955
BUKIT MERAH,1990-03,54750.0,18900.0,165000.0,43750.0,80250.0,822.8188952146484,356.60377358490564,1436.893203883495,682.6494201605709,1016.6885353452517
BUKIT MERAH,1990-04,45000.0,7000.0,159300.0,28000.0,63000.0,706.6666666666666,241.3793103448276,1361.5384615384614,500.9433962264151,878.0413003475771
BUKIT MERAH,1990-05,49750.0,6000.0,224186.0,43850.0,75000.0,760.5225988700565,206.89655172413794,1427.936305732484,660.0877192982457,910.9756097560976
BUKIT MERAH,1990-06,52000.0,7300.0,237000.0,38500.0,117500.0,774.4233378561737,241.93548387096774,1809.1603053435115,600.8586083853702,1040.5334249084249
BUKIT MERAH,1990-07,52000.0,5000.0,200000.0,42000.0,92650.0,771.1864406779661,161.29032258064515,1538.4615384615386,668.4315684315684,1099.4561634805536
BUKIT MERAH,1990-08,56000.0,7300.0,230000.0,44750.0,129000.0,803.313938780673,251.72413793103448,1726.4957264957266,659.9813432835821,1313.4257047300525
BUKIT MERAH,1990-09,54500.0,8500.0,182000.0,44125.0,92250.0,790.0049850448654,274.19354838709677,1504.1322314049587,666.6666666666666,1000.0
BUKIT MERAH,1990-10,54000.0,7300.0,208000.0,46675.0,102750.0,837.2770294867128,251.72413793103448,1762.7118644067796,747.6289682539683,1141.2012644889357
BUKIT MERAH,1990-11,51000.0,7300.0,168000.0,30000.0,74250.0,780.2414673786859,235.48387096774192,1500.0,517.3783515392254,918.220694281402
BUKIT MERAH,1990-12,47500.0,7300.0,190000.0,35550.0,77000.0,770.2086049543677,251.72413793103448,1684.7826086956522,596.1538461538462,914.6341463414634
BUKIT MERAH,1991-01,64200.0,10400.0,200000.0,44000.0,100000.0,892.8571428571429,326.53061224489795,1526.7175572519084,694.9152542372881,1098.901098901099
BUKIT MERAH,1991-02,45600.0,7300.0,202000.0,26850.0,74700.0,766.9491525423729,251.72413793103448,1758.2417582417581,494.7970268724986,910.4477611940298
BUKIT MERAH,1991-03,45750.0,7300.0,191000.0,34225.0,94250.0,771.1864406779661,251.72413793103448,1632.4786324786326,522.7702948671277,1034.345584939489
BUKIT MERAH,1991-04,47000.0,7500.0,192080.0,36000.0,61000.0,737.2881355932203,241.93548387096774,1615.3846153846155,603.2818532818533,910.4477611940298
BUKIT MERAH,1991-05,50000.0,7300.0,190000.0,31300.0,107000.0,757.1428571428571,235.48387096774192,1703.2967032967033,552.2496371552975,1159.4022415940224
BUKIT MERAH,1991-06,57000.0,8000.0,200000.0,45375.0,102500.0,841.5370327374042,274.19354838709677,1515.1515151515152,710.8213820078228,1110.969387755102
