town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,high,46750.0,7300.0,195000.0,42975.0,71500.0,754.8239895697523,251.72413793103448,1638.6554621848738,636.3765182186235,909.5307361497596
BUKIT MERAH,1990-02,high,61200.0,7500.0,184800.0,45500.0,92000.0,913.4328358208955,258.62068965517244,1487.179487179487,700.0,1076.388888888889
BUKIT MERAH,1990-03,high,57750.0,37500.0,160000.0,47250.0,78400.0,869.0068493150685,614.7540983606557,1311.4754098360656,724.4755244755245,920.408550467999
BUKIT MERAH,1990-04,high,52700.0,7000.0,159300.0,42000.0,85000.0,762.7118644067797,241.3793103448276,1361.5384615384614,644.7368421052631,1021.978021978022
BUKIT MERAH,1990-05,high,58000.0,6000.0,224186.0,47850.0,83300.0,835.6164383561644,206.89655172413794,1427.936305732484,763.7820512820513,1110.6666666666667
BUKIT MERAH,1990-06,high,61000.0,16200.0,190000.0,45250.0,127700.0,910.4477611940298,344.6808510638298,1550.8474576271187,672.0338983050847,1155.2151238591916
BUKIT MERAH,1990-07,high,52800.0,7300.0,185000.0,45000.0,103000.0,771.1864406779661,251.72413793103448,1528.9256198347107,735.5932203389831,1119.5652173913043
BUKIT MERAH,1990-08,high,150000.0,7300.0,230000.0,53500.0,178500.0,1340.6593406593406,251.72413793103448,1726.4957264957266,765.9713168187745,1491.4529914529915
BUKIT MERAH,1990-09,high,45700.0,26500.0,100000.0,45250.0,91500.0,771.1864406779661,449.1525423728813,1134.1463414634147,697.6923076923076,916.480862133036
BUKIT MERAH,1990-10,high,52700.0,7300.0,185000.0,49500.0,146500.0,889.8305084745763,251.72413793103448,1516.3934426229507,742.4007936507937,1339.2664509169363
BUKIT MERAH,1990-11,high,52000.0,8000.0,168000.0,45000.0,74000.0,813.5593220338983,275.86206896551727,1500.0,700.0,910.4477611940298
BUKIT MERAH,1990-12,high,60500.0,21420.0,190000.0,44250.0,110875.0,869.300756491515,412.6984126984127,1623.931623931624,676.3850240323804,1124.7502497502496
BUKIT MERAH,1991-01,high,90000.0,20000.0,200000.0,50750.0,125000.0,1018.2926829268292,425.531914893617,1526.7175572519084,734.3220338983051,1130.298273155416
BUKIT MERAH,1991-02,high,53250.0,7300.0,202000.0,40750.0,132500.0,840.8171009359979,251.72413793103448,1726.4957264957266,663.3354653022066,1156.0970419238135
BUKIT MERAH,1991-03,high,73500.0,7300.0,183000.0,46300.0,111500.0,879.5212301240608,251.72413793103448,1516.6666666666667,738.6452353616532,1244.4326617179215
BUKIT MERAH,1991-04,high,50000.0,16500.0,189000.0,40250.0,115750.0,775.2403846153846,351.06382978723406,1615.3846153846155,639.0109890109891,1161.9897959183675
BUKIT MERAH,1991-05,high,55900.0,9000.0,190000.0,34250.0,113750.0,811.6801768607222,290.3225806451613,1623.931623931624,605.2926127278541,1230.7692307692307
BUKIT MERAH,1991-06,high,64500.0,45500.0,200000.0,50000.0,130000.0,923.0769230769231,631.9444444444445,1515.1515151515152,809.3220338983051,1159.05057675244
BUKIT MERAH,1991-07,high,82500.0,30000.0,243000.0,50000.0,145000.0,1100.0,500.0,1760.8695652173913,771.1864406779661,1475.4098360655737
BUKIT MERAH,1991-08,high,62000.0,30500.0,190000.0,51900.0,154200.0,915.2542372881356,484.12698412698415,1557.377049180328,770.441705187468,1258.936425429828
BUKIT MERAH,1991-09,high,61400.0,34000.0,180000.0,50000.0,92250.0,840.9090909090909,566.6666666666666,1578.9473684210527,770.8391219783273,1111.4982578397212
BUKIT MERAH,1991-10,high,78000.0,10400.0,228000.0,51500.0,138500.0,1025.2100840336134,358.62068965517244,1948.7179487179487,748.9754098360656,1418.499657651489
BUKIT MERAH,1991-11,high,99000.0,35000.0,225000.0,55750.0,151500.0,1119.7802197802198,538.4615384615385,1889.8305084745762,887.0264064293915,1396.9155844155844
BUKIT MERAH,1991-12,high,92000.0,8000.0,195000.0,53500.0,149000.0,984.1269841269841,275.86206896551727,1606.837606837607,797.5427350427351,1201.328447091159
BUKIT MERAH,1992-01,high,56950.0,40000.0,180000.0,45500.0,95000.0,844.2796610169491,557.7777777777778,1538.4615384615386,735.5387409200969,1039.3772893772893
BUKIT MERAH,1992-02,high,92000.0,30000.0,225000.0,51500.0,125000.0,1000.0,566.0377358490566,1717.557251908397,760.4477611940299,1334.3735552473418
BUKIT MERAH,1992-03,high,107500.0,40000.0,260000.0,53500.0,196250.0,993.3717076574219,677.9661016949152,1984.7328244274809,807.5564971751412,1677.3504273504273
BUKIT MERAH,1992-04,high,68000.0,16000.0,190000.0,50000.0,125000.0,1014.9253731343283,340.4255319148936,1428.5714285714287,809.5238095238095,1221.1538461538462
BUKIT MERAH,1992-05,high,70890.0,7300.0,186000.0,48875.0,106000.0,935.3623693379791,251.72413793103448,2010.989010989011,800.0,1268.1541019955655
BUKIT MERAH,1992-06,high,72500.0,10000.0,270000.0,54200.0,194750.0,1047.4017507915814,344.82758620689657,2061.0687022900765,748.8542890716803,1623.6314190859646
BUKIT MERAH,1992-07,high,103750.0,30000.0,217000.0,64250.0,162750.0,1262.553418803419,566.0377358490566,1854.7008547008547,896.1538461538462,1437.937062937063
BUKIT MERAH,1992-08,high,58000.0,10000.0,105000.0,45000.0,72250.0,861.4354395604396,344.82758620689657,1146.341463414634,760.7131435881037,1025.8697591436216
BUKIT MERAH,1992-09,high,74000.0,25000.0,254000.0,50000.0,150000.0,910.4477611940298,390.625,1938.9312977099237,755.8027306967986,1443.2023486901535
BUKIT MERAH,1992-10,high,100000.0,30000.0,217000.0,53000.0,138500.0,1190.4761904761904,615.3846153846154,1854.7008547008547,805.8679206706195,1386.7974549310711
BUKIT MERAH,1992-11,high,60500.0,21400.0,291000.0,52625.0,89625.0,908.6137111054895,447.76119402985074,2221.374045801527,758.5351089588378,1128.605769230769
BUKIT MERAH,1992-12,high,62000.0,26000.0,250000.0,47000.0,125000.0,1015.625,433.3333333333333,2049.1803278688526,775.0,1282.051282051282
BUKIT MERAH,1993-01,high,63000.0,10000.0,225000.0,49500.0,158000.0,965.9090909090909,344.82758620689657,2120.879120879121,766.9491525423729,1604.7008547008547
