town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,low,51000.0,23000.0,180000.0,42000.0,88250.0,833.3333333333334,363.6363636363636,1487.603305785124,677.9661016949152,1042.490118577075
BUKIT MERAH,1990-02,low,35000.0,7300.0,120000.0,26000.0,50000.0,593.2203389830509,251.72413793103448,1142.857142857143,461.9496855345912,706.4676616915423
BUKIT MERAH,1990-03,low,53500.0,18900.0,165000.0,37500.0,81575.0,802.7554535017222,356.60377358490564,1369.5652173913043,621.6821234409978,1019.0217391304348
BUKIT MERAH,1990-04,low,45000.0,23000.0,69520.0,28000.0,45500.0,714.2857142857143,423.728813559322,939.4594594594595,500.0,762.7118644067797
BUKIT MERAH,1990-05,low,47000.0,10000.0,106000.0,45000.0,75000.0,771.1864406779661,322.5806451612903,1152.1739130434783,714.2857142857143,925.925925925926
BUKIT MERAH,1990-06,low,60000.0,7300.0,176500.0,43250.0,110000.0,835.820895522388,251.72413793103448,1423.3870967741937,696.6753585397653,1045.9653647752395
BUKIT MERAH,1990-07,low,45500.0,7000.0,185000.0,26400.0,83000.0,762.7118644067797,241.3793103448276,1538.4615384615386,537.5,1106.6666666666667
BUKIT MERAH,1990-08,low,50800.0,25000.0,104000.0,44750.0,82500.0,861.0169491525423,396.8253968253968,1121.9512195121952,651.3698630136987,922.1466364323508
BUKIT MERAH,1990-09,low,55000.0,17300.0,165800.0,36750.0,83500.0,808.8235294117648,360.4166666666667,1305.5118110236222,603.968253968254,958.955223880597
BUKIT MERAH,1990-10,low,52950.0,10000.0,83000.0,42175.0,60500.0,756.4285714285713,344.82758620689657,1136.986301369863,652.9926108374384,852.1037181996086
BUKIT MERAH,1990-11,low,50000.0,7300.0,163000.0,26750.0,73250.0,758.0682609705132,235.48387096774192,1417.391304347826,455.28930450029225,881.2942155638785
BUKIT MERAH,1990-12,low,49000.0,21500.0,105000.0,45125.0,61750.0,721.4285714285714,363.6363636363636,1141.304347826087,653.5714285714286,836.2105042896003
BUKIT MERAH,1991-01,low,56800.0,16000.0,161000.0,30000.0,95500.0,778.3834586466165,326.53061224489795,1175.1824817518248,535.7142857142857,1049.4505494505495
BUKIT MERAH,1991-02,low,47500.0,10000.0,132000.0,26400.0,74000.0,793.75,322.5806451612903,1450.5494505494505,457.6271186440678,840.9090909090909
BUKIT MERAH,1991-03,low,45250.0,21000.0,191000.0,34250.0,94500.0,760.593220338983,460.3174603174603,1632.4786324786326,525.1076040172167,1140.733341168175
BUKIT MERAH,1991-04,low,50000.0,8000.0,170000.0,41750.0,84375.0,808.9747151986662,275.86206896551727,1440.677966101695,609.9537037037037,993.2826320021442
BUKIT MERAH,1991-05,low,45000.0,25000.0,173000.0,33200.0,69600.0,692.3076923076923,396.8253968253968,1478.6324786324785,545.8165186978747,981.9265019440613
BUKIT MERAH,1991-06,low,73000.0,8500.0,170000.0,39250.0,93000.0,884.8411862110493,293.1034482758621,1393.4426229508197,603.8461538461539,1085.8516483516482
BUKIT MERAH,1991-07,low,61000.0,19000.0,189000.0,45000.0,78000.0,910.4477611940298,372.54901960784315,1549.1803278688524,758.3333333333334,1081.081081081081
BUKIT MERAH,1991-08,low,50350.0,21000.0,128000.0,37500.0,62750.0,698.9960886571056,437.5,1523.8095238095239,548.801870251315,921.6183574879227
BUKIT MERAH,1991-09,low,45500.0,10400.0,198000.0,35750.0,60750.0,739.9914089347079,358.62068965517244,1692.3076923076924,611.3505747126437,855.1158301158301
BUKIT MERAH,1991-10,low,46350.0,7300.0,110000.0,28500.0,70250.0,748.3992467043314,235.48387096774192,1309.5238095238096,444.8051948051948,928.6585365853659
BUKIT MERAH,1991-11,low,94000.0,44000.0,163000.0,75000.0,128000.0,1083.3333333333333,733.3333333333334,1347.107438016529,1014.9253731343283,1193.2773109243697
BUKIT MERAH,1991-12,low,49000.0,25000.0,140000.0,43500.0,67750.0,777.8902099671136,396.8253968253968,1346.1538461538462,671.1538461538462,940.2594685080561
BUKIT MERAH,1992-01,low,44500.0,7500.0,75000.0,26000.0,50000.0,657.8947368421053,241.93548387096774,1042.857142857143,406.25,761.6666666666666
BUKIT MERAH,1992-02,low,49500.0,7500.0,190000.0,13300.0,70750.0,716.4786967418547,258.62068965517244,1623.931623931624,383.3722969023963,882.298951048951
BUKIT MERAH,1992-03,low,70000.0,30000.0,203000.0,52750.0,96000.0,910.4477611940298,468.75,1692.3076923076924,774.4855182926829,1185.8231707317073
BUKIT MERAH,1992-04,low,55000.0,30000.0,145000.0,45125.0,60000.0,788.6904761904761,517.2413793103449,1136.986301369863,683.7121212121212,882.1111832143629
BUKIT MERAH,1992-05,low,45000.0,10200.0,138000.0,30000.0,110000.0,692.3076923076923,351.7241379310345,1505.4945054945056,536.5853658536586,1067.9611650485438
