town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,mid,45250.0,7300.0,196000.0,26875.0,68000.0,737.8748370273794,235.48387096774192,1675.2136752136753,479.53167115902966,901.6248391248391
BUKIT MERAH,1990-02,mid,47000.0,7300.0,120000.0,18375.0,61625.0,738.5225885225885,251.72413793103448,1318.6813186813188,359.29802955665025,899.8215444516547
BUKIT MERAH,1990-03,mid,45000.0,23300.0,148000.0,42250.0,73460.0,728.8135593220339,369.8412698412698,1436.893203883495,628.2929399367756,906.9135802469136
BUKIT MERAH,1990-04,mid,35000.0,7300.0,140000.0,29125.0,56725.0,595.7904973603779,251.72413793103448,1228.0701754385964,470.23809523809524,846.6417910447761
BUKIT MERAH,1990-05,mid,45500.0,7300.0,131000.0,28250.0,55500.0,694.7368421052631,251.72413793103448,1336.734693877551,530.7247899159664,845.962113659023
BUKIT MERAH,1990-06,mid,49750.0,21000.0,165000.0,43375.0,71500.0,703.2163742690059,512.1951219512196,1352.4590163934427,669.9375557537912,889.2045454545454
BUKIT MERAH,1990-07,mid,50000.0,7300.0,200000.0,45000.0,90000.0,771.1864406779661,251.72413793103448,1491.5254237288136,714.2857142857143,989.010989010989
BUKIT MERAH,1990-08,mid,46000.0,7800.0,185000.0,28250.0,85000.0,686.5671641791045,268.9655172413793,1370.3703703703704,479.16666666666663,925.4583189207887
BUKIT MERAH,1990-09,mid,50250.0,8500.0,182000.0,42150.0,62000.0,732.6923076923076,274.19354838709677,1504.1322314049587,658.5576923076924,852.4067732115677
BUKIT MERAH,1990-10,mid,71500.0,10400.0,208000.0,46775.0,150750.0,951.688555347092,335.48387096774195,1762.7118644067796,719.6153846153846,1401.9576379974328
BUKIT MERAH,1990-11,mid,47500.0,7500.0,125000.0,19625.0,66750.0,707.2649572649573,258.62068965517244,1263.7362637362637,384.80392156862746,895.3005115089513
BUKIT MERAH,1990-12,mid,45500.0,7300.0,160000.0,33500.0,95000.0,723.013698630137,251.72413793103448,1684.7826086956522,561.9295958279009,1089.1852050388636
BUKIT MERAH,1991-01,mid,49000.0,10400.0,180000.0,30000.0,72875.0,783.5164835164835,358.62068965517244,1512.6050420168067,535.7142857142857,1008.2694634933441
BUKIT MERAH,1991-02,mid,40000.0,8000.0,160000.0,21500.0,63750.0,659.1337099811676,275.86206896551727,1758.2417582417581,378.0266343825666,872.2590749953933
BUKIT MERAH,1991-03,mid,50000.0,7300.0,158000.0,22000.0,61000.0,775.0,251.72413793103448,1350.4273504273503,524.390243902439,910.4477611940298
BUKIT MERAH,1991-04,mid,45000.0,10200.0,192080.0,30250.0,54750.0,697.7163461538462,329.03225806451616,1391.8840579710145,526.9554247266611,830.3838484546361
BUKIT MERAH,1991-05,mid,53000.0,27000.0,180000.0,45000.0,140000.0,723.0769230769231,457.6271186440678,1703.2967032967033,692.3076923076923,1196.5811965811965
BUKIT MERAH,1991-06,mid,43500.0,8500.0,150000.0,31875.0,46375.0,737.2881355932204,274.19354838709677,1282.051282051282,492.1875,786.0169491525423
BUKIT MERAH,1991-07,mid,53000.0,10000.0,190000.0,33100.0,92500.0,743.2432432432432,344.82758620689657,1623.931623931624,550.3125,998.8558352402746
BUKIT MERAH,1991-08,mid,40250.0,17000.0,128000.0,27600.0,53500.0,657.6926691729323,414.6341463414634,1185.1851851851852,472.0036319612591,758.7125609472951
BUKIT MERAH,1991-09,mid,100000.0,37000.0,245000.0,56350.0,145000.0,1203.0075187969924,591.5492957746479,1870.2290076335878,829.1171262332406,1324.7863247863247
BUKIT MERAH,1991-10,mid,69000.0,10000.0,200000.0,45500.0,93225.0,891.5180196578085,322.5806451612903,1470.5882352941176,684.6153846153846,1068.8186813186812
BUKIT MERAH,1991-11,mid,31110.0,9500.0,145000.0,9680.0,58750.0,547.6354679802955,327.58620689655174,1198.3471074380166,333.7931034482759,868.550106609808
BUKIT MERAH,1991-12,mid,49250.0,30000.0,90000.0,43125.0,59500.0,784.2418689876317,566.0377358490566,1097.560975609756,675.5686886708296,859.5563847429519
BUKIT MERAH,1992-01,mid,70000.0,7300.0,180000.0,37500.0,118000.0,1013.6986301369863,235.48387096774192,1500.0,630.6497175141243,1221.2225274725274
BUKIT MERAH,1992-02,mid,49500.0,10000.0,170000.0,26450.0,99500.0,783.9680905815749,344.82758620689657,1577.6699029126214,471.00694444444446,1054.878048780488
BUKIT MERAH,1992-03,mid,52000.0,11000.0,185000.0,35000.0,95000.0,742.8571428571429,379.3103448275862,1488.095238095238,596.8045112781955,1053.4576888080073
BUKIT MERAH,1992-04,mid,77000.0,30000.0,200000.0,44125.0,126500.0,1002.7716186252771,540.5405405405405,1711.5384615384614,721.2469733656174,1390.10989010989
BUKIT MERAH,1992-05,mid,56750.0,7300.0,128000.0,35350.0,78625.0,783.8414634146341,251.72413793103448,1207.5471698113208,592.0262664165103,977.3312356979405
BUKIT MERAH,1992-06,mid,64500.0,10000.0,200000.0,45375.0,92250.0,902.5923016496465,344.82758620689657,1923.076923076923,732.9514824797843,1138.7047811788516
BUKIT MERAH,1992-07,mid,65000.0,21000.0,225000.0,39000.0,98000.0,910.4477611940298,437.5,1906.7796610169491,557.1428571428571,1119.402985074627
BUKIT MERAH,1992-08,mid,65000.0,7500.0,230000.0,46250.0,138750.0,983.467278989667,241.93548387096774,1818.1818181818182,783.8983050847457,1589.9725274725274
BUKIT MERAH,1992-09,mid,61000.0,22000.0,178000.0,50000.0,77500.0,962.073195665508,536.5853658536586,1695.2380952380952,838.5767355467843,1097.9591836734694
BUKIT MERAH,1992-10,mid,44000.0,11000.0,145000.0,30500.0,62500.0,756.3559322033898,379.3103448275862,1576.0869565217392,604.5454545454545,877.0102339181287
BUKIT MERAH,1992-11,mid,54000.0,10000.0,255000.0,45000.0,60000.0,828.5714285714286,344.82758620689657,2090.1639344262294,692.3076923076923,925.3731343283582
BUKIT MERAH,1992-12,mid,74000.0,21000.0,237000.0,46000.0,160000.0,913.5802469135803,411.7647058823529,1958.6776859504132,779.6610169491526,1509.433962264151
BUKIT MERAH,1993-01,mid,82500.0,26000.0,215000.0,45000.0,98000.0,1037.037037037037,448.2758620689655,1720.0,762.7118644067797,1398.3050847457628
BUKIT MERAH,1993-02,mid,50000.0,10000.0,110000.0,37000.0,75000.0,793.6507936507936,322.5806451612903,1358.0246913580247,625.243664717349,1026.2342135476465
BUKIT MERAH,1993-03,mid,47000.0,21400.0,165000.0,40000.0,130000.0,771.1864406779661,431.0344827586207,1494.5054945054944,666.6666666666666,1250.0
BUKIT MERAH,1993-04,mid,66800.0,20000.0,200000.0,38500.0,117000.0,1027.6923076923076,338.9830508474576,1709.4017094017095,682.3899371069183,1269.1609519967728
BUKIT MERAH,1993-05,mid,70800.0,16300.0,233000.0,55500.0,102500.0,1101.6949152542372,525.8064516129032,2026.0869565217392,952.8301886792452,1266.6611815040317
BUKIT MERAH,1993-06,mid,75500.0,39000.0,220000.0,67500.0,133500.0,1202.7573994434606,573.5294117647059,1818.1818181818182,1056.6737288135594,1458.8733798604187
BUKIT MERAH,1993-07,mid,85000.0,13500.0,260000.0,52750.0,148500.0,1271.0526315789475,465.51724137931035,2125.0,829.1666666666666,1641.0060975609756
BUKIT MERAH,1993-08,mid,87750.0,55000.0,255000.0,65000.0,164125.0,1334.0277777777778,932.2033898305085,2161.0169491525426,1058.6805555555557,1701.602564102564
BUKIT MERAH,1993-09,mid,100000.0,9000.0,270000.0,78000.0,165000.0,1449.2753623188405,290.3225806451613,2268.90756302521,1269.8412698412699,1878.0487804878048
BUKIT MERAH,1993-10,mid,144500.0,22000.0,315000.0,83750.0,282000.0,1718.03254867771,758.6206896551724,2558.898305084746,1260.600130463144,2218.656855439642
BUKIT MERAH,1993-11,mid,129000.0,20000.0,275000.0,89750.0,192500.0,1722.2222222222222,689.6551724137931,2500.0,1380.927291886196,2162.6984126984125
BUKIT MERAH,1993-12,mid,105000.0,20000.0,336000.0,72000.0,190000.0,1582.089552238806,645.1612903225806,2584.7457627118642,1142.857142857143,2019.2307692307693
BUKIT MERAH,1994-01,mid,100000.0,15000.0,291000.0,75000.0,178000.0,1488.095238095238,516.1290322580645,2435.897435897436,1268.6567164179105,1932.0388349514562
BUKIT MERAH,1994-02,mid,84750.0,16000.0,350000.0,69500.0,95750.0,1325.0790305584826,551.7241379310345,2892.561983471074,1246.168582375479,1448.5640301318267
BUKIT MERAH,1994-03,mid,90000.0,35000.0,355000.0,80000.0,112000.0,1475.4098360655737,853.6585365853658,2751.937984496124,1250.3052503052504,1675.7639620653317
BUKIT MERAH,1994-04,mid,108500.0,75000.0,345000.0,100750.0,159750.0,1661.8046132971506,1271.1864406779662,2948.7179487179487,1423.021876916786,1994.5054945054944
BUKIT MERAH,1994-05,mid,95000.0,18000.0,332000.0,73000.0,116000.0,1386.3636363636363,620.6896551724138,2699.1869918699185,1204.6703296703297,1618.6440677966102
BUKIT MERAH,1994-06,mid,107000.0,23000.0,348000.0,95250.0,177250.0,1652.542372881356,793.1034482758621,3000.0,1440.1451645880188,2040.994623655914
BUKIT MERAH,1994-07,mid,109000.0,25000.0,258000.0,93000.0,160000.0,1576.2711864406779,862.0689655172414,2417.5824175824177,1492.5373134328358,1956.043956043956
BUKIT MERAH,1994-08,mid,121500.0,40000.0,365000.0,95000.0,229250.0,1743.5770750988142,714.2857142857143,3067.2268907563025,1309.0753424657535,2417.2646686365556
BUKIT MERAH,1994-09,mid,118000.0,56000.0,350000.0,93000.0,204500.0,1743.9024390243903,1166.6666666666667,2868.8524590163934,1484.2278719397364,2080.1886792452833
BUKIT MERAH,1994-10,mid,115000.0,80000.0,380000.0,93500.0,166000.0,1666.6666666666667,1315.7894736842106,2900.763358778626,1478.028876333961,1918.269230769231
BUKIT MERAH,1994-11,mid,101000.0,30000.0,280000.0,82500.0,147500.0,1694.915254237288,1034.4827586206898,2692.3076923076924,1466.4928292046936,1961.0573042776432
BUKIT MERAH,1994-12,mid,113000.0,25000.0,430000.0,97500.0,212500.0,1792.4528301886792,862.0689655172414,3161.764705882353,1543.502406516105,2118.8329700812365
BUKIT MERAH,1995-01,mid,105000.0,37000.0,415000.0,95000.0,125000.0,1640.625,902.439024390244,3167.93893129771,1458.3333333333333,1943.1818181818182
BUKIT MERAH,1995-02,mid,95000.0,25000.0,385000.0,54000.0,202000.0,1369.86301369863,806.4516129032259,3181.818181818182,1120.6896551724137,2493.8271604938273
BUKIT MERAH,1995-03,mid,125000.0,30000.0,395000.0,93000.0,183000.0,1644.7368421052631,1000.0,3376.068376068376,1550.0,2142.8571428571427
BUKIT MERAH,1995-04,mid,114000.0,63500.0,230000.0,104000.0,159500.0,1746.031746031746,1491.8032786885246,2738.095238095238,1616.826923076923,2153.8246268656717
BUKIT MERAH,1995-05,mid,118500.0,26000.0,402000.0,110000.0,133750.0,1828.358208955224,896.551724137931,3435.897435897436,1705.6277056277056,1983.9670178653228
BUKIT MERAH,1995-06,mid,125000.0,35500.0,355000.0,110000.0,133000.0,1805.5555555555557,1145.1612903225807,2933.884297520661,1739.7260273972602,1888.888888888889
BUKIT MERAH,1995-07,mid,145000.0,34000.0,460000.0,123000.0,245000.0,2034.2465753424658,1096.774193548387,3511.4503816793895,1949.1525423728813,2702.7027027027025
BUKIT MERAH,1995-08,mid,138000.0,34000.0,418000.0,104750.0,234000.0,2059.7014925373132,1096.774193548387,3500.0,1785.3528965342778,2692.5770308123247
BUKIT MERAH,1995-09,mid,165000.0,41000.0,400000.0,123000.0,234000.0,2171.0526315789475,1413.7931034482758,3252.032520325203,2037.037037037037,2670.4545454545455
BUKIT MERAH,1995-10,mid,140000.0,35000.0,463000.0,120000.0,235000.0,2164.179104477612,1206.896551724138,3379.5620437956204,1962.962962962963,2670.4545454545455
BUKIT MERAH,1995-11,mid,146000.0,88000.0,445000.0,127250.0,282500.0,2328.8824383164006,1633.8028169014085,3578.9473684210525,2050.0,2913.9957264957266
BUKIT MERAH,1995-12,mid,148000.0,37000.0,438000.0,106375.0,279500.0,2213.9406487232573,1269.8412698412699,3590.1639344262294,1777.8846153846152,3045.8970377448636
BUKIT MERAH,1996-01,mid,163800.0,38000.0,494800.0,131000.0,337000.0,2300.0,1310.344827586207,4015.2542372881358,2089.5522388059703,3219.512195121951
BUKIT MERAH,1996-02,mid,123000.0,33000.0,410000.0,55750.0,142750.0,2175.7689893283114,1064.516129032258,3648.6486486486488,1477.0114942528735,2419.491525423729
BUKIT MERAH,1996-03,mid,159000.0,40300.0,450000.0,129875.0,285750.0,2415.9586681974743,1300.0,3846.153846153846,2093.321917808219,3225.5434782608695
BUKIT MERAH,1996-04,mid,180000.0,46000.0,545000.0,157500.0,272375.0,2578.3582089552237,1483.8709677419354,4618.64406779661,2330.1698301698298,3223.4432234432234
BUKIT MERAH,1996-05,mid,170000.0,39000.0,470000.0,152000.0,208000.0,2542.3728813559323,1344.8275862068965,3852.4590163934427,2384.6153846153848,3104.4776119402986
BUKIT MERAH,1996-06,mid,169000.0,50000.0,490000.0,148450.0,279500.0,2705.66037735849,1724.1379310344828,4016.3934426229507,2505.5970149253735,3302.4920466595972
BUKIT MERAH,1996-07,mid,180000.0,40000.0,500000.0,134600.0,240000.0,2769.230769230769,1290.3225806451612,4505.494505494506,2467.7419354838707,3360.655737704918
BUKIT MERAH,1996-08,mid,193000.0,95000.0,537000.0,162500.0,317500.0,2953.898305084746,1938.7755102040817,4550.847457627118,2586.8055555555557,3506.5120065120063
BUKIT MERAH,1996-09,mid,195000.0,45000.0,598000.0,169400.0,335000.0,2846.153846153846,1551.7241379310344,5067.796610169492,2606.153846153846,3683.964469378214
BUKIT MERAH,1996-10,mid,209000.0,47000.0,543000.0,175000.0,301500.0,2954.5454545454545,1620.6896551724137,4555.555555555556,2591.4634146341464,3648.788711288711
BUKIT MERAH,1996-11,mid,210000.0,63000.0,530000.0,173250.0,296120.0,3133.8308457711446,2129.032258064516,4344.262295081967,2845.6402199528675,3717.4069561364645
BUKIT MERAH,1996-12,mid,208750.0,58000.0,540000.0,190750.0,312500.0,3035.2404643449418,2000.0,4462.809917355372,2825.3951527924132,3637.9472693032017
