town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT MERAH,1990-01,high,1 ROOM,7300.0,7300.0,7300.0,7300.0,7300.0,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448,251.72413793103448
BUKIT MERAH,1990-01,high,3 ROOM,45500.0,25000.0,61000.0,38650.0,48000.0,692.3076923076923,406.25,910.4477611940298,582.4561403508771,771.1864406779661
BUKIT MERAH,1990-01,high,4 ROOM,101000.0,75000.0,144000.0,88000.0,122500.0,1231.7073170731708,852.2727272727273,1398.0582524271845,1041.990022172949,1314.8827847501775
BUKIT MERAH,1990-01,high,5 ROOM,180000.0,170000.0,195000.0,175000.0,187500.0,1374.0458015267175,1278.1954887218046,1638.6554621848738,1326.120645124261,1506.3506318557957
BUKIT MERAH,1990-01,low,2 ROOM,23000.0,23000.0,23000.0,23000.0,23000.0,450.98039215686276,450.98039215686276,450.98039215686276,450.98039215686276,450.98039215686276
BUKIT MERAH,1990-01,low,3 ROOM,45500.0,24000.0,84000.0,40000.0,55500.0,692.3076923076923,363.6363636363636,1150.6849315068494,670.1518820162887,834.4748858447489
BUKIT MERAH,1990-01,low,4 ROOM,93750.0,64000.0,128380.0,85375.0,103345.0,1042.490118577075,864.8648648648649,1246.4077669902913,970.292303172738,1121.2610326566637
BUKIT MERAH,1990-01,low,5 ROOM,180000.0,139000.0,180000.0,159500.0,180000.0,1333.3333333333333,1130.081300813008,1487.603305785124,1231.7073170731705,1410.4683195592286
BUKIT MERAH,1990-01,mid,1 ROOM,8150.0,7300.0,9500.0,7300.0,9125.0,279.08787541713014,235.48387096774192,310.3448275862069,247.66407119021133,307.4249165739711
BUKIT MERAH,1990-01,mid,3 ROOM,44000.0,23000.0,83500.0,32000.0,51000.0,687.5,413.7931034482759,1128.3783783783783,542.3728813559322,773.3333333333334
BUKIT MERAH,1990-01,mid,4 ROOM,111000.0,64000.0,142000.0,91250.0,125500.0,1144.230769230769,864.8648648648649,1365.3846153846155,1023.3516483516484,1236.2637362637363
BUKIT MERAH,1990-01,mid,5 ROOM,196000.0,196000.0,196000.0,196000.0,196000.0,1675.2136752136753,1675.2136752136753,1675.2136752136753,1675.2136752136753,1675.2136752136753
BUKIT MERAH,1990-01,very low,3 ROOM,42500.0,22000.0,67900.0,33250.0,50750.0,674.5093666369313,379.3103448275862,1013.4328358208955,527.4011299435028,710.924543946932
