town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-06,4 ROOM,81000.0,81000.0,81000.0,81000.0,81000.0,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143
BUKIT PANJANG,1991-07,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1991-09,4 ROOM,80000.0,68000.0,92000.0,74000.0,86000.0,851.3638465094775,809.5238095238095,893.2038834951456,830.4438280166436,872.2838650023116
BUKIT PANJANG,1991-10,4 ROOM,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1991-11,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1992-03,4 ROOM,78500.0,70000.0,87000.0,74250.0,82750.0,838.9967637540453,833.3333333333334,844.6601941747573,836.1650485436894,841.8284789644013
BUKIT PANJANG,1992-04,4 ROOM,92000.0,74000.0,93000.0,80000.0,92000.0,859.8130841121496,718.4466019417475,894.2307692307693,776.6990291262136,893.2038834951456
BUKIT PANJANG,1992-05,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
BUKIT PANJANG,1992-06,4 ROOM,92500.0,92000.0,93000.0,92250.0,92750.0,898.0582524271845,893.2038834951456,902.9126213592233,895.6310679611651,900.4854368932039
BUKIT PANJANG,1992-07,4 ROOM,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
BUKIT PANJANG,1992-08,4 ROOM,87000.0,80000.0,92000.0,83500.0,89500.0,893.2038834951456,769.2307692307693,1035.7142857142858,831.2173263629575,964.4590846047157
BUKIT PANJANG,1992-09,4 ROOM,67000.0,62000.0,93000.0,63000.0,80000.0,776.6990291262136,738.0952380952381,894.2307692307693,750.0,797.6190476190476
BUKIT PANJANG,1992-10,4 ROOM,89250.0,68000.0,124000.0,81500.0,100375.0,866.504854368932,809.5238095238095,1203.883495145631,828.5945446139622,974.5145631067961
BUKIT PANJANG,1992-11,4 ROOM,92000.0,70000.0,130000.0,82250.0,92065.0,893.2038834951456,679.6116504854369,1262.1359223300972,842.8001088830415,924.772306981045
BUKIT PANJANG,1992-12,4 ROOM,92000.0,60000.0,140000.0,65750.0,126250.0,876.5084838036476,714.2857142857143,1359.2233009708739,782.7380952380952,1179.9065420560748
BUKIT PANJANG,1993-01,4 ROOM,92000.0,80000.0,127000.0,91250.0,92000.0,893.2038834951456,776.6990291262136,1233.009708737864,879.5509708737864,893.2038834951456
BUKIT PANJANG,1993-02,4 ROOM,92000.0,64000.0,117000.0,75500.0,92375.0,893.2038834951456,752.9411764705883,1135.9223300970873,848.3009708737865,896.8446601941748
BUKIT PANJANG,1993-03,4 ROOM,92000.0,50000.0,100000.0,66500.0,94000.0,893.2038834951456,595.2380952380952,961.5384615384615,791.6666666666667,912.6213592233009
BUKIT PANJANG,1993-04,4 ROOM,68000.0,50000.0,126000.0,64500.0,85500.0,797.6190476190476,595.2380952380952,1211.5384615384614,753.6630036630037,842.2619047619048
