town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-02,EXECUTIVE,195000.0,195000.0,195000.0,195000.0,195000.0,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821
BUKIT PANJANG,1991-12,EXECUTIVE,115000.0,115000.0,115000.0,115000.0,115000.0,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123
BUKIT PANJANG,1992-01,EXECUTIVE,190000.0,190000.0,190000.0,190000.0,190000.0,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642
BUKIT PANJANG,1992-02,EXECUTIVE,212000.0,212000.0,212000.0,212000.0,212000.0,1452.054794520548,1452.054794520548,1452.054794520548,1452.054794520548,1452.054794520548
BUKIT PANJANG,1992-04,EXECUTIVE,200000.0,185000.0,215000.0,192500.0,207500.0,1378.6624809741247,1284.7222222222222,1472.6027397260275,1331.6923515981734,1425.6326103500762
BUKIT PANJANG,1992-05,EXECUTIVE,200000.0,190000.0,210000.0,195000.0,205000.0,1324.5033112582782,1319.4444444444443,1438.3561643835617,1321.9738778513613,1381.4297378209199
BUKIT PANJANG,1992-06,EXECUTIVE,230000.0,230000.0,230000.0,230000.0,230000.0,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222
BUKIT PANJANG,1992-07,EXECUTIVE,212500.0,180000.0,245000.0,196250.0,228750.0,1475.6944444444443,1250.0,1701.388888888889,1362.8472222222222,1588.5416666666667
BUKIT PANJANG,1992-08,EXECUTIVE,202000.0,200000.0,204000.0,201000.0,203000.0,1402.7777777777778,1388.888888888889,1416.6666666666667,1395.8333333333335,1409.7222222222222
BUKIT PANJANG,1992-09,EXECUTIVE,215000.0,215000.0,215000.0,215000.0,215000.0,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275
BUKIT PANJANG,1992-12,EXECUTIVE,249500.0,180000.0,256000.0,230250.0,253000.0,1680.3274970516195,1250.0,1777.7777777777778,1564.155629139073,1713.2800608828006
BUKIT PANJANG,1993-01,EXECUTIVE,245000.0,216000.0,246000.0,230500.0,245500.0,1622.5165562913908,1479.4520547945206,1684.9315068493152,1550.9843055429556,1653.724031570353
BUKIT PANJANG,1993-03,EXECUTIVE,197500.0,159600.0,258000.0,186150.0,214500.0,1357.3452999527633,1093.150684931507,1791.6666666666667,1281.9083608880492,1475.3139269406392
BUKIT PANJANG,1993-05,EXECUTIVE,285000.0,278000.0,290000.0,281500.0,287500.0,1870.967741935484,1838.7096774193549,1917.2413793103449,1854.8387096774195,1894.1045606229145
BUKIT PANJANG,1993-06,EXECUTIVE,267500.0,202000.0,287000.0,241750.0,281750.0,1812.5689845474612,1383.5616438356165,1965.7534246575342,1674.015410958904,1882.1668329855756
BUKIT PANJANG,1993-07,EXECUTIVE,278500.0,230000.0,320000.0,242500.0,307000.0,1920.689655172414,1586.2068965517242,2237.762237762238,1660.958904109589,2146.7296932278605
BUKIT PANJANG,1993-08,EXECUTIVE,286000.0,272000.0,325000.0,280500.0,297500.0,1979.0661778892531,1888.888888888889,2226.027397260274,1941.5878834651744,2037.671232876712
BUKIT PANJANG,1993-09,EXECUTIVE,295000.0,261000.0,325000.0,280000.0,300000.0,2011.9354838709678,1787.6712328767123,2226.027397260274,1917.8082191780823,2077.4647887323945
BUKIT PANJANG,1993-10,EXECUTIVE,312000.0,280000.0,340000.0,297500.0,328750.0,2100.8119386736826,1971.8309859154929,2273.972602739726,2058.718607305936,2216.8874172185433
BUKIT PANJANG,1993-11,EXECUTIVE,315000.0,261000.0,350000.0,295000.0,341000.0,2152.317880794702,1728.476821192053,2464.788732394366,1979.6788533067224,2294.41007512152
BUKIT PANJANG,1993-12,EXECUTIVE,320000.0,280000.0,338000.0,300000.0,330000.0,2148.3870967741937,1931.0344827586207,2307.6923076923076,2083.3333333333335,2191.780821917808
BUKIT PANJANG,1994-01,EXECUTIVE,331000.0,310000.0,355000.0,322500.0,346250.0,2267.123287671233,2066.6666666666665,2431.5068493150684,2208.904109589041,2384.010392064242
BUKIT PANJANG,1994-02,EXECUTIVE,325000.0,300000.0,375000.0,310000.0,345000.0,2233.585262163439,2000.0,2568.4931506849316,2123.2876712328766,2363.013698630137
BUKIT PANJANG,1994-03,EXECUTIVE,330000.0,266000.0,375000.0,315000.0,345000.0,2288.7323943661972,1821.9178082191781,2551.0204081632655,2172.4137931034484,2356.1643835616437
BUKIT PANJANG,1994-04,EXECUTIVE,334000.0,310000.0,370000.0,321500.0,350000.0,2264.0845070422533,2123.2876712328766,2605.6338028169016,2211.9205298013244,2342.4657534246576
BUKIT PANJANG,1994-05,EXECUTIVE,346000.0,310000.0,380000.0,323000.0,356000.0,2317.880794701987,2123.2876712328766,2661.9718309859154,2205.298013245033,2507.042253521127
BUKIT PANJANG,1994-06,EXECUTIVE,330000.0,310000.0,384998.0,315000.0,352500.0,2275.862068965517,2137.9310344827586,2636.972602739726,2218.3098591549297,2430.793378995434
BUKIT PANJANG,1994-07,EXECUTIVE,345000.0,311000.0,400000.0,332500.0,391500.0,2379.310344827586,2130.1369863013697,2816.9014084507044,2239.2526754942864,2690.90694378838
BUKIT PANJANG,1994-08,EXECUTIVE,365000.0,320000.0,385000.0,352500.0,373000.0,2505.533883697723,2253.521126760563,2636.986301369863,2417.1505034926968,2534.9700945398417
BUKIT PANJANG,1994-09,EXECUTIVE,348000.0,310000.0,401000.0,330250.0,383750.0,2423.142302088392,2152.777777777778,2746.5753424657532,2269.3079829948038,2646.0302913370633
BUKIT PANJANG,1994-10,EXECUTIVE,385000.0,345000.0,396000.0,345000.0,395000.0,2636.986301369863,2225.8064516129034,2788.7323943661972,2300.0,2705.4794520547944
BUKIT PANJANG,1994-11,EXECUTIVE,358000.0,325000.0,395000.0,349500.0,365000.0,2452.054794520548,2256.9444444444443,2724.137931034483,2427.3104379702872,2500.0
BUKIT PANJANG,1994-12,EXECUTIVE,371500.0,313000.0,430000.0,336500.0,379500.0,2526.9406392694063,2143.8356164383563,2847.682119205298,2297.5885368126746,2583.904109589041
BUKIT PANJANG,1995-01,EXECUTIVE,375000.0,327000.0,418000.0,364000.0,380000.0,2465.753424657534,2165.562913907285,2882.7586206896553,2380.6451612903224,2628.6417132934594
BUKIT PANJANG,1995-02,EXECUTIVE,332000.0,320000.0,390000.0,324000.0,367500.0,2289.655172413793,2152.317880794702,2604.1666666666665,2202.054794520548,2541.390728476821
BUKIT PANJANG,1995-03,EXECUTIVE,364500.0,331000.0,415000.0,342500.0,374750.0,2511.9981105337743,2266.6666666666665,2677.4193548387098,2320.602376848408,2572.060502283105
BUKIT PANJANG,1995-05,EXECUTIVE,394500.0,355000.0,410000.0,381250.0,401750.0,2720.6050228310505,2448.2758620689656,2847.222222222222,2643.3189655172414,2761.463089802131
BUKIT PANJANG,1995-06,EXECUTIVE,396000.0,375000.0,433000.0,385500.0,414500.0,2788.7323943661972,2568.4931506849316,2867.5496688741723,2678.6127725255647,2828.1410316201845
BUKIT PANJANG,1995-07,EXECUTIVE,432500.0,418000.0,446000.0,427000.0,437750.0,2982.781582952816,2863.013698630137,3054.794520547945,2950.342465753424,3003.2819634703196
BUKIT PANJANG,1995-08,EXECUTIVE,397500.0,360000.0,425000.0,385000.0,406000.0,2679.0874347501867,2465.753424657534,2910.958904109589,2631.7132359611724,2784.507042253521
BUKIT PANJANG,1995-09,EXECUTIVE,392500.0,350000.0,420000.0,385000.0,408500.0,2689.655172413793,2464.788732394366,2887.323943661972,2600.504466865194,2844.178082191781
BUKIT PANJANG,1995-10,EXECUTIVE,412000.0,405000.0,445000.0,408500.0,426000.0,2791.095890410959,2632.2580645161293,3068.9655172413795,2749.784541413408,2910.958904109589
BUKIT PANJANG,1995-11,EXECUTIVE,430000.0,405000.0,446500.0,421250.0,438500.0,2886.056338028169,2808.219178082192,3100.6944444444443,2839.4039735099336,2983.551996912985
BUKIT PANJANG,1995-12,EXECUTIVE,460000.0,403000.0,481000.0,432500.0,462500.0,3079.4701986754967,2760.27397260274,3239.43661971831,2965.0234741784034,3178.675799086758
BUKIT PANJANG,1996-01,EXECUTIVE,458000.0,435000.0,471000.0,450000.0,460000.0,3099.3150684931506,2967.7419354838707,3226.027397260274,3048.8134285163032,3147.8034955125177
BUKIT PANJANG,1996-02,EXECUTIVE,455000.0,440000.0,465000.0,447500.0,461250.0,3116.4383561643835,3076.923076923077,3184.931506849315,3080.8746048472076,3159.246575342466
BUKIT PANJANG,1996-03,EXECUTIVE,478000.0,450000.0,480000.0,468000.0,478000.0,3273.972602739726,2980.1324503311257,3319.4444444444443,3205.4794520547944,3287.671232876712
BUKIT PANJANG,1996-04,EXECUTIVE,482000.0,438000.0,580000.0,467500.0,500000.0,3298.6111111111113,3041.6666666666665,3841.0596026490066,3192.0529801324506,3472.222222222222
BUKIT PANJANG,1996-05,EXECUTIVE,490000.0,450000.0,528000.0,472750.0,503575.0,3266.8827534744896,3082.1917808219177,3641.3793103448274,3182.2260200811793,3468.537265258216
BUKIT PANJANG,1996-06,EXECUTIVE,516000.0,490000.0,620000.0,504750.0,535500.0,3633.8028169014087,3356.1643835616437,4246.575342465753,3517.6789906103286,3692.9866872467683
BUKIT PANJANG,1996-07,EXECUTIVE,539000.0,505000.0,597000.0,525000.0,548000.0,3743.0555555555557,3506.9444444444443,4089.041095890411,3595.890410958904,3838.0281690140846
BUKIT PANJANG,1996-08,EXECUTIVE,588000.0,535000.0,595000.0,573250.0,591250.0,4072.8215372907152,3543.046357615894,4154.929577464789,3896.035562006713,4137.690727699531
BUKIT PANJANG,1996-09,EXECUTIVE,555000.0,535000.0,605000.0,543750.0,585000.0,3863.4585289514866,3576.158940397351,4260.56338028169,3697.0543598234,4035.7900829635346
BUKIT PANJANG,1996-10,EXECUTIVE,530000.0,520000.0,608000.0,525000.0,569000.0,3680.5555555555557,3561.6438356164385,4053.3333333333335,3621.0996955859973,3866.9444444444443
BUKIT PANJANG,1996-11,EXECUTIVE,590000.0,550000.0,625000.0,570000.0,607500.0,4068.9655172413795,3767.123287671233,4280.821917808219,3918.044402456306,4174.893717524799
BUKIT PANJANG,1996-12,EXECUTIVE,560000.0,558000.0,576000.0,559000.0,568000.0,3835.6164383561645,3720.0,3945.205479452055,3777.8082191780823,3890.41095890411
BUKIT PANJANG,1997-01,EXECUTIVE,535000.0,500000.0,602000.0,511250.0,551250.0,3707.2085289514866,3311.2582781456954,3908.450704225352,3481.1643835616437,3875.8973194002724
BUKIT PANJANG,1997-02,EXECUTIVE,518000.0,485000.0,600000.0,501000.0,537500.0,3547.945205479452,3255.0335570469797,3870.967741935484,3431.5068493150684,3706.4783105022834
BUKIT PANJANG,1997-03,EXECUTIVE,532500.0,505000.0,590000.0,516250.0,581250.0,3605.7552209810588,3527.777777777778,4041.095890410959,3551.857479814932,3808.1639416703492
BUKIT PANJANG,1997-04,EXECUTIVE,496750.0,485000.0,515000.0,492875.0,502250.0,3402.3972602739727,3321.917808219178,3527.3972602739727,3375.856164383562,3440.068493150685
BUKIT PANJANG,1997-05,EXECUTIVE,515000.0,500000.0,538800.0,511500.0,516500.0,3527.3972602739727,3410.5960264900664,3597.222222222222,3452.054794520548,3572.300404709345
BUKIT PANJANG,1997-06,EXECUTIVE,502500.0,490000.0,525000.0,497500.0,506250.0,3441.780821917808,3356.1643835616437,3595.890410958904,3407.5342465753424,3545.3345070422533
BUKIT PANJANG,1997-07,EXECUTIVE,501500.0,480000.0,540000.0,498750.0,513000.0,3463.1706987430734,3300.0,3698.6301369863013,3396.0793575814832,3489.7300469483566
BUKIT PANJANG,1997-08,EXECUTIVE,500000.0,462000.0,502000.0,489000.0,500000.0,3311.2582781456954,3225.8064516129034,3438.3561643835615,3242.654603115381,3401.983939537081
BUKIT PANJANG,1997-09,EXECUTIVE,480000.0,440000.0,515000.0,472000.0,505000.0,3333.3333333333335,2913.907284768212,3527.3972602739727,3273.972602739726,3458.904109589041
BUKIT PANJANG,1997-10,EXECUTIVE,480000.0,480000.0,480000.0,480000.0,480000.0,3287.671232876712,3287.671232876712,3287.671232876712,3287.671232876712,3287.671232876712
BUKIT PANJANG,1997-11,EXECUTIVE,500000.0,460000.0,577500.0,481000.0,532250.0,3460.436823450522,3150.6849315068494,3732.394366197183,3316.1624809741247,3660.9589041095887
BUKIT PANJANG,1997-12,EXECUTIVE,452500.0,447000.0,490000.0,447750.0,465250.0,3024.823018954099,2948.3870967741937,3356.1643835616437,2962.2623371074556,3151.110061407652
BUKIT PANJANG,1998-01,EXECUTIVE,482000.0,420000.0,489000.0,462500.0,485000.0,3238.41059602649,2916.6666666666665,3415.492957746479,3124.8858447488583,3358.142002701138
BUKIT PANJANG,1998-02,EXECUTIVE,470000.0,415000.0,495000.0,445000.0,472000.0,3112.582781456954,2842.4657534246576,3390.4109589041095,3055.5555555555557,3280.821917808219
BUKIT PANJANG,1998-03,EXECUTIVE,455000.0,425000.0,535000.0,437000.0,484500.0,3116.4383561643835,2931.0344827586205,3664.3835616438355,2998.2050070854984,3318.4931506849316
BUKIT PANJANG,1998-04,EXECUTIVE,445000.0,415000.0,463000.0,437500.0,450000.0,3082.1917808219177,2881.9444444444443,3098.5915492957747,3022.8386101787173,3086.234779299848
BUKIT PANJANG,1998-05,EXECUTIVE,448000.0,400000.0,485000.0,420500.0,454000.0,3102.7397260273974,2758.6206896551726,3415.492957746479,2914.3835616438355,3127.184695323571
BUKIT PANJANG,1998-06,EXECUTIVE,430000.0,395000.0,472000.0,420000.0,454000.0,2986.1111111111113,2580.6451612903224,3302.8169014084506,2802.227132125497,3135.138416707139
BUKIT PANJANG,1998-07,EXECUTIVE,421000.0,400000.0,453000.0,409000.0,427500.0,2883.5616438356165,2758.6206896551726,3028.169014084507,2823.943661971831,2955.2432687765704
BUKIT PANJANG,1998-08,EXECUTIVE,415000.0,383000.0,442000.0,402500.0,421500.0,2847.9789906371316,2623.2876712328766,3069.4444444444443,2753.470017236687,2892.612468600137
BUKIT PANJANG,1998-09,EXECUTIVE,415000.0,399000.0,438000.0,408000.0,419000.0,2856.6666666666665,2770.8333333333335,3000.0,2794.5205479452056,2863.013698630137
BUKIT PANJANG,1998-10,EXECUTIVE,425500.0,406000.0,495000.0,416375.0,438250.0,2895.5479452054797,2800.0,3390.4109589041095,2826.5753424657537,3001.7123287671234
BUKIT PANJANG,1998-11,EXECUTIVE,415000.0,355000.0,448000.0,405000.0,426000.0,2812.5,2431.5068493150684,3013.698630136986,2748.344370860927,2902.7397260273974
BUKIT PANJANG,1998-12,EXECUTIVE,410500.0,396000.0,428000.0,408500.0,411750.0,2808.219178082192,2712.328767123288,2834.4827586206898,2735.053978045904,2831.3072666243306
BUKIT PANJANG,1999-01,EXECUTIVE,401000.0,375000.0,431000.0,393000.0,415000.0,2767.605633802817,2500.0,2952.054794520548,2702.054794520548,2877.591940532081
BUKIT PANJANG,1999-02,EXECUTIVE,385000.0,358000.0,425000.0,378000.0,393750.0,2671.2328767123286,2482.7586206896553,2910.958904109589,2592.4657534246576,2705.437925566645
BUKIT PANJANG,1999-03,EXECUTIVE,395000.0,350000.0,417000.0,380000.0,401000.0,2708.3333333333335,2464.788732394366,2875.862068965517,2602.6943663249567,2756.02267359471
BUKIT PANJANG,1999-04,EXECUTIVE,387000.0,355000.0,410000.0,373000.0,400000.0,2650.6849315068494,2419.3548387096776,2808.219178082192,2521.1267605633802,2726.027397260274
BUKIT PANJANG,1999-05,EXECUTIVE,389000.0,352000.0,415000.0,377500.0,393500.0,2656.306093528578,2410.958904109589,2842.4657534246576,2570.647736550848,2725.395114942529
BUKIT PANJANG,1999-06,EXECUTIVE,380000.0,352000.0,410000.0,366500.0,388000.0,2602.7397260273974,2431.5068493150684,2696.551724137931,2533.957167663515,2641.073795846222
BUKIT PANJANG,1999-07,EXECUTIVE,392500.0,355000.0,438000.0,372875.0,403750.0,2724.172374429224,2448.2758620689656,2857.1428571428573,2625.458228825005,2767.0991703646537
BUKIT PANJANG,1999-08,EXECUTIVE,400000.0,360000.0,425000.0,370000.0,408000.0,2739.72602739726,2465.753424657534,2910.958904109589,2551.7241379310344,2768.2119205298013
BUKIT PANJANG,1999-09,EXECUTIVE,404000.0,379000.0,430000.0,398000.0,424000.0,2767.123287671233,2669.0140845070423,2847.682119205298,2726.027397260274,2807.9470198675494
BUKIT PANJANG,1999-10,EXECUTIVE,411000.0,365000.0,422000.0,401750.0,416000.0,2800.7762557077626,2354.8387096774195,2890.4109589041095,2748.796741947427,2830.408105022831
BUKIT PANJANG,1999-11,EXECUTIVE,410000.0,378000.0,480000.0,408000.0,415000.0,2794.5205479452056,2661.9718309859154,3287.671232876712,2748.344370860927,2887.323943661972
BUKIT PANJANG,1999-12,EXECUTIVE,410000.0,370000.0,449000.0,401000.0,425000.0,2827.5862068965516,2534.246575342466,2973.5099337748343,2746.5753424657532,2910.958904109589
BUKIT PANJANG,2000-01,EXECUTIVE,445000.0,440000.0,450000.0,442500.0,447500.0,2947.0198675496686,2913.907284768212,2980.1324503311257,2930.46357615894,2963.5761589403974
BUKIT PANJANG,2000-02,EXECUTIVE,425000.0,396000.0,445000.0,420000.0,438000.0,2833.3333333333335,2788.7323943661972,2876.7123287671234,2825.8064516129034,2870.967741935484
BUKIT PANJANG,2000-03,EXECUTIVE,417750.0,405000.0,445000.0,415625.0,436600.0,2901.625506463438,2832.1678321678323,3133.8028169014083,2846.746575342466,3026.260320543953
BUKIT PANJANG,2000-04,EXECUTIVE,423500.0,410000.0,446000.0,419000.0,430250.0,2920.689655172414,2808.219178082192,2953.6423841059604,2884.813415210203,2936.6864580954552
BUKIT PANJANG,2000-05,EXECUTIVE,420000.0,404000.0,460000.0,412000.0,440000.0,2876.7123287671234,2805.5555555555557,3150.6849315068494,2841.1339421613393,3013.698630136986
BUKIT PANJANG,2000-06,EXECUTIVE,449000.0,418000.0,480000.0,433500.0,464500.0,3095.224505327245,2902.777777777778,3287.671232876712,2999.0011415525114,3191.4478691019785
BUKIT PANJANG,2000-07,EXECUTIVE,413500.0,392000.0,433000.0,402250.0,427000.0,2839.9575535404206,2638.7096774193546,3028.169014084507,2745.892018779343,2940.068493150685
BUKIT PANJANG,2000-08,EXECUTIVE,407500.0,390000.0,420000.0,397750.0,415750.0,2791.095890410959,2708.3333333333335,2896.551724137931,2724.3150684931506,2847.6027397260273
BUKIT PANJANG,2000-09,EXECUTIVE,410000.0,408000.0,412000.0,409000.0,411000.0,2808.219178082192,2794.5205479452056,2821.917808219178,2801.3698630136987,2815.068493150685
BUKIT PANJANG,2000-10,EXECUTIVE,425000.0,425000.0,425000.0,425000.0,425000.0,2992.957746478873,2992.957746478873,2992.957746478873,2992.957746478873,2992.957746478873
BUKIT PANJANG,2000-11,EXECUTIVE,411500.0,401000.0,418000.0,406250.0,415750.0,2873.239436619718,2794.5205479452056,2943.6619718309857,2816.5878834651744,2927.8169014084506
BUKIT PANJANG,2000-12,EXECUTIVE,382550.0,380000.0,385100.0,381275.0,383825.0,2526.8199651264167,2451.6129032258063,2602.027027027027,2489.2164341761118,2564.4234960767217
BUKIT PANJANG,2001-01,EXECUTIVE,410000.0,390000.0,457000.0,400000.0,415000.0,2816.9014084507044,2671.2328767123286,3218.3098591549297,2808.219178082192,2922.5352112676055
BUKIT PANJANG,2001-02,EXECUTIVE,387500.0,373000.0,418000.0,379750.0,399750.0,2636.060718252499,2572.4137931034484,2943.6619718309857,2600.564605701592,2729.452054794521
BUKIT PANJANG,2001-03,EXECUTIVE,398000.0,375000.0,420000.0,382000.0,415000.0,2802.8169014084506,2586.206896551724,2957.7464788732395,2616.4383561643835,2943.158953722334
BUKIT PANJANG,2001-04,EXECUTIVE,382000.0,370000.0,413000.0,380000.0,387000.0,2638.8888888888887,2516.5562913907283,2950.0,2569.4444444444443,2673.6111111111113
BUKIT PANJANG,2001-05,EXECUTIVE,390000.0,361000.0,430000.0,365000.0,402000.0,2711.2676056338028,2420.0,3071.4285714285716,2500.0,2781.6901408450703
BUKIT PANJANG,2001-06,EXECUTIVE,380000.0,368000.0,399500.0,374000.0,389750.0,2620.689655172414,2555.5555555555557,2813.3802816901407,2588.122605363985,2717.0349684312773
BUKIT PANJANG,2001-07,EXECUTIVE,389000.0,382000.0,399000.0,383000.0,393500.0,2701.3888888888887,2616.4383561643835,2850.0,2623.2876712328766,2790.845070422535
BUKIT PANJANG,2001-08,EXECUTIVE,381000.0,375000.0,389000.0,379500.0,382000.0,2616.4383561643835,2483.4437086092717,2739.43661971831,2569.695182799601,2672.5352112676055
BUKIT PANJANG,2001-09,EXECUTIVE,384500.0,341000.0,400000.0,372125.0,395750.0,2669.0476190476193,2335.6164383561645,2828.5714285714284,2574.257186957361,2808.777665995976
BUKIT PANJANG,2001-10,EXECUTIVE,362000.0,361000.0,370000.0,361500.0,366000.0,2549.2957746478874,2472.6027397260273,2551.7241379310344,2510.9492571869573,2550.509956289461
BUKIT PANJANG,2001-11,EXECUTIVE,370000.0,360000.0,382000.0,369000.0,380000.0,2598.5915492957747,2384.1059602649007,2690.1408450704225,2569.4444444444443,2676.056338028169
BUKIT PANJANG,2001-12,EXECUTIVE,365500.0,353000.0,376000.0,359000.0,371500.0,2573.943661971831,2451.3888888888887,2647.887323943662,2519.5373630672925,2616.1971830985917
BUKIT PANJANG,2002-01,EXECUTIVE,365000.0,328000.0,390000.0,341500.0,369800.0,2410.3225806451615,2277.777777777778,2577.4647887323945,2388.155320813771,2543.275783734666
BUKIT PANJANG,2002-02,EXECUTIVE,378500.0,319000.0,399000.0,363000.0,386250.0,2603.7044182905656,2230.769230769231,2770.8333333333335,2539.4800308701524,2659.1875295229097
BUKIT PANJANG,2002-03,EXECUTIVE,360000.0,320000.0,400000.0,349000.0,384250.0,2482.7586206896553,2191.780821917808,2739.72602739726,2357.716894977169,2715.6843156843156
BUKIT PANJANG,2002-04,EXECUTIVE,374000.0,354000.0,450000.0,357000.0,405000.0,2570.8549834671703,2424.6575342465753,3191.4893617021276,2445.205479452055,2815.1137197358767
BUKIT PANJANG,2002-05,EXECUTIVE,354944.0,315000.0,415000.0,344625.0,380500.0,2440.1408450704225,2218.3098591549297,2922.5352112676055,2343.341059602649,2630.5175038051752
BUKIT PANJANG,2002-06,EXECUTIVE,388000.0,340000.0,400000.0,365000.0,395000.0,2694.4444444444443,2361.1111111111113,2762.237762237762,2534.246575342466,2731.0344827586205
BUKIT PANJANG,2002-07,EXECUTIVE,387000.0,334000.0,422000.0,368500.0,400500.0,2743.0555555555557,2287.671232876712,3014.285714285714,2541.4288432267886,2798.2267732267733
BUKIT PANJANG,2002-08,EXECUTIVE,363000.0,342000.0,400000.0,349000.0,375000.0,2467.74925156491,2264.900662251656,2797.2027972027972,2402.7397260273974,2582.446808510638
BUKIT PANJANG,2002-09,EXECUTIVE,372000.0,347000.0,438000.0,366500.0,392750.0,2618.0371352785146,2238.7096774193546,3084.507042253521,2557.6584507042253,2710.591133004926
BUKIT PANJANG,2002-10,EXECUTIVE,382000.0,359000.0,415000.0,374500.0,399000.0,2652.777777777778,2493.0555555555557,2950.0,2646.6783216783215,2826.5158325841576
BUKIT PANJANG,2002-11,EXECUTIVE,374000.0,345000.0,425000.0,355888.0,403000.0,2615.3846153846152,2429.5774647887324,3035.714285714286,2506.2535211267605,2741.496598639456
BUKIT PANJANG,2002-12,EXECUTIVE,340050.0,335000.0,354000.0,337250.0,345075.0,2343.7607729293295,2294.5205479452056,2347.222222222222,2330.9931506849316,2345.08370125092
BUKIT PANJANG,2003-01,EXECUTIVE,362000.0,318000.0,411000.0,347000.0,380000.0,2496.551724137931,2105.9602649006624,2935.714285714286,2336.756019990913,2657.7171361502346
BUKIT PANJANG,2003-02,EXECUTIVE,373000.0,340000.0,413888.0,365000.0,388000.0,2588.6524822695037,2328.7671232876714,2914.7042253521126,2520.0,2675.862068965517
BUKIT PANJANG,2003-03,EXECUTIVE,384500.0,360000.0,407000.0,367000.0,398250.0,2651.7241379310344,2465.753424657534,2866.1971830985917,2518.1034482758623,2790.1529868868383
BUKIT PANJANG,2003-04,EXECUTIVE,392500.0,335000.0,415000.0,356500.0,403750.0,2645.9563834620626,2310.344827586207,2964.285714285714,2380.1612903225805,2772.6444876153473
BUKIT PANJANG,2003-05,EXECUTIVE,378000.0,328000.0,420000.0,365500.0,388000.0,2678.5714285714284,2225.8064516129034,2957.7464788732395,2610.714285714286,2750.0
BUKIT PANJANG,2003-06,EXECUTIVE,375000.0,340000.0,428000.0,368500.0,403472.0,2634.2261904761904,2361.1111111111113,3057.1428571428573,2538.43882853094,2826.578154240126
BUKIT PANJANG,2003-07,EXECUTIVE,375000.0,325000.0,440000.0,349000.0,399500.0,2642.8571428571427,2241.3793103448274,3098.5915492957747,2424.175188114991,2796.2424899044618
BUKIT PANJANG,2003-08,EXECUTIVE,379000.0,337000.0,415000.0,368500.0,391000.0,2662.5998115359816,2373.239436619718,2964.285714285714,2570.4399766899764,2758.365797622615
BUKIT PANJANG,2003-09,EXECUTIVE,363750.0,315000.0,425500.0,323750.0,387250.0,2546.9178082191784,2032.258064516129,2996.478873239437,2185.502283105023,2755.633802816901
BUKIT PANJANG,2003-10,EXECUTIVE,374500.0,325000.0,410000.0,341500.0,396250.0,2566.8587470449174,2174.1935483870966,2900.0,2292.076206971206,2807.2087486981104
BUKIT PANJANG,2003-11,EXECUTIVE,387000.0,335000.0,426000.0,363750.0,414500.0,2709.2364532019706,2294.5205479452056,2979.020979020979,2593.4650455927053,2873.534915788437
BUKIT PANJANG,2003-12,EXECUTIVE,361500.0,332000.0,402000.0,341500.0,391250.0,2554.795204795205,2198.6754966887415,2857.1428571428573,2412.759775435832,2777.58358662614
BUKIT PANJANG,2004-01,EXECUTIVE,326500.0,302000.0,430000.0,321500.0,349500.0,2238.7452107279696,2126.760563380282,3049.645390070922,2207.945205479452,2404.2982030111707
BUKIT PANJANG,2004-02,EXECUTIVE,405000.0,330000.0,423000.0,375000.0,420750.0,2853.072983354674,2185.430463576159,3000.0,2591.8121613485855,2984.154929577465
BUKIT PANJANG,2004-03,EXECUTIVE,340000.0,315000.0,385000.0,337500.0,356500.0,2328.7671232876714,2218.3098591549297,2750.0,2257.9201718274567,2477.2814972023925
BUKIT PANJANG,2004-04,EXECUTIVE,380000.0,326000.0,442000.0,347500.0,388000.0,2676.056338028169,2295.774647887324,3112.676056338028,2316.6666666666665,2771.4285714285716
BUKIT PANJANG,2004-05,EXECUTIVE,361500.0,330000.0,388000.0,340000.0,374000.0,2538.423645320197,2275.862068965517,2657.5342465753424,2332.9593764761457,2643.0583501006035
BUKIT PANJANG,2004-06,EXECUTIVE,360000.0,312500.0,415000.0,340000.0,370000.0,2465.753424657534,2155.1724137931033,2922.5352112676055,2328.7671232876714,2551.7241379310344
BUKIT PANJANG,2004-07,EXECUTIVE,330000.0,310000.0,398000.0,320000.0,364000.0,2260.27397260274,2052.980132450331,2783.2167832167834,2156.6270525265354,2521.7453779097614
