town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-02,195000.0,195000.0,195000.0,195000.0,195000.0,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821
BUKIT PANJANG,1991-06,81000.0,81000.0,81000.0,81000.0,81000.0,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143
BUKIT PANJANG,1991-07,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1991-09,68000.0,60000.0,92000.0,64000.0,80000.0,821.917808219178,809.5238095238095,893.2038834951456,815.7208088714938,857.5608458571619
BUKIT PANJANG,1991-10,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1991-11,80000.0,55000.0,149000.0,67500.0,114500.0,776.6990291262136,753.4246575342465,1231.404958677686,765.0618433302301,1004.0519939019498
BUKIT PANJANG,1991-12,115000.0,115000.0,115000.0,115000.0,115000.0,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123
BUKIT PANJANG,1992-01,59000.0,45000.0,190000.0,48000.0,60820.0,808.2191780821918,616.4383561643835,1258.2781456953642,657.5342465753424,833.1506849315069
BUKIT PANJANG,1992-02,60000.0,60000.0,212000.0,60000.0,136000.0,821.917808219178,821.917808219178,1452.054794520548,821.917808219178,1136.986301369863
BUKIT PANJANG,1992-03,65000.0,59000.0,87000.0,59750.0,74250.0,827.6255707762557,808.2191780821918,844.6601941747573,818.4931506849315,836.1650485436894
BUKIT PANJANG,1992-04,92000.0,60000.0,215000.0,78500.0,116000.0,876.5084838036476,718.4466019417475,1472.6027397260275,810.613113445937,991.8536324786326
BUKIT PANJANG,1992-05,112500.0,41000.0,210000.0,57500.0,192500.0,960.2013283520132,640.625,1438.3561643835617,748.1559536354057,1320.7091611479027
BUKIT PANJANG,1992-06,93000.0,92000.0,230000.0,92500.0,161500.0,902.9126213592233,893.2038834951456,1597.2222222222222,898.0582524271845,1250.0674217907226
BUKIT PANJANG,1992-07,70000.0,50000.0,245000.0,59800.0,135000.0,873.7864077669902,684.931506849315,1701.388888888889,819.1780821917807,1104.4520547945206
