town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-02,high,195000.0,195000.0,195000.0,195000.0,195000.0,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821
BUKIT PANJANG,1991-06,high,81000.0,81000.0,81000.0,81000.0,81000.0,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143
BUKIT PANJANG,1991-11,high,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1992-01,high,59800.0,59800.0,59800.0,59800.0,59800.0,819.1780821917808,819.1780821917808,819.1780821917808,819.1780821917808,819.1780821917808
BUKIT PANJANG,1992-02,high,136000.0,60000.0,212000.0,98000.0,174000.0,1136.986301369863,821.917808219178,1452.054794520548,979.4520547945206,1294.5205479452056
BUKIT PANJANG,1992-03,high,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-05,high,145000.0,80000.0,210000.0,112500.0,177500.0,1098.4848484848485,769.2307692307693,1438.3561643835617,933.8578088578089,1268.420506434205
BUKIT PANJANG,1992-06,high,230000.0,230000.0,230000.0,230000.0,230000.0,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222
BUKIT PANJANG,1992-08,high,83500.0,46000.0,200000.0,71500.0,115250.0,902.4725274725275,630.1369863013699,1388.888888888889,734.4573234984194,1124.0079365079366
BUKIT PANJANG,1992-10,high,96000.0,68000.0,124000.0,82000.0,110000.0,1006.7036523347203,809.5238095238095,1203.883495145631,908.1137309292649,1105.2935737401756
BUKIT PANJANG,1992-11,high,72500.0,59000.0,92000.0,59750.0,86750.0,857.5608458571619,808.2191780821918,1011.9047619047619,818.4931506849315,922.8791030975497
BUKIT PANJANG,1992-12,high,213500.0,60000.0,256000.0,150000.0,249250.0,1470.890410958904,821.917808219178,1777.7777777777778,1142.9794520547946,1713.2800608828006
BUKIT PANJANG,1993-01,high,187500.0,130000.0,245000.0,158750.0,216250.0,1348.4483607903235,1074.3801652892562,1622.5165562913908,1211.4142630397898,1485.4824585408571
BUKIT PANJANG,1993-02,high,89000.0,70000.0,108000.0,79500.0,98500.0,862.9476584022038,833.3333333333334,892.5619834710744,848.1404958677687,877.7548209366391
BUKIT PANJANG,1993-03,high,187000.0,100000.0,200000.0,143500.0,193500.0,1369.86301369863,961.5384615384615,1532.7868852459017,1165.7007376185459,1451.3249494722659
