town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-10,low,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1991-11,low,149000.0,149000.0,149000.0,149000.0,149000.0,1231.404958677686,1231.404958677686,1231.404958677686,1231.404958677686,1231.404958677686
BUKIT PANJANG,1992-01,low,53500.0,45000.0,61840.0,47250.0,59710.0,732.8767123287671,616.4383561643835,847.1232876712329,647.2602739726027,817.945205479452
BUKIT PANJANG,1992-04,low,83500.0,60000.0,185000.0,70500.0,116000.0,858.0742887249737,718.4466019417475,1284.7222222222222,796.0500066498204,991.8536324786326
BUKIT PANJANG,1992-05,low,125000.0,41000.0,200000.0,55250.0,192500.0,1070.6811263318111,640.625,1324.5033112582782,776.5946061643835,1320.7091611479027
BUKIT PANJANG,1992-06,low,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1992-07,low,59800.0,59600.0,60000.0,59700.0,59900.0,819.1780821917807,816.4383561643835,821.917808219178,817.8082191780821,820.5479452054794
BUKIT PANJANG,1992-08,low,177000.0,150000.0,204000.0,163500.0,190500.0,1280.852417302799,1145.0381679389313,1416.6666666666667,1212.945292620865,1348.759541984733
BUKIT PANJANG,1992-09,low,67000.0,60000.0,93000.0,62000.0,80000.0,797.6190476190476,738.0952380952381,894.2307692307693,776.6990291262136,821.917808219178
BUKIT PANJANG,1992-11,low,73000.0,44000.0,130000.0,70000.0,77000.0,1000.0,602.7397260273973,1262.1359223300972,679.6116504854369,1054.7945205479452
BUKIT PANJANG,1992-12,low,92000.0,60000.0,252000.0,84000.0,132000.0,876.5084838036476,821.917808219178,1668.8741721854306,850.3392651389067,1087.1214556677169
BUKIT PANJANG,1993-01,low,154000.0,91000.0,246000.0,91750.0,223500.0,1186.327969144833,875.0,1684.9315068493152,888.6529126213593,1530.8219178082193
BUKIT PANJANG,1993-02,low,71500.0,50000.0,115000.0,61000.0,89125.0,859.9880303231812,752.9411764705883,1082.1917808219177,791.4169520547945,898.3426881067961
BUKIT PANJANG,1993-03,low,65000.0,50000.0,159600.0,54800.0,80500.0,809.5238095238095,595.2380952380952,1093.150684931507,729.3705153294195,859.6754887618034
BUKIT PANJANG,1993-04,low,67000.0,50000.0,190000.0,58500.0,128500.0,797.6190476190476,595.2380952380952,1557.377049180328,696.4285714285713,1177.4980483996878
BUKIT PANJANG,1993-05,low,120000.0,70000.0,285000.0,95000.0,202500.0,983.6065573770492,958.9041095890411,1838.7096774193549,971.2553334830452,1411.158117398202
