town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-09,mid,80000.0,68000.0,92000.0,74000.0,86000.0,851.3638465094775,809.5238095238095,893.2038834951456,830.4438280166436,872.2838650023116
BUKIT PANJANG,1991-11,mid,55000.0,55000.0,55000.0,55000.0,55000.0,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465
BUKIT PANJANG,1991-12,mid,115000.0,115000.0,115000.0,115000.0,115000.0,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123
BUKIT PANJANG,1992-01,mid,119000.0,48000.0,190000.0,83500.0,154500.0,957.9061961353533,657.5342465753424,1258.2781456953642,807.7202213553478,1108.0921709153588
BUKIT PANJANG,1992-02,mid,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-03,mid,70000.0,59000.0,87000.0,64500.0,78500.0,833.3333333333334,808.2191780821918,844.6601941747573,820.7762557077626,838.9967637540453
BUKIT PANJANG,1992-07,mid,80000.0,50000.0,245000.0,65000.0,128750.0,916.3452586780156,684.931506849315,1701.388888888889,826.5726825375714,1144.5253044140031
BUKIT PANJANG,1992-08,mid,92000.0,92000.0,92000.0,92000.0,92000.0,893.2038834951456,893.2038834951456,893.2038834951456,893.2038834951456,893.2038834951456
BUKIT PANJANG,1992-09,mid,59000.0,55000.0,63000.0,57000.0,61000.0,751.7123287671233,750.0,753.4246575342465,750.8561643835617,752.5684931506848
BUKIT PANJANG,1992-10,mid,86000.0,57000.0,159000.0,59600.0,92500.0,834.9514563106796,780.8219178082192,1314.0495867768595,816.4383561643835,898.0582524271845
BUKIT PANJANG,1992-11,mid,83000.0,60000.0,92260.0,70500.0,92065.0,857.5608458571619,691.588785046729,895.7281553398059,789.3355524260658,893.8349514563107
BUKIT PANJANG,1992-12,mid,60000.0,55000.0,130000.0,57500.0,95000.0,821.917808219178,753.4246575342465,1214.9532710280373,787.6712328767123,1018.4355396236076
BUKIT PANJANG,1993-01,mid,68500.0,50000.0,92000.0,54000.0,89000.0,778.7604734672163,684.931506849315,893.2038834951456,738.6953052267589,865.108392073414
BUKIT PANJANG,1993-02,mid,68000.0,60000.0,92000.0,64000.0,80000.0,893.2038834951456,821.917808219178,931.5068493150685,857.5608458571619,912.3553664051071
BUKIT PANJANG,1993-03,mid,92000.0,43000.0,95000.0,67500.0,93500.0,893.2038834951456,589.0410958904109,922.3300970873786,741.1224896927783,907.7669902912621
BUKIT PANJANG,1993-04,mid,80000.0,80000.0,80000.0,80000.0,80000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
BUKIT PANJANG,1993-05,mid,120000.0,105000.0,278000.0,109500.0,153750.0,1255.952380952381,1165.0485436893205,1917.2413793103449,1186.2864077669904,1329.8204527712724
BUKIT PANJANG,1993-06,mid,137500.0,82000.0,176000.0,122500.0,148250.0,1303.7832494608197,1123.2876712328766,1442.622950819672,1234.0929458456023,1363.0595838587642
BUKIT PANJANG,1993-07,mid,165000.0,75000.0,316000.0,100000.0,245000.0,1436.1104873119245,1027.3972602739725,2164.3835616438355,1219.4341313532198,1754.6636517806671
BUKIT PANJANG,1993-08,mid,160000.0,60000.0,280000.0,140000.0,227000.0,1553.3980582524273,821.917808219178,1971.8309859154929,1359.2233009708739,1860.655737704918
BUKIT PANJANG,1993-09,mid,190000.0,55000.0,250000.0,165000.0,230000.0,1557.377049180328,753.4246575342465,2049.1803278688526,1393.4426229508197,1900.8264462809918
BUKIT PANJANG,1993-10,mid,90000.0,85000.0,340000.0,85250.0,210000.0,1232.876712328767,1164.3835616438357,2251.655629139073,1167.8082191780823,1658.9924160346695
BUKIT PANJANG,1993-11,mid,187500.0,80000.0,345000.0,91750.0,231500.0,1610.0323624595471,1095.890410958904,2225.8064516129034,1256.849315068493,1897.5409836065573
BUKIT PANJANG,1993-12,mid,157500.0,83000.0,241000.0,96750.0,177000.0,1521.6579536967888,1136.986301369863,1991.7355371900826,1271.5264187866928,1705.8439133681852
BUKIT PANJANG,1994-01,mid,160000.0,80000.0,280000.0,113000.0,177000.0,1450.8196721311476,894.3089430894308,2276.4227642276423,1345.2380952380952,1663.4615384615386
BUKIT PANJANG,1994-02,mid,176900.0,85000.0,350000.0,121750.0,242750.0,1709.3633308439134,1164.3835616438357,2397.2602739726026,1492.9060665362035,1989.7540983606557
BUKIT PANJANG,1994-03,mid,128000.0,86000.0,250000.0,93750.0,163500.0,1387.5661375661375,1178.0821917808219,1937.984496124031,1284.2465753424658,1680.8722493278901
BUKIT PANJANG,1994-04,mid,160000.0,85000.0,330000.0,95000.0,195000.0,1553.3980582524273,1164.3835616438357,2260.27397260274,1301.3698630136987,1726.8820627088971
BUKIT PANJANG,1994-05,mid,190000.0,160000.0,380000.0,175000.0,278000.0,1844.6601941747572,1538.4615384615386,2602.7397260273974,1635.5140186915887,2187.5
BUKIT PANJANG,1994-06,mid,185000.0,88000.0,345000.0,139750.0,245500.0,1807.9701964326032,1205.4794520547946,2395.8333333333335,1619.0731542108829,2012.2950819672133
BUKIT PANJANG,1994-07,mid,167500.0,80000.0,400000.0,115250.0,258750.0,1618.5119492158328,1095.890410958904,2816.9014084507044,1420.541359325606,2120.9016393442625
BUKIT PANJANG,1994-08,mid,180000.0,87000.0,374000.0,107000.0,266000.0,1747.5728155339805,1191.7808219178082,2534.246575342466,1437.3586913153345,2180.327868852459
BUKIT PANJANG,1994-09,mid,168000.0,84000.0,259000.0,146000.0,179000.0,1586.5384615384614,1150.6849315068494,2122.9508196721313,1540.9991099243434,1672.8971962616822
BUKIT PANJANG,1994-10,mid,252000.0,89000.0,385000.0,166500.0,303750.0,2055.5261766261237,1219.1780821917807,2636.986301369863,1707.8758733327284,2277.8688524590166
BUKIT PANJANG,1994-11,mid,195000.0,92000.0,300000.0,132500.0,244000.0,1834.9056603773586,1260.2739726027398,2459.0163934426228,1480.2423603793468,1927.774626583475
BUKIT PANJANG,1994-12,mid,148000.0,90000.0,430000.0,101250.0,246500.0,1561.6438356164383,1232.876712328767,2847.682119205298,1386.986301369863,1963.8910060975609
BUKIT PANJANG,1995-01,mid,204500.0,86000.0,418000.0,105000.0,270000.0,1816.793893129771,1178.0821917808219,2882.7586206896553,1438.3561643835617,2213.1147540983607
BUKIT PANJANG,1995-02,mid,148000.0,91000.0,270000.0,107500.0,215500.0,1761.904761904762,1246.5753424657535,2213.1147540983607,1472.6027397260273,1909.3293070565796
BUKIT PANJANG,1995-03,mid,200400.0,107000.0,350000.0,194750.0,280500.0,1945.6310679611652,1465.7534246575342,2317.880794701987,1886.249066467513,2312.118954071264
BUKIT PANJANG,1995-04,mid,109000.0,105000.0,200000.0,107000.0,154500.0,1493.150684931507,1438.3561643835617,1941.7475728155339,1465.7534246575342,1717.4491288735203
BUKIT PANJANG,1995-05,mid,242500.0,113000.0,410000.0,172750.0,313500.0,2136.6645649432535,1547.945205479452,2847.222222222222,1785.1074895977808,2435.2683584100605
BUKIT PANJANG,1995-06,mid,218000.0,108000.0,433000.0,202000.0,281500.0,2086.1421505770286,1479.4520547945206,2867.5496688741723,1946.7419716206123,2321.6027638531364
BUKIT PANJANG,1995-07,mid,203000.0,112000.0,310000.0,161000.0,288888.0,1915.0943396226414,1534.2465753424658,2561.9834710743803,1875.0,2256.9375
BUKIT PANJANG,1995-08,mid,212000.0,124000.0,300000.0,179000.0,216500.0,2038.1090645132022,1698.6301369863013,2459.0163934426228,1862.1705963938973,2067.541075429425
BUKIT PANJANG,1995-09,mid,215000.0,113000.0,323000.0,158400.0,305000.0,2087.378640776699,1547.945205479452,2647.5409836065573,1885.7142857142858,2389.8947883533156
BUKIT PANJANG,1995-10,mid,213000.0,116900.0,295000.0,161000.0,222500.0,1973.6842105263158,1601.3698630136987,2418.032786885246,1793.071654373024,2106.7961165048546
BUKIT PANJANG,1995-11,mid,166000.0,117000.0,410000.0,130000.0,275000.0,1976.1904761904761,1602.7397260273972,2852.112676056338,1780.8219178082193,2254.098360655738
BUKIT PANJANG,1995-12,mid,126500.0,121000.0,320000.0,122750.0,316000.0,1732.876712328767,1657.5342465753424,2614.754098360656,1681.5068493150686,2511.2915625600613
BUKIT PANJANG,1996-01,mid,221500.0,131000.0,460000.0,156750.0,240000.0,2140.0765496639283,1794.5205479452054,3194.4444444444443,1926.765015806112,2307.6923076923076
BUKIT PANJANG,1996-02,mid,175000.0,129000.0,350000.0,135000.0,250000.0,2083.3333333333335,1767.123287671233,2892.561983471074,1849.3150684931506,2427.1844660194174
BUKIT PANJANG,1996-03,mid,198800.0,136000.0,357000.0,151000.0,250000.0,2308.411214953271,1863.013698630137,2767.4418604651164,2068.4931506849316,2403.846153846154
BUKIT PANJANG,1996-04,mid,208000.0,127500.0,530000.0,147500.0,257500.0,2339.8058252427186,1746.5753424657535,3732.394366197183,1986.3013698630136,2559.8672161172162
BUKIT PANJANG,1996-05,mid,214000.0,140000.0,528000.0,155000.0,258000.0,2330.097087378641,1917.8082191780823,3641.3793103448274,2123.2876712328766,2514.194139194139
BUKIT PANJANG,1996-06,mid,292000.0,157000.0,425000.0,164500.0,370500.0,2778.688524590164,2150.6849315068494,3483.6065573770493,2253.4246575342468,3036.8852459016393
BUKIT PANJANG,1996-07,mid,220000.0,142000.0,597000.0,179250.0,386000.0,2595.2380952380954,1945.2054794520548,4089.041095890411,2363.013698630137,3163.934426229508
BUKIT PANJANG,1996-08,mid,263000.0,150000.0,535000.0,188000.0,394000.0,2575.3424657534247,2054.794520547945,3606.55737704918,2484.661172161172,3105.315449577745
BUKIT PANJANG,1996-09,mid,215000.0,150000.0,605000.0,185000.0,430000.0,2690.4761904761904,2054.794520547945,4260.56338028169,2534.246575342466,3257.5757575757575
BUKIT PANJANG,1996-10,mid,188000.0,177500.0,310000.0,185000.0,194000.0,2575.3424657534247,2431.5068493150684,2932.6923076923076,2534.246575342466,2657.5342465753424
BUKIT PANJANG,1996-11,mid,193000.0,148000.0,428000.0,189500.0,316000.0,2643.835616438356,2027.3972602739725,3508.1967213114754,2595.8904109589043,3060.376213592233
BUKIT PANJANG,1996-12,mid,232500.0,185000.0,576000.0,214500.0,309000.0,2690.4761904761904,2129.6296296296296,3945.205479452055,2585.6164383561645,2992.7184466019417
BUKIT PANJANG,1997-01,mid,240000.0,182000.0,550000.0,188750.0,336000.0,2621.359223300971,2493.150684931507,3873.239436619718,2583.9675291730086,3152.0966595593463
BUKIT PANJANG,1997-02,mid,280800.0,180000.0,392000.0,190000.0,286500.0,2666.6666666666665,2465.753424657534,3213.1147540983607,2581.792791594627,2740.3846153846152
BUKIT PANJANG,1997-03,mid,277500.0,185000.0,535000.0,193750.0,316000.0,2691.385669125395,2534.246575342466,3543.046357615894,2641.756360078278,2852.664344474913
BUKIT PANJANG,1997-04,mid,281500.0,188000.0,405000.0,217500.0,287750.0,2706.7307692307695,2559.5238095238096,3319.6721311475408,2621.697651663405,2766.826923076923
BUKIT PANJANG,1997-05,mid,278500.0,160000.0,515000.0,194750.0,343200.0,2740.055321390938,2191.780821917808,3576.3888888888887,2652.779624950126,2887.4432154848905
BUKIT PANJANG,1997-06,mid,281250.0,183000.0,388000.0,199750.0,331250.0,2680.2766325309212,2506.849315068493,3206.6115702479337,2588.1849315068494,2824.7851344898936
BUKIT PANJANG,1997-07,mid,272000.0,186000.0,540000.0,190000.0,285000.0,2630.9523809523807,2547.945205479452,3698.6301369863013,2575.3424657534247,2740.3846153846152
BUKIT PANJANG,1997-08,mid,267000.0,185000.0,500000.0,217000.0,285000.0,2583.3333333333335,2411.214953271028,3424.6575342465753,2523.809523809524,2740.3846153846152
BUKIT PANJANG,1997-09,mid,276000.0,172000.0,510000.0,255350.0,363375.0,2596.773475745438,2356.1643835616437,3517.2413793103447,2469.377576805426,2928.27868852459
BUKIT PANJANG,1997-10,mid,268000.0,159000.0,385000.0,210000.0,355000.0,2576.923076923077,2178.082191780822,3155.7377049180327,2407.4074074074074,2909.8360655737706
BUKIT PANJANG,1997-11,mid,270000.0,172000.0,502000.0,236500.0,342750.0,2600.9615384615386,2355.769230769231,3438.3561643835615,2445.468914646997,2809.4262295081967
BUKIT PANJANG,1997-12,mid,212000.0,152000.0,375000.0,178000.0,275000.0,2479.4520547945203,2082.1917808219177,3016.3934426229507,2397.2602739726026,2644.230769230769
BUKIT PANJANG,1998-01,mid,260000.0,160000.0,485000.0,237000.0,335750.0,2500.0,2191.780821917808,3415.492957746479,2296.2713387241693,2763.4636228153367
BUKIT PANJANG,1998-02,mid,253000.0,154000.0,470000.0,167750.0,338875.0,2402.5136321319324,2059.5238095238096,3112.582781456954,2251.3698630136987,2783.218737298469
BUKIT PANJANG,1998-03,mid,240000.0,144000.0,498000.0,155500.0,249000.0,2328.7671232876714,1972.6027397260275,3410.958904109589,2130.1369863013697,2400.952203136669
BUKIT PANJANG,1998-04,mid,235000.0,140000.0,440000.0,189000.0,321250.0,2281.5533980582522,1917.8082191780823,3098.5915492957747,2248.2798165137615,2536.419523099851
