town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT PANJANG,1991-02,high,EXECUTIVE,195000.0,195000.0,195000.0,195000.0,195000.0,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821,1291.390728476821
BUKIT PANJANG,1991-06,high,4 ROOM,81000.0,81000.0,81000.0,81000.0,81000.0,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143,964.2857142857143
BUKIT PANJANG,1991-07,very low,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1991-09,mid,4 ROOM,80000.0,68000.0,92000.0,74000.0,86000.0,851.3638465094775,809.5238095238095,893.2038834951456,830.4438280166436,872.2838650023116
BUKIT PANJANG,1991-09,very low,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1991-10,low,4 ROOM,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1991-11,high,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136,776.6990291262136
BUKIT PANJANG,1991-11,low,5 ROOM,149000.0,149000.0,149000.0,149000.0,149000.0,1231.404958677686,1231.404958677686,1231.404958677686,1231.404958677686,1231.404958677686
BUKIT PANJANG,1991-11,mid,3 ROOM,55000.0,55000.0,55000.0,55000.0,55000.0,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465
BUKIT PANJANG,1991-12,mid,EXECUTIVE,115000.0,115000.0,115000.0,115000.0,115000.0,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123,787.6712328767123
BUKIT PANJANG,1992-01,high,3 ROOM,59800.0,59800.0,59800.0,59800.0,59800.0,819.1780821917808,819.1780821917808,819.1780821917808,819.1780821917808,819.1780821917808
BUKIT PANJANG,1992-01,low,3 ROOM,53500.0,45000.0,61840.0,47250.0,59710.0,732.8767123287671,616.4383561643835,847.1232876712329,647.2602739726027,817.945205479452
BUKIT PANJANG,1992-01,mid,3 ROOM,48000.0,48000.0,48000.0,48000.0,48000.0,657.5342465753424,657.5342465753424,657.5342465753424,657.5342465753424,657.5342465753424
BUKIT PANJANG,1992-01,mid,EXECUTIVE,190000.0,190000.0,190000.0,190000.0,190000.0,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642
BUKIT PANJANG,1992-02,high,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-02,high,EXECUTIVE,212000.0,212000.0,212000.0,212000.0,212000.0,1452.054794520548,1452.054794520548,1452.054794520548,1452.054794520548,1452.054794520548
BUKIT PANJANG,1992-02,mid,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-03,high,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-03,mid,3 ROOM,59000.0,59000.0,59000.0,59000.0,59000.0,808.2191780821918,808.2191780821918,808.2191780821918,808.2191780821918,808.2191780821918
BUKIT PANJANG,1992-03,mid,4 ROOM,78500.0,70000.0,87000.0,74250.0,82750.0,838.9967637540453,833.3333333333334,844.6601941747573,836.1650485436894,841.8284789644013
BUKIT PANJANG,1992-04,low,3 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT PANJANG,1992-04,low,4 ROOM,83500.0,74000.0,93000.0,78750.0,88250.0,806.3386855862584,718.4466019417475,894.2307692307693,762.392643764003,850.2847274085138
BUKIT PANJANG,1992-04,low,EXECUTIVE,185000.0,185000.0,185000.0,185000.0,185000.0,1284.7222222222222,1284.7222222222222,1284.7222222222222,1284.7222222222222,1284.7222222222222
BUKIT PANJANG,1992-04,very low,4 ROOM,92000.0,80000.0,92000.0,86000.0,92000.0,859.8130841121496,776.6990291262136,893.2038834951456,818.2560566191817,876.5084838036476
BUKIT PANJANG,1992-04,very low,EXECUTIVE,215000.0,215000.0,215000.0,215000.0,215000.0,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275,1472.6027397260275
BUKIT PANJANG,1992-05,high,4 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
BUKIT PANJANG,1992-05,high,5 ROOM,145000.0,145000.0,145000.0,145000.0,145000.0,1098.4848484848485,1098.4848484848485,1098.4848484848485,1098.4848484848485,1098.4848484848485
BUKIT PANJANG,1992-05,high,EXECUTIVE,210000.0,210000.0,210000.0,210000.0,210000.0,1438.3561643835617,1438.3561643835617,1438.3561643835617,1438.3561643835617,1438.3561643835617
BUKIT PANJANG,1992-05,low,3 ROOM,50500.0,41000.0,60000.0,45750.0,55250.0,731.271404109589,640.625,821.917808219178,685.9482020547945,776.5946061643835
BUKIT PANJANG,1992-05,low,EXECUTIVE,195000.0,190000.0,200000.0,192500.0,197500.0,1321.9738778513613,1319.4444444444443,1324.5033112582782,1320.7091611479027,1323.2385945548199
BUKIT PANJANG,1992-05,very low,3 ROOM,50000.0,50000.0,50000.0,50000.0,50000.0,684.931506849315,684.931506849315,684.931506849315,684.931506849315,684.931506849315
BUKIT PANJANG,1992-06,high,EXECUTIVE,230000.0,230000.0,230000.0,230000.0,230000.0,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222,1597.2222222222222
BUKIT PANJANG,1992-06,low,4 ROOM,93000.0,93000.0,93000.0,93000.0,93000.0,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233,902.9126213592233
BUKIT PANJANG,1992-06,very low,4 ROOM,92000.0,92000.0,92000.0,92000.0,92000.0,893.2038834951456,893.2038834951456,893.2038834951456,893.2038834951456,893.2038834951456
BUKIT PANJANG,1992-07,low,3 ROOM,59800.0,59600.0,60000.0,59700.0,59900.0,819.1780821917807,816.4383561643835,821.917808219178,817.8082191780821,820.5479452054794
BUKIT PANJANG,1992-07,mid,3 ROOM,60000.0,50000.0,70000.0,55000.0,65000.0,821.9178082191781,684.931506849315,958.9041095890411,753.4246575342465,890.4109589041096
BUKIT PANJANG,1992-07,mid,4 ROOM,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
BUKIT PANJANG,1992-07,mid,EXECUTIVE,245000.0,245000.0,245000.0,245000.0,245000.0,1701.388888888889,1701.388888888889,1701.388888888889,1701.388888888889,1701.388888888889
BUKIT PANJANG,1992-07,very low,EXECUTIVE,180000.0,180000.0,180000.0,180000.0,180000.0,1250.0,1250.0,1250.0,1250.0,1250.0
BUKIT PANJANG,1992-08,high,3 ROOM,46000.0,46000.0,46000.0,46000.0,46000.0,630.1369863013699,630.1369863013699,630.1369863013699,630.1369863013699,630.1369863013699
BUKIT PANJANG,1992-08,high,4 ROOM,83500.0,80000.0,87000.0,81750.0,85250.0,902.4725274725275,769.2307692307693,1035.7142857142858,835.8516483516485,969.0934065934066
BUKIT PANJANG,1992-08,high,EXECUTIVE,200000.0,200000.0,200000.0,200000.0,200000.0,1388.888888888889,1388.888888888889,1388.888888888889,1388.888888888889,1388.888888888889
