town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-01,3 ROOM,40100.0,40000.0,40200.0,40050.0,40150.0,626.7399267399267,615.3846153846154,638.0952380952381,621.0622710622711,632.4175824175824
BUKIT TIMAH,1990-02,3 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842
BUKIT TIMAH,1990-05,3 ROOM,37500.0,35000.0,40000.0,36250.0,38750.0,577.3971790920943,538.4615384615385,616.3328197226501,557.9293587768163,596.8649994073722
BUKIT TIMAH,1990-06,3 ROOM,43500.0,40000.0,47000.0,41750.0,45250.0,629.6101159114858,615.3846153846154,643.8356164383562,622.4973656480506,636.7228661749209
BUKIT TIMAH,1990-07,3 ROOM,40000.0,37500.0,46000.0,40000.0,41000.0,605.2631578947369,561.6438356164383,615.3846153846154,576.9230769230769,615.3846153846154
BUKIT TIMAH,1990-08,3 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
BUKIT TIMAH,1990-09,3 ROOM,36000.0,36000.0,36000.0,36000.0,36000.0,553.8461538461538,553.8461538461538,553.8461538461538,553.8461538461538,553.8461538461538
BUKIT TIMAH,1990-12,3 ROOM,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
BUKIT TIMAH,1991-01,3 ROOM,52000.0,52000.0,52000.0,52000.0,52000.0,712.3287671232877,712.3287671232877,712.3287671232877,712.3287671232877,712.3287671232877
BUKIT TIMAH,1991-02,3 ROOM,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
BUKIT TIMAH,1991-04,3 ROOM,47020.0,40040.0,54000.0,43530.0,50510.0,672.8648648648648,616.0,729.7297297297297,644.4324324324324,701.2972972972973
BUKIT TIMAH,1991-08,3 ROOM,46500.0,38000.0,55000.0,42250.0,50750.0,678.2996303544248,603.1746031746031,753.4246575342465,640.737116764514,715.8621439443357
BUKIT TIMAH,1991-11,3 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
BUKIT TIMAH,1992-01,3 ROOM,48500.0,40000.0,57000.0,44250.0,52750.0,760.0732600732601,615.3846153846154,904.7619047619048,687.7289377289377,832.4175824175825
BUKIT TIMAH,1992-03,3 ROOM,47000.0,47000.0,47000.0,47000.0,47000.0,746.031746031746,746.031746031746,746.031746031746,746.031746031746,746.031746031746
BUKIT TIMAH,1992-05,3 ROOM,64500.0,55000.0,74000.0,59750.0,69250.0,909.919028340081,846.1538461538462,973.6842105263158,878.0364372469636,941.8016194331984
BUKIT TIMAH,1992-07,3 ROOM,65750.0,60000.0,71500.0,62875.0,68625.0,900.6849315068494,821.917808219178,979.4520547945206,861.3013698630136,940.068493150685
