town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1992-10,EXECUTIVE,300000.0,300000.0,300000.0,300000.0,300000.0,2112.676056338028,2112.676056338028,2112.676056338028,2112.676056338028,2112.676056338028
BUKIT TIMAH,1993-05,EXECUTIVE,307000.0,307000.0,307000.0,307000.0,307000.0,2102.7397260273974,2102.7397260273974,2102.7397260273974,2102.7397260273974,2102.7397260273974
BUKIT TIMAH,1993-06,EXECUTIVE,305000.0,305000.0,305000.0,305000.0,305000.0,2089.041095890411,2089.041095890411,2089.041095890411,2089.041095890411,2089.041095890411
BUKIT TIMAH,1993-07,EXECUTIVE,350000.0,350000.0,350000.0,350000.0,350000.0,2333.3333333333335,2333.3333333333335,2333.3333333333335,2333.3333333333335,2333.3333333333335
BUKIT TIMAH,1993-08,EXECUTIVE,360000.0,360000.0,360000.0,360000.0,360000.0,2465.753424657534,2465.753424657534,2465.753424657534,2465.753424657534,2465.753424657534
BUKIT TIMAH,1993-09,EXECUTIVE,360000.0,351800.0,420000.0,360000.0,380000.0,2465.753424657534,2409.5890410958905,2876.7123287671234,2465.753424657534,2602.7397260273974
BUKIT TIMAH,1993-10,EXECUTIVE,350000.0,333000.0,425000.0,341500.0,387500.0,2333.3333333333335,2280.821917808219,2910.958904109589,2307.077625570776,2622.1461187214613
BUKIT TIMAH,1993-11,EXECUTIVE,439888.0,439888.0,439888.0,439888.0,439888.0,2932.5866666666666,2932.5866666666666,2932.5866666666666,2932.5866666666666,2932.5866666666666
BUKIT TIMAH,1994-01,EXECUTIVE,365000.0,355000.0,416000.0,360000.0,390500.0,2431.5068493150684,2370.12987012987,2701.2987012987014,2400.8183597224693,2566.402775306885
BUKIT TIMAH,1994-02,EXECUTIVE,392500.0,360000.0,425000.0,376250.0,408750.0,2688.356164383562,2465.753424657534,2910.958904109589,2577.054794520548,2799.6575342465753
BUKIT TIMAH,1994-03,EXECUTIVE,425000.0,340000.0,445000.0,405000.0,445000.0,2910.958904109589,2328.7671232876714,3047.945205479452,2773.972602739726,3047.945205479452
BUKIT TIMAH,1994-04,EXECUTIVE,414000.0,400000.0,445000.0,410750.0,433750.0,2835.1440717997166,2681.818181818182,3047.945205479452,2756.849315068493,2975.79121398205
BUKIT TIMAH,1994-05,EXECUTIVE,454500.0,380000.0,465000.0,412500.0,462500.0,3113.013698630137,2602.7397260273974,3274.6478873239435,2835.38025507794,3167.8082191780823
BUKIT TIMAH,1994-06,EXECUTIVE,423000.0,380000.0,445000.0,401500.0,434000.0,2820.0,2602.7397260273974,2966.6666666666665,2711.3698630136987,2893.333333333333
BUKIT TIMAH,1994-07,EXECUTIVE,428000.0,375000.0,480000.0,401500.0,454000.0,2853.3333333333335,2500.0,3380.281690140845,2676.666666666667,3116.807511737089
BUKIT TIMAH,1994-08,EXECUTIVE,485000.0,480000.0,490000.0,482500.0,487500.0,3321.917808219178,3287.671232876712,3356.1643835616437,3304.794520547945,3339.041095890411
BUKIT TIMAH,1994-09,EXECUTIVE,473000.0,473000.0,473000.0,473000.0,473000.0,3071.4285714285716,3071.4285714285716,3071.4285714285716,3071.4285714285716,3071.4285714285716
BUKIT TIMAH,1994-10,EXECUTIVE,525000.0,525000.0,525000.0,525000.0,525000.0,3500.0,3500.0,3500.0,3500.0,3500.0
BUKIT TIMAH,1994-11,EXECUTIVE,491500.0,370000.0,505000.0,452500.0,503500.0,3322.6027397260277,2466.6666666666665,3458.904109589041,3016.6666666666665,3448.6301369863013
BUKIT TIMAH,1994-12,EXECUTIVE,502500.0,480000.0,525000.0,491250.0,513750.0,3350.0,3200.0,3500.0,3275.0,3425.0
BUKIT TIMAH,1995-01,EXECUTIVE,482500.0,420000.0,545000.0,451250.0,513750.0,3133.1168831168834,2727.2727272727275,3538.961038961039,2930.194805194805,3336.038961038961
BUKIT TIMAH,1995-05,EXECUTIVE,552500.0,539000.0,565000.0,545750.0,558750.0,3784.246575342466,3691.780821917808,3869.8630136986303,3738.013698630137,3827.054794520548
BUKIT TIMAH,1995-06,EXECUTIVE,540000.0,540000.0,540000.0,540000.0,540000.0,3600.0,3600.0,3600.0,3600.0,3600.0
BUKIT TIMAH,1995-07,EXECUTIVE,538000.0,538000.0,538000.0,538000.0,538000.0,3684.931506849315,3684.931506849315,3684.931506849315,3684.931506849315,3684.931506849315
BUKIT TIMAH,1995-08,EXECUTIVE,541500.0,540000.0,543000.0,540750.0,542250.0,3708.904109589041,3698.6301369863013,3719.178082191781,3703.767123287671,3714.0410958904113
BUKIT TIMAH,1995-09,EXECUTIVE,573750.0,557500.0,590000.0,565625.0,581875.0,3887.5297237973296,3620.12987012987,4154.929577464789,3753.8297969635996,4021.2296506310595
BUKIT TIMAH,1995-10,EXECUTIVE,565000.0,510000.0,610000.0,525000.0,571500.0,3869.8630136986303,3517.2413793103447,3961.038961038961,3595.890410958904,3914.3835616438355
BUKIT TIMAH,1995-11,EXECUTIVE,580000.0,580000.0,580000.0,580000.0,580000.0,3972.6027397260273,3972.6027397260273,3972.6027397260273,3972.6027397260273,3972.6027397260273
BUKIT TIMAH,1995-12,EXECUTIVE,571000.0,527000.0,615000.0,549000.0,593000.0,3910.9589041095887,3609.5890410958905,4212.328767123287,3760.27397260274,4061.643835616438
BUKIT TIMAH,1996-02,EXECUTIVE,604000.0,570000.0,628000.0,592500.0,613000.0,4136.986301369863,3701.2987012987014,4301.369863013699,4007.5164561465926,4198.630136986301
