town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-01,high,40100.0,40000.0,40200.0,40050.0,40150.0,626.7399267399267,615.3846153846154,638.0952380952381,621.0622710622711,632.4175824175824
BUKIT TIMAH,1990-04,high,130000.0,130000.0,130000.0,130000.0,130000.0,1040.0,1040.0,1040.0,1040.0,1040.0
BUKIT TIMAH,1990-05,high,40000.0,40000.0,40000.0,40000.0,40000.0,616.3328197226501,616.3328197226501,616.3328197226501,616.3328197226501,616.3328197226501
BUKIT TIMAH,1990-07,high,46000.0,40000.0,160200.0,43000.0,103100.0,615.3846153846154,605.2631578947369,1335.0,610.3238866396762,975.1923076923076
BUKIT TIMAH,1990-08,high,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
BUKIT TIMAH,1991-01,high,52000.0,52000.0,52000.0,52000.0,52000.0,712.3287671232877,712.3287671232877,712.3287671232877,712.3287671232877,712.3287671232877
BUKIT TIMAH,1991-03,high,135000.0,135000.0,135000.0,135000.0,135000.0,1080.0,1080.0,1080.0,1080.0,1080.0
BUKIT TIMAH,1991-04,high,54000.0,54000.0,54000.0,54000.0,54000.0,729.7297297297297,729.7297297297297,729.7297297297297,729.7297297297297,729.7297297297297
BUKIT TIMAH,1991-08,high,38000.0,38000.0,38000.0,38000.0,38000.0,603.1746031746031,603.1746031746031,603.1746031746031,603.1746031746031,603.1746031746031
BUKIT TIMAH,1991-09,high,104000.0,104000.0,104000.0,104000.0,104000.0,1168.5393258426966,1168.5393258426966,1168.5393258426966,1168.5393258426966,1168.5393258426966
BUKIT TIMAH,1992-01,high,48500.0,40000.0,57000.0,44250.0,52750.0,760.0732600732601,615.3846153846154,904.7619047619048,687.7289377289377,832.4175824175825
BUKIT TIMAH,1992-07,high,60000.0,60000.0,60000.0,60000.0,60000.0,821.917808219178,821.917808219178,821.917808219178,821.917808219178,821.917808219178
BUKIT TIMAH,1993-01,high,158000.0,158000.0,158000.0,158000.0,158000.0,1284.5528455284552,1284.5528455284552,1284.5528455284552,1284.5528455284552,1284.5528455284552
BUKIT TIMAH,1993-02,high,140000.0,140000.0,140000.0,140000.0,140000.0,1120.0,1120.0,1120.0,1120.0,1120.0
BUKIT TIMAH,1993-03,high,46900.0,46900.0,46900.0,46900.0,46900.0,515.3846153846154,515.3846153846154,515.3846153846154,515.3846153846154,515.3846153846154
BUKIT TIMAH,1993-04,high,160000.0,110000.0,210000.0,135000.0,185000.0,1471.6360646752535,1235.9550561797753,1707.3170731707316,1353.7955604275144,1589.4765689229926
BUKIT TIMAH,1993-05,high,277500.0,248000.0,307000.0,262750.0,292250.0,2067.7633056366494,2032.7868852459017,2102.7397260273974,2050.2750954412754,2085.2515158320234
BUKIT TIMAH,1993-06,high,124000.0,78000.0,170000.0,101000.0,147000.0,1417.3076923076924,1200.0,1634.6153846153845,1308.6538461538462,1525.9615384615383
BUKIT TIMAH,1993-07,high,310000.0,310000.0,310000.0,310000.0,310000.0,2421.875,2421.875,2421.875,2421.875,2421.875
BUKIT TIMAH,1993-08,high,295000.0,295000.0,295000.0,295000.0,295000.0,2418.032786885246,2418.032786885246,2418.032786885246,2418.032786885246,2418.032786885246
BUKIT TIMAH,1993-09,high,351800.0,160000.0,360000.0,255900.0,355900.0,2409.5890410958905,1538.4615384615386,2465.753424657534,1974.0252897787145,2437.6712328767126
BUKIT TIMAH,1993-10,high,261225.0,208000.0,333000.0,241337.5,285750.0,2237.9719345138656,2000.0,2427.403846153846,2146.341463414634,2317.467399894626
BUKIT TIMAH,1993-12,high,110000.0,110000.0,110000.0,110000.0,110000.0,1692.3076923076924,1692.3076923076924,1692.3076923076924,1692.3076923076924,1692.3076923076924
BUKIT TIMAH,1994-01,high,290000.0,100000.0,315000.0,195000.0,302500.0,2357.723577235772,1538.4615384615386,2581.967213114754,1948.0925578486554,2469.845395175263
BUKIT TIMAH,1994-02,high,225000.0,200000.0,333000.0,212500.0,279000.0,2197.802197802198,2163.4615384615386,2707.317073170732,2180.631868131868,2452.5596354864647
BUKIT TIMAH,1994-03,high,249500.0,150000.0,425000.0,192750.0,325250.0,2182.184177611007,1648.3516483516485,2910.958904109589,1904.8763736263736,2508.227530905446
BUKIT TIMAH,1994-04,high,248000.0,210000.0,445000.0,245000.0,255000.0,2355.769230769231,2019.2307692307693,3047.945205479452,2032.7868852459017,2451.923076923077
BUKIT TIMAH,1994-05,high,400000.0,120000.0,465000.0,370000.0,460000.0,2890.625,1643.835616438356,3184.931506849315,2739.72602739726,3150.6849315068494
BUKIT TIMAH,1994-06,high,110000.0,88000.0,235000.0,99000.0,172500.0,1506.849315068493,1491.5254237288136,2259.6153846153848,1499.1873693986533,1883.232349841939
BUKIT TIMAH,1994-07,high,300000.0,208000.0,375000.0,254000.0,337500.0,2439.0243902439024,2285.714285714286,2500.0,2362.369337979094,2469.512195121951
BUKIT TIMAH,1994-08,high,347000.0,300000.0,394000.0,323500.0,370500.0,2844.262295081967,2459.0163934426228,3229.5081967213114,2651.639344262295,3036.8852459016393
BUKIT TIMAH,1994-09,high,473000.0,473000.0,473000.0,473000.0,473000.0,3071.4285714285716,3071.4285714285716,3071.4285714285716,3071.4285714285716,3071.4285714285716
BUKIT TIMAH,1994-10,high,265000.0,139000.0,430000.0,141250.0,398500.0,2549.623393885689,1828.9473684210527,3524.590163934426,1896.4260312944525,3266.3934426229507
BUKIT TIMAH,1994-11,high,385000.0,138000.0,505000.0,312000.0,426250.0,2872.6775956284155,2190.4761904761904,3458.904109589041,2397.6190476190477,3323.7424208398834
BUKIT TIMAH,1994-12,high,292500.0,280000.0,525000.0,284000.0,433750.0,2721.5099715099714,2377.0491803278687,3500.0,2697.1153846153848,3082.8703703703704
BUKIT TIMAH,1995-01,high,410000.0,140000.0,545000.0,335000.0,451250.0,3002.9806259314455,2153.846153846154,3538.961038961039,2583.916083916084,3343.7566531828825
BUKIT TIMAH,1995-02,high,110000.0,110000.0,110000.0,110000.0,110000.0,1506.849315068493,1506.849315068493,1506.849315068493,1506.849315068493,1506.849315068493
BUKIT TIMAH,1995-04,high,270000.0,270000.0,270000.0,270000.0,270000.0,2596.153846153846,2596.153846153846,2596.153846153846,2596.153846153846,2596.153846153846
BUKIT TIMAH,1995-05,high,294500.0,215000.0,552500.0,263000.0,370625.0,2831.7307692307695,2415.7303370786517,3784.246575342466,2615.9518150388935,3181.6385669125398
BUKIT TIMAH,1995-07,high,227500.0,120000.0,443000.0,142250.0,382500.0,2489.60498960499,1890.4109589041095,3631.1475409836066,1952.2200772200772,3181.153846153846
BUKIT TIMAH,1995-09,high,379000.0,313000.0,590000.0,318250.0,476000.0,3318.9493433395874,3009.6153846153848,4154.929577464789,3060.0961538461543,3709.46410168327
BUKIT TIMAH,1995-10,high,521500.0,438000.0,610000.0,458250.0,586000.0,3885.1897597125535,3560.9756097560976,3961.038961038961,3748.8504598160735,3959.4378224515212
BUKIT TIMAH,1995-11,high,258000.0,258000.0,258000.0,258000.0,258000.0,2835.164835164835,2835.164835164835,2835.164835164835,2835.164835164835,2835.164835164835
BUKIT TIMAH,1995-12,high,466000.0,466000.0,466000.0,466000.0,466000.0,3788.6178861788617,3788.6178861788617,3788.6178861788617,3788.6178861788617,3788.6178861788617
BUKIT TIMAH,1996-01,high,143000.0,143000.0,143000.0,143000.0,143000.0,1958.9041095890411,1958.9041095890411,1958.9041095890411,1958.9041095890411,1958.9041095890411
BUKIT TIMAH,1996-02,high,474000.0,300000.0,628000.0,403500.0,539500.0,3885.245901639344,3296.703296703297,4301.369863013699,3516.7987749954964,4210.588367392769
BUKIT TIMAH,1996-03,high,315000.0,165000.0,465000.0,240000.0,390000.0,3174.9684741488018,2538.4615384615386,3811.4754098360654,2856.7150063051704,3493.2219419924336
BUKIT TIMAH,1996-04,high,663800.0,663800.0,663800.0,663800.0,663800.0,4546.575342465753,4546.575342465753,4546.575342465753,4546.575342465753,4546.575342465753
BUKIT TIMAH,1996-05,high,470000.0,410000.0,565000.0,418000.0,497000.0,4019.230769230769,3821.1382113821137,4414.0625,3942.3076923076924,4073.7704918032787
BUKIT TIMAH,1996-06,high,170000.0,170000.0,170000.0,170000.0,170000.0,2615.3846153846152,2615.3846153846152,2615.3846153846152,2615.3846153846152,2615.3846153846152
BUKIT TIMAH,1996-07,high,400000.0,340000.0,698000.0,390000.0,435000.0,3846.153846153846,3736.263736263736,4532.467532467533,3750.0,4182.692307692308
BUKIT TIMAH,1996-08,high,305000.0,187000.0,670000.0,189250.0,482500.0,3480.7692307692305,2876.923076923077,4589.041095890411,2911.5384615384614,4176.106427818757
BUKIT TIMAH,1996-09,high,515500.0,428000.0,755000.0,439850.0,664500.0,4492.821390937829,4115.384615384615,5171.232876712329,4229.326923076924,4796.260947675724
BUKIT TIMAH,1996-10,high,345000.0,178000.0,565000.0,200000.0,419000.0,3791.2087912087914,2825.3968253968255,4631.147540983607,3076.923076923077,4028.846153846154
BUKIT TIMAH,1996-11,high,720000.0,680000.0,760000.0,700000.0,740000.0,4931.506849315068,4657.534246575343,5205.479452054795,4794.520547945206,5068.493150684932
BUKIT TIMAH,1996-12,high,420000.0,185000.0,705000.0,415000.0,565000.0,4038.4615384615386,2936.5079365079364,4828.767123287671,3990.3846153846152,4631.147540983607
BUKIT TIMAH,1997-03,high,580000.0,580000.0,580000.0,580000.0,580000.0,4531.25,4531.25,4531.25,4531.25,4531.25
BUKIT TIMAH,1997-04,high,590000.0,530000.0,708000.0,560000.0,649000.0,4645.669291338582,4344.262295081967,4849.315068493151,4494.965793210275,4747.4921799158665
BUKIT TIMAH,1997-05,high,523000.0,523000.0,523000.0,523000.0,523000.0,4286.88524590164,4286.88524590164,4286.88524590164,4286.88524590164,4286.88524590164
BUKIT TIMAH,1997-06,high,507500.0,505000.0,510000.0,506250.0,508750.0,4159.836065573771,4139.3442622950815,4180.327868852459,4149.590163934426,4170.081967213115
BUKIT TIMAH,1997-07,high,410000.0,314000.0,695000.0,362000.0,552500.0,3942.3076923076924,3450.5494505494507,4760.273972602739,3696.4285714285716,4351.290832455215
BUKIT TIMAH,1997-09,high,425000.0,380000.0,570000.0,402500.0,497500.0,4086.5384615384614,3653.846153846154,4672.131147540984,3870.1923076923076,4379.334804539722
BUKIT TIMAH,1997-10,high,360000.0,348000.0,372000.0,354000.0,366000.0,3461.538461538462,3346.153846153846,3576.923076923077,3403.846153846154,3519.2307692307695
BUKIT TIMAH,1997-11,high,573000.0,518000.0,628000.0,545500.0,600500.0,4216.284153005465,4186.666666666667,4245.901639344263,4201.475409836066,4231.092896174863
BUKIT TIMAH,1997-12,high,530000.0,530000.0,530000.0,530000.0,530000.0,4140.625,4140.625,4140.625,4140.625,4140.625
BUKIT TIMAH,1998-01,high,418000.0,418000.0,418000.0,418000.0,418000.0,4019.230769230769,4019.230769230769,4019.230769230769,4019.230769230769,4019.230769230769
BUKIT TIMAH,1998-02,high,380000.0,160000.0,580000.0,161000.0,505000.0,3653.846153846154,2162.162162162162,3972.6027397260273,2476.923076923077,3945.3125
BUKIT TIMAH,1998-03,high,473888.0,356000.0,718000.0,448000.0,485000.0,3852.7479674796746,3423.076923076923,5056.338028169014,3672.1311475409834,3943.089430894309
BUKIT TIMAH,1998-04,high,382500.0,272600.0,413000.0,338150.0,407000.0,3273.1173155737706,2995.6043956043954,3461.5384615384614,3168.822973901099,3355.138713745271
BUKIT TIMAH,1998-05,high,480000.0,277000.0,487000.0,378500.0,483500.0,3804.6875,3043.956043956044,3902.439024390244,3424.3217719780223,3853.5632621951218
BUKIT TIMAH,1998-06,high,489000.0,415000.0,570000.0,472500.0,540750.0,3787.992294520548,3401.6393442622953,4081.967213114754,3620.8908279220777,3976.027397260274
BUKIT TIMAH,1998-07,high,329000.0,150000.0,570000.0,175000.0,440000.0,3163.4615384615386,2307.6923076923076,3904.109589041096,2584.6153846153848,3700.0
BUKIT TIMAH,1998-08,high,333000.0,160000.0,495000.0,318500.0,395400.0,3201.923076923077,2105.2631578947367,3960.0,3062.5,3464.016572858036
BUKIT TIMAH,1998-09,high,440000.0,368000.0,535000.0,423000.0,482000.0,3577.2357723577234,3304.6875,3918.6991869918697,3538.4615384615386,3664.3835616438355
BUKIT TIMAH,1998-10,high,310000.0,260000.0,515000.0,285000.0,412500.0,2980.769230769231,2857.1428571428573,3527.3972602739727,2918.956043956044,3254.083245521602
BUKIT TIMAH,1998-11,high,364000.0,132000.0,612000.0,224500.0,413250.0,3178.5384615384614,2095.2380952380954,3974.025974025974,2555.4149797570853,3379.99800079968
BUKIT TIMAH,1998-12,high,356500.0,152000.0,500000.0,269500.0,433750.0,3161.4938294345184,2082.1917808219177,3577.2357723577234,2879.3755401901467,3418.902986750505
BUKIT TIMAH,1999-01,high,417000.0,128000.0,530000.0,335000.0,426250.0,3418.032786885246,2031.7460317460318,3630.1369863013697,3221.153846153846,3465.4471544715448
BUKIT TIMAH,1999-02,high,311000.0,145000.0,428000.0,178250.0,404750.0,2874.3857768248013,1986.3013698630136,3370.0787401574803,2476.3736263736264,3192.279598577236
BUKIT TIMAH,1999-03,high,307750.0,133000.0,488000.0,290000.0,464000.0,2959.1346153846152,2094.5945945945946,3409.8360655737706,2788.4615384615386,3291.4383561643835
BUKIT TIMAH,1999-04,high,400000.0,248000.0,493000.0,294500.0,411000.0,3265.625,2725.2747252747254,3333.3333333333335,3041.5946413137426,3299.071038251366
BUKIT TIMAH,1999-05,high,413000.0,297000.0,480000.0,406750.0,420000.0,3348.3606557377047,2855.769230769231,3459.0163934426228,3295.6714574444195,3389.344262295082
BUKIT TIMAH,1999-06,high,326000.0,150000.0,425000.0,174500.0,413750.0,2989.67032967033,1973.6842105263158,3483.6065573770493,2418.6813186813188,3350.4918032786886
BUKIT TIMAH,1999-07,high,358000.0,168000.0,460000.0,325000.0,455000.0,3125.0,2666.6666666666665,3699.1869918699185,3066.6666666666665,3442.3076923076924
BUKIT TIMAH,1999-08,high,380000.0,148800.0,398000.0,264400.0,389000.0,3653.846153846154,2289.230769230769,3826.923076923077,2971.5384615384614,3740.3846153846152
BUKIT TIMAH,1999-09,high,440000.0,440000.0,440000.0,440000.0,440000.0,3577.2357723577234,3577.2357723577234,3577.2357723577234,3577.2357723577234,3577.2357723577234
BUKIT TIMAH,1999-10,high,274000.0,170000.0,480000.0,245000.0,328500.0,3010.989010989011,2615.3846153846152,3934.4262295081967,2879.120879120879,3274.81534858584
BUKIT TIMAH,1999-11,high,424000.0,155000.0,490000.0,316250.0,481000.0,3690.846153846154,2384.6153846153848,3828.125,3264.423076923077,3825.03125
BUKIT TIMAH,1999-12,high,325500.0,171000.0,480000.0,248250.0,402750.0,3282.597730138714,2630.769230769231,3934.4262295081967,2956.683480453972,3608.5119798234555
BUKIT TIMAH,2000-01,high,385000.0,175000.0,595000.0,280000.0,490000.0,3246.3862120088957,2302.6315789473683,4190.140845070423,2774.508895478132,3718.263528539659
BUKIT TIMAH,2000-02,high,465000.0,465000.0,465000.0,465000.0,465000.0,3811.4754098360654,3811.4754098360654,3811.4754098360654,3811.4754098360654,3811.4754098360654
