town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-01,low,85000.0,85000.0,85000.0,85000.0,85000.0,934.065934065934,934.065934065934,934.065934065934,934.065934065934,934.065934065934
BUKIT TIMAH,1990-05,low,35000.0,35000.0,35000.0,35000.0,35000.0,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385,538.4615384615385
BUKIT TIMAH,1990-06,low,47000.0,40000.0,84000.0,43500.0,65500.0,643.8356164383562,615.3846153846154,923.0769230769231,629.6101159114858,783.4562697576396
BUKIT TIMAH,1990-07,low,64000.0,40000.0,88000.0,52000.0,76000.0,802.0743301642178,615.3846153846154,988.7640449438202,708.7294727744165,895.419187554019
BUKIT TIMAH,1991-08,low,146000.0,97000.0,195000.0,121500.0,170500.0,1325.6499597963011,1065.934065934066,1585.3658536585365,1195.7920128651836,1455.507906727419
BUKIT TIMAH,1991-11,low,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154,615.3846153846154
BUKIT TIMAH,1991-12,low,176000.0,176000.0,176000.0,176000.0,176000.0,1408.0,1408.0,1408.0,1408.0,1408.0
BUKIT TIMAH,1992-01,low,90000.0,90000.0,90000.0,90000.0,90000.0,989.010989010989,989.010989010989,989.010989010989,989.010989010989,989.010989010989
BUKIT TIMAH,1992-05,low,55000.0,55000.0,55000.0,55000.0,55000.0,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462
BUKIT TIMAH,1992-07,low,71500.0,71500.0,71500.0,71500.0,71500.0,979.4520547945206,979.4520547945206,979.4520547945206,979.4520547945206,979.4520547945206
BUKIT TIMAH,1992-08,low,73000.0,73000.0,73000.0,73000.0,73000.0,1123.076923076923,1123.076923076923,1123.076923076923,1123.076923076923,1123.076923076923
BUKIT TIMAH,1992-09,low,183000.0,183000.0,183000.0,183000.0,183000.0,1487.8048780487804,1487.8048780487804,1487.8048780487804,1487.8048780487804,1487.8048780487804
BUKIT TIMAH,1992-10,low,50000.0,46000.0,300000.0,48000.0,175000.0,769.2307692307693,621.6216216216217,2112.676056338028,695.4261954261955,1440.9534127843986
BUKIT TIMAH,1992-12,low,107000.0,107000.0,107000.0,107000.0,107000.0,1175.8241758241759,1175.8241758241759,1175.8241758241759,1175.8241758241759,1175.8241758241759
BUKIT TIMAH,1993-01,low,80000.0,80000.0,80000.0,80000.0,80000.0,879.1208791208791,879.1208791208791,879.1208791208791,879.1208791208791,879.1208791208791
BUKIT TIMAH,1993-03,low,100000.0,100000.0,100000.0,100000.0,100000.0,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099
BUKIT TIMAH,1993-05,low,120000.0,120000.0,120000.0,120000.0,120000.0,1153.8461538461538,1153.8461538461538,1153.8461538461538,1153.8461538461538,1153.8461538461538
BUKIT TIMAH,1993-06,low,220000.0,220000.0,220000.0,220000.0,220000.0,1803.27868852459,1803.27868852459,1803.27868852459,1803.27868852459,1803.27868852459
BUKIT TIMAH,1993-07,low,170000.0,80000.0,272000.0,87500.0,255500.0,1540.5405405405404,989.010989010989,2176.0,1058.063558063558,2044.0
BUKIT TIMAH,1993-08,low,138000.0,85000.0,240000.0,115750.0,172500.0,1535.0043215211754,1164.3835616438357,1967.2131147540983,1329.5574288724974,1755.8482225087491
BUKIT TIMAH,1993-09,low,226000.0,153000.0,380000.0,190000.0,360000.0,1837.39837398374,1681.3186813186812,2602.7397260273974,1826.923076923077,2465.753424657534
BUKIT TIMAH,1993-10,low,260000.0,210000.0,310000.0,235000.0,285000.0,2280.1071878940734,2019.2307692307693,2540.9836065573772,2149.668978562421,2410.545397225725
BUKIT TIMAH,1993-12,low,175000.0,165000.0,185000.0,170000.0,180000.0,1943.449808618348,1853.9325842696628,2032.967032967033,1898.6911964440053,1988.2084207926905
BUKIT TIMAH,1994-01,low,335000.0,238000.0,416000.0,295750.0,370250.0,2455.910904972495,2288.4615384615386,2701.2987012987014,2395.745521601686,2535.5608957971162
BUKIT TIMAH,1994-02,low,175000.0,175000.0,175000.0,175000.0,175000.0,1923.076923076923,1923.076923076923,1923.076923076923,1923.076923076923,1923.076923076923
BUKIT TIMAH,1994-03,low,225000.0,110000.0,445000.0,209000.0,369500.0,2163.4615384615386,1486.4864864864865,3047.945205479452,2009.6153846153848,2719.094553959238
BUKIT TIMAH,1994-04,low,290000.0,90000.0,440000.0,181000.0,355000.0,2377.0491803278687,1384.6153846153845,3013.698630136986,2143.028846153846,2633.617785762407
BUKIT TIMAH,1994-05,low,355000.0,105000.0,454500.0,230000.0,404750.0,2909.8360655737706,1615.3846153846155,3113.013698630137,2262.610340479193,3011.4248821019537
BUKIT TIMAH,1994-06,low,220000.0,85000.0,380000.0,141250.0,305000.0,2001.2386092187912,1164.3835616438357,2602.7397260273974,1639.410497152532,2304.228238593463
BUKIT TIMAH,1994-07,low,200000.0,120000.0,280000.0,160000.0,240000.0,1960.1291903329993,1643.835616438356,2276.4227642276423,1801.9824033856776,2118.2759772803206
BUKIT TIMAH,1994-08,low,370500.0,251000.0,490000.0,310750.0,430250.0,2884.812961011591,2413.4615384615386,3356.1643835616437,2649.1372497365646,3120.4886722866177
BUKIT TIMAH,1994-10,low,525000.0,525000.0,525000.0,525000.0,525000.0,3500.0,3500.0,3500.0,3500.0,3500.0
BUKIT TIMAH,1994-11,low,491500.0,480000.0,503000.0,485750.0,497250.0,3322.6027397260277,3200.0,3445.205479452055,3261.301369863014,3383.904109589041
BUKIT TIMAH,1994-12,low,249000.0,249000.0,249000.0,249000.0,249000.0,2736.263736263736,2736.263736263736,2736.263736263736,2736.263736263736,2736.263736263736
BUKIT TIMAH,1995-01,low,200000.0,200000.0,200000.0,200000.0,200000.0,1923.076923076923,1923.076923076923,1923.076923076923,1923.076923076923,1923.076923076923
BUKIT TIMAH,1995-04,low,325000.0,215000.0,388000.0,263750.0,374500.0,2861.778846153846,2362.6373626373625,3032.7868852459014,2609.8901098901097,3031.6342213114754
BUKIT TIMAH,1995-05,low,565000.0,565000.0,565000.0,565000.0,565000.0,3869.8630136986303,3869.8630136986303,3869.8630136986303,3869.8630136986303,3869.8630136986303
BUKIT TIMAH,1995-06,low,385000.0,122000.0,540000.0,253500.0,462500.0,3155.7377049180327,1671.2328767123288,3600.0,2413.4852908151806,3377.868852459016
BUKIT TIMAH,1995-07,low,538000.0,538000.0,538000.0,538000.0,538000.0,3684.931506849315,3684.931506849315,3684.931506849315,3684.931506849315,3684.931506849315
BUKIT TIMAH,1995-08,low,267500.0,130000.0,543000.0,212500.0,357000.0,2736.9505494505493,1780.8219178082193,3719.178082191781,2423.227457474033,3057.198366701791
BUKIT TIMAH,1995-09,low,252500.0,220000.0,290000.0,225250.0,281000.0,2534.289784289784,2471.9101123595506,2788.4615384615386,2488.8566489690083,2627.67094017094
BUKIT TIMAH,1995-10,low,497500.0,308000.0,565000.0,422000.0,542500.0,3643.215402869162,2961.5384615384614,3869.8630136986303,3456.9200484554813,3715.753424657534
BUKIT TIMAH,1995-11,low,450000.0,303000.0,580000.0,422000.0,480000.0,3658.5365853658536,2913.4615384615386,3972.6027397260273,3459.0163934426228,3934.4262295081967
BUKIT TIMAH,1996-01,low,298000.0,150000.0,337000.0,224000.0,317500.0,3240.3846153846152,2307.6923076923076,3274.7252747252746,2774.0384615384614,3257.554945054945
BUKIT TIMAH,1996-02,low,302000.0,266000.0,345000.0,284000.0,323500.0,2923.076923076923,2903.846153846154,3317.3076923076924,2913.461538461538,3120.1923076923076
BUKIT TIMAH,1996-03,low,473000.0,359000.0,595000.0,416000.0,534000.0,3941.6666666666665,3451.923076923077,4075.3424657534247,3696.794871794872,4008.5045662100456
BUKIT TIMAH,1996-04,low,372000.0,162000.0,535000.0,275000.0,486250.0,3433.1201585299946,2219.178082191781,4385.245901639344,3021.978021978022,3985.655737704918
BUKIT TIMAH,1996-05,low,333000.0,315000.0,700000.0,324000.0,516500.0,3201.923076923077,3028.846153846154,4794.520547945205,3115.3846153846152,3998.221812434141
BUKIT TIMAH,1996-06,low,607000.0,280000.0,630000.0,443500.0,618500.0,4157.534246575343,3076.923076923077,4200.0,3617.22866174921,4178.767123287671
BUKIT TIMAH,1996-07,low,504000.0,390000.0,740000.0,405000.0,633500.0,4421.973518284994,3750.0,5068.493150684932,3894.2307692307695,4943.352795867954
BUKIT TIMAH,1996-08,low,435000.0,315000.0,488000.0,430000.0,445000.0,4134.615384615385,3539.325842696629,4278.846153846154,3904.0,4182.692307692308
BUKIT TIMAH,1996-09,low,421000.0,308000.0,532000.0,343250.0,507000.0,3954.287515762925,3317.3076923076924,4360.6557377049185,3631.868131868132,4235.4192938209335
BUKIT TIMAH,1996-10,low,388000.0,207000.0,428000.0,297500.0,408000.0,3592.5925925925926,2723.684210526316,4115.384615384615,3158.138401559454,3853.988603988604
BUKIT TIMAH,1996-11,low,552000.0,552000.0,552000.0,552000.0,552000.0,4312.5,4312.5,4312.5,4312.5,4312.5
BUKIT TIMAH,1996-12,low,465000.0,385000.0,545000.0,425000.0,505000.0,4396.527905691656,4325.842696629214,4467.213114754099,4361.185301160434,4431.870510222878
BUKIT TIMAH,1997-02,low,422500.0,383000.0,698000.0,402750.0,560250.0,4062.5,3682.6923076923076,4532.467532467533,3872.596153846154,4297.483766233767
BUKIT TIMAH,1997-03,low,388000.0,388000.0,388000.0,388000.0,388000.0,3730.769230769231,3730.769230769231,3730.769230769231,3730.769230769231,3730.769230769231
BUKIT TIMAH,1997-04,low,408000.0,408000.0,408000.0,408000.0,408000.0,3923.076923076923,3923.076923076923,3923.076923076923,3923.076923076923,3923.076923076923
BUKIT TIMAH,1997-06,low,627500.0,600000.0,655000.0,613750.0,641250.0,4243.1506849315065,4000.0,4486.301369863014,4121.575342465753,4364.726027397261
