town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-02,mid,40000.0,40000.0,40000.0,40000.0,40000.0,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842
BUKIT TIMAH,1990-03,mid,150000.0,150000.0,150000.0,150000.0,150000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
BUKIT TIMAH,1990-04,mid,150000.0,150000.0,150000.0,150000.0,150000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
BUKIT TIMAH,1990-07,mid,80000.0,41000.0,159700.0,60500.0,119850.0,879.1208791208791,561.6438356164383,1298.3739837398373,720.3823573686586,1088.7474314303581
BUKIT TIMAH,1990-09,mid,85700.0,36000.0,180000.0,60850.0,132850.0,941.7582417582418,553.8461538461538,1500.0,747.8021978021977,1220.8791208791208
BUKIT TIMAH,1991-02,mid,38000.0,38000.0,38000.0,38000.0,38000.0,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846,584.6153846153846
BUKIT TIMAH,1991-04,mid,40040.0,40040.0,40040.0,40040.0,40040.0,616.0,616.0,616.0,616.0,616.0
BUKIT TIMAH,1991-05,mid,54000.0,54000.0,54000.0,54000.0,54000.0,593.4065934065934,593.4065934065934,593.4065934065934,593.4065934065934,593.4065934065934
BUKIT TIMAH,1991-08,mid,55000.0,55000.0,55000.0,55000.0,55000.0,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465,753.4246575342465
BUKIT TIMAH,1991-10,mid,100000.0,100000.0,100000.0,100000.0,100000.0,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099,1098.901098901099
BUKIT TIMAH,1992-03,mid,47000.0,47000.0,47000.0,47000.0,47000.0,746.031746031746,746.031746031746,746.031746031746,746.031746031746,746.031746031746
BUKIT TIMAH,1992-05,mid,127000.0,74000.0,180000.0,100500.0,153500.0,1218.5494223363287,973.6842105263158,1463.4146341463415,1096.1168164313221,1340.9820282413352
BUKIT TIMAH,1992-09,mid,200000.0,200000.0,200000.0,200000.0,200000.0,1626.0162601626016,1626.0162601626016,1626.0162601626016,1626.0162601626016,1626.0162601626016
BUKIT TIMAH,1992-10,mid,110000.0,110000.0,110000.0,110000.0,110000.0,1447.3684210526317,1447.3684210526317,1447.3684210526317,1447.3684210526317,1447.3684210526317
BUKIT TIMAH,1992-11,mid,46000.0,46000.0,46000.0,46000.0,46000.0,621.6216216216217,621.6216216216217,621.6216216216217,621.6216216216217,621.6216216216217
BUKIT TIMAH,1992-12,mid,67000.0,67000.0,67000.0,67000.0,67000.0,1030.7692307692307,1030.7692307692307,1030.7692307692307,1030.7692307692307,1030.7692307692307
BUKIT TIMAH,1993-01,mid,69500.0,69500.0,69500.0,69500.0,69500.0,952.054794520548,952.054794520548,952.054794520548,952.054794520548,952.054794520548
BUKIT TIMAH,1993-02,mid,50330.0,35000.0,65660.0,42665.0,57995.0,600.4952581664911,479.45205479452056,721.5384615384615,539.9736564805058,661.0168598524763
BUKIT TIMAH,1993-04,mid,45000.0,45000.0,45000.0,45000.0,45000.0,692.3076923076923,692.3076923076923,692.3076923076923,692.3076923076923,692.3076923076923
BUKIT TIMAH,1993-05,mid,188000.0,180000.0,196000.0,184000.0,192000.0,1807.6923076923076,1730.7692307692307,1884.6153846153845,1769.230769230769,1846.1538461538462
BUKIT TIMAH,1993-06,mid,41000.0,41000.0,41000.0,41000.0,41000.0,561.6438356164383,561.6438356164383,561.6438356164383,561.6438356164383,561.6438356164383
BUKIT TIMAH,1993-07,mid,226500.0,103000.0,350000.0,164750.0,288250.0,1844.2982456140353,1355.2631578947369,2333.3333333333335,1599.780701754386,2088.815789473684
BUKIT TIMAH,1993-08,mid,180000.0,75000.0,185000.0,127500.0,182500.0,1730.7692307692307,986.8421052631579,2078.6516853932585,1358.8056680161944,1904.7104580812447
BUKIT TIMAH,1993-09,mid,223500.0,70000.0,420000.0,146500.0,311250.0,2072.104125382814,1111.111111111111,2876.7123287671234,1695.3601953601953,2409.7518526835843
BUKIT TIMAH,1993-10,mid,259000.0,93000.0,425000.0,176000.0,342000.0,2170.86406743941,1430.7692307692307,2910.958904109589,1800.8166491043203,2540.9114857744994
BUKIT TIMAH,1993-11,mid,313944.0,188000.0,439888.0,250972.0,376916.0,2522.473108614232,2112.3595505617977,2932.5866666666666,2317.416329588015,2727.5298876404495
BUKIT TIMAH,1993-12,mid,86000.0,80000.0,295000.0,83000.0,190500.0,1323.076923076923,1269.8412698412699,2418.032786885246,1296.4590964590966,1870.5548549810846
BUKIT TIMAH,1994-01,mid,185000.0,98000.0,300000.0,141500.0,242500.0,2032.967032967033,1507.6923076923076,2343.75,1770.3296703296703,2188.3585164835167
BUKIT TIMAH,1994-02,mid,195000.0,95000.0,320000.0,145000.0,257500.0,2142.8571428571427,1461.5384615384614,2622.9508196721313,1802.197802197802,2382.903981264637
