town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,1990-01,very low,60000.0,60000.0,60000.0,60000.0,60000.0,659.3406593406594,659.3406593406594,659.3406593406594,659.3406593406594,659.3406593406594
BUKIT TIMAH,1990-07,very low,37500.0,37500.0,37500.0,37500.0,37500.0,576.9230769230769,576.9230769230769,576.9230769230769,576.9230769230769,576.9230769230769
BUKIT TIMAH,1990-12,very low,79000.0,38000.0,120000.0,58500.0,99500.0,772.3076923076924,584.6153846153846,960.0,678.4615384615385,866.1538461538462
BUKIT TIMAH,1991-08,very low,143000.0,143000.0,143000.0,143000.0,143000.0,1162.60162601626,1162.60162601626,1162.60162601626,1162.60162601626,1162.60162601626
BUKIT TIMAH,1991-11,very low,88000.0,88000.0,88000.0,88000.0,88000.0,988.7640449438202,988.7640449438202,988.7640449438202,988.7640449438202,988.7640449438202
BUKIT TIMAH,1992-02,very low,109000.0,109000.0,109000.0,109000.0,109000.0,1224.7191011235955,1224.7191011235955,1224.7191011235955,1224.7191011235955,1224.7191011235955
BUKIT TIMAH,1993-06,very low,242500.0,180000.0,305000.0,211250.0,273750.0,1909.9051633298209,1730.7692307692307,2089.041095890411,1820.3371970495257,1999.4731296101158
BUKIT TIMAH,1993-07,very low,227500.0,190000.0,265000.0,208750.0,246250.0,1948.6177884615386,1826.923076923077,2070.3125,1887.7704326923076,2009.4651442307693
BUKIT TIMAH,1993-08,very low,360000.0,360000.0,360000.0,360000.0,360000.0,2465.753424657534,2465.753424657534,2465.753424657534,2465.753424657534,2465.753424657534
BUKIT TIMAH,1993-09,very low,123000.0,89000.0,280000.0,105000.0,208500.0,1921.875,1009.6153846153846,2295.0819672131147,1369.2307692307693,2004.8076923076924
BUKIT TIMAH,1993-10,very low,257500.0,165000.0,350000.0,211250.0,303750.0,2093.6329588014983,1853.9325842696628,2333.3333333333335,1973.7827715355804,2213.483146067416
BUKIT TIMAH,1994-01,very low,365000.0,365000.0,365000.0,365000.0,365000.0,2370.12987012987,2370.12987012987,2370.12987012987,2370.12987012987,2370.12987012987
BUKIT TIMAH,1994-02,very low,392500.0,360000.0,425000.0,376250.0,408750.0,2688.356164383562,2465.753424657534,2910.958904109589,2577.054794520548,2799.6575342465753
BUKIT TIMAH,1994-03,very low,340000.0,225000.0,405000.0,282500.0,372500.0,2328.7671232876714,1844.2622950819673,2773.972602739726,2086.5147091848194,2551.3698630136987
BUKIT TIMAH,1994-04,very low,406500.0,280000.0,415000.0,370000.0,413500.0,2710.7721046077213,2295.0819672131147,2862.0689655172414,2585.134128166915,2770.3117619272552
BUKIT TIMAH,1994-05,very low,340000.0,180000.0,465000.0,220000.0,425000.0,2786.8852459016393,1592.9203539823009,3274.6478873239435,2115.3846153846152,2931.0344827586205
BUKIT TIMAH,1994-06,very low,423000.0,423000.0,423000.0,423000.0,423000.0,2820.0,2820.0,2820.0,2820.0,2820.0
BUKIT TIMAH,1994-07,very low,212500.0,175000.0,250000.0,193750.0,231250.0,2163.4615384615386,1923.076923076923,2403.846153846154,2043.2692307692307,2283.653846153846
BUKIT TIMAH,1994-08,very low,480000.0,480000.0,480000.0,480000.0,480000.0,3287.671232876712,3287.671232876712,3287.671232876712,3287.671232876712,3287.671232876712
BUKIT TIMAH,1994-09,very low,345000.0,90000.0,375000.0,217500.0,360000.0,2804.878048780488,1406.25,3073.7704918032787,2105.564024390244,2939.3242702918833
BUKIT TIMAH,1994-10,very low,193000.0,193000.0,193000.0,193000.0,193000.0,2120.879120879121,2120.879120879121,2120.879120879121,2120.879120879121,2120.879120879121
BUKIT TIMAH,1994-11,very low,230000.0,205000.0,261000.0,217500.0,245500.0,2303.370786516854,2211.5384615384614,2509.6153846153848,2257.4546240276577,2406.4930855661196
BUKIT TIMAH,1994-12,very low,240000.0,240000.0,240000.0,240000.0,240000.0,2222.222222222222,2222.222222222222,2222.222222222222,2222.222222222222,2222.222222222222
BUKIT TIMAH,1995-01,very low,250000.0,250000.0,250000.0,250000.0,250000.0,2403.846153846154,2403.846153846154,2403.846153846154,2403.846153846154,2403.846153846154
BUKIT TIMAH,1995-03,very low,399000.0,399000.0,399000.0,399000.0,399000.0,3270.4918032786886,3270.4918032786886,3270.4918032786886,3270.4918032786886,3270.4918032786886
BUKIT TIMAH,1995-04,very low,359998.0,359998.0,359998.0,359998.0,359998.0,2950.8032786885246,2950.8032786885246,2950.8032786885246,2950.8032786885246,2950.8032786885246
BUKIT TIMAH,1995-06,very low,197000.0,197000.0,197000.0,197000.0,197000.0,2213.483146067416,2213.483146067416,2213.483146067416,2213.483146067416,2213.483146067416
BUKIT TIMAH,1995-07,very low,422500.0,415000.0,430000.0,418750.0,426250.0,3383.3888319672133,3242.1875,3524.590163934426,3312.7881659836066,3453.9894979508194
BUKIT TIMAH,1995-08,very low,485000.0,430000.0,540000.0,457500.0,512500.0,3611.610150460364,3524.590163934426,3698.6301369863013,3568.1001571973948,3655.1201437233326
BUKIT TIMAH,1995-10,very low,537500.0,510000.0,565000.0,523750.0,551250.0,3693.5521965044873,3517.2413793103447,3869.8630136986303,3605.396787907416,3781.707605101559
BUKIT TIMAH,1995-11,very low,435000.0,435000.0,435000.0,435000.0,435000.0,3565.5737704918033,3565.5737704918033,3565.5737704918033,3565.5737704918033,3565.5737704918033
BUKIT TIMAH,1995-12,very low,527000.0,305000.0,615000.0,416000.0,571000.0,3609.5890410958905,2932.6923076923076,4212.328767123287,3271.140674394099,3910.9589041095887
BUKIT TIMAH,1996-01,very low,397250.0,306500.0,488000.0,351875.0,442625.0,3473.5576923076924,2947.1153846153848,4000.0,3210.3365384615386,3736.778846153846
BUKIT TIMAH,1996-02,very low,600000.0,570000.0,608000.0,585000.0,604000.0,4109.58904109589,3701.2987012987014,4164.3835616438355,3905.4438711972957,4136.986301369863
BUKIT TIMAH,1996-03,very low,328000.0,328000.0,328000.0,328000.0,328000.0,3153.846153846154,3153.846153846154,3153.846153846154,3153.846153846154,3153.846153846154
BUKIT TIMAH,1996-04,very low,338000.0,338000.0,338000.0,338000.0,338000.0,3250.0,3250.0,3250.0,3250.0,3250.0
BUKIT TIMAH,1996-05,very low,501500.0,335000.0,668000.0,418250.0,584750.0,3898.2481559536354,3221.153846153846,4575.342465753424,3559.7010010537406,4236.795310853529
BUKIT TIMAH,1996-06,very low,416500.0,340000.0,650000.0,342250.0,530000.0,4032.006245120999,3298.076923076923,4482.758620689655,3836.8143127364438,4156.403940886699
BUKIT TIMAH,1996-07,very low,505000.0,330000.0,680000.0,417500.0,592500.0,3853.205128205128,3173.076923076923,4533.333333333333,3513.1410256410254,4193.2692307692305
BUKIT TIMAH,1996-08,very low,430000.0,330000.0,530000.0,333750.0,526250.0,3910.9718406593406,3173.076923076923,4303.2786885245905,3554.2582417582416,4181.288422131148
BUKIT TIMAH,1996-09,very low,391000.0,391000.0,391000.0,391000.0,391000.0,3759.6153846153848,3759.6153846153848,3759.6153846153848,3759.6153846153848,3759.6153846153848
BUKIT TIMAH,1996-10,very low,389000.0,230000.0,548000.0,309500.0,468500.0,3937.5,3593.75,4281.25,3765.625,4109.375
BUKIT TIMAH,1996-11,very low,447500.0,320000.0,575000.0,383750.0,511250.0,4135.151182972504,3595.505617977528,4674.79674796748,3865.3284004750158,4404.9739654699915
BUKIT TIMAH,1996-12,very low,655000.0,655000.0,655000.0,655000.0,655000.0,4486.301369863014,4486.301369863014,4486.301369863014,4486.301369863014,4486.301369863014
BUKIT TIMAH,1997-02,very low,595000.0,510000.0,680000.0,552500.0,637500.0,4418.9310577139,4180.327868852459,4657.534246575343,4299.62946328318,4538.232652144622
BUKIT TIMAH,1997-03,very low,291000.0,291000.0,291000.0,291000.0,291000.0,3306.818181818182,3306.818181818182,3306.818181818182,3306.818181818182,3306.818181818182
BUKIT TIMAH,1997-04,very low,420000.0,420000.0,420000.0,420000.0,420000.0,4038.4615384615386,4038.4615384615386,4038.4615384615386,4038.4615384615386,4038.4615384615386
BUKIT TIMAH,1997-05,very low,297000.0,297000.0,297000.0,297000.0,297000.0,3263.736263736264,3263.736263736264,3263.736263736264,3263.736263736264,3263.736263736264
BUKIT TIMAH,1997-06,very low,650000.0,650000.0,650000.0,650000.0,650000.0,4220.779220779221,4220.779220779221,4220.779220779221,4220.779220779221,4220.779220779221
BUKIT TIMAH,1997-08,very low,468000.0,328000.0,648000.0,398000.0,558000.0,3836.065573770492,3727.2727272727275,4468.9655172413795,3781.6691505216095,4152.515545505936
BUKIT TIMAH,1997-09,very low,550000.0,480000.0,590000.0,515000.0,570000.0,3934.4262295081967,3767.123287671233,4068.9655172413795,3850.774758589715,4001.695873374788
BUKIT TIMAH,1997-10,very low,432500.0,215000.0,650000.0,323750.0,541250.0,3905.714897260274,3359.375,4452.054794520548,3632.544948630137,4178.884845890411
BUKIT TIMAH,1997-11,very low,455000.0,280000.0,630000.0,367500.0,542500.0,3695.995785036881,3076.923076923077,4315.068493150685,3386.459430979979,4005.532139093783
BUKIT TIMAH,1997-12,very low,589000.0,589000.0,589000.0,589000.0,589000.0,4034.246575342466,4034.246575342466,4034.246575342466,4034.246575342466,4034.246575342466
BUKIT TIMAH,1998-02,very low,645000.0,645000.0,645000.0,645000.0,645000.0,4448.275862068966,4448.275862068966,4448.275862068966,4448.275862068966,4448.275862068966
BUKIT TIMAH,1998-03,very low,325000.0,325000.0,325000.0,325000.0,325000.0,3125.0,3125.0,3125.0,3125.0,3125.0
BUKIT TIMAH,1998-04,very low,277000.0,277000.0,277000.0,277000.0,277000.0,3297.6190476190477,3297.6190476190477,3297.6190476190477,3297.6190476190477,3297.6190476190477
BUKIT TIMAH,1998-05,very low,188000.0,188000.0,188000.0,188000.0,188000.0,2937.5,2937.5,2937.5,2937.5,2937.5
BUKIT TIMAH,1998-07,very low,280000.0,280000.0,280000.0,280000.0,280000.0,2692.3076923076924,2692.3076923076924,2692.3076923076924,2692.3076923076924,2692.3076923076924
BUKIT TIMAH,1998-08,very low,448500.0,395000.0,540000.0,421750.0,494250.0,3646.3414634146343,3110.236220472441,3802.8169014084506,3378.2888419435376,3724.579182411542
BUKIT TIMAH,1998-09,very low,352000.0,172000.0,520000.0,312000.0,417000.0,3257.8125,2687.5,3586.206896551724,3000.0,3384.6153846153848
BUKIT TIMAH,1998-10,very low,314000.0,242000.0,505000.0,245000.0,426000.0,2907.4074074074074,2752.808988764045,3491.8032786885246,2880.9523809523807,3458.904109589041
BUKIT TIMAH,1998-11,very low,477500.0,450000.0,505000.0,463750.0,491250.0,3180.7062800213484,3082.1917808219177,3279.220779220779,3131.4490304216333,3229.9635296210636
BUKIT TIMAH,1998-12,very low,354500.0,233000.0,490000.0,269625.0,427250.0,3052.5841346153848,2560.4395604395604,3379.310344827586,2705.7005494505493,3267.192894531685
BUKIT TIMAH,1999-01,very low,508000.0,508000.0,508000.0,508000.0,508000.0,3298.7012987012986,3298.7012987012986,3298.7012987012986,3298.7012987012986,3298.7012987012986
BUKIT TIMAH,1999-02,very low,287500.0,265000.0,480000.0,276250.0,341250.0,2764.423076923077,2453.703703703704,3287.671232876712,2632.656695156695,2949.321654373024
BUKIT TIMAH,1999-03,very low,457500.0,380000.0,486000.0,420000.0,474000.0,3190.8264091623623,2866.6666666666665,3328.7671232876714,3106.6135189759716,3263.2971185640054
BUKIT TIMAH,1999-04,very low,364000.0,235000.0,465000.0,302000.0,451500.0,2890.583554376658,2640.449438202247,3184.931506849315,2765.4016337644657,3097.4256022673594
BUKIT TIMAH,1999-05,very low,470000.0,440000.0,480000.0,448000.0,475000.0,3241.3793103448274,3013.698630136986,3287.671232876712,3068.4931506849316,3275.862068965517
