town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,2 ROOM,01 TO 03,18700.0,18700.0,18700.0,18700.0,18700.0,456.0975609756098,456.0975609756098,456.0975609756098,456.0975609756098,456.0975609756098
CENTRAL AREA,1990-01,2 ROOM,04 TO 06,23200.0,22000.0,28000.0,22600.0,25600.0,610.5263157894736,578.9473684210526,651.1627906976744,594.7368421052631,630.844553243574
CENTRAL AREA,1990-01,2 ROOM,10 TO 12,30000.0,30000.0,30000.0,30000.0,30000.0,566.0377358490566,566.0377358490566,566.0377358490566,566.0377358490566,566.0377358490566
CENTRAL AREA,1990-01,3 ROOM,01 TO 03,67000.0,67000.0,67000.0,67000.0,67000.0,1116.6666666666667,1116.6666666666667,1116.6666666666667,1116.6666666666667,1116.6666666666667
CENTRAL AREA,1990-01,3 ROOM,04 TO 06,74500.0,74500.0,74500.0,74500.0,74500.0,1111.9402985074628,1111.9402985074628,1111.9402985074628,1111.9402985074628,1111.9402985074628
CENTRAL AREA,1990-01,3 ROOM,07 TO 09,67500.0,32000.0,102000.0,49750.0,84750.0,992.6470588235294,551.7241379310345,1378.3783783783783,772.185598377282,1185.5127186009538
CENTRAL AREA,1990-01,3 ROOM,10 TO 12,35000.0,35000.0,35000.0,35000.0,35000.0,603.448275862069,603.448275862069,603.448275862069,603.448275862069,603.448275862069
CENTRAL AREA,1990-01,3 ROOM,16 TO 18,60000.0,60000.0,60000.0,60000.0,60000.0,1000.0,1000.0,1000.0,1000.0,1000.0
CENTRAL AREA,1990-01,3 ROOM,19 TO 21,69500.0,69000.0,70000.0,69250.0,69750.0,1113.4615384615386,1076.923076923077,1150.0,1095.1923076923076,1131.7307692307693
CENTRAL AREA,1990-01,4 ROOM,04 TO 06,130000.0,130000.0,130000.0,130000.0,130000.0,1160.7142857142858,1160.7142857142858,1160.7142857142858,1160.7142857142858,1160.7142857142858
CENTRAL AREA,1990-01,4 ROOM,07 TO 09,100000.0,100000.0,100000.0,100000.0,100000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
CENTRAL AREA,1990-01,4 ROOM,13 TO 15,88000.0,88000.0,88000.0,88000.0,88000.0,1035.2941176470588,1035.2941176470588,1035.2941176470588,1035.2941176470588,1035.2941176470588
CENTRAL AREA,1990-01,4 ROOM,16 TO 18,118500.0,80000.0,157000.0,99250.0,137750.0,1265.0326008210577,975.609756097561,1554.4554455445545,1120.3211784593093,1409.7440231828061
CENTRAL AREA,1990-01,4 ROOM,19 TO 21,155000.0,155000.0,155000.0,155000.0,155000.0,1396.3963963963963,1396.3963963963963,1396.3963963963963,1396.3963963963963,1396.3963963963963
CENTRAL AREA,1990-01,4 ROOM,22 TO 24,100000.0,100000.0,100000.0,100000.0,100000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
CENTRAL AREA,1990-01,5 ROOM,25 TO 27,228000.0,228000.0,228000.0,228000.0,228000.0,1664.2335766423357,1664.2335766423357,1664.2335766423357,1664.2335766423357,1664.2335766423357
CENTRAL AREA,1990-02,2 ROOM,07 TO 09,41500.0,41500.0,41500.0,41500.0,41500.0,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231
CENTRAL AREA,1990-02,3 ROOM,04 TO 06,69500.0,62000.0,77000.0,65750.0,73250.0,963.1274131274131,885.7142857142857,1040.5405405405406,924.4208494208494,1001.8339768339769
CENTRAL AREA,1990-02,3 ROOM,10 TO 12,64000.0,64000.0,64000.0,64000.0,64000.0,941.1764705882352,941.1764705882352,941.1764705882352,941.1764705882352,941.1764705882352
CENTRAL AREA,1990-02,3 ROOM,13 TO 15,57000.0,57000.0,57000.0,57000.0,57000.0,876.9230769230769,876.9230769230769,876.9230769230769,876.9230769230769,876.9230769230769
CENTRAL AREA,1990-02,3 ROOM,16 TO 18,65000.0,65000.0,65000.0,65000.0,65000.0,955.8823529411765,955.8823529411765,955.8823529411765,955.8823529411765,955.8823529411765
CENTRAL AREA,1990-02,4 ROOM,07 TO 09,150000.0,150000.0,150000.0,150000.0,150000.0,1339.3924898349678,1327.4336283185842,1351.3513513513512,1333.4130590767759,1345.3719205931595
CENTRAL AREA,1990-02,4 ROOM,16 TO 18,133800.0,110000.0,157600.0,121900.0,145700.0,1385.5863822261522,1325.301204819277,1445.8715596330276,1355.4437935227147,1415.7289709295899
CENTRAL AREA,1990-03,2 ROOM,01 TO 03,18700.0,18700.0,18700.0,18700.0,18700.0,467.5,467.5,467.5,467.5,467.5
CENTRAL AREA,1990-03,2 ROOM,04 TO 06,20000.0,19000.0,22500.0,19500.0,21250.0,512.8205128205128,500.0,576.9230769230769,506.4102564102564,544.8717948717949
CENTRAL AREA,1990-03,2 ROOM,07 TO 09,18500.0,18500.0,18500.0,18500.0,18500.0,474.35897435897436,474.35897435897436,474.35897435897436,474.35897435897436,474.35897435897436
CENTRAL AREA,1990-03,3 ROOM,04 TO 06,110000.0,110000.0,110000.0,110000.0,110000.0,1486.4864864864865,1486.4864864864865,1486.4864864864865,1486.4864864864865,1486.4864864864865
CENTRAL AREA,1990-03,3 ROOM,07 TO 09,63000.0,63000.0,63000.0,63000.0,63000.0,969.2307692307693,969.2307692307693,969.2307692307693,969.2307692307693,969.2307692307693
CENTRAL AREA,1990-03,3 ROOM,10 TO 12,50000.0,50000.0,50000.0,50000.0,50000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
CENTRAL AREA,1990-03,3 ROOM,13 TO 15,55500.0,41000.0,70000.0,48250.0,62750.0,853.0701754385966,539.4736842105264,1166.6666666666667,696.2719298245614,1009.8684210526317
CENTRAL AREA,1990-03,3 ROOM,16 TO 18,67000.0,62000.0,72000.0,64500.0,69500.0,1116.6666666666665,1033.3333333333333,1200.0,1075.0,1158.3333333333333
CENTRAL AREA,1990-03,3 ROOM,19 TO 21,55000.0,55000.0,55000.0,55000.0,55000.0,820.8955223880597,820.8955223880597,820.8955223880597,820.8955223880597,820.8955223880597
CENTRAL AREA,1990-03,3 ROOM,22 TO 24,60500.0,53000.0,68000.0,56750.0,64250.0,934.866828087167,898.3050847457627,971.4285714285714,916.5859564164648,953.1476997578693
CENTRAL AREA,1990-03,4 ROOM,04 TO 06,140000.0,140000.0,140000.0,140000.0,140000.0,1308.411214953271,1308.411214953271,1308.411214953271,1308.411214953271,1308.411214953271
CENTRAL AREA,1990-03,4 ROOM,10 TO 12,90000.0,90000.0,90000.0,90000.0,90000.0,989.010989010989,989.010989010989,989.010989010989,989.010989010989,989.010989010989
CENTRAL AREA,1990-03,4 ROOM,13 TO 15,82000.0,82000.0,82000.0,82000.0,82000.0,1000.0,1000.0,1000.0,1000.0,1000.0
CENTRAL AREA,1990-03,4 ROOM,16 TO 18,85000.0,85000.0,85000.0,85000.0,85000.0,1036.5853658536585,1036.5853658536585,1036.5853658536585,1036.5853658536585,1036.5853658536585
CENTRAL AREA,1990-03,4 ROOM,19 TO 21,110000.0,110000.0,110000.0,110000.0,110000.0,1078.4313725490197,1078.4313725490197,1078.4313725490197,1078.4313725490197,1078.4313725490197
CENTRAL AREA,1990-03,5 ROOM,25 TO 27,205000.0,205000.0,205000.0,205000.0,205000.0,1507.3529411764705,1507.3529411764705,1507.3529411764705,1507.3529411764705,1507.3529411764705
CENTRAL AREA,1990-04,2 ROOM,01 TO 03,19000.0,19000.0,19000.0,19000.0,19000.0,500.0,500.0,500.0,500.0,500.0
CENTRAL AREA,1990-04,2 ROOM,04 TO 06,31000.0,31000.0,31000.0,31000.0,31000.0,584.9056603773585,584.9056603773585,584.9056603773585,584.9056603773585,584.9056603773585
CENTRAL AREA,1990-04,2 ROOM,07 TO 09,23000.0,23000.0,23000.0,23000.0,23000.0,589.7435897435897,589.7435897435897,589.7435897435897,589.7435897435897,589.7435897435897
CENTRAL AREA,1990-04,2 ROOM,10 TO 12,32500.0,32500.0,32500.0,32500.0,32500.0,613.2075471698113,613.2075471698113,613.2075471698113,613.2075471698113,613.2075471698113
CENTRAL AREA,1990-04,3 ROOM,07 TO 09,52000.0,49000.0,55000.0,50500.0,53500.0,788.4701159678858,644.7368421052631,932.2033898305085,716.6034790365745,860.3367528991971
CENTRAL AREA,1990-04,3 ROOM,10 TO 12,55000.0,55000.0,55000.0,55000.0,55000.0,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085
CENTRAL AREA,1990-04,3 ROOM,13 TO 15,50000.0,36000.0,73000.0,40000.0,73000.0,833.3333333333334,620.6896551724138,1106.060606060606,714.2857142857143,1089.55223880597
CENTRAL AREA,1990-04,3 ROOM,16 TO 18,50000.0,32000.0,54000.0,41000.0,52000.0,714.2857142857143,492.3076923076923,900.0,603.2967032967033,807.1428571428571
CENTRAL AREA,1990-04,3 ROOM,19 TO 21,55000.0,55000.0,55000.0,55000.0,55000.0,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085,932.2033898305085
CENTRAL AREA,1990-04,4 ROOM,04 TO 06,74000.0,74000.0,74000.0,74000.0,74000.0,850.5747126436781,850.5747126436781,850.5747126436781,850.5747126436781,850.5747126436781
CENTRAL AREA,1990-04,4 ROOM,07 TO 09,83000.0,83000.0,83000.0,83000.0,83000.0,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196,1012.1951219512196
CENTRAL AREA,1990-04,4 ROOM,13 TO 15,138000.0,138000.0,138000.0,138000.0,138000.0,1140.495867768595,1140.495867768595,1140.495867768595,1140.495867768595,1140.495867768595
CENTRAL AREA,1990-04,4 ROOM,16 TO 18,86000.0,86000.0,86000.0,86000.0,86000.0,1036.144578313253,1036.144578313253,1036.144578313253,1036.144578313253,1036.144578313253
CENTRAL AREA,1990-04,4 ROOM,25 TO 27,60000.0,60000.0,60000.0,60000.0,60000.0,705.8823529411765,705.8823529411765,705.8823529411765,705.8823529411765,705.8823529411765
CENTRAL AREA,1990-05,2 ROOM,07 TO 09,24000.0,20000.0,28000.0,22000.0,26000.0,581.9916517590937,512.8205128205128,651.1627906976744,547.4060822898032,616.577221228384
CENTRAL AREA,1990-05,2 ROOM,10 TO 12,29800.0,29800.0,29800.0,29800.0,29800.0,562.2641509433962,562.2641509433962,562.2641509433962,562.2641509433962,562.2641509433962
