town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,2 ROOM,23200.0,18700.0,30000.0,22000.0,28000.0,578.9473684210526,456.0975609756098,651.1627906976744,566.0377358490566,610.5263157894736
CENTRAL AREA,1990-02,2 ROOM,41500.0,41500.0,41500.0,41500.0,41500.0,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231
CENTRAL AREA,1990-03,2 ROOM,19000.0,18500.0,22500.0,18700.0,20000.0,500.0,467.5,576.9230769230769,474.35897435897436,512.8205128205128
CENTRAL AREA,1990-04,2 ROOM,27000.0,19000.0,32500.0,22000.0,31375.0,587.3246250604741,500.0,613.2075471698113,563.6792452830189,595.6095791001451
CENTRAL AREA,1990-05,2 ROOM,28000.0,20000.0,29800.0,24000.0,28900.0,562.2641509433962,512.8205128205128,651.1627906976744,537.5423318819545,606.7134708205353
CENTRAL AREA,1990-06,2 ROOM,30000.0,19000.0,49300.0,20500.0,38400.0,638.1818181818181,475.0,896.3636363636364,512.5,742.23343571742
CENTRAL AREA,1990-07,2 ROOM,24000.0,18700.0,36500.0,19000.0,26500.0,585.5694692903995,487.1794871794872,684.2105263157895,490.87381916329286,657.3535745047373
CENTRAL AREA,1990-08,2 ROOM,28000.0,28000.0,28000.0,28000.0,28000.0,533.3817126269956,528.3018867924528,538.4615384615385,530.8417997097242,535.921625544267
CENTRAL AREA,1990-09,2 ROOM,26300.0,22000.0,41900.0,26000.0,27000.0,666.6666666666666,578.9473684210526,790.566037735849,627.9069767441861,692.1052631578947
CENTRAL AREA,1990-10,2 ROOM,24500.0,18700.0,30000.0,18925.0,30000.0,488.0952380952381,467.5,566.0377358490566,474.01785714285717,516.5094339622642
CENTRAL AREA,1990-11,2 ROOM,25000.0,18700.0,41900.0,22675.0,29975.0,640.7894736842105,492.10526315789474,790.566037735849,596.7105263157895,685.1415094339623
CENTRAL AREA,1990-12,2 ROOM,32950.0,19000.0,41900.0,22750.0,41900.0,703.7524366471735,500.0,775.925925925926,598.6842105263158,775.925925925926
CENTRAL AREA,1991-01,2 ROOM,34500.0,20000.0,42000.0,27500.0,39750.0,649.5726495726495,444.44444444444446,792.4528301886793,543.8034188034188,739.7798742138365
CENTRAL AREA,1991-02,2 ROOM,23000.0,19000.0,26000.0,21000.0,24500.0,589.7435897435897,463.4146341463415,684.2105263157895,526.5791119449656,636.9770580296896
CENTRAL AREA,1991-03,2 ROOM,39800.0,37700.0,41900.0,38750.0,40850.0,729.983164983165,698.1481481481482,761.8181818181819,714.0656565656566,745.9006734006734
CENTRAL AREA,1991-04,2 ROOM,40000.0,20000.0,42000.0,30000.0,40000.0,754.7169811320755,526.3157894736842,792.4528301886793,697.6744186046511,754.7169811320755
CENTRAL AREA,1991-05,2 ROOM,22000.0,22000.0,22000.0,22000.0,22000.0,423.0769230769231,423.0769230769231,423.0769230769231,423.0769230769231,423.0769230769231
CENTRAL AREA,1991-06,2 ROOM,25000.0,24000.0,26000.0,24500.0,25500.0,631.578947368421,581.3953488372093,684.2105263157895,606.4871481028151,657.8947368421052
CENTRAL AREA,1991-07,2 ROOM,24050.0,21000.0,26000.0,21825.0,26000.0,526.2075134168158,500.0,666.6666666666666,510.4651162790698,570.5128205128206
CENTRAL AREA,1991-08,2 ROOM,28750.0,27500.0,30000.0,28125.0,29375.0,692.5872093023256,687.5,697.6744186046511,690.0436046511628,695.1308139534883
CENTRAL AREA,1991-09,2 ROOM,23000.0,18700.0,36300.0,20000.0,34000.0,575.0,415.55555555555554,790.6976744186046,512.8205128205128,684.9056603773585
CENTRAL AREA,1991-10,2 ROOM,29150.0,19000.0,38000.0,25000.0,30000.0,622.8070175438596,475.0,744.7368421052631,566.0377358490566,699.1817398794143
CENTRAL AREA,1991-11,2 ROOM,30000.0,19000.0,39500.0,24500.0,34750.0,697.6744186046511,475.0,731.4814814814815,586.3372093023256,714.5779500430663
CENTRAL AREA,1991-12,2 ROOM,30000.0,19000.0,41000.0,19000.0,35000.0,576.9230769230769,487.1794871794872,953.4883720930233,500.0,660.377358490566
CENTRAL AREA,1992-01,2 ROOM,26000.0,19000.0,40300.0,22500.0,33150.0,684.2105263157895,500.0,760.377358490566,592.1052631578948,722.2939424031778
CENTRAL AREA,1992-02,2 ROOM,26000.0,19000.0,44500.0,22500.0,35250.0,666.6666666666666,487.1794871794872,1034.8837209302326,576.9230769230769,850.7751937984497
CENTRAL AREA,1992-03,2 ROOM,22500.0,19000.0,30000.0,19000.0,27000.0,576.9230769230769,422.22222222222223,697.6744186046511,470.94017094017096,674.4186046511627
CENTRAL AREA,1992-04,2 ROOM,32000.0,24000.0,40000.0,28000.0,36000.0,780.9057527539779,631.578947368421,930.2325581395348,706.2423500611994,855.5691554467564
CENTRAL AREA,1992-05,2 ROOM,34000.0,20000.0,42000.0,27000.0,38000.0,641.5094339622641,465.1162790697674,976.7441860465116,553.3128565160157,809.1268100043878
CENTRAL AREA,1992-06,2 ROOM,41720.0,20000.0,45000.0,30860.0,43360.0,758.5454545454545,512.8205128205128,1046.5116279069769,635.6829836829836,902.5285412262157
CENTRAL AREA,1992-07,2 ROOM,23400.0,22000.0,24800.0,22700.0,24100.0,608.3670715249663,564.1025641025641,652.6315789473684,586.2348178137652,630.4993252361674
CENTRAL AREA,1992-08,2 ROOM,25000.0,19000.0,42000.0,24000.0,28000.0,657.8947368421053,475.0,792.4528301886793,615.3846153846154,717.9487179487179
CENTRAL AREA,1992-09,2 ROOM,26000.0,20000.0,59000.0,22000.0,41000.0,684.2105263157895,512.8205128205128,1372.093023255814,578.9473684210526,773.5849056603773
CENTRAL AREA,1992-10,2 ROOM,26000.0,26000.0,26000.0,26000.0,26000.0,650.4065040650406,634.1463414634146,666.6666666666666,642.2764227642276,658.5365853658536
CENTRAL AREA,1992-11,2 ROOM,28000.0,25000.0,32000.0,25750.0,30500.0,585.3444493198772,480.7692307692308,780.4878048780488,544.7206095791001,648.6103233125355
CENTRAL AREA,1992-12,2 ROOM,29800.0,26000.0,30000.0,27900.0,29900.0,666.6666666666666,551.8518518518518,750.0,609.2592592592592,708.3333333333333
CENTRAL AREA,1993-01,2 ROOM,26000.0,18700.0,42000.0,22350.0,34000.0,650.0,492.10526315789474,792.4528301886793,571.0526315789474,721.2264150943397
CENTRAL AREA,1993-02,2 ROOM,32000.0,19000.0,41700.0,25500.0,36850.0,772.2222222222222,475.0,842.1052631578947,623.6111111111111,807.1637426900584
CENTRAL AREA,1993-03,2 ROOM,26000.0,26000.0,42000.0,26000.0,34000.0,684.2105263157895,604.6511627906976,976.7441860465116,644.4308445532436,830.4773561811505
CENTRAL AREA,1993-04,2 ROOM,41700.0,41700.0,41700.0,41700.0,41700.0,758.1818181818181,758.1818181818181,758.1818181818181,758.1818181818181,758.1818181818181
CENTRAL AREA,1993-05,2 ROOM,26000.0,20000.0,43000.0,23000.0,34500.0,650.0,465.1162790697674,1131.578947368421,557.5581395348837,890.7894736842105
CENTRAL AREA,1993-06,2 ROOM,37500.0,30000.0,50000.0,33750.0,42500.0,961.5384615384615,789.4736842105264,1162.7906976744187,870.4453441295547,1059.928443649374
CENTRAL AREA,1993-07,2 ROOM,40000.0,39000.0,49000.0,39500.0,44500.0,1026.3157894736842,930.2325581395348,1256.4102564102564,978.2741738066095,1141.3630229419703
CENTRAL AREA,1993-08,2 ROOM,52500.0,39000.0,55000.0,47250.0,55000.0,1220.9302325581396,1026.3157894736842,1279.0697674418604,1128.671970624235,1279.0697674418604
CENTRAL AREA,1993-09,2 ROOM,47000.0,37000.0,57000.0,41250.0,49750.0,971.6981132075472,902.439024390244,1325.5813953488373,929.2452830188679,1115.3846153846152
CENTRAL AREA,1993-10,2 ROOM,50500.0,45000.0,58500.0,45000.0,56625.0,1080.1886792452829,865.3846153846154,1184.2105263157894,1008.7989840348331,1123.8828202581926
CENTRAL AREA,1993-11,2 ROOM,50000.0,39000.0,60000.0,46500.0,51000.0,1157.8947368421052,943.3962264150944,1395.3488372093022,990.566037735849,1193.8953488372094
CENTRAL AREA,1993-12,2 ROOM,45000.0,36000.0,60000.0,40000.0,55000.0,1025.6410256410256,849.0566037735849,1395.3488372093022,947.3684210526316,1180.8510638297873
CENTRAL AREA,1994-01,2 ROOM,43000.0,30000.0,61000.0,40000.0,49500.0,1102.5641025641025,789.4736842105264,1175.0,916.6666666666667,1154.7008547008547
CENTRAL AREA,1994-02,2 ROOM,56000.0,45000.0,58000.0,51750.0,58000.0,1340.9610983981693,1125.0,1526.3157894736842,1226.9021739130435,1447.3684210526314
CENTRAL AREA,1994-03,2 ROOM,55000.0,45000.0,90000.0,52500.0,63750.0,1231.640146878825,1000.0,1428.5714285714287,1138.157894736842,1316.4451827242524
CENTRAL AREA,1994-04,2 ROOM,50500.0,40000.0,80000.0,45000.0,52000.0,1140.8857509627728,962.2641509433962,1860.4651162790697,1023.8603988603988,1218.4822521419828
CENTRAL AREA,1994-05,2 ROOM,55500.0,55000.0,56000.0,55250.0,55750.0,1223.6467236467236,1037.037037037037,1410.2564102564102,1130.3418803418804,1316.9515669515667
CENTRAL AREA,1994-06,2 ROOM,50000.0,46000.0,63000.0,48000.0,56500.0,925.925925925926,836.3636363636364,1657.8947368421052,881.1447811447812,1291.9103313840155
CENTRAL AREA,1994-07,2 ROOM,50500.0,47000.0,58000.0,49250.0,52750.0,1312.0782726045884,1205.128205128205,1487.179487179487,1262.8205128205127,1378.3738191632929
CENTRAL AREA,1994-08,2 ROOM,56000.0,45000.0,75000.0,50000.0,64000.0,1473.6842105263158,1162.7906976744187,1744.1860465116279,1184.2105263157894,1641.025641025641
CENTRAL AREA,1994-09,2 ROOM,63000.0,50000.0,70000.0,56500.0,66500.0,1465.1162790697674,1250.0,1627.906976744186,1357.5581395348836,1546.5116279069766
CENTRAL AREA,1994-10,2 ROOM,45000.0,45000.0,45000.0,45000.0,45000.0,1184.2105263157894,1184.2105263157894,1184.2105263157894,1184.2105263157894,1184.2105263157894
CENTRAL AREA,1994-11,2 ROOM,59000.0,45500.0,68000.0,52625.0,64250.0,1341.3461538461538,1109.7560975609756,1465.1162790697674,1258.2082551594747,1397.5290697674418
CENTRAL AREA,1994-12,2 ROOM,60000.0,44000.0,69500.0,52000.0,64750.0,1395.3488372093022,1157.8947368421052,1616.2790697674418,1276.6217870257037,1505.8139534883721
CENTRAL AREA,1995-01,2 ROOM,63000.0,62000.0,72000.0,62500.0,67500.0,1465.1162790697674,1169.811320754717,1846.1538461538462,1317.4637999122422,1655.635062611807
CENTRAL AREA,1995-02,2 ROOM,62500.0,56000.0,69000.0,59250.0,65750.0,1453.4883720930234,1302.3255813953488,1604.6511627906978,1377.906976744186,1529.0697674418604
CENTRAL AREA,1995-03,2 ROOM,65500.0,58000.0,73000.0,61750.0,69250.0,1523.2558139534885,1348.8372093023256,1697.6744186046512,1436.046511627907,1610.46511627907
CENTRAL AREA,1995-04,2 ROOM,52000.0,48000.0,98000.0,50000.0,75000.0,1368.421052631579,1263.157894736842,1555.5555555555557,1315.7894736842104,1461.9883040935674
