town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,69500.0,18700.0,228000.0,32750.0,100000.0,1056.1085972850678,456.0975609756098,1664.2335766423357,620.6854345165239,1204.8127177700349
CENTRAL AREA,1990-02,71000.0,41500.0,157600.0,62500.0,140000.0,998.2114467408585,798.0769230769231,1445.8715596330276,899.579831932773,1326.9005224437574
CENTRAL AREA,1990-03,63000.0,18500.0,205000.0,41000.0,85000.0,971.4285714285714,467.5,1507.3529411764705,576.9230769230769,1078.4313725490197
CENTRAL AREA,1990-04,54000.0,19000.0,138000.0,36000.0,73000.0,833.3333333333334,492.3076923076923,1140.495867768595,620.6896551724138,932.2033898305085
CENTRAL AREA,1990-05,63000.0,20000.0,142000.0,39900.0,82500.0,940.2985074626865,512.8205128205128,1342.4657534246576,698.7157237070462,1074.3361116495444
CENTRAL AREA,1990-06,37550.0,19000.0,89000.0,30000.0,53575.0,682.1705426356589,475.0,1085.3658536585365,538.8392857142858,881.993006993007
CENTRAL AREA,1990-07,61000.0,18700.0,157000.0,36500.0,74900.0,932.2033898305085,487.1794871794872,1414.4144144144145,667.1052631578947,1095.890410958904
CENTRAL AREA,1990-08,65000.0,28000.0,135000.0,55290.0,94000.0,1000.0,528.3018867924528,1626.5060240963855,868.5720720720722,1138.9950044078755
CENTRAL AREA,1990-09,47000.0,22000.0,74000.0,34450.0,60000.0,796.6101694915254,578.9473684210526,1104.4776119402984,692.2064777327935,962.1212121212121
CENTRAL AREA,1990-10,57500.0,18700.0,82000.0,30000.0,74300.0,894.6731234866828,467.5,1223.8805970149253,516.5094339622642,1079.286494357481
CENTRAL AREA,1990-11,60500.0,18700.0,140000.0,42675.0,82850.0,907.3333333333334,413.7931034482759,1686.7469879518073,706.7307692307692,1183.7238285144565
CENTRAL AREA,1990-12,63500.0,19000.0,183000.0,42475.0,75000.0,959.1916558018254,430.7692307692308,2204.8192771084337,775.925925925926,1131.3892078071183
CENTRAL AREA,1991-01,60000.0,20000.0,148000.0,39750.0,88750.0,890.1098901098901,444.44444444444446,1783.132530120482,720.2380952380952,1145.8125623130609
CENTRAL AREA,1991-02,77000.0,19000.0,158000.0,51500.0,100500.0,965.0937297996121,463.4146341463415,1423.4234234234234,832.8173374613003,1245.703227499344
CENTRAL AREA,1991-03,55790.0,24000.0,100000.0,43925.0,69500.0,868.7149321266968,413.7931034482759,1266.6666666666667,713.0050505050506,992.8571428571429
CENTRAL AREA,1991-04,52000.0,20000.0,120000.0,41000.0,65000.0,881.3559322033898,526.3157894736842,1463.4146341463415,758.7144227694275,1064.7773279352227
CENTRAL AREA,1991-05,64500.0,22000.0,230000.0,55500.0,87500.0,970.5882352941176,423.0769230769231,1703.7037037037037,793.3569979716025,1093.0021455685755
CENTRAL AREA,1991-06,55000.0,23200.0,155000.0,25750.0,102500.0,864.4278606965174,414.2857142857143,1504.8543689320388,671.0526315789474,1258.4427767354596
CENTRAL AREA,1991-07,55500.0,21000.0,232000.0,30000.0,67000.0,853.6585365853658,448.2758620689655,1645.3900709219859,666.6666666666666,1016.9491525423729
CENTRAL AREA,1991-08,77000.0,27500.0,228000.0,50750.0,89500.0,1031.090860359153,517.2413793103449,1927.710843373494,836.8644067796611,1241.769095697981
CENTRAL AREA,1991-09,52500.0,18700.0,150000.0,34375.0,72250.0,805.7965984033322,415.55555555555554,1408.3333333333333,605.8035714285714,1169.9757869249393
CENTRAL AREA,1991-10,52500.0,19000.0,213000.0,30000.0,85750.0,807.6923076923077,475.0,1566.2650602409637,621.9298245614035,1267.7927927927929
CENTRAL AREA,1991-11,61000.0,19000.0,100000.0,37625.0,66750.0,932.1266968325792,475.0,1343.2835820895523,723.0297157622739,1054.8507462686566
CENTRAL AREA,1991-12,45000.0,19000.0,134000.0,33500.0,70000.0,846.1538461538462,487.1794871794872,1456.5217391304348,600.9615384615385,1018.4108527131782
CENTRAL AREA,1992-01,65000.0,19000.0,140000.0,40300.0,75000.0,914.6341463414634,500.0,1686.7469879518073,760.377358490566,1083.3333333333333
CENTRAL AREA,1992-02,71750.0,19000.0,140000.0,47125.0,101000.0,1078.1895240165181,487.1794871794872,1552.6315789473683,863.7820512820513,1364.8648648648648
CENTRAL AREA,1992-03,64000.0,19000.0,175500.0,35000.0,107250.0,941.1764705882352,422.22222222222223,1682.9268292682927,693.6647955092221,1387.8930355568616
CENTRAL AREA,1992-04,65000.0,24000.0,158000.0,46000.0,88750.0,939.692550256208,464.2857142857143,1440.366972477064,779.1275797373357,1110.8481980342192
CENTRAL AREA,1992-05,65000.0,20000.0,134000.0,48750.0,111000.0,1083.3333333333333,465.1162790697674,1614.4578313253012,893.2692307692307,1367.6739926739929
CENTRAL AREA,1992-06,73000.0,20000.0,91000.0,52500.0,81000.0,1046.5116279069769,512.8205128205128,1338.9830508474577,938.5369532428356,1150.6105834464042
CENTRAL AREA,1992-07,70000.0,22000.0,85000.0,54950.0,78500.0,1012.1016538926986,564.1025641025641,1111.111111111111,859.5864661654135,1103.179908326967
CENTRAL AREA,1992-08,70000.0,19000.0,168000.0,48500.0,94500.0,1000.0,475.0,2048.7804878048782,764.6474677259187,1262.531969309463
CENTRAL AREA,1992-09,70000.0,20000.0,157000.0,55000.0,80000.0,1000.0,512.8205128205128,1879.5180722891566,892.8571428571429,1333.3333333333333
CENTRAL AREA,1992-10,75000.0,26000.0,120600.0,50000.0,90000.0,1097.560975609756,550.0,1661.0169491525423,847.457627118644,1385.0746268656717
CENTRAL AREA,1992-11,81000.0,25000.0,214000.0,32000.0,110000.0,1109.5890410958905,480.7692307692308,2609.756097560976,780.4878048780488,1339.0804597701149
CENTRAL AREA,1992-12,70000.0,26000.0,162000.0,49500.0,99000.0,1067.9611650485438,551.8518518518518,1440.677966101695,792.3076923076924,1248.1340382522158
CENTRAL AREA,1993-01,62000.0,18700.0,187000.0,52625.0,89375.0,1050.8474576271187,492.10526315789474,1747.6635514018692,835.9905020352782,1295.9582790091265
CENTRAL AREA,1993-02,72000.0,19000.0,180000.0,57500.0,88250.0,986.0865165696939,475.0,2195.121951219512,846.1195361284567,1340.4605263157894
CENTRAL AREA,1993-03,72500.0,26000.0,195000.0,56000.0,107200.0,1055.9251559251559,604.6511627906976,2119.5652173913045,931.6860465116279,1347.2467749641664
CENTRAL AREA,1993-04,79000.0,41700.0,170000.0,65000.0,102000.0,1289.4736842105262,758.1818181818181,1910.112359550562,1000.0,1457.142857142857
CENTRAL AREA,1993-05,83000.0,20000.0,200000.0,44250.0,103500.0,1293.3507170795306,465.1162790697674,2289.156626506024,816.0412757973734,1716.6666666666665
CENTRAL AREA,1993-06,70000.0,30000.0,232000.0,48250.0,119000.0,1162.7906976744187,789.4736842105264,2274.5098039215686,895.1465201465202,1684.8544973544974
CENTRAL AREA,1993-07,86000.0,39000.0,280000.0,60000.0,140000.0,1268.6567164179105,729.92700729927,2333.3333333333335,1016.9491525423729,1873.873873873874
CENTRAL AREA,1993-08,100000.0,39000.0,222000.0,70000.0,130000.0,1428.5714285714287,945.9459459459459,2707.317073170732,1162.7906976744187,1762.7118644067796
CENTRAL AREA,1993-09,105000.0,37000.0,230000.0,51750.0,116500.0,1689.8148148148148,902.439024390244,2110.091743119266,1184.6153846153845,1858.8362068965516
CENTRAL AREA,1993-10,123000.0,45000.0,345000.0,90000.0,157000.0,1730.7692307692307,865.3846153846154,2555.5555555555557,1551.7241379310344,1951.219512195122
CENTRAL AREA,1993-11,107500.0,39000.0,255000.0,85000.0,147000.0,1722.457627118644,742.1875,2987.8048780487807,1373.4347048300535,2071.989966555184
CENTRAL AREA,1993-12,72500.0,36000.0,262000.0,48750.0,151250.0,1337.2093023255813,849.0566037735849,3011.4942528735633,1019.2307692307693,2156.25
CENTRAL AREA,1994-01,110000.0,30000.0,365000.0,57000.0,170000.0,1703.2967032967033,789.4736842105264,3072.289156626506,1173.076923076923,2033.8983050847457
CENTRAL AREA,1994-02,132500.0,45000.0,248000.0,96625.0,185000.0,1953.252032520325,1125.0,2987.9518072289156,1584.8030018761724,2297.222222222222
CENTRAL AREA,1994-03,110000.0,45000.0,240000.0,93750.0,120750.0,1657.0378151260504,1000.0,2831.1688311688313,1416.8233082706768,2000.0
CENTRAL AREA,1994-04,88500.0,40000.0,277000.0,51000.0,118250.0,1584.685598377282,962.2641509433962,3378.048780487805,1184.6695226438187,1903.8690476190477
CENTRAL AREA,1994-05,110000.0,55000.0,180000.0,99000.0,154000.0,1800.0,1037.037037037037,2166.6666666666665,1624.4669509594883,2081.3614852566434
CENTRAL AREA,1994-06,115000.0,46000.0,330000.0,100000.0,128000.0,1694.915254237288,836.3636363636364,2340.425531914894,1554.054054054054,2000.0
CENTRAL AREA,1994-07,103500.0,47000.0,240000.0,66500.0,127500.0,1642.3240938166311,1205.128205128205,2376.237623762376,1500.0,2099.3001930501932
CENTRAL AREA,1994-08,130000.0,45000.0,340000.0,68000.0,198000.0,1911.764705882353,1162.7906976744187,3181.818181818182,1641.025641025641,2283.582089552239
CENTRAL AREA,1994-09,133000.0,50000.0,250000.0,100000.0,160250.0,1967.6198486122792,1250.0,2621.951219512195,1583.8998211091234,2273.3306105779047
CENTRAL AREA,1994-10,137000.0,45000.0,252000.0,109250.0,167500.0,1872.161480235492,1184.2105263157894,3090.909090909091,1691.2339971550498,2324.9007936507937
CENTRAL AREA,1994-11,152000.0,45500.0,320000.0,105000.0,205000.0,2228.2608695652175,1109.7560975609756,3764.705882352941,1567.1641791044776,2500.0
CENTRAL AREA,1994-12,130000.0,44000.0,292000.0,100000.0,170000.0,2133.3333333333335,1157.8947368421052,3560.9756097560976,1644.0677966101696,2222.222222222222
CENTRAL AREA,1995-01,139000.0,62000.0,285000.0,89000.0,180000.0,2090.0383141762454,1169.811320754717,3433.734939759036,1463.7020741671904,2220.1923076923076
CENTRAL AREA,1995-02,117500.0,56000.0,280000.0,97250.0,133500.0,1958.3333333333335,1302.3255813953488,2568.8073394495414,1640.9883720930234,2262.7118644067796
CENTRAL AREA,1995-03,133944.0,58000.0,436800.0,114750.0,171250.0,2171.455146754857,1315.7894736842106,3211.764705882353,1851.4419428282317,2398.305084745763
CENTRAL AREA,1995-04,135000.0,48000.0,440000.0,112500.0,166000.0,1986.3013698630136,1263.157894736842,3425.974025974026,1824.4755244755245,2439.0243902439024
