town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,high,80000.0,30000.0,228000.0,64500.0,127500.0,1076.923076923077,566.0377358490566,1664.2335766423357,987.8048780487804,1307.9542957591739
CENTRAL AREA,1990-02,high,65000.0,57000.0,157600.0,64000.0,110000.0,955.8823529411765,876.9230769230769,1445.8715596330276,941.1764705882352,1325.301204819277
CENTRAL AREA,1990-03,high,70000.0,41000.0,205000.0,55000.0,85000.0,1000.0,539.4736842105264,1507.3529411764705,898.3050847457627,1078.4313725490197
CENTRAL AREA,1990-04,high,54500.0,32000.0,138000.0,42500.0,69750.0,866.6666666666667,492.3076923076923,1140.495867768595,707.9831932773109,1010.1592811925669
CENTRAL AREA,1990-05,high,52500.0,29800.0,63000.0,44950.0,57000.0,796.211251435132,562.2641509433962,940.2985074626865,700.2675302731625,869.6900114810562
CENTRAL AREA,1990-06,high,44000.0,32500.0,55500.0,38250.0,49750.0,752.6785714285714,580.3571428571429,925.0,666.5178571428571,838.8392857142858
CENTRAL AREA,1990-07,high,71500.0,25000.0,157000.0,60000.0,90000.0,1051.4705882352941,581.3953488372093,1414.4144144144145,895.5223880597015,1117.910447761194
CENTRAL AREA,1990-08,high,65000.0,55580.0,135000.0,60000.0,120000.0,1000.0,810.8108108108108,1626.5060240963855,926.3333333333334,1445.7831325301204
CENTRAL AREA,1990-09,high,44500.0,41900.0,60000.0,41975.0,50250.0,793.5881036136873,711.8644067796611,1016.9491525423729,770.8906299968021,851.6949152542372
CENTRAL AREA,1990-10,high,66250.0,30000.0,82000.0,56250.0,74300.0,1025.0569187958513,566.0377358490566,1223.8805970149253,875.9079903147699,1185.7276119402984
CENTRAL AREA,1990-11,high,68000.0,45000.0,140000.0,60500.0,100750.0,1152.542372881356,692.3076923076923,1686.7469879518073,907.3333333333334,1199.4684620836285
CENTRAL AREA,1990-12,high,68900.0,41900.0,183000.0,54450.0,101250.0,1044.316877152698,775.925925925926,2204.8192771084337,823.9560439560439,1277.8220574606116
CENTRAL AREA,1991-01,high,62500.0,20000.0,148000.0,35000.0,100750.0,824.1758241758241,444.44444444444446,1783.132530120482,646.8253968253969,1146.3325830795711
CENTRAL AREA,1991-02,high,64000.0,19000.0,158000.0,60000.0,101000.0,941.1764705882352,463.4146341463415,1423.4234234234234,902.7149321266968,1286.8654311039486
CENTRAL AREA,1991-03,high,68000.0,28000.0,100000.0,57790.0,74500.0,971.4285714285714,482.7586206896552,1266.6666666666667,895.4871794871794,1102.4096385542168
CENTRAL AREA,1991-04,high,56000.0,40000.0,120000.0,44250.0,73250.0,966.993755575379,754.7169811320755,1463.4146341463415,785.0175887432044,1084.3589743589744
CENTRAL AREA,1991-05,high,64500.0,46000.0,230000.0,60000.0,87500.0,970.5882352941176,792.6829268292682,1703.7037037037037,816.1764705882354,1097.1433344470431
CENTRAL AREA,1991-06,high,80000.0,23200.0,155000.0,50000.0,110000.0,1204.8192771084337,414.2857142857143,1504.8543689320388,833.3333333333334,1341.4634146341464
CENTRAL AREA,1991-07,high,60000.0,22100.0,232000.0,50000.0,70000.0,882.3529411764706,448.2758620689655,1645.3900709219859,757.5757575757576,1067.7966101694915
CENTRAL AREA,1991-08,high,77000.0,30000.0,228000.0,53750.0,89500.0,1078.2520325203252,517.2413793103449,1927.710843373494,866.9871794871794,1196.7194570135748
CENTRAL AREA,1991-09,high,65000.0,18700.0,150000.0,50000.0,82000.0,970.1492537313433,415.55555555555554,1408.3333333333333,790.6976744186046,1171.4285714285713
CENTRAL AREA,1991-10,high,77500.0,30000.0,213000.0,37150.0,97000.0,975.6097560975609,566.0377358490566,1566.2650602409637,702.1963824289405,1313.9830508474577
CENTRAL AREA,1991-11,high,57000.0,30000.0,75000.0,37000.0,63500.0,926.7285861713106,551.7241379310345,1119.402985074627,751.3259893920848,1010.2941176470588
CENTRAL AREA,1991-12,high,55000.0,35000.0,134000.0,41000.0,75000.0,953.4883720930233,625.0,1456.5217391304348,750.0,1153.8461538461538
CENTRAL AREA,1992-01,high,65000.0,40300.0,140000.0,58825.0,83750.0,1019.6078431372548,760.377358490566,1686.7469879518073,907.0061043285239,1234.1867469879517
