town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,mid,83750.0,32000.0,102000.0,58625.0,100500.0,1106.0796269727402,551.7241379310345,1378.3783783783783,882.4163286004057,1259.2287409360579
CENTRAL AREA,1990-02,mid,150000.0,41500.0,150000.0,95750.0,150000.0,1327.4336283185842,798.0769230769231,1351.3513513513512,1062.7552756977536,1339.3924898349678
CENTRAL AREA,1990-03,mid,40750.0,18500.0,63000.0,29625.0,51875.0,721.7948717948718,474.35897435897436,969.2307692307693,598.0769230769231,845.5128205128206
CENTRAL AREA,1990-04,mid,52000.0,23000.0,83000.0,42500.0,62000.0,788.4701159678858,589.7435897435897,1012.1951219512196,630.9885290148447,952.2013228606863
CENTRAL AREA,1990-05,mid,49000.0,20000.0,85000.0,26000.0,73750.0,847.9694550503298,512.8205128205128,1103.8961038961038,616.577221228384,1059.5561155262649
CENTRAL AREA,1990-06,mid,41700.0,30000.0,59000.0,30000.0,55000.0,786.7924528301887,517.2413793103449,893.939393939394,697.6744186046511,846.1538461538462
CENTRAL AREA,1990-07,mid,36500.0,19000.0,42000.0,27750.0,39250.0,636.3636363636364,487.1794871794872,675.925925925926,561.7715617715618,656.1447811447812
CENTRAL AREA,1990-08,mid,69000.0,28000.0,88000.0,48500.0,78500.0,1014.7058823529412,538.4615384615385,1073.1707317073171,776.5837104072398,1043.9383070301292
CENTRAL AREA,1990-09,mid,65250.0,60000.0,74000.0,60750.0,70625.0,1018.6567164179105,924.2424242424242,1104.4776119402984,981.060606060606,1054.1044776119404
CENTRAL AREA,1990-10,mid,30000.0,30000.0,30000.0,30000.0,30000.0,476.1904761904762,476.1904761904762,476.1904761904762,476.1904761904762,476.1904761904762
CENTRAL AREA,1990-11,mid,45950.0,24000.0,87800.0,37425.0,59450.0,819.0118324272465,631.578947368421,1310.44776119403,750.819265143992,963.2051606374905
CENTRAL AREA,1990-12,mid,44200.0,24000.0,75000.0,34100.0,59600.0,736.6666666666666,631.578947368421,1013.5135135135135,684.1228070175439,875.0900900900901
CENTRAL AREA,1991-01,mid,48500.0,30000.0,67000.0,39000.0,58000.0,819.3033381712628,576.9230769230769,1135.593220338983,738.5703918722787,918.5136897001304
CENTRAL AREA,1991-03,mid,52500.0,24000.0,70000.0,43925.0,55750.0,803.9860139860141,413.7931034482759,1076.923076923077,758.6363636363637,923.4028683181226
CENTRAL AREA,1991-04,mid,45000.0,30000.0,60000.0,37500.0,52500.0,848.8372093023256,697.6744186046511,1000.0,773.2558139534883,924.4186046511628
CENTRAL AREA,1991-06,mid,33000.0,26000.0,40000.0,29500.0,36500.0,686.9328493647913,684.2105263157895,689.6551724137931,685.5716878402905,688.2940108892922
CENTRAL AREA,1991-07,mid,42750.0,21000.0,102000.0,27750.0,67125.0,739.5697522816167,526.3157894736842,1416.6666666666667,535.4251012145749,1059.6751412429378
CENTRAL AREA,1991-08,mid,78000.0,30000.0,160000.0,50000.0,102000.0,951.219512195122,697.6744186046511,1428.5714285714287,847.457627118644,1378.3783783783783
CENTRAL AREA,1991-09,mid,38150.0,20000.0,55000.0,32225.0,43750.0,605.6107249255213,512.8205128205128,820.8955223880597,522.9419703103913,718.9031258800337
CENTRAL AREA,1991-10,mid,28300.0,19000.0,30000.0,23650.0,29150.0,566.0377358490566,475.0,744.7368421052631,520.5188679245283,655.3872889771599
CENTRAL AREA,1991-11,mid,62000.0,39500.0,100000.0,50750.0,81000.0,1033.3333333333333,731.4814814814815,1219.5121951219512,882.4074074074074,1126.4227642276423
CENTRAL AREA,1991-12,mid,31000.0,19000.0,65000.0,27250.0,40250.0,574.1758241758241,487.1794871794872,890.4109589041096,550.3663003663004,655.2950474183351
CENTRAL AREA,1992-01,mid,26000.0,19000.0,75000.0,22500.0,50500.0,684.2105263157895,500.0,914.6341463414634,592.1052631578948,799.4223363286264
CENTRAL AREA,1992-02,mid,98000.0,26000.0,140000.0,62000.0,119000.0,1324.3243243243244,666.6666666666666,1386.1386138613861,995.4954954954956,1355.2314690928551
CENTRAL AREA,1992-03,mid,60000.0,19000.0,175500.0,40000.0,138000.0,789.4736842105264,487.1794871794872,1682.9268292682927,689.6551724137931,1610.091743119266
CENTRAL AREA,1992-04,mid,26000.0,24000.0,85000.0,25000.0,55500.0,631.578947368421,464.2857142857143,1024.0963855421687,547.9323308270676,827.8376664552949
CENTRAL AREA,1992-05,mid,78000.0,34000.0,102000.0,56000.0,90000.0,1164.1791044776119,641.5094339622641,1416.6666666666667,902.844269219938,1290.4228855721394
CENTRAL AREA,1992-06,mid,75000.0,60000.0,91000.0,67500.0,83000.0,1119.402985074627,1016.9491525423729,1181.8181818181818,1068.1760688084998,1150.6105834464042
CENTRAL AREA,1992-07,mid,44900.0,22000.0,85000.0,24100.0,70000.0,790.6015037593985,564.1025641025641,1103.8961038961038,630.4993252361674,972.4025974025974
CENTRAL AREA,1992-08,mid,70000.0,24000.0,113000.0,25000.0,82000.0,933.3333333333334,615.3846153846154,1329.4117647058824,657.8947368421053,1051.2820512820513
CENTRAL AREA,1992-09,mid,80000.0,59000.0,80000.0,69500.0,80000.0,1333.3333333333333,1333.3333333333333,1372.093023255814,1333.3333333333333,1352.7131782945735
CENTRAL AREA,1992-10,mid,50500.0,26000.0,92800.0,37250.0,68200.0,874.546004842615,634.1463414634146,1385.0746268656717,707.6437282229965,1108.9805211231976
CENTRAL AREA,1992-11,mid,55000.0,25000.0,90000.0,32000.0,80000.0,846.1538461538462,480.7692307692308,1500.0,780.4878048780488,975.609756097561
CENTRAL AREA,1992-12,mid,57500.0,29800.0,162000.0,29950.0,104250.0,1091.8141592920354,551.8518518518518,1440.677966101695,700.4629629629629,1435.3907304634768
CENTRAL AREA,1993-01,mid,42000.0,18700.0,56000.0,30350.0,49000.0,792.4528301886793,492.10526315789474,848.4848484848485,642.279046673287,820.468839336764
CENTRAL AREA,1993-02,mid,70500.0,60000.0,81000.0,65250.0,75750.0,1075.1748251748252,923.0769230769231,1227.2727272727273,999.1258741258741,1151.2237762237762
CENTRAL AREA,1993-03,mid,110600.0,26000.0,127000.0,68300.0,118800.0,1202.1739130434783,684.2105263157895,1395.6043956043957,943.1922196796338,1298.889154323937
CENTRAL AREA,1993-04,mid,105850.0,41700.0,170000.0,73775.0,137925.0,1334.14708886619,758.1818181818181,1910.112359550562,1046.164453524004,1622.129724208376
CENTRAL AREA,1993-05,mid,72500.0,43000.0,102000.0,57750.0,87250.0,1254.9786628733996,1131.578947368421,1378.3783783783783,1193.2788051209104,1316.678520625889
CENTRAL AREA,1993-06,mid,45000.0,40000.0,50000.0,42500.0,47500.0,959.2490842490843,892.8571428571429,1025.6410256410256,926.0531135531136,992.445054945055
CENTRAL AREA,1993-07,mid,56000.0,39000.0,114000.0,47500.0,85000.0,1026.3157894736842,949.1525423728814,1701.4925373134329,987.7341659232827,1363.9041633935585
CENTRAL AREA,1993-08,mid,77500.0,39000.0,133000.0,60000.0,117500.0,1172.8682170542636,1013.5135135135135,1955.8823529411766,1036.4035087719299,1637.3350094280327
CENTRAL AREA,1993-09,mid,57000.0,40000.0,105000.0,50000.0,100000.0,1325.5813953488373,943.3962264150944,1810.344827586207,1000.0,1666.6666666666667
CENTRAL AREA,1993-10,mid,121500.0,45000.0,128000.0,101250.0,124250.0,1726.6034691407826,1184.2105263157894,1882.3529411764705,1542.674253200569,1813.8718173836698
CENTRAL AREA,1993-11,mid,100000.0,49000.0,225000.0,100000.0,120000.0,1643.835616438356,1162.7906976744187,2743.9024390243903,1428.5714285714287,1785.7142857142858
CENTRAL AREA,1993-12,mid,71000.0,45000.0,150000.0,54000.0,101250.0,1090.1937046004841,849.0566037735849,1829.2682926829268,936.840422129837,1368.0313588850174
CENTRAL AREA,1994-01,mid,98000.0,40000.0,200000.0,53000.0,110000.0,1394.7368421052631,1000.0,2390.243902439024,1163.4615384615386,1738.3267150486101
CENTRAL AREA,1994-02,mid,89750.0,54000.0,220000.0,64750.0,145875.0,1650.8474576271187,1421.0526315789473,2650.602409638554,1545.1605709188225,2122.9166666666665
CENTRAL AREA,1994-03,mid,120000.0,90000.0,218000.0,110000.0,120000.0,1780.8219178082193,1381.578947368421,2831.1688311688313,1617.6470588235295,2000.0
CENTRAL AREA,1994-04,mid,90000.0,45000.0,120000.0,87000.0,113000.0,1551.7241379310344,1184.2105263157894,1883.3333333333333,1526.3157894736842,1846.1538461538462
CENTRAL AREA,1994-05,mid,82500.0,55000.0,110000.0,68750.0,96250.0,1526.023727516265,1410.2564102564102,1641.7910447761194,1468.1400688863375,1583.907386146192
CENTRAL AREA,1994-06,mid,90000.0,46000.0,153000.0,49000.0,135750.0,1462.962962962963,836.3636363636364,2067.5675675675675,903.5353535353536,2016.8918918918919
CENTRAL AREA,1994-07,mid,98000.0,58000.0,158000.0,92000.0,130000.0,1642.857142857143,1487.179487179487,2358.208955223881,1633.3333333333333,2203.3898305084745
CENTRAL AREA,1994-08,mid,64000.0,56000.0,130000.0,60000.0,97000.0,1641.025641025641,1473.6842105263158,1911.764705882353,1557.3549257759785,1776.395173453997
CENTRAL AREA,1994-09,mid,140000.0,70000.0,170000.0,131000.0,155000.0,2073.170731707317,1627.906976744186,2220.3389830508477,1741.573033707865,2089.5522388059703
CENTRAL AREA,1994-10,mid,125000.0,45000.0,252000.0,85000.0,188500.0,1689.1891891891892,1184.2105263157894,3036.144578313253,1436.6998577524892,2362.666883751221
CENTRAL AREA,1994-11,mid,178500.0,45500.0,275000.0,122500.0,224750.0,2141.1574618096356,1109.7560975609756,2719.512195121951,1774.671052631579,2505.7339449541287
CENTRAL AREA,1994-12,mid,106000.0,100000.0,112000.0,103000.0,109000.0,1782.4858757062148,1666.6666666666667,1898.3050847457628,1724.5762711864409,1840.3954802259886
CENTRAL AREA,1995-01,mid,139000.0,72000.0,223000.0,100750.0,150250.0,2163.8888888888887,1343.2835820895523,2450.5494505494507,1912.3931623931626,2227.24358974359
CENTRAL AREA,1995-02,mid,69000.0,69000.0,69000.0,69000.0,69000.0,1604.6511627906978,1604.6511627906978,1604.6511627906978,1604.6511627906978,1604.6511627906978
CENTRAL AREA,1995-03,mid,84000.0,58000.0,110000.0,71000.0,97000.0,1656.56146179402,1348.8372093023256,1964.2857142857142,1502.6993355481727,1810.4235880398671
CENTRAL AREA,1995-04,mid,110000.0,98000.0,263800.0,104000.0,186900.0,1896.551724137931,1555.5555555555557,3425.974025974026,1726.0536398467434,2661.2628750559784
CENTRAL AREA,1995-05,mid,140900.0,122800.0,159000.0,131850.0,149950.0,2004.6273546273546,1860.6060606060605,2148.6486486486488,1932.6167076167076,2076.6380016380017
CENTRAL AREA,1995-06,mid,105500.0,60000.0,151000.0,82750.0,128250.0,2029.6610169491526,1500.0,2559.322033898305,1764.8305084745762,2294.491525423729
CENTRAL AREA,1995-07,mid,71000.0,57000.0,138000.0,62000.0,122000.0,1746.6666666666667,1425.0,2464.285714285714,1560.4166666666667,1937.4358974358975
CENTRAL AREA,1995-08,mid,139400.0,70000.0,160000.0,99700.0,149250.0,2117.8878335594754,1561.4035087719299,2461.5384615384614,1880.8213716108453,2397.2014925373132
CENTRAL AREA,1995-09,mid,136500.0,60000.0,280000.0,75000.0,235000.0,2100.0,1111.111111111111,3414.6341463414633,1973.6842105263158,2701.1494252873563
CENTRAL AREA,1995-10,mid,128500.0,63000.0,295000.0,69750.0,276000.0,1983.3679833679835,1384.6153846153845,3623.3766233766232,1563.3944543828266,2901.8174283684584
CENTRAL AREA,1995-11,mid,146500.0,75000.0,255000.0,141500.0,165000.0,2266.6666666666665,1973.6842105263158,2931.0344827586205,2127.5440976933514,2574.8587570621467
CENTRAL AREA,1995-12,mid,165000.0,65500.0,170000.0,115250.0,167500.0,2500.0,1597.560975609756,2750.0,2048.7804878048782,2625.0
CENTRAL AREA,1996-01,mid,77000.0,66000.0,198000.0,74000.0,144000.0,1923.076923076923,1396.2264150943397,2911.764705882353,1650.0,2400.0
CENTRAL AREA,1996-02,mid,135000.0,62000.0,325000.0,83000.0,184000.0,2327.5862068965516,1538.4615384615386,3963.4146341463415,1606.192549588776,2770.27027027027
CENTRAL AREA,1996-03,mid,195000.0,129000.0,330000.0,186000.0,323000.0,3055.5555555555557,2263.157894736842,3939.0243902439024,2635.135135135135,3100.0
CENTRAL AREA,1996-04,mid,90000.0,63800.0,330000.0,75500.0,200000.0,2236.842105263158,1370.3703703703704,4024.390243902439,1678.9473684210527,3055.5555555555557
CENTRAL AREA,1996-05,mid,175000.0,81000.0,243000.0,101000.0,212250.0,2546.4743589743593,1528.301886792453,3375.0,1793.269230769231,3081.495098039216
CENTRAL AREA,1996-06,mid,163000.0,93500.0,280000.0,130000.0,232500.0,2763.157894736842,2174.4186046511627,4250.0,2444.15081042988,2931.3186813186812
CENTRAL AREA,1996-07,mid,218000.0,135000.0,355000.0,191250.0,258250.0,3092.0628525382754,2327.5862068965516,3198.198198198198,2898.073022312373,3121.467357768727
CENTRAL AREA,1996-08,mid,273000.0,95000.0,326000.0,150000.0,315000.0,3033.3333333333335,2435.897435897436,3975.609756097561,2678.5714285714284,3841.4634146341464
