town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,very low,42850.0,18700.0,67000.0,30775.0,54925.0,786.3821138211383,456.0975609756098,1116.6666666666667,621.239837398374,951.5243902439025
CENTRAL AREA,1990-03,very low,18700.0,18700.0,18700.0,18700.0,18700.0,467.5,467.5,467.5,467.5,467.5
CENTRAL AREA,1990-04,very low,19000.0,19000.0,19000.0,19000.0,19000.0,500.0,500.0,500.0,500.0,500.0
CENTRAL AREA,1990-05,very low,142000.0,142000.0,142000.0,142000.0,142000.0,1339.622641509434,1339.622641509434,1339.622641509434,1339.622641509434,1339.622641509434
CENTRAL AREA,1990-06,very low,40000.0,21000.0,89000.0,30500.0,64500.0,666.6666666666666,525.0,1085.3658536585365,595.8333333333333,876.0162601626016
CENTRAL AREA,1990-07,very low,23000.0,19000.0,80000.0,21000.0,51500.0,589.7435897435897,487.1794871794872,1095.890410958904,538.4615384615385,842.8170003512469
CENTRAL AREA,1990-09,very low,26300.0,26300.0,26300.0,26300.0,26300.0,692.1052631578947,692.1052631578947,692.1052631578947,692.1052631578947,692.1052631578947
CENTRAL AREA,1990-10,very low,18700.0,18700.0,18700.0,18700.0,18700.0,467.5,467.5,467.5,467.5,467.5
CENTRAL AREA,1990-11,very low,22350.0,18700.0,26000.0,20525.0,24175.0,571.0526315789474,492.10526315789474,650.0,531.578947368421,610.5263157894736
CENTRAL AREA,1990-12,very low,19000.0,19000.0,19000.0,19000.0,19000.0,500.0,500.0,500.0,500.0,500.0
CENTRAL AREA,1991-01,very low,100000.0,100000.0,100000.0,100000.0,100000.0,1176.4705882352941,1176.4705882352941,1176.4705882352941,1176.4705882352941,1176.4705882352941
CENTRAL AREA,1991-02,very low,60500.0,26000.0,95000.0,43250.0,77750.0,983.9971550497867,684.2105263157895,1283.7837837837837,834.103840682788,1133.8904694167852
CENTRAL AREA,1991-06,very low,24000.0,24000.0,24000.0,24000.0,24000.0,631.578947368421,631.578947368421,631.578947368421,631.578947368421,631.578947368421
CENTRAL AREA,1991-07,very low,26000.0,26000.0,26000.0,26000.0,26000.0,666.6666666666666,666.6666666666666,666.6666666666666,666.6666666666666,666.6666666666666
CENTRAL AREA,1991-09,very low,34500.0,23000.0,102000.0,28750.0,68250.0,616.0714285714286,575.0,1378.3783783783783,595.5357142857142,997.2249034749034
CENTRAL AREA,1991-10,very low,30000.0,30000.0,30000.0,30000.0,30000.0,535.7142857142857,535.7142857142857,535.7142857142857,535.7142857142857,535.7142857142857
CENTRAL AREA,1991-11,very low,19000.0,19000.0,19000.0,19000.0,19000.0,475.0,475.0,475.0,475.0,475.0
CENTRAL AREA,1991-12,very low,47000.0,19000.0,75000.0,33000.0,61000.0,686.046511627907,500.0,872.0930232558139,593.0232558139535,779.0697674418604
CENTRAL AREA,1992-05,very low,30000.0,30000.0,30000.0,30000.0,30000.0,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842,526.3157894736842
