town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CENTRAL AREA,1990-01,high,2 ROOM,30000.0,30000.0,30000.0,30000.0,30000.0,566.0377358490566,566.0377358490566,566.0377358490566,566.0377358490566,566.0377358490566
CENTRAL AREA,1990-01,high,3 ROOM,64500.0,35000.0,70000.0,53750.0,69250.0,1038.4615384615386,603.448275862069,1150.0,900.8620689655172,1095.1923076923076
CENTRAL AREA,1990-01,high,4 ROOM,100000.0,80000.0,157000.0,88000.0,155000.0,1219.5121951219512,975.609756097561,1554.4554455445545,1035.2941176470588,1396.3963963963963
CENTRAL AREA,1990-01,high,5 ROOM,228000.0,228000.0,228000.0,228000.0,228000.0,1664.2335766423357,1664.2335766423357,1664.2335766423357,1664.2335766423357,1664.2335766423357
CENTRAL AREA,1990-01,low,2 ROOM,23200.0,22000.0,28000.0,22600.0,25600.0,610.5263157894736,578.9473684210526,651.1627906976744,594.7368421052631,630.844553243574
CENTRAL AREA,1990-01,low,3 ROOM,74500.0,74500.0,74500.0,74500.0,74500.0,1111.9402985074628,1111.9402985074628,1111.9402985074628,1111.9402985074628,1111.9402985074628
CENTRAL AREA,1990-01,low,4 ROOM,130000.0,130000.0,130000.0,130000.0,130000.0,1160.7142857142858,1160.7142857142858,1160.7142857142858,1160.7142857142858,1160.7142857142858
CENTRAL AREA,1990-01,mid,3 ROOM,67500.0,32000.0,102000.0,49750.0,84750.0,992.6470588235294,551.7241379310345,1378.3783783783783,772.185598377282,1185.5127186009538
CENTRAL AREA,1990-01,mid,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
CENTRAL AREA,1990-01,very low,2 ROOM,18700.0,18700.0,18700.0,18700.0,18700.0,456.0975609756098,456.0975609756098,456.0975609756098,456.0975609756098,456.0975609756098
CENTRAL AREA,1990-01,very low,3 ROOM,67000.0,67000.0,67000.0,67000.0,67000.0,1116.6666666666667,1116.6666666666667,1116.6666666666667,1116.6666666666667,1116.6666666666667
CENTRAL AREA,1990-02,high,3 ROOM,64000.0,57000.0,65000.0,60500.0,64500.0,941.1764705882352,876.9230769230769,955.8823529411765,909.0497737556561,948.5294117647059
CENTRAL AREA,1990-02,high,4 ROOM,133800.0,110000.0,157600.0,121900.0,145700.0,1385.5863822261522,1325.301204819277,1445.8715596330276,1355.4437935227147,1415.7289709295899
CENTRAL AREA,1990-02,low,3 ROOM,69500.0,62000.0,77000.0,65750.0,73250.0,963.1274131274131,885.7142857142857,1040.5405405405406,924.4208494208494,1001.8339768339769
CENTRAL AREA,1990-02,mid,2 ROOM,41500.0,41500.0,41500.0,41500.0,41500.0,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231,798.0769230769231
CENTRAL AREA,1990-02,mid,4 ROOM,150000.0,150000.0,150000.0,150000.0,150000.0,1339.3924898349678,1327.4336283185842,1351.3513513513512,1333.4130590767759,1345.3719205931595
CENTRAL AREA,1990-03,high,3 ROOM,58500.0,41000.0,72000.0,52250.0,68500.0,934.866828087167,539.4736842105264,1200.0,807.9793340987371,1066.6666666666665
CENTRAL AREA,1990-03,high,4 ROOM,87500.0,82000.0,110000.0,84250.0,95000.0,1018.2926829268292,989.010989010989,1078.4313725490197,997.2527472527472,1047.0468675274988
CENTRAL AREA,1990-03,high,5 ROOM,205000.0,205000.0,205000.0,205000.0,205000.0,1507.3529411764705,1507.3529411764705,1507.3529411764705,1507.3529411764705,1507.3529411764705
CENTRAL AREA,1990-03,low,2 ROOM,20000.0,19000.0,22500.0,19500.0,21250.0,512.8205128205128,500.0,576.9230769230769,506.4102564102564,544.8717948717949
CENTRAL AREA,1990-03,low,3 ROOM,110000.0,110000.0,110000.0,110000.0,110000.0,1486.4864864864865,1486.4864864864865,1486.4864864864865,1486.4864864864865,1486.4864864864865
CENTRAL AREA,1990-03,low,4 ROOM,140000.0,140000.0,140000.0,140000.0,140000.0,1308.411214953271,1308.411214953271,1308.411214953271,1308.411214953271,1308.411214953271
CENTRAL AREA,1990-03,mid,2 ROOM,18500.0,18500.0,18500.0,18500.0,18500.0,474.35897435897436,474.35897435897436,474.35897435897436,474.35897435897436,474.35897435897436
CENTRAL AREA,1990-03,mid,3 ROOM,63000.0,63000.0,63000.0,63000.0,63000.0,969.2307692307693,969.2307692307693,969.2307692307693,969.2307692307693,969.2307692307693
CENTRAL AREA,1990-03,very low,2 ROOM,18700.0,18700.0,18700.0,18700.0,18700.0,467.5,467.5,467.5,467.5,467.5
CENTRAL AREA,1990-04,high,2 ROOM,32500.0,32500.0,32500.0,32500.0,32500.0,613.2075471698113,613.2075471698113,613.2075471698113,613.2075471698113,613.2075471698113
CENTRAL AREA,1990-04,high,3 ROOM,52000.0,32000.0,73000.0,42500.0,55000.0,866.6666666666667,492.3076923076923,1106.060606060606,714.2857142857143,932.2033898305085
CENTRAL AREA,1990-04,high,4 ROOM,86000.0,60000.0,138000.0,73000.0,112000.0,1036.144578313253,705.8823529411765,1140.495867768595,871.0134656272148,1088.320223040924
CENTRAL AREA,1990-04,low,2 ROOM,31000.0,31000.0,31000.0,31000.0,31000.0,584.9056603773585,584.9056603773585,584.9056603773585,584.9056603773585,584.9056603773585
CENTRAL AREA,1990-04,low,4 ROOM,74000.0,74000.0,74000.0,74000.0,74000.0,850.5747126436781,850.5747126436781,850.5747126436781,850.5747126436781,850.5747126436781
