town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,4 ROOM,65000.0,65000.0,65000.0,65000.0,65000.0,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566
CHOA CHU KANG,1990-02,4 ROOM,63000.0,63000.0,63000.0,63000.0,63000.0,684.7826086956521,684.7826086956521,684.7826086956521,684.7826086956521,684.7826086956521
CHOA CHU KANG,1990-03,4 ROOM,71500.0,58000.0,104500.0,64750.0,88000.0,785.7142857142857,630.4347826086956,1014.5631067961165,708.0745341614906,900.138696255201
CHOA CHU KANG,1990-04,4 ROOM,64000.0,62000.0,71600.0,63000.0,67800.0,695.6521739130435,626.2626262626262,778.2608695652174,660.9574000878349,736.9565217391305
CHOA CHU KANG,1990-06,4 ROOM,91500.0,65000.0,118000.0,78250.0,104750.0,895.5905205905206,656.5656565656566,1134.6153846153845,776.0780885780886,1015.1029526029525
CHOA CHU KANG,1990-07,4 ROOM,64000.0,64000.0,64000.0,64000.0,64000.0,691.912108461898,688.1720430107526,695.6521739130435,690.0420757363254,693.7821411874708
CHOA CHU KANG,1990-08,4 ROOM,76750.0,64500.0,89000.0,70625.0,82875.0,757.796410709032,651.5151515151515,864.0776699029126,704.6557811120917,810.9370403059723
CHOA CHU KANG,1990-09,4 ROOM,64500.0,64500.0,64500.0,64500.0,64500.0,701.0869565217391,701.0869565217391,701.0869565217391,701.0869565217391,701.0869565217391
CHOA CHU KANG,1990-11,4 ROOM,60000.0,57800.0,64000.0,58900.0,62000.0,646.4646464646464,628.2608695652174,652.1739130434783,637.3627580149318,649.3192797540623
CHOA CHU KANG,1990-12,4 ROOM,70000.0,70000.0,70000.0,70000.0,70000.0,736.8421052631579,736.8421052631579,736.8421052631579,736.8421052631579,736.8421052631579
CHOA CHU KANG,1991-01,4 ROOM,64000.0,62000.0,76000.0,63000.0,64200.0,684.7826086956521,626.2626262626262,826.0869565217391,648.4848484848485,695.6521739130435
CHOA CHU KANG,1991-03,4 ROOM,52000.0,52000.0,52000.0,52000.0,52000.0,525.2525252525253,525.2525252525253,525.2525252525253,525.2525252525253,525.2525252525253
CHOA CHU KANG,1991-05,4 ROOM,70000.0,70000.0,70000.0,70000.0,70000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
CHOA CHU KANG,1991-07,4 ROOM,90000.0,75000.0,108000.0,82500.0,99000.0,865.3846153846154,721.1538461538462,1038.4615384615386,793.2692307692307,951.9230769230769
CHOA CHU KANG,1991-08,4 ROOM,70000.0,65000.0,78000.0,67500.0,74000.0,769.2307692307693,714.2857142857143,847.8260869565217,741.7582417582419,808.5284280936455
CHOA CHU KANG,1991-09,4 ROOM,64000.0,64000.0,65000.0,64000.0,64500.0,695.6521739130435,695.6521739130435,706.5217391304348,695.6521739130435,701.0869565217391
