town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1993-09,EXECUTIVE,327000.0,327000.0,327000.0,327000.0,327000.0,2224.4897959183672,2224.4897959183672,2224.4897959183672,2224.4897959183672,2224.4897959183672
CHOA CHU KANG,1993-11,EXECUTIVE,330000.0,330000.0,330000.0,330000.0,330000.0,2260.27397260274,2260.27397260274,2260.27397260274,2260.27397260274,2260.27397260274
CHOA CHU KANG,1993-12,EXECUTIVE,329000.0,320000.0,338000.0,324500.0,333500.0,2193.2930083615015,2191.780821917808,2194.805194805195,2192.536915139655,2194.049101583348
CHOA CHU KANG,1994-01,EXECUTIVE,312500.0,288000.0,360000.0,293750.0,343125.0,2111.643835616438,1946.3087248322147,2465.753424657534,2008.5616438356165,2323.04978394778
CHOA CHU KANG,1994-02,EXECUTIVE,315000.0,300000.0,353000.0,302500.0,331500.0,2129.87012987013,2054.794520547945,2485.9154929577467,2100.8585761142194,2226.027397260274
CHOA CHU KANG,1994-03,EXECUTIVE,330000.0,300000.0,350000.0,316250.0,342250.0,2215.1307596513075,2054.794520547945,2349.3150684931506,2139.3835616438355,2314.7571606475717
CHOA CHU KANG,1994-04,EXECUTIVE,325000.0,300000.0,412000.0,313000.0,363375.0,2193.3437528730346,2054.794520547945,2675.3246753246754,2134.132420091324,2466.4383561643835
CHOA CHU KANG,1994-05,EXECUTIVE,361000.0,350000.0,380000.0,355500.0,370500.0,2344.155844155844,2287.581699346405,2657.3426573426573,2315.8687717511248,2500.7492507492507
CHOA CHU KANG,1994-06,EXECUTIVE,340000.0,330000.0,400000.0,335000.0,380000.0,2294.5205479452056,2207.7922077922076,2739.72602739726,2260.27397260274,2602.7397260273974
CHOA CHU KANG,1994-07,EXECUTIVE,368000.0,320000.0,400000.0,337500.0,394250.0,2494.8285372805003,2191.780821917808,2767.605633802817,2311.6438356164385,2688.287211547302
CHOA CHU KANG,1994-08,EXECUTIVE,376000.0,330000.0,390000.0,355000.0,380000.0,2546.6666666666665,2260.27397260274,2671.2328767123286,2426.1285280867887,2597.337449353656
CHOA CHU KANG,1994-09,EXECUTIVE,365000.0,325000.0,400000.0,346500.0,375000.0,2500.0,2288.7323943661972,2684.5637583892617,2373.2876712328766,2542.2221200698723
CHOA CHU KANG,1994-10,EXECUTIVE,361000.0,315000.0,410000.0,327500.0,392250.0,2476.027397260274,2142.8571428571427,2808.219178082192,2183.219178082192,2681.2543392733164
CHOA CHU KANG,1994-11,EXECUTIVE,372500.0,315000.0,400000.0,331000.0,382250.0,2550.0,2100.0,2739.72602739726,2234.2021930239152,2602.7397260273974
CHOA CHU KANG,1994-12,EXECUTIVE,354500.0,310000.0,390000.0,335000.0,371250.0,2428.082191780822,2123.2876712328766,2671.2328767123286,2342.2728149720238,2560.1726799151074
CHOA CHU KANG,1995-01,EXECUTIVE,404000.0,390000.0,435000.0,400000.0,420750.0,2806.482732008489,2671.2328767123286,2979.4520547945203,2698.3543256412613,2901.5290372371214
CHOA CHU KANG,1995-02,EXECUTIVE,367500.0,335000.0,405000.0,357500.0,378750.0,2491.6107382550335,2294.5205479452056,2755.1020408163267,2436.0462443688516,2563.775510204082
CHOA CHU KANG,1995-03,EXECUTIVE,389000.0,319000.0,435000.0,355000.0,418000.0,2610.738255033557,2184.931506849315,2979.4520547945203,2337.6623376623374,2805.3691275167785
CHOA CHU KANG,1995-04,EXECUTIVE,360000.0,330000.0,409000.0,350000.0,388000.0,2416.1073825503354,2260.27397260274,2801.3698630136987,2397.2602739726026,2657.5342465753424
CHOA CHU KANG,1995-05,EXECUTIVE,375000.0,363000.0,470000.0,369000.0,422500.0,2568.4931506849316,2486.301369863014,3219.178082191781,2527.3972602739727,2893.8356164383563
CHOA CHU KANG,1995-06,EXECUTIVE,400000.0,345000.0,405000.0,372500.0,402500.0,2684.5637583892617,2363.013698630137,2773.972602739726,2523.7887285096995,2729.268180564494
CHOA CHU KANG,1995-07,EXECUTIVE,406000.0,305000.0,475000.0,396000.0,440500.0,2800.0,2163.1205673758864,3275.862068965517,2674.496644295302,3057.9297704032415
CHOA CHU KANG,1995-08,EXECUTIVE,405000.0,380000.0,445000.0,400000.0,430000.0,2773.972602739726,2583.8926174496646,3068.9655172413795,2739.72602739726,2965.5172413793102
CHOA CHU KANG,1995-09,EXECUTIVE,461500.0,385000.0,480000.0,437000.0,465000.0,3067.5633889919604,2636.986301369863,3221.4765100671143,2963.774239459171,3167.6101947628367
CHOA CHU KANG,1995-10,EXECUTIVE,421500.0,395000.0,502000.0,417250.0,425500.0,2880.1369863013697,2651.006711409396,3462.0689655172414,2810.76062639821,2914.3835616438355
CHOA CHU KANG,1995-11,EXECUTIVE,429500.0,410000.0,475000.0,422500.0,450000.0,2920.171715222844,2798.7012987012986,3253.4246575342468,2870.012411510527,3082.1917808219177
CHOA CHU KANG,1995-12,EXECUTIVE,462500.0,422000.0,498000.0,440000.0,473750.0,3167.8082191780823,2885.9060402684563,3436.6197183098593,3019.000944733113,3296.0532618066864
