town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,57150.0,30000.0,90000.0,40400.0,59225.0,706.43408878703,447.76119402985074,774.3243243243244,602.9850746268658,771.2837837837839
CHOA CHU KANG,1990-02,55000.0,42200.0,100000.0,46900.0,63000.0,716.2162162162163,570.2702702702703,840.3361344537815,684.7826086956521,774.3243243243244
CHOA CHU KANG,1990-03,42200.0,30000.0,104500.0,38000.0,58000.0,626.8656716417911,405.4054054054054,1014.5631067961165,558.8235294117648,770.2702702702703
CHOA CHU KANG,1990-04,42200.0,36000.0,71600.0,42000.0,53510.0,606.7855842737531,529.4117647058823,778.2608695652174,569.5945945945946,627.6119402985075
CHOA CHU KANG,1990-05,38500.0,30000.0,47000.0,34250.0,42750.0,466.7476465229274,405.4054054054054,528.0898876404494,436.0765259641664,497.41876708168843
CHOA CHU KANG,1990-06,65000.0,31000.0,118000.0,38000.0,116000.0,656.5656565656566,418.9189189189189,1134.6153846153845,513.5135135135135,974.7899159663865
CHOA CHU KANG,1990-07,57250.0,40800.0,99000.0,45750.0,62325.0,722.8260869565217,551.3513513513514,831.9327731092437,642.1922644840315,773.9864864864866
CHOA CHU KANG,1990-08,57150.0,42000.0,97000.0,44650.0,70625.0,705.6501547987616,585.5263157894736,864.0776699029126,645.3527815468115,781.4842153077448
CHOA CHU KANG,1990-09,56000.0,42000.0,64500.0,49000.0,60250.0,701.0869565217391,626.8656716417911,756.7567567567568,663.9763140817652,728.921856639248
CHOA CHU KANG,1990-10,57500.0,35500.0,98000.0,51625.0,68000.0,777.0270270270271,522.0588235294117,823.5294117647059,708.2174085850556,793.7201907790143
CHOA CHU KANG,1990-11,57500.0,42000.0,110000.0,54625.0,61000.0,649.3192797540623,567.5675675675676,924.3697478991596,638.4841363102232,770.945945945946
CHOA CHU KANG,1990-12,57000.0,40000.0,70000.0,53250.0,57000.0,733.8056680161943,597.0149253731344,770.2702702702703,709.7193347193347,746.7105263157895
CHOA CHU KANG,1991-01,63500.0,40000.0,98000.0,57000.0,67150.0,666.6337285902503,597.0149253731344,826.0869565217391,626.7149102969998,727.6214833759591
CHOA CHU KANG,1991-02,45500.0,31000.0,49500.0,39250.0,49125.0,615.2621041135785,462.6865671641791,662.1621621621622,568.4155442300691,635.6897942718839
