town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,high,57300.0,57000.0,65000.0,57150.0,61150.0,770.2702702702703,656.5656565656566,774.3243243243244,713.4179634179634,772.2972972972973
CHOA CHU KANG,1990-02,high,57300.0,53000.0,100000.0,55000.0,98000.0,774.3243243243244,716.2162162162163,840.3361344537815,743.2432432432432,823.5294117647059
CHOA CHU KANG,1990-03,high,50100.0,34000.0,104500.0,40550.0,91750.0,613.724853990915,500.0,1014.5631067961165,576.9564340459863,806.7683595177201
CHOA CHU KANG,1990-04,high,42200.0,42000.0,71600.0,42100.0,56900.0,570.2702702702703,567.5675675675676,778.2608695652174,568.918918918919,674.2655699177438
CHOA CHU KANG,1990-06,high,65000.0,65000.0,65000.0,65000.0,65000.0,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566,656.5656565656566
CHOA CHU KANG,1990-07,high,57100.0,40800.0,99000.0,52950.0,67650.0,761.4864864864865,551.3513513513514,831.9327731092437,700.3378378378378,787.7129230070407
CHOA CHU KANG,1990-08,high,57000.0,42000.0,97000.0,44700.0,89000.0,770.2702702702703,626.8656716417911,864.0776699029126,657.3529411764706,815.1260504201681
CHOA CHU KANG,1990-09,high,64500.0,64500.0,64500.0,64500.0,64500.0,701.0869565217391,701.0869565217391,701.0869565217391,701.0869565217391,701.0869565217391
CHOA CHU KANG,1990-10,high,57500.0,57000.0,58000.0,57250.0,57750.0,777.0270270270271,770.2702702702703,783.7837837837837,773.6486486486486,780.4054054054054
CHOA CHU KANG,1990-11,high,57500.0,57200.0,57800.0,57350.0,57650.0,700.6169212690952,628.2608695652174,772.972972972973,664.4388954171563,736.794947121034
CHOA CHU KANG,1990-12,high,54500.0,52000.0,57000.0,53250.0,55750.0,716.7359667359667,702.7027027027027,730.7692307692307,709.7193347193347,723.7525987525987
CHOA CHU KANG,1991-01,high,64000.0,64000.0,64000.0,64000.0,64000.0,695.6521739130435,695.6521739130435,695.6521739130435,695.6521739130435,695.6521739130435
CHOA CHU KANG,1991-04,high,42100.0,42000.0,42200.0,42050.0,42150.0,628.358208955224,626.8656716417911,629.8507462686567,627.6119402985075,629.1044776119403
CHOA CHU KANG,1991-05,high,70000.0,35000.0,80000.0,52500.0,75000.0,672.2689075630252,522.3880597014926,769.2307692307693,597.3284836322589,720.7498383968973
CHOA CHU KANG,1991-06,high,98000.0,98000.0,98000.0,98000.0,98000.0,823.5294117647059,823.5294117647059,823.5294117647059,823.5294117647059,823.5294117647059
CHOA CHU KANG,1991-08,high,70000.0,44000.0,78000.0,57000.0,74000.0,769.2307692307693,594.5945945945946,847.8260869565217,681.9126819126819,808.5284280936455
CHOA CHU KANG,1991-09,high,64000.0,64000.0,110000.0,64000.0,87000.0,695.6521739130435,695.6521739130435,924.3697478991596,695.6521739130435,810.0109609061016
CHOA CHU KANG,1991-10,high,90000.0,90000.0,90000.0,90000.0,90000.0,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902,873.7864077669902
CHOA CHU KANG,1991-11,high,57150.0,57000.0,57300.0,57075.0,57225.0,772.2972972972973,770.2702702702703,774.3243243243244,771.2837837837839,773.3108108108108
CHOA CHU KANG,1991-12,high,55000.0,36000.0,90000.0,46500.0,67500.0,594.319775596073,537.3134328358209,756.3025210084033,541.9370538611291,672.9465979940363
CHOA CHU KANG,1992-01,high,64000.0,42000.0,88500.0,57000.0,80000.0,770.2702702702703,626.8656716417911,867.6470588235294,646.4646464646464,842.1052631578947
CHOA CHU KANG,1992-02,high,72350.0,42000.0,148500.0,63250.0,113600.0,759.5136144049187,567.5675675675676,1125.0,656.0441370223979,952.1734333627537
CHOA CHU KANG,1992-03,high,60500.0,36000.0,98000.0,51750.0,72500.0,732.961222091657,529.4117647058823,823.5294117647059,654.0920716112532,783.5850556438792
CHOA CHU KANG,1992-04,high,60500.0,50000.0,138000.0,55250.0,82500.0,722.8260869565217,675.6756756756756,1159.6638655462184,690.6580493537015,852.4159663865546
CHOA CHU KANG,1992-05,high,67000.0,38000.0,145000.0,52750.0,75000.0,754.7224643998838,513.5135135135135,1218.4873949579833,645.2962460425147,821.4882943143813
CHOA CHU KANG,1992-06,high,98500.0,70000.0,127000.0,84250.0,112750.0,834.5959595959596,707.070707070707,962.1212121212121,770.8333333333333,898.3585858585859
CHOA CHU KANG,1992-07,high,103000.0,42000.0,165000.0,57250.0,133500.0,906.859262767385,597.8260869565217,1352.4590163934427,744.5542557482856,1091.291061879297
CHOA CHU KANG,1992-08,high,57000.0,42000.0,70000.0,49500.0,63500.0,760.8695652173913,567.5675675675676,770.2702702702703,664.2185663924795,765.5699177438307
CHOA CHU KANG,1992-09,high,63500.0,50000.0,77000.0,56750.0,70250.0,756.316098707403,675.6756756756756,836.9565217391304,715.9958871915393,796.6363102232667
