town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
CHOA CHU KANG,1990-01,low,42200.0,35000.0,90000.0,38600.0,66100.0,629.8507462686567,522.3880597014926,756.3025210084033,576.1194029850747,693.07663363853
CHOA CHU KANG,1990-02,low,46900.0,42200.0,63000.0,44550.0,54950.0,684.7826086956521,629.8507462686567,689.7058823529412,657.3166774821544,687.2442455242967
CHOA CHU KANG,1990-03,low,38000.0,38000.0,38000.0,38000.0,38000.0,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648
CHOA CHU KANG,1990-04,low,42500.0,39900.0,64000.0,42200.0,50680.0,618.0487804878048,574.3243243243244,695.6521739130435,595.5223880597015,629.8507462686567
CHOA CHU KANG,1990-05,low,38500.0,30000.0,47000.0,34250.0,42750.0,466.7476465229274,405.4054054054054,528.0898876404494,436.0765259641664,497.41876708168843
CHOA CHU KANG,1990-06,low,38000.0,31000.0,116000.0,34500.0,77000.0,513.5135135135135,418.9189189189189,974.7899159663865,466.21621621621625,744.15171473995
CHOA CHU KANG,1990-07,low,41500.0,41500.0,41500.0,41500.0,41500.0,610.2941176470588,610.2941176470588,610.2941176470588,610.2941176470588,610.2941176470588
CHOA CHU KANG,1990-08,low,54500.0,44500.0,64500.0,49500.0,59500.0,618.5207336523126,585.5263157894736,651.5151515151515,602.0235247208931,635.0179425837321
CHOA CHU KANG,1990-09,low,56000.0,56000.0,56000.0,56000.0,56000.0,756.7567567567568,756.7567567567568,756.7567567567568,756.7567567567568,756.7567567567568
CHOA CHU KANG,1990-10,low,98000.0,98000.0,98000.0,98000.0,98000.0,823.5294117647059,823.5294117647059,823.5294117647059,823.5294117647059,823.5294117647059
CHOA CHU KANG,1990-11,low,51000.0,42000.0,60000.0,46500.0,55500.0,609.870740305523,567.5675675675676,652.1739130434783,588.7191539365452,631.0223266745006
CHOA CHU KANG,1990-12,low,57000.0,40000.0,57000.0,48500.0,57000.0,750.0,597.0149253731344,770.2702702702703,673.5074626865671,760.1351351351352
CHOA CHU KANG,1991-02,low,45500.0,42000.0,49000.0,43750.0,47250.0,644.5139169019767,626.8656716417911,662.1621621621622,635.6897942718839,653.3380395320694
CHOA CHU KANG,1991-04,low,40000.0,40000.0,40000.0,40000.0,40000.0,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471
CHOA CHU KANG,1991-06,low,42000.0,42000.0,42000.0,42000.0,42000.0,597.2166196046794,567.5675675675676,626.8656716417911,582.3920935861235,612.0411456232353
CHOA CHU KANG,1991-07,low,75000.0,33000.0,90000.0,54000.0,82500.0,721.1538461538462,492.53731343283584,865.3846153846154,606.845579793341,793.2692307692307
CHOA CHU KANG,1991-08,low,45500.0,34000.0,57000.0,39750.0,51250.0,635.1351351351352,500.0,770.2702702702703,567.5675675675676,702.7027027027027
CHOA CHU KANG,1991-09,low,52000.0,52000.0,52000.0,52000.0,52000.0,702.7027027027027,702.7027027027027,702.7027027027027,702.7027027027027,702.7027027027027
